	Candida_albicans	Saccharomyces_cerevisiae
OG0000025	CR_04420C_A	YBR067C, YER011W, YIL011W, YOR010C
OG0000026	C1_02050C_A, C1_05940W_A	YCR037C, YJL198W, YNR013C
OG0000027	C3_03120C_A, C3_03640W_A, C3_04160W_A, C5_01670W_A	YJR152W
OG0000028	C1_08210C_A, C7_02330W_B&Allele&of&C7_02330W_A, CR_08200C_A	YDR135C, YLL015W
OG0000029	C2_10230W_B&Allele&of&C2_10230W_A, C6_01500C_A	YDR253C, YGR067C, YPL038W
OG0000030	C6_00330C_A, CR_09910W_A, CR_09920W_A	YCL025C, YDR508C
OG0000031	C5_01830C_A, C5_01840C_A, C5_01850C_A	YBR150C, YOL089C
OG0000032	C6_00440C_A, C6_00460C_A, C6_00470C_A, C6_00480C_A	YMR058W
OG0000033	C5_04930C_A	YBR298C, YDL247W, YGR289C, YJR160C
OG0000034	C2_08870C_A	YJL158C, YJL160C, YKL163W, YKL164C
OG0000035	C1_00390W_A, C7_02910W_A	YDR038C, YDR039C, YDR040C
OG0000036	CR_09290W_A	YDL244W, YFL058W, YJR156C, YNL332W
OG0000037	C1_11400C_A, C5_02840C_A	YCL024W, YDR507C, YKL101W
OG0000038	C6_00830C_A, C6_00960W_A, C6_01060C_A	YEL063C, YNL270C
OG0000039	CR_09210W_A	YBR297W, YFL052W, YGR288W, YPR196W
OG0000040	C1_12490W_A	YBL017C, YIL173W, YJL222W, YNR065C
OG0000041		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000042	C3_03250W_A, C5_00570W_A	YDR093W, YER166W
OG0000043	C3_06180C_A, C3_06330W_A	YDR453C, YML028W
OG0000044	C4_05590W_A, C6_01650C_A	YLR454W, YPR117W
OG0000045	C1_04240C_A, CR_06800C_A	YBR009C, YNL030W
OG0000046	CR_07790C_A, CR_07810W_A, CR_10570C_A	YGR234W
OG0000047	C1_11030W_A, C3_05240C_A	YHL033C, YLL045C
OG0000048	C7_01990C_A, C7_02000C_A, C7_04160W_A	YIL166C
OG0000049	C1_07170C_A, CR_03050C_A	YBR239C, YJL103C
OG0000050	C2_04230W_A, C3_05590C_A	YHR208W, YJR148W
OG0000051	C1_09180W_A, C1_09200W_A, C6_02750C_A	YDR034C
OG0000052	C2_02100W_A, C3_02490C_B&Allele&of&C3_02490C_A	YIL126W, YOR290C
OG0000053	C1_13570W_A, C3_00730W_A	YGL014W, YGL178W
OG0000054	C2_01270W_A, C3_06280W_A	YCL064C, YIL167W
OG0000055	C1_05770C_A, C7_03360W_A	YBR139W, YMR297W
OG0000056	C3_03140C_A, C3_03610W_A	YBR021W, YIR028W
OG0000057	C2_00700W_A, C3_01760W_A	YER017C, YMR089C
OG0000058	C1_06280C_B&Allele&of&C1_06280C_A, C1_07670W_A, C4_02560C_A	YDR207C
OG0000059	C3_07330W_A, C3_07340W_A	YDR368W, YOR120W
OG0000060	C4_01830C_A, C4_03050C_A	YJL172W, YOL153C
OG0000061	C3_00670C_B&Allele&of&C3_00670C_A, C3_00680C_A	YIL131C, YNL068C
OG0000062	C5_01785W_B	YCL067C, YCR039C, YCR096C
OG0000063	C6_02660C_A, C7_01670W_A, C7_02920W_A	YDR242W
OG0000064	C5_01770C_A, C5_01775C_B	YHR001W, YKR003W
OG0000065	C3_04930C_A, C7_00280W_A	YDL138W, YDL194W
OG0000066	C3_05570W_A, CR_04210C_A	YIL120W, YIL121W
OG0000067	C1_12410C_A, C6_00350W_A	YDR466W, YDR490C
OG0000068	C1_13260W_A, C7_02570C_A	YDR519W, YNL135C
OG0000069	C2_10070W_A, C5_03770C_A, CR_05170C_A	YOR388C
OG0000070	C1_03940W_A, C5_05280C_A	YDR178W, YLR164W
OG0000071	C1_08240C_A, C3_06920W_A, CR_02060W_A	YKL128C
OG0000072	C1_04260W_A, CR_06810W_A	YBR010W, YNL031C
OG0000073	C3_03130C_A, C3_03630W_A	YDR125C, YLR099C
OG0000074	CR_08670C_A, CR_08690C_A	YLR284C, YOR180C
OG0000075	C1_02600W_A	YFL060C, YMR095C, YNL334C
OG0000076	C6_02720C_A, C6_03020W_A, C6_03520C_A	YLR148W
OG0000077	C4_05880W_A, CR_02850C_A	YFL021W, YKR034W
OG0000078	C1_08410C_A	YLL062C, YMR321C, YPL273W
OG0000079	C3_01930W_A, C3_01960C_A, C6_03560W_A	YGL205W
OG0000080	C6_02870W_A, C6_02880W_A, C6_03260W_A	YMR234W
OG0000081	C1_04290C_A, C2_10350C_A	YAL054C, YLR153C
OG0000082	C1_04300C_A, C1_13480W_A	YER103W, YLL024C
OG0000083	C2_10540W_A, C5_02940C_A	YMR182C, YPL230W
OG0000084	C1_08330C_A, C5_05050W_A	YMR303C, YOL086C
OG0000085	C3_03500W_A, C3_05810C_A, C3_05830W_A	YPR159W
OG0000086	C1_13350W_A, C3_04580C_A	YDR463W, YHR006W
OG0000087	C1_12960C_A, CR_00070W_A	YIL159W, YNL271C
OG0000088	C4_02960W_A, C4_02970C_A	YGR184C, YLR024C
OG0000089	CR_07150W_A, CR_07490C_A	YCL040W, YDR516C
OG0000090	C3_00920W_A, C3_00930W_A	YCR010C, YNR002C
OG0000091	C5_00350C_A, CR_04200W_A	YLR090W, YNL064C
OG0000092	C1_01640W_A, C2_10620W_A	YHR203C, YJR145C
OG0000093	C1_07340W_A, C3_06310C_A	YBR245C, YOR304W
OG0000094	C3_00550C_A, C3_05420W_A	YDL025C, YOR267C
OG0000095	C7_03050W_A, CR_05140W_A	YFR042W, YJL097W
OG0000096	C3_03870C_A	YDR144C, YLR120C, YLR121C
OG0000097	C2_09950W_A	YER056C, YER060W, YER060W-A
OG0000098	C1_08380W_A, C2_08370C_A	YBR118W, YPR080W
OG0000099	C4_01560C_B&Allele&of&C4_01560C_A	YML111W, YMR275C, YNR069C
OG0000100	C3_06870W_A	YGR192C, YJL052W, YJR009C
OG0000101	C2_03370W_A	YOL055C, YPL258C, YPR121W
OG0000102	C1_08940C_B&Allele&of&C1_08940C_A	YKL062W, YMR037C
OG0000103	C5_03540C_A	YGR027C, YLR333C
OG0000104	C3_06560W_A	YBR105C, YGR066C
OG0000105	C6_02240C_A	YGL135W, YPL220W
OG0000106	C1_12080W_A	YLR260W, YOR171C
OG0000107	C3_02820C_B&Allele&of&C3_02820C_A	YHR133C, YNL156C
OG0000108	C1_11060C_A	YFR031C-A, YIL018W
OG0000109	C3_05900W_A	YBR147W, YOL092W
OG0000110	C3_07640C_A, CR_04530W_A	YPL262W
OG0000111	C1_01240W_A, C1_04740W_A	YPL088W
OG0000112	C5_05470W_A	YDR206W, YLR233C
OG0000113	C2_09780C_A, C2_10010C_A	YEL001C
OG0000114	C1_01400C_A	YJL134W, YKR053C
OG0000115	C4_05440C_A	YGR141W, YPR157W
OG0000116	C1_11650W_A	YDR252W, YPL037C
OG0000117	C7_00270W_A	YOR390W, YPL279C
OG0000118	C1_14140C_A	YJL105W, YKR029C
OG0000119	C2_07420W_A, C2_07790C_A	YKR043C
OG0000120	CR_03790C_A, CR_10480W_A	YNL322C
OG0000121	C5_00630C_A	YDR263C, YOR033C
OG0000122	C2_08830W_A	YBR005W, YDR003W
OG0000123	C1_03030W_A	YDL083C, YMR143W
OG0000124	C2_03750W_A, C2_05570C_A	YMR152W
OG0000125	C1_07200W_A	YBR104W, YPR058W
OG0000126	C4_02570C_A, C4_02690W_A	YER169W
OG0000127	C1_05660C_A	YBL079W, YER105C
OG0000128	CR_06660W_A, CR_06790C_A	YAL067C
OG0000129	C6_03410C_A	YCL050C, YDR530C
OG0000130	C2_08620W_A	YGL082W, YPL191C
OG0000131	C2_07580W_A, CR_09170C_A	YPL092W
OG0000132	C1_08790W_A	YGR138C, YPR156C
OG0000133	C4_00070C_A	YOR256C, YPL176C
OG0000134	C1_05260C_A, C4_06610C_A	YKL148C
OG0000135	C2_09150W_A	YBR161W, YPL057C
OG0000136	C6_03180C_A	YJL084C, YKR021W
OG0000137	CR_07190W_A, CR_07560W_A	YFL047W
OG0000138	C1_14110C_A	YBR031W, YDR012W
OG0000139	C3_01460C_A, CR_00150C_A	YIL160C
OG0000140	C1_03560C_A, CR_05490W_A	YPR086W
OG0000141	C4_01050C_A	YIL148W, YKR094C
OG0000142	C1_12390C_A	YDR471W, YHR010W
OG0000143	CR_01650W_A	YML106W, YMR271C
OG0000144	C1_08180C_A	YAR042W, YDL019C
OG0000145	C1_10450W_A, CR_04880W_A	YEL046C
OG0000146	C3_06170C_A, C3_06350W_A	YHR058C
OG0000147	C3_00320W_A	YER062C, YIL053W
OG0000148	C3_03660W_A	YJL083W, YKR019C
OG0000149	CR_00260W_A	YDR122W, YLR096W
OG0000150	CR_01860W_A, CR_02020C_A	YJL212C
OG0000151	C2_03960W_A	YMR194W, YPL249C-A
OG0000152	C5_00760W_A	YNL293W, YOL112W
OG0000153	C1_03960C_A	YDR200C, YLR238W
OG0000154	C1_08540C_A	YKL126W, YMR104C
OG0000155	C1_12450C_A	YBR140C, YOL081W
OG0000156	C5_03130W_A	YGL162W, YPR009W
OG0000157	C2_08040C_A	YMR230W, YOR293W
OG0000158	C1_06510C_A, C6_03540W_A	YOL119C
OG0000159	C1_03780C_A	YLR450W, YML075C
OG0000160	C4_07050W_A	YBR183W, YPL087W
OG0000161	C2_03240C_A	YGR070W, YLR371W
OG0000162	C5_04830W_A, CR_05990C_A	YOR140W
OG0000163	C1_03190C_A	YBR078W, YDR055W
OG0000164	CR_00630W_A	YER064C, YIL056W
OG0000165	C1_04430C_A, C1_04450C_A	YIR035C
OG0000166	C2_09230C_A	YER027C, YGL208W
OG0000167	C2_05130W_A, C4_06710W_A	YML131W
OG0000168	CR_10580W_A	YDR300C, YHR033W
OG0000169	C1_00670C_A, CR_09960C_A	YDL170W
OG0000170	C7_00440C_A	YCL011C, YNL004W
OG0000171	C3_04950W_A	YDL137W, YDL192W
OG0000172	C3_03890W_A	YLL016W, YLR310C
OG0000173	C1_09690W_A	YIR031C, YNL117W
OG0000174	C4_03700W_A, CR_09830W_A	YBR293W
OG0000175	C4_04660C_A	YIL156W, YKR098C
OG0000176	C6_00700C_A	YDR066C, YER139C
OG0000177	C6_03240W_A	YDR541C, YOL151W
OG0000178	C1_07470C_A, C1_07480C_A	YDR332W
OG0000179	C4_04580W_A	YML109W, YMR273C
OG0000180	C4_02000C_A	YDR379W, YOR127W
OG0000181	C1_01750W_A, C6_01520W_A	YCR023C
OG0000182	C1_06850W_A	YER059W, YIL050W
OG0000183	CR_09110C_A	YML087C, YML125C
OG0000184	C1_13050W_A	YHL001W, YKL006W
OG0000185	C1_09030C_A	YIL111W, YNL052W
OG0000186	C2_02640C_A, C2_02950W_A	YJL060W
OG0000187	CR_07180W_A	YFL048C, YLR080W
OG0000188	C3_06010W_A, C5_03280W_B&Allele&of&C5_03280W_A	YPL048W
OG0000189	C5_01755C_B	YCL066W, YCR040W
OG0000190	C5_02140C_A	YLR456W, YPR172W
OG0000191	C1_05710C_A, C2_02790C_A	YDL210W
OG0000192	C2_01130W_A	YIL038C, YPR072W
OG0000193	C1_08200W_A	YAL015C, YOL043C
OG0000194	C2_01610C_A	YER131W, YGL189C
OG0000195	C1_01990W_A, C1_02070W_A	YCR021C
OG0000196	C2_09880C_A	YAL034C, YOR338W
OG0000197	C2_09970C_A	YCR073W-A, YNR034W
OG0000198	C1_13290W_A	YCL048W, YDR522C
OG0000199	C3_00090W_A	YER074W, YIL069C
OG0000200	C6_00410C_A	YBL106C, YPR032W
OG0000201	C3_03420C_A, C6_03480W_A	YMR145C
OG0000202	C4_06120W_A	YAL062W, YOR375C
OG0000203	CR_10350C_A	YGR209C, YLR043C
OG0000204	CR_08480C_A	YDL061C, YLR388W
OG0000205	C7_01650W_A	YNL108C, YOR110W
OG0000206	C4_00490W_A, C4_00690C_A	YKL191W
OG0000207	C3_03590W_A, C3_03730C_A	YGR132C
OG0000208	C1_02270C_A, C4_00830W_A	YNL202W
OG0000209	C3_04500C_A	YBL027W, YBR084C-A
OG0000210	CR_07160C_A, CR_07480W_A	YBR287W
OG0000211	CR_01520W_A	YBL056W, YER089C
OG0000212	C6_02060W_A	YIL105C, YNL047C
OG0000213	C1_14290C_A	YHR146W, YNL173C
OG0000214	C4_02550C_A	YDR107C, YLR083C
OG0000215	C2_00970C_A	YBL067C, YER098W
OG0000216	C2_09740W_A	YMR183C, YPL232W
OG0000217	C4_01800W_A, C4_01840C_A	YAL049C
OG0000218	C2_01330C_A	YDL042C, YOL068C
OG0000219	C4_01270W_A	YBR181C, YPL090C
OG0000220	C2_07830W_A, CR_07100W_A	YAL053W
OG0000221	C6_01760W_A	YCR067C, YNR026C
OG0000222	C2_01340W_A	YHL017W, YKL039W
OG0000223	C5_04350C_A	YMR222C, YOR280C
OG0000224	C2_07760W_A	YMR253C, YPL264C
OG0000225	C1_00410C_A, C7_02010C_A	YMR110C
OG0000226	C2_04040C_A, C2_04050C_A	YLR422W
OG0000227	C7_01190W_A	YLR270W, YOR173W
OG0000228	C3_02110W_A	YDR418W, YEL054C
OG0000229	CR_03020C_A	YBR242W, YGL101W
OG0000230	C1_06100C_A	YBR169C, YPL106C
OG0000231	C5_02650C_A	YDR223W, YLR223C
OG0000232	C3_07790W_A	YDR277C, YOR047C
OG0000233	C5_01760C_A, C5_01765C_B	YNL267W
OG0000234	C1_05720W_A	YGL076C, YPL198W
OG0000235	C5_01745W_B, C5_01780W_A	YKR002W
OG0000236	C4_02610C_A	YBR294W, YLR092W
OG0000237	C7_01280C_A	YKL132C, YMR113W
OG0000238	C4_02520C_A	YDR132C, YLR108C
OG0000239	C7_02200W_A	YDL224C, YNL197C
OG0000240	CR_03620C_A, CR_03810W_A	YMR302C
OG0000241	C6_02670C_A	YNL283C, YOL105C
OG0000242	C2_10870W_A, C6_04650W_A	YBR074W
OG0000243	C4_02150C_A	YAL056W, YOR371C
OG0000244	C1_14000C_A	YDR069C, YER144C
OG0000245	CM_00070C, CM_00520W	Q0275
OG0000246	C2_09650W_A, C7_00250C_A	YIR001C
OG0000247	CR_02040W_A	YIL095W, YNL020C
OG0000248	C2_07170C_A	YGL071W, YPL202C
OG0000249	C2_08270C_A, C3_05650W_A	YHR135C
OG0000250	C5_03640W_A, C5_03700C_A	YLR172C
OG0000251	C3_06580W_A, C4_04030W_A	YKL217W
OG0000252	C6_02930W_A	YDR458C, YML034W
OG0000253	C2_05710C_A	YOR234C, YPL143W
OG0000254	CR_03440W_A, CR_03590C_A	YOR258W
OG0000255	C2_04560W_A	YJL139C, YKR061W
OG0000256	C6_03550C_A	YBR049C, YDR026C
OG0000257	C1_00780C_A	YMR199W, YPL256C
OG0000258	C2_05040C_A	YIL117C, YNL058C
OG0000259	C3_05470W_A	YLR098C, YOR337W
OG0000260	C5_03820C_A	YMR237W, YOR299W
OG0000261	C4_01020C_A	YIL151C, YKR096W
OG0000262	C4_00410W_A	YKL065C, YMR040W
OG0000263	C2_03220C_A	YDL048C, YLR375W
OG0000264	C3_02880W_A, C3_03010C_A	YDL219W
OG0000265	C3_02470C_A	YGL147C, YNL067W
OG0000266	C1_08370W_A	YBR214W, YGL056C
OG0000267	C1_03760C_A	YJR130C, YML082W
OG0000268	C1_14130W_A, C1_14220C_A	YER145C
OG0000269	C3_00980W_A	YGL139W, YPL221W
OG0000270	C2_00250W_A	YGR008C, YLR327C
OG0000271	C2_01970C_B&Allele&of&C2_01970C_A	YFR022W, YOR018W
OG0000272	C5_04590C_A	YJR094W-A, YPR043W
OG0000273	C5_01100C_A, C5_01680C_A	YAL040C
OG0000274	C4_01060W_A	YIL149C, YKR095W
OG0000275	C2_04850C_A	YFR024C-A, YHR016C
OG0000276	C2_01690W_A	YKL141W, YMR118C
OG0000277	CR_01060W_A	YHL003C, YKL008C
OG0000278	C7_03010W_A	YJL098W, YKR028W
OG0000279	C1_04400C_A	YHR047C, YKL157W
OG0000280	C1_01350C_A	YJL138C, YKR059W
OG0000281	C2_01390W_A	YDL161W, YLR206W
OG0000282	CR_01580C_A	YBL054W, YER088C
OG0000283	C2_04280W_A, C2_04290W_A	YMR139W
OG0000284	CR_06700C_A	YGR248W, YHR163W
OG0000285	C2_05610C_A	YBL072C, YER102W
OG0000286	C6_01710C_A	YJR059W, YKL198C
OG0000287	C7_04230W_A	YBR066C, YDR043C
OG0000288	C1_08570C_A	YDL127W, YDL179W
OG0000289	C3_02920W_A	YHR132W-A, YNL157W
OG0000290	C2_10690W_A	YML100W, YMR261C
OG0000291	C4_01820C_A	YBL068W, YER099C
OG0000292	C1_13220C_A	YDR264C, YOR034C
OG0000293	C3_03150W_A	YKL072W, YMR053C
OG0000294	CR_09730C_A	YDR312W, YHR066W
OG0000295	C5_01540W_A	YBR048W, YDR025W
OG0000296	C6_02480W_A	YCR105W, YMR318C
OG0000297	C3_06110C_A	YEL041W, YJR049C
OG0000298	C6_02070C_A	YBL087C, YER117W
OG0000299	C1_08610C_A, C3_01540W_A	YNR018W
OG0000300	C5_03980W_B&Allele&of&C5_03980W_A	YDR475C, YOR019W
OG0000301	C3_00400C_A	YKR089C, YOR081C
OG0000302	C3_05970C_A	YKR072C, YOR054C
OG0000303	C2_08760C_A	YGL049C, YGR162W
OG0000304	C6_01900C_A	YHR043C, YHR044C
OG0000305	C3_04090W_A	YHL034C, YLL046C
OG0000306	C4_06680C_A	YBR172C, YPL105C
OG0000307	C1_03620C_A, C1_06460C_A	YJL190C
OG0000308	C1_14210C_A	YJL082W, YKR018C
OG0000309	C1_05490C_A, C1_11760C_A	YGR235C
OG0000310	C2_05410W_A	YDL075W, YLR406C
OG0000311	C1_11890W_A, C1_11950W_A	YJR111C
OG0000312	C3_05100C_A	YNL301C, YOL120C
OG0000313	C4_03850W_A	YDL088C, YMR153W
OG0000314	C6_00970C_A, C6_01030W_A	YOL064C
OG0000315	C2_09260C_A	YDR272W, YOR040W
OG0000316	C6_00890W_A	YFL042C, YLR072W
OG0000317	C3_00710W_A, CR_09020C_A	YNL192W
OG0000318	C1_02120C_A	YDR247W, YPL026C
OG0000319	C3_06700C_A	YBR238C, YGL107C
OG0000320	C7_01780W_A	YOR227W, YPL137C
OG0000321	C2_08290C_A	YER067W, YIL057C
OG0000322	C4_06420W_A	YDR351W, YHR103W
OG0000323	C2_03100W_A	YDR385W, YOR133W
OG0000324	CR_02210W_A	YOR233W, YPL141C
OG0000325	C2_01410C_A	YGR108W, YPR119W
OG0000326	C6_00140C_A	YEL066W, YPR193C
OG0000327	C1_11530C_A, CR_08310C_A	YLL057C
OG0000328	CR_00300W_A	YLR307W, YLR308W
OG0000329	C7_00200W_A	YCL036W, YDR514C
OG0000330	C2_07440C_A	YLL012W, YLR020C
OG0000331	C1_02130C_A	YBR020W, YDR009W
OG0000332	C4_04890C_A	YGL031C, YGR148C
OG0000333	C1_04730C_A, C2_04460W_A	YDL131W
OG0000334	CR_07520C_A	YER031C, YGL210W
OG0000335	C1_06900C_A	YER057C, YIL051C
OG0000336	C5_01570C_B&Allele&of&C5_01570C_A, C6_02000W_A	YNL012W
OG0000337	C1_10390C_A	YHR141C, YNL162W
OG0000338	C1_01370C_A	YJL136C, YKR057W
OG0000339	C1_02990C_A	YLR300W, YOR190W
OG0000340	CR_10160W_A	YIL009W, YMR246W
OG0000341	C1_14120C_A	YJL079C, YKR013W
OG0000342	C1_09080C_A	YDR134C, YLR110C
OG0000343	C1_00140W_A	YGR238C, YHR158C
OG0000344	C3_04910C_A	YGR131W, YPR149W
OG0000345	C1_00490C_A	YCL035C, YDR513W
OG0000346	C1_01890C_A	YBR273C, YJL048C
OG0000347	C3_04960W_A	YDL136W, YDL191W
OG0000348	C2_05720C_A	YOR237W, YPL145C
OG0000349	C1_00080C_A	YER045C, YIL036W
OG0000350	C1_10000C_A	YIL113W, YNL053W
OG0000351	C1_13960W_A	YBR216C, YGL060W
OG0000352	C6_00260W_B&Allele&of&C6_00260W_A	YHR115C, YNL116W
OG0000353	C1_08460C_A	YDR213W, YLR228C
OG0000354	C2_08860W_B&Allele&of&C2_08860W_A	YCR091W, YNR047W
OG0000355	CR_07440W_A	YDR146C, YLR131C
OG0000356	C1_03390W_A	YBR177C, YPL095C
OG0000357	C3_05370C_A	YGR214W, YLR048W
OG0000358	C7_02240W_A	YDL222C, YNL194C
OG0000359	C1_10210C_A	YNL298W, YOL113W
OG0000360	C2_06810C_A	YGR085C, YPR102C
OG0000361	C3_01390C_A	YEL022W, YJR031C
OG0000362	C2_05780C_A	YOR231W, YPL140C
OG0000363	CR_08650C_A	YMR119W, YNL008C
OG0000364	C5_01560C_A	YBR014C, YDL010W
OG0000365	C7_01760C_A	YOR226C, YPL135W
OG0000366	C2_02200W_A	YMR243C, YOR316C
OG0000367	CR_10840C_A	YDL246C, YJR159W
OG0000368	C3_06160C_A, C3_06380W_A	YER126C
OG0000369	C1_02750C_A	YGR056W, YLR357W
OG0000370	C1_03450C_A	YHR155W, YNL257C
OG0000371	C3_07320W_A	YER132C, YGL197W
OG0000372	C2_04600C_A	YJL177W, YKL180W
OG0000373	C2_08070C_A	YJL133W, YKR052C
OG0000374	C1_05360C_A	YNL299W, YOL115W
OG0000375	C2_06940C_A	YCR048W, YNR019W
OG0000376	CR_08610W_A	YGR243W, YHR162W
OG0000377	C1_10150W_A	YEL007W, YHR177W
OG0000378	CR_03770C_A	YLR287C-A, YOR182C
OG0000379	C3_02370C_A	YFL050C, YOL130W
OG0000380	C2_10560C_A	YDR151C, YLR136C
OG0000381	C7_00970C_A	YDR451C, YML027W
OG0000382	C5_04360C_A	YER037W, YGL224C
OG0000383	C3_04880W_A	YGR136W, YPR154W
OG0000384	C2_03810C_A	YBR191W, YPL079W
OG0000385	C1_11350C_A	YDR501W, YLR183C
OG0000386	CR_08090W_A	YDL229W, YNL209W
OG0000387	C7_02690C_A	YHR123W, YNL130C
OG0000388	C2_07110C_A	YFR013W, YOL017W
OG0000389	C4_05030C_B&Allele&of&C4_05030C_A	YCR073C, YNR031C
OG0000390	C1_11770C_A	YDR251W, YPL032C
OG0000391	C1_10870W_A	YDR447C, YML024W
OG0000392	C3_06780C_A	YCL037C, YDR515W
OG0000393	C6_02430W_A	YGL133W, YPL216W
OG0000394	C7_02040C_A	YGL096W, YPL177C
OG0000395	CR_06910W_A	YCL068C, YCR038C
OG0000396	C3_03900C_A	YBL002W, YDR224C
OG0000397	C3_06450W_A	YJL137C, YKR058W
OG0000398	C1_03790C_A	YLR449W, YML074C
OG0000399	C3_06440W_A	YKL068W, YMR047C
OG0000400	C3_05450C_A	YKR075C, YOR062C
OG0000401	C1_10680C_A	YNL087W, YOR086C
OG0000402	C1_01560W_A	YDR409W, YOR156C
OG0000403	C7_00710W_A	YLR264W, YOR167C
OG0000404	C4_04390W_A	YFL034C-A, YLR061W
OG0000405	C5_04260W_A, C5_04400W_A	YPL123C
OG0000406	CR_02130W_A	YKR076W, YMR251W
OG0000407	C7_00670C_A	YNL106C, YOR109W
OG0000408	C1_07440W_A	YDR326C, YHR080C
OG0000409	C1_14250C_A	YKL121W, YMR102C
OG0000410	C1_11310C_A	YDR505C, YLR177W
OG0000411	C7_00960W_A	YDR450W, YML026C
OG0000412	C2_06670C_A	YGR092W, YPR111W
OG0000413	C2_05580W_A	YLR031W, YMR124W
OG0000414	C2_08890W_A	YPR013C, YPR015C
OG0000415	C2_05700W_A	YEL047C, YJR051W
OG0000416	C1_06580W_A	YGR118W, YPR132W
OG0000417	CR_01240C_A	YBL085W, YER114C
OG0000418	C6_03660C_A	YCR094W, YNR048W
OG0000419	CR_03860C_A	YKL133C, YMR115W
OG0000420	C1_03220C_A	YDR099W, YER177W
OG0000421	CR_05120W_A	YFR040W, YGL229C
OG0000422	C4_05980C_A	YCR026C, YEL016C
OG0000423	C4_04460C_A	YER129W, YGL179C
OG0000424	C1_11360W_A	YDR500C, YLR185W
OG0000425	C2_01450C_A	YFL061W, YNL335W
OG0000426	C2_02530W_A	YIR013C, YLR013W
OG0000427	C3_02310W_A	YGR121C, YPR138C
OG0000428	C7_01520W_A, C7_04250W_A	YLL028W
OG0000429	C2_10280C_A	YIR033W, YKL020C
OG0000430	C4_05100C_A	YKL129C, YMR109W
OG0000431	C5_02500C_A	YJR091C, YPR042C
OG0000432	CR_03610C_A	YFL004W, YPL019C
