	Eremothecium_cymbalariae	Saccharomyces_cerevisiae
OG0000010		YAL063C, YAR050W, YAR061W, YFL051C, YHR211W, YHR212W-A, YKR102W
OG0000011	augustus_masked-NC_016449.1-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-1.84&CDS=1-1692, maker-NC_016449.1-augustus-gene-10.178-mRNA-1_1&gene=maker-NC_016449.1-augustus-gene-10.178&CDS=1-4092, snap_masked-NC_016451.1-processed-gene-8.90-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.90&CDS=1-1875	YDR506C, YLR069C, YMR058W
OG0000012	genemark-NC_016449.1-processed-gene-8.37-mRNA-1_1&gene=genemark-NC_016449.1-processed-gene-8.37&CDS=1-1512, snap_masked-NC_016450.1-processed-gene-3.91-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-3.91&CDS=1-1380	YER028C, YGL209W, YMR182C, YPL230W
OG0000013	snap_masked-NC_016450.1-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-0.51&CDS=1-1629, snap_masked-NC_016454.1-processed-gene-1.112-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.112&CDS=1-1458, snap_masked-NC_016456.1-processed-gene-5.107-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-5.107&CDS=1-1671	YHR050W, YLR034C, YOL122C
OG0000014	maker-NC_016450.1-snap-gene-6.130-mRNA-1_1&gene=maker-NC_016450.1-snap-gene-6.130&CDS=1-936, snap_masked-NC_016450.1-processed-gene-4.111-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-4.111&CDS=1-1692, snap_masked-NC_016452.1-processed-gene-1.26-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-1.26&CDS=1-1983	YER133W, YML016C, YPL179W
OG0000015	maker-NC_016453.1-augustus-gene-5.146-mRNA-1_1&gene=maker-NC_016453.1-augustus-gene-5.146&CDS=1-3924, snap_masked-NC_016450.1-processed-gene-7.5-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-7.5&CDS=1-1833, snap_masked-NC_016454.1-processed-gene-8.28-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-8.28&CDS=1-2259	YNL183C, YOL060C, YOR267C
OG0000016	snap_masked-NC_016450.1-processed-gene-9.25-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-9.25&CDS=1-1029, snap_masked-NC_016453.1-processed-gene-11.96-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-11.96&CDS=1-921, snap_masked-NC_016453.1-processed-gene-5.119-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-5.119&CDS=1-927	YDL047W, YDR075W, YNR032W
OG0000017	snap_masked-NC_016450.1-processed-gene-15.151-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-15.151&CDS=1-1791, snap_masked-NC_016451.1-processed-gene-10.98-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-10.98&CDS=1-1824, snap_masked-NC_016453.1-processed-gene-12.186-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-12.186&CDS=1-1614	YBL042C, YBR021W, YIR028W
OG0000018	maker-NC_016452.1-augustus-gene-8.12-mRNA-1_1&gene=maker-NC_016452.1-augustus-gene-8.12&CDS=1-2424, snap_masked-NC_016450.1-processed-gene-15.160-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-15.160&CDS=1-1299, snap_masked-NC_016455.1-processed-gene-0.82-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-0.82&CDS=1-2133	YER047C, YPL074W, YPR173C
OG0000019	snap_masked-NC_016451.1-processed-gene-5.89-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-5.89&CDS=1-1227, snap_masked-NC_016452.1-processed-gene-6.109-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-6.109&CDS=1-1302, snap_masked-NC_016453.1-processed-gene-7.72-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-7.72&CDS=1-1509	YLR090W, YNL064C, YNL077W
OG0000020	snap_masked-NC_016452.1-processed-gene-5.75-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-5.75&CDS=1-1506, snap_masked-NC_016452.1-processed-gene-8.81-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-8.81&CDS=1-1533	YDR144C, YIL015W, YLR120C, YLR121C
OG0000021	augustus_masked-NC_016453.1-processed-gene-8.73-mRNA-1_1&gene=augustus_masked-NC_016453.1-processed-gene-8.73&CDS=1-1356, snap_masked-NC_016453.1-processed-gene-4.139-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-4.139&CDS=1-1128	YIL123W, YJL116C, YKR042W, YNL066W
OG0000022	maker-NC_016453.1-snap-gene-12.279-mRNA-1_1&gene=maker-NC_016453.1-snap-gene-12.279&CDS=1-3201, snap_masked-NC_016454.1-processed-gene-2.101-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.101&CDS=1-1614, snap_masked-NC_016456.1-processed-gene-7.45-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-7.45&CDS=1-1359	YLR343W, YMR307W, YOL030W
OG0000023	snap_masked-NC_016449.1-processed-gene-0.108-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.108&CDS=1-558, snap_masked-NC_016449.1-processed-gene-2.99-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.99&CDS=1-558	YCL067C, YCR039C, YCR096C
OG0000024	maker-NC_016449.1-augustus-gene-3.8-mRNA-1_1&gene=maker-NC_016449.1-augustus-gene-3.8&CDS=1-2376, snap_masked-NC_016453.1-processed-gene-11.79-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-11.79&CDS=1-1134, snap_masked-NC_016454.1-processed-gene-2.64-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.64&CDS=1-1116	YBR207W, YER145C
OG0000025	snap_masked-NC_016449.1-processed-gene-9.134-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-9.134&CDS=1-1971, snap_masked-NC_016450.1-processed-gene-11.10-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-11.10&CDS=1-2541, snap_masked-NC_016454.1-processed-gene-7.97-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-7.97&CDS=1-1617	YER040W, YJL110C
OG0000026	augustus_masked-NC_016449.1-processed-gene-9.88-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-9.88&CDS=1-546, snap_masked-NC_016452.1-processed-gene-4.42-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-4.42&CDS=1-519	YDR178W, YLR164W, YOR297C
OG0000027	genemark-NC_016456.1-processed-gene-3.113-mRNA-1_1&gene=genemark-NC_016456.1-processed-gene-3.113&CDS=1-4140, maker-NC_016449.1-augustus-gene-10.175-mRNA-1_1&gene=maker-NC_016449.1-augustus-gene-10.175&CDS=1-2385	YDR326C, YFL042C, YHR080C
OG0000028	snap_masked-NC_016450.1-processed-gene-1.75-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-1.75&CDS=1-5064, snap_masked-NC_016453.1-processed-gene-12.181-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-12.181&CDS=1-3558, snap_masked-NC_016454.1-processed-gene-3.7-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.7&CDS=1-5766	YLR342W, YMR306W
OG0000029	snap_masked-NC_016450.1-processed-gene-2.40-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-2.40&CDS=1-2472, snap_masked-NC_016456.1-processed-gene-3.80-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-3.80&CDS=1-2649	YCR037C, YJL198W, YNR013C
OG0000030	genemark-NC_016453.1-processed-gene-0.7-mRNA-1_1&gene=genemark-NC_016453.1-processed-gene-0.7&CDS=1-2403, snap_masked-NC_016450.1-processed-gene-3.100-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-3.100&CDS=1-2022	YAL053W, YGL139W, YPL221W
OG0000031	snap_masked-NC_016450.1-processed-gene-6.85-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-6.85&CDS=1-609, snap_masked-NC_016453.1-processed-gene-6.100-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-6.100&CDS=1-408	YBR010W, YKL049C, YNL031C
OG0000032	augustus_masked-NC_016450.1-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-NC_016450.1-processed-gene-6.53&CDS=1-795, snap_masked-NC_016450.1-processed-gene-14.61-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-14.61&CDS=1-936	YCR010C, YDR384C, YNR002C
OG0000033	snap_masked-NC_016450.1-processed-gene-7.20-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-7.20&CDS=1-1356, snap_masked-NC_016455.1-processed-gene-1.72-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-1.72&CDS=1-1341	YBR177C, YMR210W, YPL095C
OG0000034	augustus_masked-NC_016456.1-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-NC_016456.1-processed-gene-2.7&CDS=1-4395, snap_masked-NC_016450.1-processed-gene-14.80-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-14.80&CDS=1-1704	YCR008W, YJL165C, YKL168C
OG0000035	snap_masked-NC_016451.1-processed-gene-1.71-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-1.71&CDS=1-1356, snap_masked-NC_016454.1-processed-gene-1.127-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.127&CDS=1-1650	YIR013C, YLR013W, YMR136W
OG0000036	snap_masked-NC_016451.1-processed-gene-1.86-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-1.86&CDS=1-1347, snap_masked-NC_016453.1-processed-gene-11.93-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-11.93&CDS=1-1539	YDR261C, YLR300W, YOR190W
OG0000037	snap_masked-NC_016451.1-processed-gene-7.15-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.15&CDS=1-1515, snap_masked-NC_016453.1-processed-gene-0.97-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-0.97&CDS=1-1551	YMR169C, YMR170C, YOR374W
OG0000038	snap_masked-NC_016451.1-processed-gene-10.65-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-10.65&CDS=1-1026	YDL244W, YFL058W, YJR156C, YNL332W
OG0000039	snap_masked-NC_016452.1-processed-gene-13.104-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-13.104&CDS=1-954, snap_masked-NC_016455.1-processed-gene-5.36-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-5.36&CDS=1-960	YBL068W, YER099C, YHL011C
OG0000040	snap_masked-NC_016452.1-processed-gene-14.133-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-14.133&CDS=1-1194, snap_masked-NC_016453.1-processed-gene-4.123-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-4.123&CDS=1-1188	YDR021W, YJL138C, YKR059W
OG0000041	snap_masked-NC_016452.1-processed-gene-14.142-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-14.142&CDS=1-927, snap_masked-NC_016453.1-processed-gene-7.52-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-7.52&CDS=1-912	YBR104W, YOR100C, YPR058W
OG0000042	augustus_masked-NC_016454.1-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-3.91&CDS=1-4836	YBL017C, YIL173W, YJL222W, YNR065C
OG0000043	augustus_masked-NC_016456.1-processed-gene-7.106-mRNA-1_1&gene=augustus_masked-NC_016456.1-processed-gene-7.106&CDS=1-1512, maker-NC_016454.1-augustus-gene-7.143-mRNA-1_1&gene=maker-NC_016454.1-augustus-gene-7.143&CDS=1-1539	YER123W, YHR135C, YNL154C
OG0000044	augustus_masked-NC_016455.1-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-NC_016455.1-processed-gene-3.78&CDS=1-2397, snap_masked-NC_016456.1-processed-gene-2.77-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-2.77&CDS=1-1827	YBL041W, YJL172W, YOL153C
OG0000045	augustus_masked-NC_016449.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-0.65&CDS=1-315, augustus_masked-NC_016449.1-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-2.58&CDS=1-3174	YNL246W, YNL247W
OG0000046	snap_masked-NC_016449.1-processed-gene-0.98-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.98&CDS=1-1320, snap_masked-NC_016453.1-processed-gene-10.101-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-10.101&CDS=1-3009	YDR523C, YHR102W
OG0000047	maker-NC_016454.1-snap-gene-6.40-mRNA-1_1&gene=maker-NC_016454.1-snap-gene-6.40&CDS=1-1644, snap_masked-NC_016449.1-processed-gene-1.44-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.44&CDS=1-612	YJL079C, YKR013W
OG0000048	snap_masked-NC_016449.1-processed-gene-1.47-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.47&CDS=1-3492, snap_masked-NC_016455.1-processed-gene-8.79-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-8.79&CDS=1-4302	YDR507C, YKL101W
OG0000049	maker-NC_016451.1-augustus-gene-0.47-mRNA-1_1&gene=maker-NC_016451.1-augustus-gene-0.47&CDS=1-2475, snap_masked-NC_016449.1-processed-gene-1.56-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.56&CDS=1-2049	YLR188W, YPL270W
OG0000050	augustus_masked-NC_016453.1-processed-gene-7.19-mRNA-1_1&gene=augustus_masked-NC_016453.1-processed-gene-7.19&CDS=1-3816, genemark-NC_016449.1-processed-gene-3.103-mRNA-1_1&gene=genemark-NC_016449.1-processed-gene-3.103&CDS=1-4923	YML072C, YOR086C
OG0000051	augustus_masked-NC_016449.1-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-3.40&CDS=1-2559, snap_masked-NC_016455.1-processed-gene-7.42-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-7.42&CDS=1-2175	YHR031C, YML061C
OG0000052	snap_masked-NC_016449.1-processed-gene-5.62-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.62&CDS=1-1350, snap_masked-NC_016449.1-processed-gene-5.76-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.76&CDS=1-1617	YOL027C, YPR125W
OG0000053	augustus_masked-NC_016451.1-processed-gene-8.148-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-8.148&CDS=1-3507, snap_masked-NC_016449.1-processed-gene-5.68-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.68&CDS=1-780	YPR065W, YPR066W
OG0000054	snap_masked-NC_016449.1-processed-gene-5.49-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-5.49&CDS=1-2241, snap_masked-NC_016455.1-processed-gene-8.82-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-8.82&CDS=1-2412	YER017C, YMR089C
OG0000055	snap_masked-NC_016449.1-processed-gene-6.65-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.65&CDS=1-1245, snap_masked-NC_016451.1-processed-gene-5.54-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-5.54&CDS=1-1272	YDL066W, YLR174W
OG0000056	snap_masked-NC_016449.1-processed-gene-6.70-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.70&CDS=1-3132, snap_masked-NC_016450.1-processed-gene-3.94-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-3.94&CDS=1-3513	YNL014W, YPL226W
OG0000057	maker-NC_016452.1-augustus-gene-7.145-mRNA-1_1&gene=maker-NC_016452.1-augustus-gene-7.145&CDS=1-2298, snap_masked-NC_016449.1-processed-gene-8.83-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-8.83&CDS=1-930	YER051W, YML125C
OG0000058	snap_masked-NC_016449.1-processed-gene-8.108-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-8.108&CDS=1-1590, snap_masked-NC_016454.1-processed-gene-1.95-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.95&CDS=1-1620	YML120C, YMR145C
OG0000059	snap_masked-NC_016449.1-processed-gene-9.95-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-9.95&CDS=1-2211, snap_masked-NC_016453.1-processed-gene-10.97-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-10.97&CDS=1-2127	YBL011W, YKR067W
OG0000060	snap_masked-NC_016449.1-processed-gene-9.122-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-9.122&CDS=1-1362, snap_masked-NC_016452.1-processed-gene-11.82-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-11.82&CDS=1-1350	YKL046C, YMR238W
OG0000061	snap_masked-NC_016449.1-processed-gene-10.113-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-10.113&CDS=1-3102, snap_masked-NC_016450.1-processed-gene-5.66-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-5.66&CDS=1-3174	YBR245C, YOR304W
OG0000062	snap_masked-NC_016449.1-processed-gene-10.156-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-10.156&CDS=1-1407, snap_masked-NC_016454.1-processed-gene-5.138-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.138&CDS=1-1479	YBR263W, YLR058C
OG0000063	augustus_masked-NC_016449.1-processed-gene-10.74-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-10.74&CDS=1-1140, snap_masked-NC_016454.1-processed-gene-7.126-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-7.126&CDS=1-1131	YFL039C, YHR129C
OG0000064	snap_masked-NC_016450.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-0.30&CDS=1-1299, snap_masked-NC_016450.1-processed-gene-6.125-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-6.125&CDS=1-1347	YGL194C, YNL330C
OG0000065	augustus_masked-NC_016450.1-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NC_016450.1-processed-gene-0.61&CDS=1-2133, snap_masked-NC_016454.1-processed-gene-4.19-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.19&CDS=1-1503	YMR215W, YOL132W
OG0000066	snap_masked-NC_016450.1-processed-gene-1.89-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-1.89&CDS=1-2166, snap_masked-NC_016455.1-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-1.85&CDS=1-369	YGR221C, YHR149C
OG0000067	snap_masked-NC_016450.1-processed-gene-1.83-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-1.83&CDS=1-1830, snap_masked-NC_016451.1-processed-gene-0.89-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-0.89&CDS=1-1725	YCR045C, YEL060C
OG0000068	snap_masked-NC_016450.1-processed-gene-2.42-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-2.42&CDS=1-2883, snap_masked-NC_016451.1-processed-gene-10.14-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-10.14&CDS=1-2964	YGR240C, YMR205C
OG0000069	snap_masked-NC_016450.1-processed-gene-4.129-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-4.129&CDS=1-1728, snap_masked-NC_016452.1-processed-gene-12.92-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-12.92&CDS=1-3144	YML117W, YPL184C
OG0000070	maker-NC_016450.1-snap-gene-5.53-mRNA-1_1&gene=maker-NC_016450.1-snap-gene-5.53&CDS=1-2793, snap_masked-NC_016453.1-processed-gene-2.133-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-2.133&CDS=1-1131	YBR248C, YDR035W
