	Metschnikowia_proteae	Saccharomyces_cerevisiae
OG0000010	genemark-proT_s120-processed-gene-2.2-mRNA-1_1&gene=genemark-proT_s120-processed-gene-2.2&CDS=1-3705, snap_masked-proT_s199-processed-gene-1.72-mRNA-1_1&gene=snap_masked-proT_s199-processed-gene-1.72&CDS=1-1752	YCL069W, YGR224W, YKR105C, YPR198W
OG0000011	augustus_masked-proT_s199-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-proT_s199-processed-gene-0.38&CDS=1-1560, snap_masked-proT_s140-processed-gene-3.95-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-3.95&CDS=1-711	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
OG0000012	genemark-proT_s62-processed-gene-0.15-mRNA-1_1&gene=genemark-proT_s62-processed-gene-0.15&CDS=1-486, snap_masked-proT_s145-processed-gene-3.58-mRNA-1_1&gene=snap_masked-proT_s145-processed-gene-3.58&CDS=1-540, snap_masked-proT_s97-processed-gene-0.104-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-0.104&CDS=1-618	YDR155C, YDR304C, YML078W
OG0000013	augustus_masked-proT_s159-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-proT_s159-processed-gene-0.6&CDS=1-645, augustus_masked-proT_s3-processed-gene-8.26-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-8.26&CDS=1-645, maker-proT_s145-snap-gene-4.276-mRNA-1_1&gene=maker-proT_s145-snap-gene-4.276&CDS=1-2229	YBR118W, YKR084C, YPR080W
OG0000014	snap_masked-proT_s19-processed-gene-0.14-mRNA-1_1&gene=snap_masked-proT_s19-processed-gene-0.14&CDS=1-447	YBR067C, YDR542W, YER011W, YIL011W, YOR010C
OG0000015	snap_masked-proT_s3-processed-gene-0.32-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-0.32&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000016	snap_masked-proT_s32-processed-gene-0.108-mRNA-1_1&gene=snap_masked-proT_s32-processed-gene-0.108&CDS=1-1002	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
OG0000017	snap_masked-proT_s106-processed-gene-5.106-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.106&CDS=1-693	YDR533C, YMR322C, YOR391C, YPL280W
OG0000018	snap_masked-proT_s120-processed-gene-1.79-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-1.79&CDS=1-2334, snap_masked-proT_s140-processed-gene-1.57-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-1.57&CDS=1-2502	YDR326C, YFL042C, YHR080C
OG0000019	snap_masked-proT_s120-processed-gene-1.86-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-1.86&CDS=1-408, snap_masked-proT_s146-processed-gene-0.82-mRNA-1_1&gene=snap_masked-proT_s146-processed-gene-0.82&CDS=1-408, snap_masked-proT_s188-processed-gene-2.69-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.69&CDS=1-408	YBR010W, YNL031C
OG0000020	snap_masked-proT_s140-processed-gene-6.17-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-6.17&CDS=1-1191, snap_masked-proT_s19-processed-gene-4.62-mRNA-1_1&gene=snap_masked-proT_s19-processed-gene-4.62&CDS=1-1158, snap_masked-proT_s7-processed-gene-1.99-mRNA-1_1&gene=snap_masked-proT_s7-processed-gene-1.99&CDS=1-1233	YBR207W, YER145C
OG0000021	snap_masked-proT_s141-processed-gene-2.20-mRNA-1_1&gene=snap_masked-proT_s141-processed-gene-2.20&CDS=1-1962, snap_masked-proT_s188-processed-gene-3.107-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.107&CDS=1-1629, snap_masked-proT_s3-processed-gene-1.87-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-1.87&CDS=1-1926	YBR015C, YJL186W
OG0000022	snap_masked-proT_s141-processed-gene-3.54-mRNA-1_1&gene=snap_masked-proT_s141-processed-gene-3.54&CDS=1-1731, snap_masked-proT_s141-processed-gene-3.56-mRNA-1_1&gene=snap_masked-proT_s141-processed-gene-3.56&CDS=1-1764, snap_masked-proT_s58-processed-gene-0.31-mRNA-1_1&gene=snap_masked-proT_s58-processed-gene-0.31&CDS=1-1530	YGR197C, YJR015W
OG0000023	snap_masked-proT_s141-processed-gene-3.103-mRNA-1_1&gene=snap_masked-proT_s141-processed-gene-3.103&CDS=1-4512	YBL017C, YIL173W, YJL222W, YNR065C
OG0000024	maker-proT_s145-snap-gene-2.147-mRNA-1_1&gene=maker-proT_s145-snap-gene-2.147&CDS=1-1623	YBR297W, YFL052W, YGR288W, YPR196W
OG0000025	genemark-proT_s188-processed-gene-0.58-mRNA-1_1&gene=genemark-proT_s188-processed-gene-0.58&CDS=1-1191, snap_masked-proT_s32-processed-gene-0.90-mRNA-1_1&gene=snap_masked-proT_s32-processed-gene-0.90&CDS=1-1278	YCR094W, YNL323W, YNR048W
OG0000026	augustus_masked-proT_s7-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-proT_s7-processed-gene-1.10&CDS=1-1437, snap_masked-proT_s188-processed-gene-1.110-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.110&CDS=1-1650, snap_masked-proT_s236-processed-gene-0.139-mRNA-1_1&gene=snap_masked-proT_s236-processed-gene-0.139&CDS=1-1617	YLR343W, YMR307W
OG0000027	snap_masked-proT_s188-processed-gene-3.110-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.110&CDS=1-1395, snap_masked-proT_s19-processed-gene-3.54-mRNA-1_1&gene=snap_masked-proT_s19-processed-gene-3.54&CDS=1-1344	YBL089W, YER119C, YIL088C
OG0000028	snap_masked-proT_s19-processed-gene-5.104-mRNA-1_1&gene=snap_masked-proT_s19-processed-gene-5.104&CDS=1-2490, snap_masked-proT_s44-processed-gene-2.123-mRNA-1_1&gene=snap_masked-proT_s44-processed-gene-2.123&CDS=1-2814	YCR037C, YJL198W, YNR013C
OG0000029	snap_masked-proT_s3-processed-gene-4.78-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.78&CDS=1-1002, snap_masked-proT_s3-processed-gene-5.40-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.40&CDS=1-993, snap_masked-proT_s44-processed-gene-4.207-mRNA-1_1&gene=snap_masked-proT_s44-processed-gene-4.207&CDS=1-1026	YDL078C, YKL085W
OG0000030	snap_masked-proT_s57-processed-gene-0.52-mRNA-1_1&gene=snap_masked-proT_s57-processed-gene-0.52&CDS=1-768, snap_masked-proT_s62-processed-gene-3.58-mRNA-1_1&gene=snap_masked-proT_s62-processed-gene-3.58&CDS=1-759, snap_masked-proT_s70-processed-gene-1.139-mRNA-1_1&gene=snap_masked-proT_s70-processed-gene-1.139&CDS=1-792	YCR010C, YNR002C
OG0000031	snap_masked-proT_s70-processed-gene-1.162-mRNA-1_1&gene=snap_masked-proT_s70-processed-gene-1.162&CDS=1-2676	YML111W, YMR275C, YNR068C, YNR069C
OG0000032	snap_masked-proT_C16329-processed-gene-0.71-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.71&CDS=1-2217, snap_masked-proT_s140-processed-gene-2.83-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-2.83&CDS=1-2166, snap_masked-proT_s62-processed-gene-5.172-mRNA-1_1&gene=snap_masked-proT_s62-processed-gene-5.172&CDS=1-2076	YER015W
OG0000033	snap_masked-proT_C16329-processed-gene-0.82-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.82&CDS=1-888, snap_masked-proT_s226-processed-gene-0.63-mRNA-1_1&gene=snap_masked-proT_s226-processed-gene-0.63&CDS=1-918	YLR146C, YPR069C
OG0000034	snap_masked-proT_s1-processed-gene-1.47-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-1.47&CDS=1-948, snap_masked-proT_s140-processed-gene-6.16-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-6.16&CDS=1-1263	YDL108W, YPR161C
OG0000035	maker-proT_s97-snap-gene-0.52-mRNA-1_1&gene=maker-proT_s97-snap-gene-0.52&CDS=1-1284, snap_masked-proT_s1-processed-gene-2.100-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.100&CDS=1-1212	YBR078W, YDR055W
OG0000036	maker-proT_s106-snap-gene-0.33-mRNA-1_1&gene=maker-proT_s106-snap-gene-0.33&CDS=1-1626, snap_masked-proT_s28-processed-gene-3.129-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-3.129&CDS=1-2673	YBR237W, YNL112W
OG0000037	snap_masked-proT_s106-processed-gene-1.62-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-1.62&CDS=1-624, snap_masked-proT_s3-processed-gene-1.73-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-1.73&CDS=1-651	YDR399W, YJR133W
OG0000038	maker-proT_s106-snap-gene-2.95-mRNA-1_1&gene=maker-proT_s106-snap-gene-2.95&CDS=1-1119, snap_masked-proT_s141-processed-gene-0.16-mRNA-1_1&gene=snap_masked-proT_s141-processed-gene-0.16&CDS=1-1095	YBR249C, YDR035W
OG0000039	snap_masked-proT_s106-processed-gene-2.84-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.84&CDS=1-1347, snap_masked-proT_s141-processed-gene-2.23-mRNA-1_1&gene=snap_masked-proT_s141-processed-gene-2.23&CDS=1-1359	YKL046C, YMR238W
OG0000040	snap_masked-proT_s106-processed-gene-2.87-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.87&CDS=1-1902, snap_masked-proT_s70-processed-gene-1.171-mRNA-1_1&gene=snap_masked-proT_s70-processed-gene-1.171&CDS=1-1332	YHL019C, YPL259C
OG0000041	augustus_masked-proT_s145-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-proT_s145-processed-gene-0.46&CDS=1-1263, snap_masked-proT_s106-processed-gene-3.53-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.53&CDS=1-1548	YER028C, YGL209W
OG0000042	snap_masked-proT_s106-processed-gene-3.72-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.72&CDS=1-1221, snap_masked-proT_s154-processed-gene-0.59-mRNA-1_1&gene=snap_masked-proT_s154-processed-gene-0.59&CDS=1-1086	YNL283C, YOL105C
OG0000043	snap_masked-proT_s106-processed-gene-4.89-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.89&CDS=1-2145, snap_masked-proT_s62-processed-gene-5.235-mRNA-1_1&gene=snap_masked-proT_s62-processed-gene-5.235&CDS=1-1578	YDL138W, YDL194W
OG0000044	augustus_masked-proT_s32-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-proT_s32-processed-gene-0.5&CDS=1-3063, snap_masked-proT_s106-processed-gene-5.92-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.92&CDS=1-2337	YDL132W, YGR003W
OG0000045	snap_masked-proT_s106-processed-gene-5.119-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.119&CDS=1-2391, snap_masked-proT_s19-processed-gene-2.18-mRNA-1_1&gene=snap_masked-proT_s19-processed-gene-2.18&CDS=1-2823	YER017C, YMR089C
OG0000046	snap_masked-proT_s106-processed-gene-6.29-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.29&CDS=1-1227, snap_masked-proT_s19-processed-gene-3.50-mRNA-1_1&gene=snap_masked-proT_s19-processed-gene-3.50&CDS=1-1350	YLR090W, YNL064C
OG0000047	genemark-proT_s106-processed-gene-7.155-mRNA-1_1&gene=genemark-proT_s106-processed-gene-7.155&CDS=1-1575, maker-proT_s140-augustus-gene-1.2-mRNA-1_1&gene=maker-proT_s140-augustus-gene-1.2&CDS=1-2475, snap_masked-proT_s3-processed-gene-0.2-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-0.2&CDS=1-1584	YER156C
OG0000048	augustus_masked-proT_s114-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-proT_s114-processed-gene-2.17&CDS=1-339, genemark-proT_s199-processed-gene-1.182-mRNA-1_1&gene=genemark-proT_s199-processed-gene-1.182&CDS=1-846	YIR013C, YLR013W
OG0000049	snap_masked-proT_s114-processed-gene-2.79-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-2.79&CDS=1-1065, snap_masked-proT_s188-processed-gene-2.61-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.61&CDS=1-942	YDL047W, YNR032W
OG0000050	snap_masked-proT_s12-processed-gene-0.88-mRNA-1_1&gene=snap_masked-proT_s12-processed-gene-0.88&CDS=1-918	YMR316W, YNL165W, YOR385W
OG0000051	snap_masked-proT_s120-processed-gene-1.57-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-1.57&CDS=1-318, snap_masked-proT_s141-processed-gene-0.31-mRNA-1_1&gene=snap_masked-proT_s141-processed-gene-0.31&CDS=1-315	YDL081C, YDL130W
OG0000052	snap_masked-proT_s120-processed-gene-1.106-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-1.106&CDS=1-309, snap_masked-proT_s188-processed-gene-2.89-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.89&CDS=1-309	YBR009C, YNL030W
OG0000053	genemark-proT_s32-processed-gene-0.153-mRNA-1_1&gene=genemark-proT_s32-processed-gene-0.153&CDS=1-3300, snap_masked-proT_s120-processed-gene-2.51-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-2.51&CDS=1-1155	YAR019C, YDR523C
OG0000054	snap_masked-proT_s120-processed-gene-3.115-mRNA-1_1&gene=snap_masked-proT_s120-processed-gene-3.115&CDS=1-1689	YDR144C, YLR120C, YLR121C
OG0000055	snap_masked-proT_s135-processed-gene-0.42-mRNA-1_1&gene=snap_masked-proT_s135-processed-gene-0.42&CDS=1-768, snap_masked-proT_s213-processed-gene-0.59-mRNA-1_1&gene=snap_masked-proT_s213-processed-gene-0.59&CDS=1-771	YHL033C, YLL045C
OG0000056	genemark-proT_s159-processed-gene-0.15-mRNA-1_1&gene=genemark-proT_s159-processed-gene-0.15&CDS=1-1044, snap_masked-proT_s140-processed-gene-1.16-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-1.16&CDS=1-1044	YMR303C, YOL086C
OG0000057	snap_masked-proT_s140-processed-gene-4.76-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-4.76&CDS=1-1599, snap_masked-proT_s145-processed-gene-4.140-mRNA-1_1&gene=snap_masked-proT_s145-processed-gene-4.140&CDS=1-1305, snap_masked-proT_s6-processed-gene-2.76-mRNA-1_1&gene=snap_masked-proT_s6-processed-gene-2.76&CDS=1-1929	YLR380W
OG0000058	snap_masked-proT_s140-processed-gene-4.85-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-4.85&CDS=1-1188, snap_masked-proT_s141-processed-gene-0.4-mRNA-1_1&gene=snap_masked-proT_s141-processed-gene-0.4&CDS=1-1191	YBR025C, YHL014C
OG0000059	snap_masked-proT_s140-processed-gene-5.147-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-5.147&CDS=1-639, snap_masked-proT_s28-processed-gene-5.87-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-5.87&CDS=1-636	YKR014C, YOR089C
OG0000060	snap_masked-proT_s145-processed-gene-2.89-mRNA-1_1&gene=snap_masked-proT_s145-processed-gene-2.89&CDS=1-1722	YBR298C, YDL247W, YJR160C
OG0000061	snap_masked-proT_s145-processed-gene-2.91-mRNA-1_1&gene=snap_masked-proT_s145-processed-gene-2.91&CDS=1-3252	YDR038C, YDR039C, YDR040C
OG0000062	snap_masked-proT_s145-processed-gene-3.17-mRNA-1_1&gene=snap_masked-proT_s145-processed-gene-3.17&CDS=1-267, snap_masked-proT_s70-processed-gene-1.128-mRNA-1_1&gene=snap_masked-proT_s70-processed-gene-1.128&CDS=1-321	YBR091C, YHR005C-A
OG0000063	genemark-proT_s28-processed-gene-5.29-mRNA-1_1&gene=genemark-proT_s28-processed-gene-5.29&CDS=1-1695, snap_masked-proT_s145-processed-gene-3.44-mRNA-1_1&gene=snap_masked-proT_s145-processed-gene-3.44&CDS=1-1746	YJL172W, YOL153C
OG0000064	maker-proT_s62-snap-gene-0.115-mRNA-1_1&gene=maker-proT_s62-snap-gene-0.115&CDS=1-4464, snap_masked-proT_s153-processed-gene-0.29-mRNA-1_1&gene=snap_masked-proT_s153-processed-gene-0.29&CDS=1-1107	YKL005C, YPL181W
OG0000065	snap_masked-proT_s16-processed-gene-0.93-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.93&CDS=1-978, snap_masked-proT_s44-processed-gene-4.275-mRNA-1_1&gene=snap_masked-proT_s44-processed-gene-4.275&CDS=1-984	YIL035C, YOR061W
OG0000066	snap_masked-proT_s188-processed-gene-1.122-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.122&CDS=1-2130, snap_masked-proT_s7-processed-gene-0.94-mRNA-1_1&gene=snap_masked-proT_s7-processed-gene-0.94&CDS=1-1722	YLR098C, YOR337W
OG0000067	genemark-proT_s193-processed-gene-0.221-mRNA-1_1&gene=genemark-proT_s193-processed-gene-0.221&CDS=1-3654, snap_masked-proT_s3-processed-gene-2.85-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-2.85&CDS=1-2247	YAR035W, YER024W
OG0000068	snap_masked-proT_s213-processed-gene-0.45-mRNA-1_1&gene=snap_masked-proT_s213-processed-gene-0.45&CDS=1-1011, snap_masked-proT_s6-processed-gene-2.93-mRNA-1_1&gene=snap_masked-proT_s6-processed-gene-2.93&CDS=1-1095	YNL274C, YPL113C
OG0000069	genemark-proT_s235-processed-gene-0.54-mRNA-1_1&gene=genemark-proT_s235-processed-gene-0.54&CDS=1-2619, snap_masked-proT_s3-processed-gene-3.88-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.88&CDS=1-1878	YER075C, YOR208W
OG0000070	snap_masked-proT_s236-processed-gene-0.155-mRNA-1_1&gene=snap_masked-proT_s236-processed-gene-0.155&CDS=1-1227, snap_masked-proT_s70-processed-gene-1.111-mRNA-1_1&gene=snap_masked-proT_s70-processed-gene-1.111&CDS=1-1275	YDL066W, YLR174W
OG0000071	snap_masked-proT_s25-processed-gene-2.18-mRNA-1_1&gene=snap_masked-proT_s25-processed-gene-2.18&CDS=1-3093, snap_masked-proT_s44-processed-gene-2.156-mRNA-1_1&gene=snap_masked-proT_s44-processed-gene-2.156&CDS=1-3066	YBR245C, YOR304W
OG0000072	augustus_masked-proT_s28-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-proT_s28-processed-gene-1.97&CDS=1-1029, snap_masked-proT_s25-processed-gene-2.43-mRNA-1_1&gene=snap_masked-proT_s25-processed-gene-2.43&CDS=1-1131	YCL064C, YIL167W
OG0000073	snap_masked-proT_s28-processed-gene-0.54-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-0.54&CDS=1-924, snap_masked-proT_s7-processed-gene-1.102-mRNA-1_1&gene=snap_masked-proT_s7-processed-gene-1.102&CDS=1-915	YGR086C, YPL004C
OG0000074	snap_masked-proT_s28-processed-gene-1.77-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-1.77&CDS=1-1833, snap_masked-proT_s44-processed-gene-1.94-mRNA-1_1&gene=snap_masked-proT_s44-processed-gene-1.94&CDS=1-1770	YDR037W, YNL073W
OG0000075	maker-proT_s28-snap-gene-2.42-mRNA-1_1&gene=maker-proT_s28-snap-gene-2.42&CDS=1-426, snap_masked-proT_s72-processed-gene-0.178-mRNA-1_1&gene=snap_masked-proT_s72-processed-gene-0.178&CDS=1-198	YOL077W-A, YOR020W-A
OG0000076	snap_masked-proT_s28-processed-gene-2.102-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-2.102&CDS=1-981, snap_masked-proT_s72-processed-gene-0.186-mRNA-1_1&gene=snap_masked-proT_s72-processed-gene-0.186&CDS=1-993	YCR034W, YLR372W
OG0000077	snap_masked-proT_s28-processed-gene-3.145-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-3.145&CDS=1-993	YLL062C, YMR321C, YPL273W
OG0000078	snap_masked-proT_s28-processed-gene-4.82-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-4.82&CDS=1-963, snap_masked-proT_s32-processed-gene-0.86-mRNA-1_1&gene=snap_masked-proT_s32-processed-gene-0.86&CDS=1-1098	YER107C, YOR026W
OG0000079	maker-proT_s28-augustus-gene-4.46-mRNA-1_1&gene=maker-proT_s28-augustus-gene-4.46&CDS=1-3933, snap_masked-proT_s57-processed-gene-0.62-mRNA-1_1&gene=snap_masked-proT_s57-processed-gene-0.62&CDS=1-2733	YDL056W, YER111C
OG0000080	genemark-proT_s28-processed-gene-5.62-mRNA-1_1&gene=genemark-proT_s28-processed-gene-5.62&CDS=1-1026	YCR102C, YLR460C, YNL134C
OG0000081	augustus_masked-proT_s3-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-1.13&CDS=1-4950, snap_masked-proT_s57-processed-gene-0.69-mRNA-1_1&gene=snap_masked-proT_s57-processed-gene-0.69&CDS=1-3789	YIL126W, YOR290C
OG0000082	genemark-proT_s3-processed-gene-3.140-mRNA-1_1&gene=genemark-proT_s3-processed-gene-3.140&CDS=1-1335, snap_masked-proT_s44-processed-gene-2.160-mRNA-1_1&gene=snap_masked-proT_s44-processed-gene-2.160&CDS=1-1602	YDL091C, YML013W
