	Saccharomyces_cerevisiae	yHAB134_Kazachstania_turicensis
OG0000018	YIL149C, YKR095W	augustus_masked-scf7180000048860-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000048860-processed-gene-0.1&CDS=1-354, augustus_masked-scf7180000049579-processed-gene-1.154-mRNA-1_1&gene=augustus_masked-scf7180000049579-processed-gene-1.154&CDS=1-4731, snap_masked-scf7180000048782-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000048782-processed-gene-0.0&CDS=1-774, snap_masked-scf7180000049568-processed-gene-0.46-mRNA-1_1&gene=snap_masked-scf7180000049568-processed-gene-0.46&CDS=1-4578
OG0000019	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	snap_masked-scf7180000049476-processed-gene-0.64-mRNA-1_1&gene=snap_masked-scf7180000049476-processed-gene-0.64&CDS=1-1680
OG0000020	YBL003C, YDR225W	augustus_masked-scf7180000049582-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.15&CDS=1-393, augustus_masked-scf7180000049588-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-4.69&CDS=1-393, augustus_masked-scf7180000049590-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-scf7180000049590-processed-gene-0.95&CDS=1-393
OG0000021	YBR015C, YJL186W	augustus_masked-scf7180000049533-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000049533-processed-gene-0.11&CDS=1-1758, augustus_masked-scf7180000049582-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.117&CDS=1-1905, maker-scf7180000049574-snap-gene-0.78-mRNA-1_1&gene=maker-scf7180000049574-snap-gene-0.78&CDS=1-2259
OG0000022	YBR245C, YOR304W	augustus_masked-scf7180000049564-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000049564-processed-gene-0.18&CDS=1-3339, augustus_masked-scf7180000049588-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-0.17&CDS=1-3186, snap_masked-scf7180000049558-processed-gene-0.10-mRNA-1_1&gene=snap_masked-scf7180000049558-processed-gene-0.10&CDS=1-3459
OG0000023	YBR278W, YJL065C	augustus_masked-scf7180000049448-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scf7180000049448-processed-gene-0.31&CDS=1-579, augustus_masked-scf7180000049493-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-scf7180000049493-processed-gene-1.133&CDS=1-999, snap_masked-scf7180000048922-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000048922-processed-gene-0.2&CDS=1-429
OG0000024	YCL067C, YCR039C, YCR096C	snap_masked-scf7180000049438-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scf7180000049438-processed-gene-0.8&CDS=1-540, snap_masked-scf7180000049531-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000049531-processed-gene-0.0&CDS=1-540
OG0000025	YCR083W, YGR209C, YLR043C	augustus_masked-scf7180000049502-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scf7180000049502-processed-gene-0.57&CDS=1-318, maker-scf7180000049562-snap-gene-0.90-mRNA-1_1&gene=maker-scf7180000049562-snap-gene-0.90&CDS=1-753
OG0000026	YDL244W, YFL058W, YJR156C, YNL332W	augustus_masked-scf7180000048629-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000048629-processed-gene-0.14&CDS=1-1020
OG0000027	YDL245C, YEL069C, YJR158W, YNR072W	genemark-scf7180000049536-processed-gene-0.54-mRNA-1_1&gene=genemark-scf7180000049536-processed-gene-0.54&CDS=1-1701
OG0000028	YDR206W, YLR233C	snap_masked-scf7180000049235-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000049235-processed-gene-0.0&CDS=1-399, snap_masked-scf7180000049326-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000049326-processed-gene-0.3&CDS=1-1266, snap_masked-scf7180000049588-processed-gene-4.9-mRNA-1_1&gene=snap_masked-scf7180000049588-processed-gene-4.9&CDS=1-2673
OG0000029	YDR314C	augustus_masked-scf7180000049233-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000049233-processed-gene-0.3&CDS=1-657, augustus_masked-scf7180000049510-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000049510-processed-gene-0.3&CDS=1-789, snap_masked-scf7180000049216-processed-gene-0.12-mRNA-1_1&gene=snap_masked-scf7180000049216-processed-gene-0.12&CDS=1-1707, snap_masked-scf7180000049433-processed-gene-0.17-mRNA-1_1&gene=snap_masked-scf7180000049433-processed-gene-0.17&CDS=1-1050
OG0000030	YER047C, YPL074W	augustus_masked-scf7180000049465-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000049465-processed-gene-0.40&CDS=1-2871, genemark-scf7180000049580-processed-gene-0.100-mRNA-1_1&gene=genemark-scf7180000049580-processed-gene-0.100&CDS=1-2289, snap_masked-scf7180000048891-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000048891-processed-gene-0.1&CDS=1-402
OG0000031	YER130C, YKL062W, YMR037C	augustus_masked-scf7180000049487-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-scf7180000049487-processed-gene-0.67&CDS=1-1905, augustus_masked-scf7180000049581-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-3.60&CDS=1-1581
OG0000032	YER184C	augustus_masked-scf7180000048991-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000048991-processed-gene-0.3&CDS=1-195, augustus_masked-scf7180000048994-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000048994-processed-gene-0.1&CDS=1-180, augustus_masked-scf7180000049415-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000049415-processed-gene-0.10&CDS=1-2427, augustus_masked-scf7180000049481-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-scf7180000049481-processed-gene-0.49&CDS=1-2436
OG0000033	YGL162W, YPR009W	augustus_masked-scf7180000049053-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049053-processed-gene-0.2&CDS=1-1203, augustus_masked-scf7180000049115-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000049115-processed-gene-0.0&CDS=1-1203, snap_masked-scf7180000049581-processed-gene-2.97-mRNA-1_1&gene=snap_masked-scf7180000049581-processed-gene-2.97&CDS=1-747
OG0000034	YHR179W, YPL171C	augustus_masked-scf7180000049581-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-0.50&CDS=1-1191, augustus_masked-scf7180000049590-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-scf7180000049590-processed-gene-0.116&CDS=1-1200, snap_masked-scf7180000049588-processed-gene-2.96-mRNA-1_1&gene=snap_masked-scf7180000049588-processed-gene-2.96&CDS=1-1200
OG0000035	YIL095W, YNL020C	augustus_masked-scf7180000048899-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000048899-processed-gene-0.1&CDS=1-528, augustus_masked-scf7180000049459-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000049459-processed-gene-0.9&CDS=1-2340, augustus_masked-scf7180000049496-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000049496-processed-gene-0.13&CDS=1-2022
OG0000036	YIR033W, YKL020C, YKL021C	maker-scf7180000049502-augustus-gene-0.88-mRNA-1_1&gene=maker-scf7180000049502-augustus-gene-0.88&CDS=1-3510, snap_masked-scf7180000049588-processed-gene-0.100-mRNA-1_1&gene=snap_masked-scf7180000049588-processed-gene-0.100&CDS=1-3276
OG0000037	YJL098W, YKR028W	augustus_masked-scf7180000049034-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000049034-processed-gene-0.4&CDS=1-3096, augustus_masked-scf7180000049352-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000049352-processed-gene-0.3&CDS=1-3096, augustus_masked-scf7180000049493-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-scf7180000049493-processed-gene-1.90&CDS=1-3225
OG0000038	YJR061W, YKL201C	augustus_masked-scf7180000049460-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000049460-processed-gene-0.23&CDS=1-2583, genemark-scf7180000048808-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000048808-processed-gene-0.0&CDS=1-672, snap_masked-scf7180000049450-processed-gene-0.25-mRNA-1_1&gene=snap_masked-scf7180000049450-processed-gene-0.25&CDS=1-3078
OG0000039	YJR127C, YML081W	augustus_masked-scf7180000049185-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049185-processed-gene-0.1&CDS=1-339, augustus_masked-scf7180000049581-processed-gene-4.99-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-4.99&CDS=1-4149, maker-scf7180000049425-augustus-gene-0.16-mRNA-1_1&gene=maker-scf7180000049425-augustus-gene-0.16&CDS=1-3309
OG0000040	YOL151W	augustus_masked-scf7180000049494-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000049494-processed-gene-0.16&CDS=1-1023, augustus_masked-scf7180000049494-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000049494-processed-gene-0.18&CDS=1-1026, augustus_masked-scf7180000049586-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scf7180000049586-processed-gene-0.78&CDS=1-1026, snap_masked-scf7180000049557-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000049557-processed-gene-0.2&CDS=1-1026
OG0000041	YOR231W, YPL140C, YPL141C	maker-scf7180000049577-augustus-gene-0.76-mRNA-1_1&gene=maker-scf7180000049577-augustus-gene-0.76&CDS=1-2541, maker-scf7180000049586-snap-gene-3.139-mRNA-1_1&gene=maker-scf7180000049586-snap-gene-3.139&CDS=1-4497
OG0000042	YPL088W	augustus_masked-scf7180000049481-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-scf7180000049481-processed-gene-0.56&CDS=1-1032, augustus_masked-scf7180000049520-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-scf7180000049520-processed-gene-0.71&CDS=1-1035, augustus_masked-scf7180000049559-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scf7180000049559-processed-gene-0.31&CDS=1-1026, snap_masked-scf7180000049538-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000049538-processed-gene-0.0&CDS=1-1011
OG0000043	YAL005C, YLL024C	augustus_masked-scf7180000049488-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000049488-processed-gene-0.13&CDS=1-1917, augustus_masked-scf7180000049532-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049532-processed-gene-0.2&CDS=1-1935
OG0000044	YAL017W, YOL045W	augustus_masked-scf7180000049590-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-scf7180000049590-processed-gene-1.51&CDS=1-4437, snap_masked-scf7180000049566-processed-gene-2.28-mRNA-1_1&gene=snap_masked-scf7180000049566-processed-gene-2.28&CDS=1-3255
OG0000045	YAR042W, YDL019C	genemark-scf7180000049514-processed-gene-0.50-mRNA-1_1&gene=genemark-scf7180000049514-processed-gene-0.50&CDS=1-5364, maker-scf7180000049582-augustus-gene-2.0-mRNA-1_1&gene=maker-scf7180000049582-augustus-gene-2.0&CDS=1-3987
OG0000046	YAR066W, YHR214W, YIL169C, YOL155C	
OG0000047	YBL005W, YGL013C	augustus_masked-scf7180000049588-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-2.28&CDS=1-3606, snap_masked-scf7180000049579-processed-gene-0.23-mRNA-1_1&gene=snap_masked-scf7180000049579-processed-gene-0.23&CDS=1-3537
OG0000048	YBL052C, YOR244W	augustus_masked-scf7180000049586-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-scf7180000049586-processed-gene-2.75&CDS=1-1332, genemark-scf7180000049491-processed-gene-0.127-mRNA-1_1&gene=genemark-scf7180000049491-processed-gene-0.127&CDS=1-2124
OG0000049	YBL067C, YER098W	augustus_masked-scf7180000049464-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000049464-processed-gene-0.34&CDS=1-2403, augustus_masked-scf7180000049491-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.80&CDS=1-2211
OG0000050	YBL072C, YER102W	augustus_masked-scf7180000049464-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scf7180000049464-processed-gene-0.35&CDS=1-600, augustus_masked-scf7180000049491-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.78&CDS=1-600
OG0000051	YBL074C	augustus_masked-scf7180000049532-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049532-processed-gene-0.1&CDS=1-1101, genemark-scf7180000049464-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000049464-processed-gene-0.10&CDS=1-888, snap_masked-scf7180000048978-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000048978-processed-gene-0.0&CDS=1-663
OG0000052	YBR008C	augustus_masked-scf7180000049481-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scf7180000049481-processed-gene-0.50&CDS=1-1638, augustus_masked-scf7180000049515-processed-gene-1.212-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-1.212&CDS=1-1839, augustus_masked-scf7180000049588-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-3.74&CDS=1-1707
OG0000053	YBR009C, YNL030W	augustus_masked-scf7180000049496-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000049496-processed-gene-0.20&CDS=1-309, augustus_masked-scf7180000049590-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-scf7180000049590-processed-gene-0.91&CDS=1-309
OG0000054	YBR010W, YNL031C	augustus_masked-scf7180000049496-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000049496-processed-gene-0.17&CDS=1-408, augustus_masked-scf7180000049590-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-scf7180000049590-processed-gene-0.111&CDS=1-408
OG0000055	YBR021W, YIR028W	augustus_masked-scf7180000049430-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049430-processed-gene-0.1&CDS=1-1905, snap_masked-scf7180000049582-processed-gene-2.178-mRNA-1_1&gene=snap_masked-scf7180000049582-processed-gene-2.178&CDS=1-1998
OG0000056	YBR024W, YBR037C	augustus_masked-scf7180000049582-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.22&CDS=1-921, augustus_masked-scf7180000049590-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-scf7180000049590-processed-gene-0.102&CDS=1-807
OG0000057	YBR048W, YDR025W	augustus_masked-scf7180000049484-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000049484-processed-gene-0.16&CDS=1-468, augustus_masked-scf7180000049582-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.110&CDS=1-468
OG0000058	YBR054W, YDR033W	augustus_masked-scf7180000049574-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-1.114&CDS=1-975, augustus_masked-scf7180000049582-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.109&CDS=1-966
OG0000059	YBR068C, YDR046C	augustus_masked-scf7180000049582-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-0.42&CDS=1-1785, augustus_masked-scf7180000049588-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-0.13&CDS=1-1764
OG0000060	YBR084W, YGR204W	augustus_masked-scf7180000049580-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-scf7180000049580-processed-gene-0.71&CDS=1-2889, maker-scf7180000049502-snap-gene-0.145-mRNA-1_1&gene=maker-scf7180000049502-snap-gene-0.145&CDS=1-2907
OG0000061	YBR140C, YOL081W	maker-scf7180000049477-augustus-gene-0.41-mRNA-1_1&gene=maker-scf7180000049477-augustus-gene-0.41&CDS=1-9480, snap_masked-scf7180000049582-processed-gene-2.236-mRNA-1_1&gene=snap_masked-scf7180000049582-processed-gene-2.236&CDS=1-9624
OG0000062	YBR189W, YPL081W	maker-scf7180000049580-snap-gene-0.165-mRNA-1_1&gene=maker-scf7180000049580-snap-gene-0.165&CDS=1-990, maker-scf7180000049586-snap-gene-3.138-mRNA-1_1&gene=maker-scf7180000049586-snap-gene-3.138&CDS=1-927
OG0000063	YBR197C, YPL077C	augustus_masked-scf7180000049580-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scf7180000049580-processed-gene-0.52&CDS=1-990, augustus_masked-scf7180000049586-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-scf7180000049586-processed-gene-3.64&CDS=1-1089
