	Metschnikowia_drakensbergensis	Saccharomyces_cerevisiae
OG0000010	augustus_masked-draA_s44-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-draA_s44-processed-gene-3.44&CDS=1-942, maker-draA_s15-augustus-gene-3.99-mRNA-1_1&gene=maker-draA_s15-augustus-gene-3.99&CDS=1-2136, snap_masked-draA_s37-processed-gene-1.95-mRNA-1_1&gene=snap_masked-draA_s37-processed-gene-1.95&CDS=1-1065	YDL047W, YDL134C, YDL188C, YNR032W
OG0000011	augustus_masked-draA_s17-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-draA_s17-processed-gene-1.26&CDS=1-1926, augustus_masked-draA_s44-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-draA_s44-processed-gene-2.92&CDS=1-1629, augustus_masked-draA_s86-processed-gene-5.207-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-5.207&CDS=1-2007, augustus_masked-draA_s9-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-0.96&CDS=1-1962, augustus_masked-draA_s91-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-draA_s91-processed-gene-0.43&CDS=1-2079	YBR015C, YJL186W
OG0000012	augustus_masked-draA_s82-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-draA_s82-processed-gene-0.83&CDS=1-1653, snap_masked-draA_s9-processed-gene-3.128-mRNA-1_1&gene=snap_masked-draA_s9-processed-gene-3.128&CDS=1-1623	YDR342C, YDR343C, YFL011W, YHR092C, YMR011W
OG0000013	augustus_masked-draA_s100-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.33&CDS=1-1839, augustus_masked-draA_s110-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-1.137&CDS=1-3984, snap_masked-draA_s44-processed-gene-3.61-mRNA-1_1&gene=snap_masked-draA_s44-processed-gene-3.61&CDS=1-1932	YDL229W, YLL024C, YNL209W
OG0000014	augustus_masked-draA_s100-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.3&CDS=1-1263, augustus_masked-draA_s113-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-draA_s113-processed-gene-0.49&CDS=1-948, genemark-draA_s110-processed-gene-0.31-mRNA-1_1&gene=genemark-draA_s110-processed-gene-0.31&CDS=1-1905	YDL108W, YKL139W, YPR161C
OG0000015	augustus_masked-draA_s91-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-draA_s91-processed-gene-2.93&CDS=1-9738, augustus_masked-draA_s98-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-0.121&CDS=1-2328, snap_masked-draA_s110-processed-gene-2.111-mRNA-1_1&gene=snap_masked-draA_s110-processed-gene-2.111&CDS=1-5316	YDR457W, YER125W, YGL141W
OG0000016	augustus_masked-draA_s118-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-draA_s118-processed-gene-0.47&CDS=1-999	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
OG0000017	maker-draA_s120-augustus-gene-0.38-mRNA-1_1&gene=maker-draA_s120-augustus-gene-0.38&CDS=1-1620, snap_masked-draA_s57-processed-gene-4.77-mRNA-1_1&gene=snap_masked-draA_s57-processed-gene-4.77&CDS=1-1692, snap_masked-draA_s91-processed-gene-1.95-mRNA-1_1&gene=snap_masked-draA_s91-processed-gene-1.95&CDS=1-2676	YBR237W, YDR243C, YNL112W
OG0000018	augustus_masked-draA_s74-processed-gene-3.158-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.158&CDS=1-3093, augustus_masked-draA_s79-processed-gene-5.110-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-5.110&CDS=1-3066, maker-draA_s14-snap-gene-0.0-mRNA-1_1&gene=maker-draA_s14-snap-gene-0.0&CDS=1-2766	YBR245C, YFR038W, YOR304W
OG0000019	augustus_masked-draA_s15-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-5.31&CDS=1-1527, augustus_masked-draA_s57-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-draA_s57-processed-gene-0.40&CDS=1-1266, genemark-draA_s27-processed-gene-1.68-mRNA-1_1&gene=genemark-draA_s27-processed-gene-1.68&CDS=1-852	YDR043C, YER028C, YGL209W
OG0000020	augustus_masked-draA_s74-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-0.17&CDS=1-1728, augustus_masked-draA_s9-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-2.7&CDS=1-2619, maker-draA_s65-augustus-gene-0.126-mRNA-1_1&gene=maker-draA_s65-augustus-gene-0.126&CDS=1-2340, snap_masked-draA_s15-processed-gene-6.77-mRNA-1_1&gene=snap_masked-draA_s15-processed-gene-6.77&CDS=1-1812	YDR338C, YNL288W
OG0000021	snap_masked-draA_s15-processed-gene-6.90-mRNA-1_1&gene=snap_masked-draA_s15-processed-gene-6.90&CDS=1-1845, snap_masked-draA_s17-processed-gene-6.197-mRNA-1_1&gene=snap_masked-draA_s17-processed-gene-6.197&CDS=1-1737	YER054C, YIL045W, YLR273C, YOR178C
OG0000022	augustus_masked-draA_s17-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-draA_s17-processed-gene-0.71&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000023	augustus_masked-draA_s86-processed-gene-5.215-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-5.215&CDS=1-969, maker-draA_s17-augustus-gene-3.53-mRNA-1_1&gene=maker-draA_s17-augustus-gene-3.53&CDS=1-4452, snap_masked-draA_s39-processed-gene-1.82-mRNA-1_1&gene=snap_masked-draA_s39-processed-gene-1.82&CDS=1-2592	YDL090C, YER075C, YPR176C
OG0000024	snap_masked-draA_s17-processed-gene-6.149-mRNA-1_1&gene=snap_masked-draA_s17-processed-gene-6.149&CDS=1-3252, snap_masked-draA_s57-processed-gene-4.49-mRNA-1_1&gene=snap_masked-draA_s57-processed-gene-4.49&CDS=1-2796	YFR040W, YGL229C, YJL098W, YKR028W
OG0000025	augustus_masked-draA_s71-processed-gene-1.202-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.202&CDS=1-792, augustus_masked-draA_s86-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-0.73&CDS=1-771, augustus_masked-draA_s86-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-3.71&CDS=1-759, snap_masked-draA_s39-processed-gene-3.197-mRNA-1_1&gene=snap_masked-draA_s39-processed-gene-3.197&CDS=1-768	YCR010C, YNR002C
OG0000026	augustus_masked-draA_s76-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-draA_s76-processed-gene-0.18&CDS=1-921, augustus_masked-draA_s77-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-draA_s77-processed-gene-0.25&CDS=1-921, maker-draA_s57-snap-gene-4.168-mRNA-1_1&gene=maker-draA_s57-snap-gene-4.168&CDS=1-2205	YBR118W, YKR084C, YPR080W
OG0000027	augustus_masked-draA_s98-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-0.113&CDS=1-447	YBR067C, YDR542W, YER011W, YIL011W, YOR010C
OG0000028		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000029	augustus_masked-draA_C8103-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-draA_C8103-processed-gene-0.0&CDS=1-213, augustus_masked-draA_s109-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-draA_s109-processed-gene-0.12&CDS=1-315, augustus_masked-draA_s27-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.101&CDS=1-2970, augustus_masked-draA_s71-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.3&CDS=1-402	YKL205W
OG0000030	augustus_masked-draA_C8241-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-draA_C8241-processed-gene-0.2&CDS=1-228, augustus_masked-draA_C8531-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-draA_C8531-processed-gene-0.0&CDS=1-261, augustus_masked-draA_C8817-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-draA_C8817-processed-gene-0.2&CDS=1-387, augustus_masked-draA_s65-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-draA_s65-processed-gene-0.85&CDS=1-1005	YJL053W
OG0000031	augustus_masked-draA_s100-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.77&CDS=1-2391, augustus_masked-draA_s116-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-draA_s116-processed-gene-0.41&CDS=1-1569, augustus_masked-draA_s86-processed-gene-5.181-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-5.181&CDS=1-2106	YGL257C, YNR059W
OG0000032	augustus_masked-draA_s100-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.4&CDS=1-1191, augustus_masked-draA_s20-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-draA_s20-processed-gene-0.39&CDS=1-1158, augustus_masked-draA_s82-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-draA_s82-processed-gene-0.105&CDS=1-1233	YBR207W, YER145C
OG0000033	augustus_masked-draA_s100-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-4.44&CDS=1-1530, augustus_masked-draA_s9-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-0.102&CDS=1-1653, augustus_masked-draA_s9-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-0.83&CDS=1-1767	YGR197C, YJR015W
OG0000034	augustus_masked-draA_s100-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-4.58&CDS=1-3102, augustus_masked-draA_s98-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-0.145&CDS=1-2958, genemark-draA_s9-processed-gene-2.131-mRNA-1_1&gene=genemark-draA_s9-processed-gene-2.131&CDS=1-3021	YBR038W, YNL192W
OG0000035	augustus_masked-draA_s103-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-0.46&CDS=1-1503, maker-draA_s17-augustus-gene-1.44-mRNA-1_1&gene=maker-draA_s17-augustus-gene-1.44&CDS=1-1917	YMR169C, YMR170C, YOR374W
OG0000036	augustus_masked-draA_s28-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.52&CDS=1-2496, maker-draA_s39-augustus-gene-1.43-mRNA-1_1&gene=maker-draA_s39-augustus-gene-1.43&CDS=1-2565, snap_masked-draA_s103-processed-gene-1.49-mRNA-1_1&gene=snap_masked-draA_s103-processed-gene-1.49&CDS=1-1155	YDR523C, YHR102W
OG0000037	augustus_masked-draA_s103-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-2.139&CDS=1-408, augustus_masked-draA_s44-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-draA_s44-processed-gene-3.10&CDS=1-408, augustus_masked-draA_s78-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-draA_s78-processed-gene-0.11&CDS=1-408	YBR010W, YNL031C
OG0000038	augustus_masked-draA_s103-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-2.146&CDS=1-2334, augustus_masked-draA_s110-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-1.142&CDS=1-2502	YDR326C, YFL042C, YHR080C
OG0000039	augustus_masked-draA_s103-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-4.8&CDS=1-4512	YBL017C, YIL173W, YJL222W, YNR065C
OG0000040	augustus_masked-draA_s104-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-draA_s104-processed-gene-0.47&CDS=1-1026, snap_masked-draA_s57-processed-gene-4.86-mRNA-1_1&gene=snap_masked-draA_s57-processed-gene-4.86&CDS=1-210	YCR102C, YLR460C, YNL134C
OG0000041	augustus_masked-draA_s104-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-draA_s104-processed-gene-0.36&CDS=1-1608, augustus_masked-draA_s57-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-draA_s57-processed-gene-3.33&CDS=1-2433, augustus_masked-draA_s9-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-2.35&CDS=1-4467	YJL172W, YOL153C
OG0000042	augustus_masked-draA_s109-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-draA_s109-processed-gene-0.16&CDS=1-1980, augustus_masked-draA_s39-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-draA_s39-processed-gene-1.59&CDS=1-1893, augustus_masked-draA_s77-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-draA_s77-processed-gene-0.32&CDS=1-1938	YMR008C, YOL011W
OG0000043	augustus_masked-draA_s109-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-draA_s109-processed-gene-0.9&CDS=1-1326, augustus_masked-draA_s9-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-0.91&CDS=1-1344	YDL155W, YGR108W, YPR119W
OG0000044	augustus_masked-draA_s110-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-0.58&CDS=1-2961, genemark-draA_s44-processed-gene-0.84-mRNA-1_1&gene=genemark-draA_s44-processed-gene-0.84&CDS=1-2613, snap_masked-draA_s79-processed-gene-0.71-mRNA-1_1&gene=snap_masked-draA_s79-processed-gene-0.71&CDS=1-2529	YBR033W, YKL038W
OG0000045	augustus_masked-draA_s37-processed-gene-1.204-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.204&CDS=1-2868, snap_masked-draA_s110-processed-gene-0.110-mRNA-1_1&gene=snap_masked-draA_s110-processed-gene-0.110&CDS=1-2526	YDR385W, YKL173W, YOR133W
OG0000046	augustus_masked-draA_s110-processed-gene-2.206-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-2.206&CDS=1-924, augustus_masked-draA_s119-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-draA_s119-processed-gene-0.86&CDS=1-1332, augustus_masked-draA_s79-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-7.29&CDS=1-2334	YHR206W, YOR140W
OG0000047	augustus_masked-draA_s79-processed-gene-9.161-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-9.161&CDS=1-654, augustus_masked-draA_s82-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-draA_s82-processed-gene-0.95&CDS=1-1665, snap_masked-draA_s110-processed-gene-2.112-mRNA-1_1&gene=snap_masked-draA_s110-processed-gene-2.112&CDS=1-771, snap_masked-draA_s79-processed-gene-0.72-mRNA-1_1&gene=snap_masked-draA_s79-processed-gene-0.72&CDS=1-2553	YDR207C
OG0000048	maker-draA_s113-snap-gene-0.26-mRNA-1_1&gene=maker-draA_s113-snap-gene-0.26&CDS=1-192	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
OG0000049	augustus_masked-draA_s116-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-draA_s116-processed-gene-0.42&CDS=1-840, augustus_masked-draA_s9-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-2.21&CDS=1-2199	YCL010C, YHL034C, YLL046C
OG0000050	augustus_masked-draA_s119-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-draA_s119-processed-gene-0.80&CDS=1-1296, augustus_masked-draA_s44-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-draA_s44-processed-gene-2.89&CDS=1-1395	YBL089W, YER119C, YIL088C
OG0000051	augustus_masked-draA_s121-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-draA_s121-processed-gene-0.79&CDS=1-1617, augustus_masked-draA_s44-processed-gene-4.151-mRNA-1_1&gene=augustus_masked-draA_s44-processed-gene-4.151&CDS=1-1650, snap_masked-draA_s14-processed-gene-0.126-mRNA-1_1&gene=snap_masked-draA_s14-processed-gene-0.126&CDS=1-2184	YLR343W, YMR307W
OG0000052	augustus_masked-draA_s15-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-0.86&CDS=1-2913, augustus_masked-draA_s39-processed-gene-3.105-mRNA-1_1&gene=augustus_masked-draA_s39-processed-gene-3.105&CDS=1-1536	YER056C, YER060W, YER060W-A
OG0000053	augustus_masked-draA_s15-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-0.97&CDS=1-2430, augustus_masked-draA_s86-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-4.55&CDS=1-3372, augustus_masked-draA_s90-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-draA_s90-processed-gene-0.0&CDS=1-378	YKL188C, YPL147W
OG0000054	augustus_masked-draA_s48-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-draA_s48-processed-gene-0.122&CDS=1-1101, augustus_masked-draA_s95-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-draA_s95-processed-gene-0.1&CDS=1-1113, maker-draA_s15-augustus-gene-0.102-mRNA-1_1&gene=maker-draA_s15-augustus-gene-0.102&CDS=1-1647	YBL016W, YHR030C
OG0000055	augustus_masked-draA_s15-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-1.52&CDS=1-1521, augustus_masked-draA_s44-processed-gene-4.166-mRNA-1_1&gene=augustus_masked-draA_s44-processed-gene-4.166&CDS=1-1656, augustus_masked-draA_s48-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-draA_s48-processed-gene-0.148&CDS=1-1515	YGR260W, YIL166C
OG0000056	augustus_masked-draA_s15-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-1.55&CDS=1-1953, snap_masked-draA_s79-processed-gene-0.50-mRNA-1_1&gene=snap_masked-draA_s79-processed-gene-0.50&CDS=1-1911	YDR107C, YER113C, YLR083C
OG0000057	augustus_masked-draA_s15-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-3.114&CDS=1-693	YDR533C, YMR322C, YOR391C, YPL280W
OG0000058	augustus_masked-draA_s15-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-5.24&CDS=1-1656, augustus_masked-draA_s74-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.23&CDS=1-1434, augustus_masked-draA_s98-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-0.142&CDS=1-1275	YHR135C, YPL204W
OG0000059	augustus_masked-draA_s17-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-draA_s17-processed-gene-0.51&CDS=1-2154, maker-draA_s71-snap-gene-1.259-mRNA-1_1&gene=maker-draA_s71-snap-gene-1.259&CDS=1-2451	YFL050C, YKL064W, YOL130W
OG0000060	augustus_masked-draA_s17-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-draA_s17-processed-gene-3.62&CDS=1-1653, augustus_masked-draA_s57-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-draA_s57-processed-gene-2.94&CDS=1-1722	YBR298C, YDL247W, YJR160C
OG0000061	augustus_masked-draA_s31-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.66&CDS=1-2175, augustus_masked-draA_s53-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-draA_s53-processed-gene-1.29&CDS=1-1890, augustus_masked-draA_s82-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-draA_s82-processed-gene-0.97&CDS=1-1776, genemark-draA_s17-processed-gene-4.111-mRNA-1_1&gene=genemark-draA_s17-processed-gene-4.111&CDS=1-1533	YKR034W
