	Eremothecium_sinecaudum	Saccharomyces_cerevisiae
OG0000010	augustus_masked-CP014246.1-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-4.76&CDS=1-1392, augustus_masked-CP014248.1-processed-gene-5.79-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-5.79&CDS=1-1644, genemark-CP014242.1-processed-gene-2.36-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-2.36&CDS=1-1587	YHR050W, YLR034C, YOL122C
OG0000011	augustus_masked-CP014242.1-processed-gene-8.70-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-8.70&CDS=1-4485, augustus_masked-CP014245.1-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-1.132&CDS=1-4971, augustus_masked-CP014246.1-processed-gene-8.152-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.152&CDS=1-4239	YDR135C, YGR281W, YLL048C
OG0000012	augustus_masked-CP014243.1-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.53&CDS=1-2055, augustus_masked-CP014247.1-processed-gene-7.151-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-7.151&CDS=1-5256, maker-CP014243.1-augustus-gene-8.36-mRNA-1_1&gene=maker-CP014243.1-augustus-gene-8.36&CDS=1-3177	YCL025C, YDR508C, YOL020W
OG0000013	augustus_masked-CP014245.1-processed-gene-7.98-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-7.98&CDS=1-1608, maker-CP014243.1-augustus-gene-8.39-mRNA-1_1&gene=maker-CP014243.1-augustus-gene-8.39&CDS=1-936, maker-CP014246.1-augustus-gene-2.150-mRNA-1_1&gene=maker-CP014246.1-augustus-gene-2.150&CDS=1-2475	YER133W, YML016C, YPL179W
OG0000014	augustus_masked-CP014243.1-processed-gene-9.120-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-9.120&CDS=1-2331, genemark-CP014246.1-processed-gene-1.40-mRNA-1_1&gene=genemark-CP014246.1-processed-gene-1.40&CDS=1-3000, maker-CP014243.1-snap-gene-12.214-mRNA-1_1&gene=maker-CP014243.1-snap-gene-12.214&CDS=1-2859	YDL126C, YKL197C, YLR397C
OG0000015	augustus_masked-CP014244.1-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-1.100&CDS=1-2994, augustus_masked-CP014245.1-processed-gene-7.92-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-7.92&CDS=1-3222, augustus_masked-CP014247.1-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-4.66&CDS=1-4470	YBR245C, YER164W, YOR304W
OG0000016	augustus_masked-CP014244.1-processed-gene-11.44-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-11.44&CDS=1-2040, augustus_masked-CP014244.1-processed-gene-9.122-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-9.122&CDS=1-2394, genemark-CP014244.1-processed-gene-4.36-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-4.36&CDS=1-1290	YER047C, YPL074W, YPR173C
OG0000017	genemark-CP014244.1-processed-gene-4.21-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-4.21&CDS=1-2172	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000018	augustus_masked-CP014242.1-processed-gene-7.31-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-7.31&CDS=1-1701, augustus_masked-CP014243.1-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.96&CDS=1-1644, augustus_masked-CP014245.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-0.3&CDS=1-1644, augustus_masked-CP014248.1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-0.42&CDS=1-1677	YGR055W
OG0000019	augustus_masked-CP014242.1-processed-gene-8.69-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-8.69&CDS=1-459, snap_masked-CP014242.1-processed-gene-17.130-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-17.130&CDS=1-2082	YCR089W, YDR134C, YLR110C
OG0000020	augustus_masked-CP014244.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-0.73&CDS=1-324, augustus_masked-CP014245.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-0.21&CDS=1-324, genemark-CP014243.1-processed-gene-0.25-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-0.25&CDS=1-324, genemark-CP014243.1-processed-gene-2.8-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-2.8&CDS=1-324	YNL244C
OG0000021	augustus_masked-CP014243.1-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.97&CDS=1-675, augustus_masked-CP014243.1-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.121&CDS=1-675	YCL067C, YCR039C, YCR096C
OG0000022	augustus_masked-CP014246.1-processed-gene-8.138-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.138&CDS=1-3876, maker-CP014243.1-snap-gene-1.48-mRNA-1_1&gene=maker-CP014243.1-snap-gene-1.48&CDS=1-5535, maker-CP014248.1-snap-gene-9.112-mRNA-1_1&gene=maker-CP014248.1-snap-gene-9.112&CDS=1-3897	YIL159W, YNL271C
OG0000023	augustus_masked-CP014243.1-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.71&CDS=1-1686, augustus_masked-CP014243.1-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.85&CDS=1-1704	YEL063C, YNL268W, YNL270C
OG0000024	augustus_masked-CP014243.1-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.107&CDS=1-2616, augustus_masked-CP014245.1-processed-gene-10.165-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-10.165&CDS=1-2430	YCR037C, YJL198W, YNR013C
OG0000025	augustus_masked-CP014243.1-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-6.58&CDS=1-4077, augustus_masked-CP014244.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-0.81&CDS=1-2406	YDR326C, YFL042C, YHR080C
OG0000026	augustus_masked-CP014243.1-processed-gene-6.105-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-6.105&CDS=1-1335, augustus_masked-CP014246.1-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-4.92&CDS=1-1890	YIR013C, YLR013W, YMR136W
OG0000027	augustus_masked-CP014243.1-processed-gene-11.33-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-11.33&CDS=1-4737, augustus_masked-CP014245.1-processed-gene-9.75-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-9.75&CDS=1-3531	YLR249W, YNL014W, YPL226W
OG0000028	genemark-CP014244.1-processed-gene-3.108-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-3.108&CDS=1-1737, genemark-CP014247.1-processed-gene-5.111-mRNA-1_1&gene=genemark-CP014247.1-processed-gene-5.111&CDS=1-1785, genemark-CP014248.1-processed-gene-7.133-mRNA-1_1&gene=genemark-CP014248.1-processed-gene-7.133&CDS=1-1794	YBR015C, YJL186W
OG0000029	augustus_masked-CP014244.1-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.20&CDS=1-5346, augustus_masked-CP014247.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.80&CDS=1-4353	YDR385W, YKL173W, YOR133W
OG0000030	augustus_masked-CP014247.1-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-2.84&CDS=1-1668, maker-CP014244.1-augustus-gene-3.4-mRNA-1_1&gene=maker-CP014244.1-augustus-gene-3.4&CDS=1-4230	YCR008W, YJL165C, YKL168C
OG0000031	augustus_masked-CP014244.1-processed-gene-7.39-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-7.39&CDS=1-2496, snap_masked-CP014245.1-processed-gene-8.146-mRNA-1_1&gene=snap_masked-CP014245.1-processed-gene-8.146&CDS=1-2133	YAL053W, YGL139W, YPL221W
OG0000032	augustus_masked-CP014244.1-processed-gene-9.141-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-9.141&CDS=1-2322, augustus_masked-CP014245.1-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-3.65&CDS=1-1791	YGR097W, YIL105C, YPR115W
OG0000033	augustus_masked-CP014244.1-processed-gene-10.113-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-10.113&CDS=1-726	YBR067C, YER011W, YIL011W, YOR010C
OG0000034	augustus_masked-CP014245.1-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-1.112&CDS=1-1026	YDL244W, YFL058W, YJR156C, YNL332W
OG0000035	augustus_masked-CP014246.1-processed-gene-6.104-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.104&CDS=1-5628, augustus_masked-CP014246.1-processed-gene-8.155-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.155&CDS=1-5340, augustus_masked-CP014248.1-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-4.73&CDS=1-4962	YLR342W, YMR306W
OG0000036	augustus_masked-CP014246.1-processed-gene-6.145-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.145&CDS=1-4446	YBL017C, YIL173W, YJL222W, YNR065C
OG0000037	genemark-CP014248.1-processed-gene-8.11-mRNA-1_1&gene=genemark-CP014248.1-processed-gene-8.11&CDS=1-1305, snap_masked-CP014247.1-processed-gene-8.26-mRNA-1_1&gene=snap_masked-CP014247.1-processed-gene-8.26&CDS=1-1557	YDR261C, YLR300W, YOR190W
OG0000038	augustus_masked-CP014243.1-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.82&CDS=1-4017, snap_masked-CP014242.1-processed-gene-1.9-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-1.9&CDS=1-4668	YIL126W, YOR290C
OG0000039	augustus_masked-CP014242.1-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-1.79&CDS=1-2502, augustus_masked-CP014244.1-processed-gene-13.152-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-13.152&CDS=1-2595	YMR054W, YOR270C
OG0000040	augustus_masked-CP014242.1-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.89&CDS=1-2235, augustus_masked-CP014242.1-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.96&CDS=1-2247	YAL023C, YGR199W
OG0000041	augustus_masked-CP014242.1-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-3.72&CDS=1-2106, augustus_masked-CP014247.1-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-1.20&CDS=1-2403	YHR031C, YML061C
OG0000042	augustus_masked-CP014242.1-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-5.74&CDS=1-2238, augustus_masked-CP014248.1-processed-gene-8.58-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-8.58&CDS=1-4602	YBR114W, YOR191W
OG0000043	augustus_masked-CP014242.1-processed-gene-6.75-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-6.75&CDS=1-2367, augustus_masked-CP014246.1-processed-gene-7.50-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.50&CDS=1-2214	YER017C, YMR089C
OG0000044	augustus_masked-CP014242.1-processed-gene-7.13-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-7.13&CDS=1-2055, augustus_masked-CP014248.1-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-5.103&CDS=1-2316	YKR001C, YLL001W
OG0000045	augustus_masked-CP014242.1-processed-gene-7.18-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-7.18&CDS=1-2922, augustus_masked-CP014244.1-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-2.80&CDS=1-2505	YHL007C, YNL298W
OG0000046	augustus_masked-CP014242.1-processed-gene-9.135-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-9.135&CDS=1-2034, augustus_masked-CP014244.1-processed-gene-7.16-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-7.16&CDS=1-2136	YAL054C, YLR153C
OG0000047	augustus_masked-CP014242.1-processed-gene-13.85-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-13.85&CDS=1-3297, augustus_masked-CP014248.1-processed-gene-5.88-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-5.88&CDS=1-3711	YJL042W, YOR227W
OG0000048	snap_masked-CP014242.1-processed-gene-13.141-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-13.141&CDS=1-1611	YOL055C, YPL258C, YPR121W
OG0000049	augustus_masked-CP014242.1-processed-gene-13.80-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-13.80&CDS=1-1575, augustus_masked-CP014242.1-processed-gene-19.130-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.130&CDS=1-2220	YDL025C, YNL183C
OG0000050	augustus_masked-CP014242.1-processed-gene-14.120-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-14.120&CDS=1-5274, augustus_masked-CP014248.1-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-3.54&CDS=1-4470	YGL173C, YOR048C
OG0000051	augustus_masked-CP014242.1-processed-gene-17.61-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.61&CDS=1-3222, augustus_masked-CP014243.1-processed-gene-9.121-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-9.121&CDS=1-3825	YJL050W, YLR398C
OG0000052	augustus_masked-CP014242.1-processed-gene-17.89-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.89&CDS=1-1476, augustus_masked-CP014244.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-0.70&CDS=1-1407	YBR263W, YLR058C
OG0000053	snap_masked-CP014242.1-processed-gene-17.155-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-17.155&CDS=1-1080, snap_masked-CP014245.1-processed-gene-10.46-mRNA-1_1&gene=snap_masked-CP014245.1-processed-gene-10.46&CDS=1-459	YAL018C, YOL047C
OG0000054	augustus_masked-CP014242.1-processed-gene-18.73-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.73&CDS=1-3108, augustus_masked-CP014248.1-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-4.84&CDS=1-2745	YFR040W, YKR028W
OG0000055	snap_masked-CP014242.1-processed-gene-19.54-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-19.54&CDS=1-747, snap_masked-CP014245.1-processed-gene-4.95-mRNA-1_1&gene=snap_masked-CP014245.1-processed-gene-4.95&CDS=1-2736	YNL148C, YPL174C
OG0000056	augustus_masked-CP014242.1-processed-gene-19.152-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.152&CDS=1-1743, genemark-CP014248.1-processed-gene-3.105-mRNA-1_1&gene=genemark-CP014248.1-processed-gene-3.105&CDS=1-1461	YER123W, YHR135C
OG0000057	augustus_masked-CP014242.1-processed-gene-19.166-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.166&CDS=1-4461, augustus_masked-CP014247.1-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-1.15&CDS=1-2751	YBR038W, YNL192W
OG0000058	snap_masked-CP014243.1-processed-gene-0.73-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-0.73&CDS=1-825, snap_masked-CP014243.1-processed-gene-2.56-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-2.56&CDS=1-825	YCL066W, YCR040W
OG0000059	augustus_masked-CP014243.1-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.91&CDS=1-3423, augustus_masked-CP014246.1-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-3.78&CDS=1-3660	YOR151C, YOR207C
OG0000060	augustus_masked-CP014243.1-processed-gene-3.112-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.112&CDS=1-3237, maker-CP014244.1-snap-gene-1.61-mRNA-1_1&gene=maker-CP014244.1-snap-gene-1.61&CDS=1-2670	YKL046C, YMR238W
OG0000061	augustus_masked-CP014243.1-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.85&CDS=1-2142, maker-CP014248.1-augustus-gene-5.107-mRNA-1_1&gene=maker-CP014248.1-augustus-gene-5.107&CDS=1-3057	YKL145W, YNL101W
OG0000062	augustus_masked-CP014243.1-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.70&CDS=1-3426, augustus_masked-CP014244.1-processed-gene-10.104-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-10.104&CDS=1-2832	YIL002C, YOR109W
OG0000063	augustus_masked-CP014243.1-processed-gene-12.6-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-12.6&CDS=1-4107, augustus_masked-CP014243.1-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-6.67&CDS=1-4518	YDR334W, YGL150C
OG0000064	augustus_masked-CP014243.1-processed-gene-6.77-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-6.77&CDS=1-2541, augustus_masked-CP014247.1-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-3.57&CDS=1-2457	YHR028C, YOR219C
OG0000065	augustus_masked-CP014243.1-processed-gene-6.80-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-6.80&CDS=1-309, augustus_masked-CP014244.1-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.98&CDS=1-309	YBR009C, YNL030W
OG0000066	augustus_masked-CP014243.1-processed-gene-10.6-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-10.6&CDS=1-2175, augustus_masked-CP014243.1-processed-gene-8.71-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-8.71&CDS=1-2313	YIL078W, YKL194C
OG0000067	augustus_masked-CP014243.1-processed-gene-11.29-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-11.29&CDS=1-1260, augustus_masked-CP014243.1-processed-gene-9.118-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-9.118&CDS=1-1269	YDL066W, YLR174W
OG0000068	augustus_masked-CP014243.1-processed-gene-10.47-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-10.47&CDS=1-1533	YER056C, YER060W, YER060W-A
OG0000069	augustus_masked-CP014243.1-processed-gene-11.5-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-11.5&CDS=1-1689, augustus_masked-CP014244.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-0.63&CDS=1-1899, augustus_masked-CP014245.1-processed-gene-9.80-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-9.80&CDS=1-1650	YFL040W
OG0000070	augustus_masked-CP014243.1-processed-gene-11.34-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-11.34&CDS=1-2271, snap_masked-CP014244.1-processed-gene-5.126-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-5.126&CDS=1-2175	YER109C, YMR164C
OG0000071	augustus_masked-CP014246.1-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-2.133&CDS=1-1908, maker-CP014243.1-augustus-gene-11.47-mRNA-1_1&gene=maker-CP014243.1-augustus-gene-11.47&CDS=1-3111	YDR444W, YGL144C
OG0000072	augustus_masked-CP014243.1-processed-gene-12.53-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-12.53&CDS=1-5175, augustus_masked-CP014248.1-processed-gene-7.24-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-7.24&CDS=1-4377	YDL140C, YOR116C
OG0000073	augustus_masked-CP014245.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-0.7&CDS=1-1848, snap_masked-CP014243.1-processed-gene-12.192-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-12.192&CDS=1-900	YOL002C, YOL102C
OG0000074	augustus_masked-CP014244.1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-0.60&CDS=1-1812, augustus_masked-CP014244.1-processed-gene-13.154-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-13.154&CDS=1-1872	YFL041W, YMR058W
OG0000075	augustus_masked-CP014244.1-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-2.86&CDS=1-3279, augustus_masked-CP014245.1-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-7.82&CDS=1-1674	YML117W, YPL184C
OG0000076	augustus_masked-CP014244.1-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-2.78&CDS=1-2970, augustus_masked-CP014245.1-processed-gene-10.139-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-10.139&CDS=1-2865	YGR240C, YMR205C
