	Metschnikowia_kamakouana	Saccharomyces_cerevisiae
OG0000010	maker-kam_s6-snap-gene-7.81-mRNA-1_1&gene=maker-kam_s6-snap-gene-7.81&CDS=1-1734, snap_masked-kam_s277-processed-gene-0.39-mRNA-1_1&gene=snap_masked-kam_s277-processed-gene-0.39&CDS=1-2109, snap_masked-kam_s4-processed-gene-0.12-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-0.12&CDS=1-2139, snap_masked-kam_s62-processed-gene-0.59-mRNA-1_1&gene=snap_masked-kam_s62-processed-gene-0.59&CDS=1-2046	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000011		YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W
OG0000012	maker-kam_s131-snap-gene-0.1-mRNA-1_1&gene=maker-kam_s131-snap-gene-0.1&CDS=1-264, maker-kam_s46-snap-gene-0.2-mRNA-1_1&gene=maker-kam_s46-snap-gene-0.2&CDS=1-213	Q0045, Q0050, Q0055, Q0060, Q0065, Q0070
OG0000013	genemark-kam_s62-processed-gene-0.103-mRNA-1_1&gene=genemark-kam_s62-processed-gene-0.103&CDS=1-1182, genemark-kam_s85-processed-gene-1.72-mRNA-1_1&gene=genemark-kam_s85-processed-gene-1.72&CDS=1-2562, snap_masked-kam_s16-processed-gene-19.215-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-19.215&CDS=1-2229, snap_masked-kam_s167-processed-gene-0.62-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-0.62&CDS=1-2259, snap_masked-kam_s38-processed-gene-3.58-mRNA-1_1&gene=snap_masked-kam_s38-processed-gene-3.58&CDS=1-2253, snap_masked-kam_s6-processed-gene-2.18-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-2.18&CDS=1-1773	YJR061W, YKL201C
OG0000014	snap_masked-kam_s167-processed-gene-2.156-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.156&CDS=1-1932, snap_masked-kam_s6-processed-gene-2.47-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-2.47&CDS=1-2037, snap_masked-kam_s6-processed-gene-6.33-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-6.33&CDS=1-1839	YAL005C, YDL229W, YJL034W, YLL024C, YNL209W
OG0000015	snap_masked-kam_s62-processed-gene-2.87-mRNA-1_1&gene=snap_masked-kam_s62-processed-gene-2.87&CDS=1-1692	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000016	augustus_masked-kam_s1-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-kam_s1-processed-gene-2.21&CDS=1-3354, snap_masked-kam_s108-processed-gene-4.49-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.49&CDS=1-2763, snap_masked-kam_s16-processed-gene-6.31-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-6.31&CDS=1-2649, snap_masked-kam_s162-processed-gene-1.51-mRNA-1_1&gene=snap_masked-kam_s162-processed-gene-1.51&CDS=1-3273, snap_masked-kam_s19-processed-gene-2.38-mRNA-1_1&gene=snap_masked-kam_s19-processed-gene-2.38&CDS=1-3435, snap_masked-kam_s19-processed-gene-2.39-mRNA-1_1&gene=snap_masked-kam_s19-processed-gene-2.39&CDS=1-3525, snap_masked-kam_s19-processed-gene-2.42-mRNA-1_1&gene=snap_masked-kam_s19-processed-gene-2.42&CDS=1-3165	
OG0000017	snap_masked-kam_s1-processed-gene-2.121-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.121&CDS=1-2169, snap_masked-kam_s16-processed-gene-19.226-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-19.226&CDS=1-2028, snap_masked-kam_s18-processed-gene-0.156-mRNA-1_1&gene=snap_masked-kam_s18-processed-gene-0.156&CDS=1-1431, snap_masked-kam_s3-processed-gene-0.27-mRNA-1_1&gene=snap_masked-kam_s3-processed-gene-0.27&CDS=1-1767, snap_masked-kam_s4-processed-gene-2.41-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.41&CDS=1-1545	YFL021W, YKR034W
OG0000018	snap_masked-kam_s108-processed-gene-0.41-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-0.41&CDS=1-867, snap_masked-kam_s108-processed-gene-0.43-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-0.43&CDS=1-873, snap_masked-kam_s162-processed-gene-1.29-mRNA-1_1&gene=snap_masked-kam_s162-processed-gene-1.29&CDS=1-912, snap_masked-kam_s255-processed-gene-0.13-mRNA-1_1&gene=snap_masked-kam_s255-processed-gene-0.13&CDS=1-954	YDR368W, YJR096W, YOR120W
OG0000019	genemark-kam_s17-processed-gene-1.69-mRNA-1_1&gene=genemark-kam_s17-processed-gene-1.69&CDS=1-639, snap_masked-kam_s16-processed-gene-15.54-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-15.54&CDS=1-693, snap_masked-kam_s27-processed-gene-0.20-mRNA-1_1&gene=snap_masked-kam_s27-processed-gene-0.20&CDS=1-690	YDR533C, YMR322C, YOR391C, YPL280W
OG0000020	augustus_masked-kam_s6-processed-gene-5.64-mRNA-1_1&gene=augustus_masked-kam_s6-processed-gene-5.64&CDS=1-2412, snap_masked-kam_s162-processed-gene-4.13-mRNA-1_1&gene=snap_masked-kam_s162-processed-gene-4.13&CDS=1-957, snap_masked-kam_s68-processed-gene-0.10-mRNA-1_1&gene=snap_masked-kam_s68-processed-gene-0.10&CDS=1-966	YBL068W, YER099C, YHL011C, YOL061W
OG0000021	genemark-kam_s272-processed-gene-0.4-mRNA-1_1&gene=genemark-kam_s272-processed-gene-0.4&CDS=1-1971, snap_masked-kam_s167-processed-gene-3.33-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.33&CDS=1-1632, snap_masked-kam_s18-processed-gene-0.149-mRNA-1_1&gene=snap_masked-kam_s18-processed-gene-0.149&CDS=1-2061, snap_masked-kam_s19-processed-gene-2.7-mRNA-1_1&gene=snap_masked-kam_s19-processed-gene-2.7&CDS=1-2073, snap_masked-kam_s4-processed-gene-5.144-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.144&CDS=1-1917	YBR015C, YJL186W
OG0000022	snap_masked-kam_s19-processed-gene-1.94-mRNA-1_1&gene=snap_masked-kam_s19-processed-gene-1.94&CDS=1-2496, snap_masked-kam_s2-processed-gene-1.103-mRNA-1_1&gene=snap_masked-kam_s2-processed-gene-1.103&CDS=1-3315, snap_masked-kam_s213-processed-gene-0.77-mRNA-1_1&gene=snap_masked-kam_s213-processed-gene-0.77&CDS=1-1605, snap_masked-kam_s245-processed-gene-2.52-mRNA-1_1&gene=snap_masked-kam_s245-processed-gene-2.52&CDS=1-1155	YAR019C, YDR523C, YHR102W
OG0000023	augustus_masked-kam_s4-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-kam_s4-processed-gene-3.5&CDS=1-2436, snap_masked-kam_s1-processed-gene-0.56-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-0.56&CDS=1-1671, snap_masked-kam_s108-processed-gene-2.75-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.75&CDS=1-1722	YBR298C, YDL247W, YJR160C
OG0000024	snap_masked-kam_s103-processed-gene-0.92-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.92&CDS=1-771, snap_masked-kam_s162-processed-gene-0.53-mRNA-1_1&gene=snap_masked-kam_s162-processed-gene-0.53&CDS=1-771, snap_masked-kam_s162-processed-gene-3.131-mRNA-1_1&gene=snap_masked-kam_s162-processed-gene-3.131&CDS=1-759, snap_masked-kam_s271-processed-gene-1.17-mRNA-1_1&gene=snap_masked-kam_s271-processed-gene-1.17&CDS=1-792	YCR010C, YNR002C
OG0000025	snap_masked-kam_s108-processed-gene-3.85-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.85&CDS=1-1752, snap_masked-kam_s108-processed-gene-5.147-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.147&CDS=1-1632, snap_masked-kam_s2-processed-gene-1.71-mRNA-1_1&gene=snap_masked-kam_s2-processed-gene-1.71&CDS=1-1698, snap_masked-kam_s2-processed-gene-1.72-mRNA-1_1&gene=snap_masked-kam_s2-processed-gene-1.72&CDS=1-1725	YJL172W, YOL153C
OG0000026	augustus_masked-kam_s4-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-kam_s4-processed-gene-1.26&CDS=1-3252, snap_masked-kam_s108-processed-gene-3.96-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.96&CDS=1-1098, snap_masked-kam_s39-processed-gene-0.146-mRNA-1_1&gene=snap_masked-kam_s39-processed-gene-0.146&CDS=1-1485	YBL067C, YER098W, YLR130C
OG0000027	snap_masked-kam_s108-processed-gene-4.44-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.44&CDS=1-2802, snap_masked-kam_s7-processed-gene-1.131-mRNA-1_1&gene=snap_masked-kam_s7-processed-gene-1.131&CDS=1-2973	YFR040W, YGL229C, YJL098W, YKR028W
OG0000028	augustus_masked-kam_s116-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-kam_s116-processed-gene-0.27&CDS=1-609, augustus_masked-kam_s170-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-kam_s170-processed-gene-0.3&CDS=1-609, genemark-kam_s108-processed-gene-4.120-mRNA-1_1&gene=genemark-kam_s108-processed-gene-4.120&CDS=1-2394	YBR118W, YKR084C, YPR080W
OG0000029	snap_masked-kam_s115-processed-gene-0.26-mRNA-1_1&gene=snap_masked-kam_s115-processed-gene-0.26&CDS=1-1737, snap_masked-kam_s19-processed-gene-0.20-mRNA-1_1&gene=snap_masked-kam_s19-processed-gene-0.20&CDS=1-1692, snap_masked-kam_s209-processed-gene-0.4-mRNA-1_1&gene=snap_masked-kam_s209-processed-gene-0.4&CDS=1-2685	YDR160W, YOR348C, YPL265W
OG0000030	snap_masked-kam_s12-processed-gene-1.103-mRNA-1_1&gene=snap_masked-kam_s12-processed-gene-1.103&CDS=1-2571, snap_masked-kam_s19-processed-gene-5.52-mRNA-1_1&gene=snap_masked-kam_s19-processed-gene-5.52&CDS=1-2598, snap_masked-kam_s276-processed-gene-0.14-mRNA-1_1&gene=snap_masked-kam_s276-processed-gene-0.14&CDS=1-2664	YLL005C, YMR266W, YOL084W
OG0000031	augustus_masked-kam_s120-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-kam_s120-processed-gene-0.67&CDS=1-3057, genemark-kam_s16-processed-gene-12.155-mRNA-1_1&gene=genemark-kam_s16-processed-gene-12.155&CDS=1-3066, snap_masked-kam_s47-processed-gene-0.75-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.75&CDS=1-3093	YBR245C, YFR038W, YOR304W
OG0000032	snap_masked-kam_s16-processed-gene-5.94-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-5.94&CDS=1-1065, snap_masked-kam_s167-processed-gene-2.117-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.117&CDS=1-942, snap_masked-kam_s17-processed-gene-1.5-mRNA-1_1&gene=snap_masked-kam_s17-processed-gene-1.5&CDS=1-1020	YDL047W, YDL134C, YNR032W
OG0000033	genemark-kam_s273-processed-gene-0.139-mRNA-1_1&gene=genemark-kam_s273-processed-gene-0.139&CDS=1-2469, snap_masked-kam_s167-processed-gene-7.29-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-7.29&CDS=1-1713, snap_masked-kam_s2-processed-gene-0.4-mRNA-1_1&gene=snap_masked-kam_s2-processed-gene-0.4&CDS=1-1734, snap_masked-kam_s38-processed-gene-2.49-mRNA-1_1&gene=snap_masked-kam_s38-processed-gene-2.49&CDS=1-1815	YDR338C, YHR032W
OG0000034	genemark-kam_s17-processed-gene-2.181-mRNA-1_1&gene=genemark-kam_s17-processed-gene-2.181&CDS=1-1263, snap_masked-kam_s19-processed-gene-1.113-mRNA-1_1&gene=snap_masked-kam_s19-processed-gene-1.113&CDS=1-1062	YIL123W, YJL116C, YKR042W, YNL066W
OG0000035	snap_masked-kam_s19-processed-gene-3.84-mRNA-1_1&gene=snap_masked-kam_s19-processed-gene-3.84&CDS=1-447, snap_masked-kam_s251-processed-gene-0.0-mRNA-1_1&gene=snap_masked-kam_s251-processed-gene-0.0&CDS=1-363, snap_masked-kam_s73-processed-gene-0.18-mRNA-1_1&gene=snap_masked-kam_s73-processed-gene-0.18&CDS=1-366, snap_masked-kam_s77-processed-gene-0.123-mRNA-1_1&gene=snap_masked-kam_s77-processed-gene-0.123&CDS=1-447	YGL089C, YPL187W
OG0000036	snap_masked-kam_s2-processed-gene-2.11-mRNA-1_1&gene=snap_masked-kam_s2-processed-gene-2.11&CDS=1-1680, snap_masked-kam_s3-processed-gene-0.8-mRNA-1_1&gene=snap_masked-kam_s3-processed-gene-0.8&CDS=1-1653	YDR342C, YDR343C, YDR345C, YHR092C
OG0000037	augustus_masked-kam_s6-processed-gene-6.119-mRNA-1_1&gene=augustus_masked-kam_s6-processed-gene-6.119&CDS=1-1131, genemark-kam_s4-processed-gene-3.83-mRNA-1_1&gene=genemark-kam_s4-processed-gene-3.83&CDS=1-1875, snap_masked-kam_s213-processed-gene-0.73-mRNA-1_1&gene=snap_masked-kam_s213-processed-gene-0.73&CDS=1-2550	YDL230W, YER075C, YOR208W
OG0000038	augustus_masked-kam_s6-processed-gene-5.72-mRNA-1_1&gene=augustus_masked-kam_s6-processed-gene-5.72&CDS=1-3510, snap_masked-kam_s240-processed-gene-0.4-mRNA-1_1&gene=snap_masked-kam_s240-processed-gene-0.4&CDS=1-2199, snap_masked-kam_s65-processed-gene-0.37-mRNA-1_1&gene=snap_masked-kam_s65-processed-gene-0.37&CDS=1-2352	YKR051W, YNL183C, YOR267C
OG0000039	snap_masked-kam_s38-processed-gene-1.26-mRNA-1_1&gene=snap_masked-kam_s38-processed-gene-1.26&CDS=1-1932, snap_masked-kam_s7-processed-gene-0.13-mRNA-1_1&gene=snap_masked-kam_s7-processed-gene-0.13&CDS=1-1746	YER054C, YIL045W, YLR273C, YOR178C
OG0000040	snap_masked-kam_s4-processed-gene-5.171-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.171&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000041	snap_masked-kam_C34164-processed-gene-0.11-mRNA-1_1&gene=snap_masked-kam_C34164-processed-gene-0.11&CDS=1-1542, snap_masked-kam_s59-processed-gene-0.159-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.159&CDS=1-1101, snap_masked-kam_s77-processed-gene-0.88-mRNA-1_1&gene=snap_masked-kam_s77-processed-gene-0.88&CDS=1-1116	YBL016W, YHR030C
OG0000042	snap_masked-kam_s108-processed-gene-1.79-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-1.79&CDS=1-1494, snap_masked-kam_s6-processed-gene-9.92-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-9.92&CDS=1-2319	YCR065W, YIL131C, YNL068C
OG0000043	snap_masked-kam_s108-processed-gene-2.66-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.66&CDS=1-1485, snap_masked-kam_s162-processed-gene-4.51-mRNA-1_1&gene=snap_masked-kam_s162-processed-gene-4.51&CDS=1-999	YBL056W, YBR125C, YER089C
OG0000044	snap_masked-kam_s108-processed-gene-2.76-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.76&CDS=1-2220	YBR297W, YFL052W, YGR288W, YPR196W
OG0000045	snap_masked-kam_s108-processed-gene-4.4-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.4&CDS=1-540, snap_masked-kam_s27-processed-gene-1.6-mRNA-1_1&gene=snap_masked-kam_s27-processed-gene-1.6&CDS=1-486, snap_masked-kam_s273-processed-gene-0.28-mRNA-1_1&gene=snap_masked-kam_s273-processed-gene-0.28&CDS=1-1092	YDR155C, YLR216C
OG0000046	snap_masked-kam_s108-processed-gene-4.55-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.55&CDS=1-1272, snap_masked-kam_s12-processed-gene-0.12-mRNA-1_1&gene=snap_masked-kam_s12-processed-gene-0.12&CDS=1-1461	YBR177C, YMR210W, YPL095C
OG0000047	augustus_masked-kam_s116-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-kam_s116-processed-gene-0.30&CDS=1-723, snap_masked-kam_s2-processed-gene-1.92-mRNA-1_1&gene=snap_masked-kam_s2-processed-gene-1.92&CDS=1-861	YGL076C, YNL002C, YPL198W
OG0000048	snap_masked-kam_s12-processed-gene-0.19-mRNA-1_1&gene=snap_masked-kam_s12-processed-gene-0.19&CDS=1-999, snap_masked-kam_s16-processed-gene-13.134-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-13.134&CDS=1-828, snap_masked-kam_s38-processed-gene-1.20-mRNA-1_1&gene=snap_masked-kam_s38-processed-gene-1.20&CDS=1-1152	YOL018C, YOR036W
OG0000049	genemark-kam_s167-processed-gene-0.1-mRNA-1_1&gene=genemark-kam_s167-processed-gene-0.1&CDS=1-852, snap_masked-kam_s12-processed-gene-0.11-mRNA-1_1&gene=snap_masked-kam_s12-processed-gene-0.11&CDS=1-1083, snap_masked-kam_s38-processed-gene-3.68-mRNA-1_1&gene=snap_masked-kam_s38-processed-gene-3.68&CDS=1-1098	YCR105W, YMR318C
OG0000050	genemark-kam_s120-processed-gene-0.97-mRNA-1_1&gene=genemark-kam_s120-processed-gene-0.97&CDS=1-1968, snap_masked-kam_s167-processed-gene-1.17-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.17&CDS=1-2196, snap_masked-kam_s274-processed-gene-0.16-mRNA-1_1&gene=snap_masked-kam_s274-processed-gene-0.16&CDS=1-1617	YLR098C, YOR337W
OG0000051	snap_masked-kam_s16-processed-gene-3.59-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-3.59&CDS=1-2319, snap_masked-kam_s86-processed-gene-0.18-mRNA-1_1&gene=snap_masked-kam_s86-processed-gene-0.18&CDS=1-2229	YAL053W, YGL139W, YPL221W
