	Candida_orthopsilosis	Saccharomyces_cerevisiae
OG0000010	augustus_masked-NC_018295.1-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-2.95&CDS=1-3030, genemark-NC_018295.1-processed-gene-8.105-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-8.105&CDS=1-2160, maker-NC_018295.1-augustus-gene-8.43-mRNA-1_1&gene=maker-NC_018295.1-augustus-gene-8.43&CDS=1-2223, maker-NC_018296.1-snap-gene-4.2-mRNA-1_1&gene=maker-NC_018296.1-snap-gene-4.2&CDS=1-4515, maker-NC_018302.1-snap-gene-3.44-mRNA-1_1&gene=maker-NC_018302.1-snap-gene-3.44&CDS=1-4482	YER015W, YIR034C
OG0000011	augustus_masked-NC_018292.1-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-1.106&CDS=1-1794, genemark-NC_018292.1-processed-gene-10.49-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.49&CDS=1-993, genemark-NC_018295.1-processed-gene-10.7-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-10.7&CDS=1-1026, genemark-NC_018296.1-processed-gene-0.68-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.68&CDS=1-1002	YKL128C, YOR340C
OG0000012	genemark-NC_018292.1-processed-gene-2.18-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-2.18&CDS=1-3105, genemark-NC_018296.1-processed-gene-8.5-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-8.5&CDS=1-2592, snap_masked-NC_018300.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NC_018300.1-processed-gene-0.57&CDS=1-2934	YER013W, YKR086W, YNR011C
OG0000013	genemark-NC_018292.1-processed-gene-20.70-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-20.70&CDS=1-1248, genemark-NC_018292.1-processed-gene-6.105-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.105&CDS=1-1317, genemark-NC_018301.1-processed-gene-1.54-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-1.54&CDS=1-1203, genemark-NC_018302.1-processed-gene-4.52-mRNA-1_1&gene=genemark-NC_018302.1-processed-gene-4.52&CDS=1-1218	YBR207W, YER145C
OG0000014	genemark-NC_018292.1-processed-gene-7.56-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.56&CDS=1-2604, genemark-NC_018296.1-processed-gene-7.60-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-7.60&CDS=1-2856, genemark-NC_018298.1-processed-gene-8.47-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-8.47&CDS=1-2550	YLL005C, YMR266W, YOL084W
OG0000015	genemark-NC_018292.1-processed-gene-11.34-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-11.34&CDS=1-1764, genemark-NC_018295.1-processed-gene-4.39-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-4.39&CDS=1-1878	YCL069W, YGR224W, YKR105C, YPR198W
OG0000016	augustus_masked-NC_018292.1-processed-gene-13.60-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-13.60&CDS=1-5718, augustus_masked-NC_018292.1-processed-gene-19.147-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-19.147&CDS=1-3684, snap_masked-NC_018300.1-processed-gene-6.46-mRNA-1_1&gene=snap_masked-NC_018300.1-processed-gene-6.46&CDS=1-1461	YDR523C, YHR102W, YML131W
OG0000017	genemark-NC_018295.1-processed-gene-6.47-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-6.47&CDS=1-1788, genemark-NC_018297.1-processed-gene-14.105-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-14.105&CDS=1-1761, genemark-NC_018298.1-processed-gene-12.67-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-12.67&CDS=1-1701, maker-NC_018292.1-augustus-gene-16.125-mRNA-1_1&gene=maker-NC_018292.1-augustus-gene-16.125&CDS=1-2976	YDL160C, YKR039W
OG0000018	genemark-NC_018292.1-processed-gene-26.59-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-26.59&CDS=1-3078, genemark-NC_018295.1-processed-gene-6.56-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-6.56&CDS=1-2487, genemark-NC_018296.1-processed-gene-9.21-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-9.21&CDS=1-3141	YBR245C, YFR038W, YOR304W
OG0000019	genemark-NC_018292.1-processed-gene-27.71-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-27.71&CDS=1-1827, genemark-NC_018295.1-processed-gene-23.68-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.68&CDS=1-1731, genemark-NC_018297.1-processed-gene-0.38-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-0.38&CDS=1-1425, genemark-NC_018301.1-processed-gene-7.68-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-7.68&CDS=1-1776	YDR338C, YHR032W
OG0000020	genemark-NC_018292.1-processed-gene-27.75-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-27.75&CDS=1-1992, genemark-NC_018300.1-processed-gene-0.5-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-0.5&CDS=1-1314, snap_masked-NC_018295.1-processed-gene-13.123-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-13.123&CDS=1-3243	YHL019C, YOL062C, YPL259C
OG0000021	augustus_masked-NC_018301.1-processed-gene-7.96-mRNA-1_1&gene=augustus_masked-NC_018301.1-processed-gene-7.96&CDS=1-810, genemark-NC_018295.1-processed-gene-5.106-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-5.106&CDS=1-783, genemark-NC_018301.1-processed-gene-7.58-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-7.58&CDS=1-828, maker-NC_018295.1-snap-gene-6.93-mRNA-1_1&gene=maker-NC_018295.1-snap-gene-6.93&CDS=1-2298	YCR010C, YNR002C
OG0000022	augustus_masked-NC_018295.1-processed-gene-8.73-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-8.73&CDS=1-1188, genemark-NC_018295.1-processed-gene-14.61-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-14.61&CDS=1-1515, genemark-NC_018295.1-processed-gene-8.103-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-8.103&CDS=1-1203, genemark-NC_018295.1-processed-gene-8.89-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-8.89&CDS=1-1203, genemark-NC_018300.1-processed-gene-8.44-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-8.44&CDS=1-1230, snap_masked-NC_018301.1-processed-gene-4.121-mRNA-1_1&gene=snap_masked-NC_018301.1-processed-gene-4.121&CDS=1-1131	
OG0000023	augustus_masked-NC_018295.1-processed-gene-8.72-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-8.72&CDS=1-1656, augustus_masked-NC_018295.1-processed-gene-8.74-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-8.74&CDS=1-1749, augustus_masked-NC_018295.1-processed-gene-8.75-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-8.75&CDS=1-3336	YDR144C, YLR120C, YLR121C
OG0000024	genemark-NC_018295.1-processed-gene-9.54-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-9.54&CDS=1-738, genemark-NC_018298.1-processed-gene-1.106-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-1.106&CDS=1-714	YDR533C, YMR322C, YOR391C, YPL280W
OG0000025	genemark-NC_018295.1-processed-gene-18.77-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-18.77&CDS=1-1686, genemark-NC_018296.1-processed-gene-15.103-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-15.103&CDS=1-1557, genemark-NC_018298.1-processed-gene-7.79-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-7.79&CDS=1-1371, genemark-NC_018301.1-processed-gene-8.127-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-8.127&CDS=1-1629	YBR139W, YMR297W
OG0000026	genemark-NC_018295.1-processed-gene-23.90-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.90&CDS=1-1764, maker-NC_018298.1-snap-gene-1.54-mRNA-1_1&gene=maker-NC_018298.1-snap-gene-1.54&CDS=1-2022	YBR298C, YDL247W, YGR289C, YJR160C
OG0000027	genemark-NC_018296.1-processed-gene-1.3-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-1.3&CDS=1-1497, genemark-NC_018298.1-processed-gene-12.64-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-12.64&CDS=1-2583, genemark-NC_018298.1-processed-gene-12.65-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-12.65&CDS=1-2922, genemark-NC_018298.1-processed-gene-12.66-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-12.66&CDS=1-3570	YBR150C, YOL089C
OG0000028	genemark-NC_018296.1-processed-gene-11.40-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-11.40&CDS=1-1569, genemark-NC_018297.1-processed-gene-13.41-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-13.41&CDS=1-2526, genemark-NC_018297.1-processed-gene-7.59-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-7.59&CDS=1-705, genemark-NC_018298.1-processed-gene-11.13-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-11.13&CDS=1-810, maker-NC_018300.1-snap-gene-6.4-mRNA-1_1&gene=maker-NC_018300.1-snap-gene-6.4&CDS=1-1575	YBR240C
OG0000029	genemark-NC_018292.1-processed-gene-0.82-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-0.82&CDS=1-2100, genemark-NC_018298.1-processed-gene-2.34-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-2.34&CDS=1-2451	YML111W, YMR275C, YNR069C
OG0000030	genemark-NC_018292.1-processed-gene-1.63-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-1.63&CDS=1-2406, genemark-NC_018298.1-processed-gene-8.64-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-8.64&CDS=1-2670, genemark-NC_018301.1-processed-gene-3.82-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-3.82&CDS=1-2763	YJL212C, YPR194C
OG0000031	genemark-NC_018292.1-processed-gene-7.54-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.54&CDS=1-2142, genemark-NC_018297.1-processed-gene-14.169-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-14.169&CDS=1-2196	YCR065W, YIL131C, YNL068C
OG0000032	genemark-NC_018292.1-processed-gene-7.60-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.60&CDS=1-4044, genemark-NC_018295.1-processed-gene-23.78-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.78&CDS=1-5040	YML072C, YNL087W, YOR086C
OG0000033	genemark-NC_018292.1-processed-gene-12.42-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.42&CDS=1-1788, genemark-NC_018292.1-processed-gene-28.31-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-28.31&CDS=1-2280, genemark-NC_018297.1-processed-gene-5.48-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-5.48&CDS=1-1809	YBR015C, YJL186W
OG0000034	genemark-NC_018292.1-processed-gene-13.20-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.20&CDS=1-1320, genemark-NC_018298.1-processed-gene-1.99-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-1.99&CDS=1-1206, genemark-NC_018301.1-processed-gene-4.5-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-4.5&CDS=1-1251	YKL106W, YLR027C
OG0000035	augustus_masked-NC_018298.1-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-NC_018298.1-processed-gene-5.40&CDS=1-3795, genemark-NC_018292.1-processed-gene-13.10-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.10&CDS=1-927, genemark-NC_018296.1-processed-gene-6.105-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-6.105&CDS=1-957	YDL236W, YGL141W
OG0000036	genemark-NC_018292.1-processed-gene-16.61-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.61&CDS=1-3927, snap_masked-NC_018300.1-processed-gene-1.29-mRNA-1_1&gene=snap_masked-NC_018300.1-processed-gene-1.29&CDS=1-4203	YCL024W, YDR507C, YKL101W
OG0000037	genemark-NC_018292.1-processed-gene-16.51-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.51&CDS=1-996	YDR541C, YGL039W, YGL157W, YOL151W
OG0000038	augustus_masked-NC_018292.1-processed-gene-17.114-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-17.114&CDS=1-2718, genemark-NC_018300.1-processed-gene-8.83-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-8.83&CDS=1-2097	YDR326C, YFL042C, YHR080C
OG0000039	genemark-NC_018292.1-processed-gene-17.57-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.57&CDS=1-1215, genemark-NC_018301.1-processed-gene-4.34-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-4.34&CDS=1-1194, maker-NC_018300.1-snap-gene-7.38-mRNA-1_1&gene=maker-NC_018300.1-snap-gene-7.38&CDS=1-2436	YHR179W, YPL171C
OG0000040	genemark-NC_018292.1-processed-gene-20.53-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-20.53&CDS=1-888, genemark-NC_018292.1-processed-gene-20.54-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-20.54&CDS=1-915, genemark-NC_018292.1-processed-gene-20.55-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-20.55&CDS=1-1050, maker-NC_018292.1-snap-gene-20.44-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-20.44&CDS=1-2052	YJR019C
OG0000041	genemark-NC_018292.1-processed-gene-25.21-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-25.21&CDS=1-1491, genemark-NC_018297.1-processed-gene-7.57-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-7.57&CDS=1-1503	YER073W, YMR169C, YMR170C
OG0000042	genemark-NC_018292.1-processed-gene-28.48-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-28.48&CDS=1-4158, genemark-NC_018297.1-processed-gene-11.31-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-11.31&CDS=1-1839	YDL229W, YJL034W, YNL209W
OG0000043	genemark-NC_018295.1-processed-gene-2.91-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-2.91&CDS=1-1263, genemark-NC_018300.1-processed-gene-6.84-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-6.84&CDS=1-3333, genemark-NC_018301.1-processed-gene-6.21-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-6.21&CDS=1-1395, genemark-NC_018301.1-processed-gene-6.44-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-6.44&CDS=1-1392	YPL210C
OG0000044	genemark-NC_018295.1-processed-gene-10.8-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-10.8&CDS=1-1416, snap_masked-NC_018301.1-processed-gene-3.51-mRNA-1_1&gene=snap_masked-NC_018301.1-processed-gene-3.51&CDS=1-1290	YGR177C, YGR212W, YOR377W
OG0000045	genemark-NC_018298.1-processed-gene-13.193-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-13.193&CDS=1-2271, maker-NC_018295.1-augustus-gene-15.55-mRNA-1_1&gene=maker-NC_018295.1-augustus-gene-15.55&CDS=1-2703, maker-NC_018295.1-snap-gene-14.87-mRNA-1_1&gene=maker-NC_018295.1-snap-gene-14.87&CDS=1-1857, snap_masked-NC_018295.1-processed-gene-14.129-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-14.129&CDS=1-2364	YPL178W
OG0000046	genemark-NC_018295.1-processed-gene-14.63-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-14.63&CDS=1-2226, genemark-NC_018297.1-processed-gene-3.124-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-3.124&CDS=1-2331, genemark-NC_018300.1-processed-gene-2.69-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-2.69&CDS=1-2562	YGL257C, YNR059W
OG0000047	augustus_masked-NC_018302.1-processed-gene-5.134-mRNA-1_1&gene=augustus_masked-NC_018302.1-processed-gene-5.134&CDS=1-3165, genemark-NC_018295.1-processed-gene-14.67-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-14.67&CDS=1-3267	YDR038C, YDR039C, YDR040C
OG0000048	genemark-NC_018295.1-processed-gene-16.9-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-16.9&CDS=1-1584, genemark-NC_018295.1-processed-gene-22.14-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.14&CDS=1-1680, genemark-NC_018298.1-processed-gene-9.53-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-9.53&CDS=1-1593	YLR343W, YMR307W
OG0000049	genemark-NC_018295.1-processed-gene-17.96-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-17.96&CDS=1-2880, genemark-NC_018295.1-processed-gene-19.54-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-19.54&CDS=1-2658	YCR037C, YJL198W, YNR013C
OG0000050	genemark-NC_018295.1-processed-gene-19.55-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-19.55&CDS=1-1044, maker-NC_018301.1-snap-gene-1.83-mRNA-1_1&gene=maker-NC_018301.1-snap-gene-1.83&CDS=1-1329	YHR146W, YIL024C, YNL173C
OG0000051	augustus_masked-NC_018296.1-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-3.3&CDS=1-4311, genemark-NC_018296.1-processed-gene-3.28-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-3.28&CDS=1-1272, genemark-NC_018296.1-processed-gene-3.43-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-3.43&CDS=1-2172	YDL174C, YGL205W
OG0000052	genemark-NC_018296.1-processed-gene-5.106-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-5.106&CDS=1-2967, genemark-NC_018301.1-processed-gene-7.49-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-7.49&CDS=1-3402	YIL002C, YNL106C, YOR109W
OG0000053	snap_masked-NC_018297.1-processed-gene-3.54-mRNA-1_1&gene=snap_masked-NC_018297.1-processed-gene-3.54&CDS=1-5034	YBL017C, YIL173W, YJL222W, YNR065C
OG0000054	genemark-NC_018297.1-processed-gene-3.127-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-3.127&CDS=1-1461, genemark-NC_018297.1-processed-gene-4.49-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-4.49&CDS=1-1473	YIL120W, YIL121W, YNL065W
OG0000055	genemark-NC_018297.1-processed-gene-10.48-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-10.48&CDS=1-1629, genemark-NC_018298.1-processed-gene-13.171-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-13.171&CDS=1-1872, genemark-NC_018300.1-processed-gene-2.43-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-2.43&CDS=1-3051	YHR206W, YOR140W
OG0000056	genemark-NC_018297.1-processed-gene-13.39-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-13.39&CDS=1-3057, genemark-NC_018301.1-processed-gene-3.75-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-3.75&CDS=1-2988, genemark-NC_018302.1-processed-gene-4.53-mRNA-1_1&gene=genemark-NC_018302.1-processed-gene-4.53&CDS=1-3045	YBR038W, YNL192W
OG0000057	augustus_masked-NC_018298.1-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-NC_018298.1-processed-gene-3.67&CDS=1-1302, genemark-NC_018300.1-processed-gene-4.6-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-4.6&CDS=1-1824, maker-NC_018298.1-augustus-gene-1.0-mRNA-1_1&gene=maker-NC_018298.1-augustus-gene-1.0&CDS=1-2553	YJL172W, YOL153C
OG0000058	genemark-NC_018298.1-processed-gene-7.74-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-7.74&CDS=1-1200, genemark-NC_018300.1-processed-gene-9.95-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-9.95&CDS=1-408, maker-NC_018298.1-snap-gene-7.4-mRNA-1_1&gene=maker-NC_018298.1-snap-gene-7.4&CDS=1-1971	YDR134C, YLR110C
OG0000059	genemark-NC_018298.1-processed-gene-8.46-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-8.46&CDS=1-4554, genemark-NC_018301.1-processed-gene-0.2-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-0.2&CDS=1-4434, snap_masked-NC_018302.1-processed-gene-4.92-mRNA-1_1&gene=snap_masked-NC_018302.1-processed-gene-4.92&CDS=1-4509	YNR070W, YOR153W
OG0000060	genemark-NC_018301.1-processed-gene-0.31-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-0.31&CDS=1-1695	YBR297W, YFL052W, YGR288W, YPR196W
