	Metschnikowia_matae	Saccharomyces_cerevisiae
OG0000010	augustus_masked-mat-_s396-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mat-_s396-processed-gene-0.2&CDS=1-312, genemark-mat-_s480-processed-gene-1.8-mRNA-1_1&gene=genemark-mat-_s480-processed-gene-1.8&CDS=1-4155, maker-mat-_s171-augustus-gene-1.103-mRNA-1_1&gene=maker-mat-_s171-augustus-gene-1.103&CDS=1-2376, snap_masked-mat-_C44921-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mat-_C44921-processed-gene-0.0&CDS=1-4164	YCL024W, YDR477W, YDR507C, YKL101W
OG0000011	augustus_masked-mat-_s504-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mat-_s504-processed-gene-0.1&CDS=1-2325, snap_masked-mat-_s104-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mat-_s104-processed-gene-0.1&CDS=1-2265, snap_masked-mat-_s362-processed-gene-0.51-mRNA-1_1&gene=snap_masked-mat-_s362-processed-gene-0.51&CDS=1-2262, snap_masked-mat-_s641-processed-gene-0.170-mRNA-1_1&gene=snap_masked-mat-_s641-processed-gene-0.170&CDS=1-1773, snap_masked-mat-_s66-processed-gene-2.154-mRNA-1_1&gene=snap_masked-mat-_s66-processed-gene-2.154&CDS=1-2226, snap_masked-mat-_s67-processed-gene-0.56-mRNA-1_1&gene=snap_masked-mat-_s67-processed-gene-0.56&CDS=1-1785	YJR061W, YKL201C
OG0000012	augustus_masked-mat-_s72-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-mat-_s72-processed-gene-0.51&CDS=1-3426, snap_masked-mat-_s112-processed-gene-0.196-mRNA-1_1&gene=snap_masked-mat-_s112-processed-gene-0.196&CDS=1-2646, snap_masked-mat-_s66-processed-gene-2.158-mRNA-1_1&gene=snap_masked-mat-_s66-processed-gene-2.158&CDS=1-3300, snap_masked-mat-_s732-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mat-_s732-processed-gene-0.0&CDS=1-2277	YER013W, YGL120C, YKR086W, YNR011C
OG0000013	augustus_masked-mat-_s174-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-mat-_s174-processed-gene-0.62&CDS=1-375, augustus_masked-mat-_s71-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-mat-_s71-processed-gene-0.106&CDS=1-459, snap_masked-mat-_s253-processed-gene-1.135-mRNA-1_1&gene=snap_masked-mat-_s253-processed-gene-1.135&CDS=1-2178, snap_masked-mat-_s4-processed-gene-0.34-mRNA-1_1&gene=snap_masked-mat-_s4-processed-gene-0.34&CDS=1-384, snap_masked-mat-_s508-processed-gene-0.31-mRNA-1_1&gene=snap_masked-mat-_s508-processed-gene-0.31&CDS=1-588	YGL089C, YGR128C, YPL187W
OG0000014	snap_masked-mat-_s574-processed-gene-0.88-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.88&CDS=1-1692	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000015	augustus_masked-mat-_s101-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-mat-_s101-processed-gene-0.158&CDS=1-1170, augustus_masked-mat-_s189-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-mat-_s189-processed-gene-0.14&CDS=1-966, genemark-mat-_s512-processed-gene-0.30-mRNA-1_1&gene=genemark-mat-_s512-processed-gene-0.30&CDS=1-957	YBL068W, YER099C, YHL011C, YOL061W
OG0000016	genemark-mat-_s501-processed-gene-0.5-mRNA-1_1&gene=genemark-mat-_s501-processed-gene-0.5&CDS=1-627, snap_masked-mat-_s104-processed-gene-0.10-mRNA-1_1&gene=snap_masked-mat-_s104-processed-gene-0.10&CDS=1-1095, snap_masked-mat-_s123-processed-gene-0.25-mRNA-1_1&gene=snap_masked-mat-_s123-processed-gene-0.25&CDS=1-1089, snap_masked-mat-_s362-processed-gene-0.84-mRNA-1_1&gene=snap_masked-mat-_s362-processed-gene-0.84&CDS=1-1080, snap_masked-mat-_s84-processed-gene-0.47-mRNA-1_1&gene=snap_masked-mat-_s84-processed-gene-0.47&CDS=1-1080	YCR105W, YMR318C
OG0000017	augustus_masked-mat-_s156-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-mat-_s156-processed-gene-2.70&CDS=1-2295, augustus_masked-mat-_s377-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-mat-_s377-processed-gene-0.8&CDS=1-903, genemark-mat-_s712-processed-gene-0.0-mRNA-1_1&gene=genemark-mat-_s712-processed-gene-0.0&CDS=1-2457, snap_masked-mat-_s298-processed-gene-0.10-mRNA-1_1&gene=snap_masked-mat-_s298-processed-gene-0.10&CDS=1-2214	YGL014W, YGL178W, YNL329C
OG0000018	augustus_masked-mat-_s591-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-mat-_s591-processed-gene-1.32&CDS=1-1605, genemark-mat-_s611-processed-gene-0.3-mRNA-1_1&gene=genemark-mat-_s611-processed-gene-0.3&CDS=1-1863, snap_masked-mat-_s667-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mat-_s667-processed-gene-0.6&CDS=1-1155, snap_masked-mat-_s672-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mat-_s672-processed-gene-0.0&CDS=1-1140	YLL057C, YLR377C, YPR040W
OG0000019	augustus_masked-mat-_C31533-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_C31533-processed-gene-0.0&CDS=1-219, augustus_masked-mat-_s291-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-mat-_s291-processed-gene-0.13&CDS=1-261, snap_masked-mat-_s297-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mat-_s297-processed-gene-0.5&CDS=1-1266, snap_masked-mat-_s397-processed-gene-0.87-mRNA-1_1&gene=snap_masked-mat-_s397-processed-gene-0.87&CDS=1-1530	YER028C, YGL209W
OG0000020	augustus_masked-mat-_s480-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-mat-_s480-processed-gene-1.124&CDS=1-2547, snap_masked-mat-_C45125-processed-gene-0.21-mRNA-1_1&gene=snap_masked-mat-_C45125-processed-gene-0.21&CDS=1-1722, snap_masked-mat-_s165-processed-gene-0.20-mRNA-1_1&gene=snap_masked-mat-_s165-processed-gene-0.20&CDS=1-1671	YBR298C, YDL247W, YJR160C
OG0000021	augustus_masked-mat-_s33-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mat-_s33-processed-gene-0.1&CDS=1-2367, maker-mat-_s101-snap-gene-0.8-mRNA-1_1&gene=maker-mat-_s101-snap-gene-0.8&CDS=1-1476, snap_masked-mat-_s135-processed-gene-0.42-mRNA-1_1&gene=snap_masked-mat-_s135-processed-gene-0.42&CDS=1-2217	YDL025C, YNL183C, YOR267C
OG0000022	snap_masked-mat-_s115-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mat-_s115-processed-gene-0.6&CDS=1-792, snap_masked-mat-_s302-processed-gene-0.9-mRNA-1_1&gene=snap_masked-mat-_s302-processed-gene-0.9&CDS=1-771, snap_masked-mat-_s488-processed-gene-0.105-mRNA-1_1&gene=snap_masked-mat-_s488-processed-gene-0.105&CDS=1-771, snap_masked-mat-_s512-processed-gene-0.178-mRNA-1_1&gene=snap_masked-mat-_s512-processed-gene-0.178&CDS=1-759	YCR010C, YNR002C
OG0000023	augustus_masked-mat-_s118-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-mat-_s118-processed-gene-0.63&CDS=1-2076, maker-mat-_s253-snap-gene-2.258-mRNA-1_1&gene=maker-mat-_s253-snap-gene-2.258&CDS=1-2145, snap_masked-mat-_s324-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mat-_s324-processed-gene-0.8&CDS=1-1374	YBR118W, YKR084C, YPR080W
OG0000024	augustus_masked-mat-_s132-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-mat-_s132-processed-gene-0.9&CDS=1-711, snap_masked-mat-_s291-processed-gene-0.23-mRNA-1_1&gene=snap_masked-mat-_s291-processed-gene-0.23&CDS=1-516, snap_masked-mat-_s307-processed-gene-0.34-mRNA-1_1&gene=snap_masked-mat-_s307-processed-gene-0.34&CDS=1-2106, snap_masked-mat-_s509-processed-gene-1.90-mRNA-1_1&gene=snap_masked-mat-_s509-processed-gene-1.90&CDS=1-1716	YKR008W, YLR399C
OG0000025	snap_masked-mat-_s156-processed-gene-1.87-mRNA-1_1&gene=snap_masked-mat-_s156-processed-gene-1.87&CDS=1-1074, snap_masked-mat-_s19-processed-gene-0.95-mRNA-1_1&gene=snap_masked-mat-_s19-processed-gene-0.95&CDS=1-1287	YIL123W, YJL116C, YKR042W, YNL066W
