	Kuraishia_capsulata	Saccharomyces_cerevisiae
OG0000010	genemark-HG793126-processed-gene-4.5-mRNA-1_1&gene=genemark-HG793126-processed-gene-4.5&CDS=1-3351, genemark-HG793126-processed-gene-6.115-mRNA-1_1&gene=genemark-HG793126-processed-gene-6.115&CDS=1-2280, genemark-HG793126-processed-gene-6.146-mRNA-1_1&gene=genemark-HG793126-processed-gene-6.146&CDS=1-2697, genemark-HG793129-processed-gene-3.83-mRNA-1_1&gene=genemark-HG793129-processed-gene-3.83&CDS=1-2991	YER013W, YGL120C, YKR086W, YNR011C
OG0000011	genemark-HG793126-processed-gene-16.210-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.210&CDS=1-1575, genemark-HG793127-processed-gene-15.212-mRNA-1_1&gene=genemark-HG793127-processed-gene-15.212&CDS=1-1572, genemark-HG793128-processed-gene-15.230-mRNA-1_1&gene=genemark-HG793128-processed-gene-15.230&CDS=1-1536, genemark-HG793128-processed-gene-7.162-mRNA-1_1&gene=genemark-HG793128-processed-gene-7.162&CDS=1-1575, maker-HG793127-augustus-gene-15.325-mRNA-1_1&gene=maker-HG793127-augustus-gene-15.325&CDS=1-1542, maker-HG793128-augustus-gene-0.94-mRNA-1_1&gene=maker-HG793128-augustus-gene-0.94&CDS=1-2316	YGR207C, YJR152W
OG0000012	genemark-HG793129-processed-gene-6.90-mRNA-1_1&gene=genemark-HG793129-processed-gene-6.90&CDS=1-1830, genemark-HG793131-processed-gene-0.3-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.3&CDS=1-1824	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C
OG0000013	augustus_masked-HG793129-processed-gene-9.19-mRNA-1_1&gene=augustus_masked-HG793129-processed-gene-9.19&CDS=1-1614, genemark-HG793129-processed-gene-9.116-mRNA-1_1&gene=genemark-HG793129-processed-gene-9.116&CDS=1-1779, genemark-HG793131-processed-gene-5.82-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.82&CDS=1-1638, maker-HG793131-snap-gene-6.158-mRNA-1_1&gene=maker-HG793131-snap-gene-6.158&CDS=1-3510	YCL069W, YGR224W, YKR105C, YPR198W
OG0000014	genemark-HG793127-processed-gene-12.120-mRNA-1_1&gene=genemark-HG793127-processed-gene-12.120&CDS=1-1596, genemark-HG793128-processed-gene-0.55-mRNA-1_1&gene=genemark-HG793128-processed-gene-0.55&CDS=1-1692, genemark-HG793129-processed-gene-3.67-mRNA-1_1&gene=genemark-HG793129-processed-gene-3.67&CDS=1-1650	YBR298C, YDL247W, YGR289C, YJR160C
OG0000015	genemark-HG793128-processed-gene-4.14-mRNA-1_1&gene=genemark-HG793128-processed-gene-4.14&CDS=1-2121, genemark-HG793131-processed-gene-10.121-mRNA-1_1&gene=genemark-HG793131-processed-gene-10.121&CDS=1-2103	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000016	genemark-HG793131-processed-gene-10.91-mRNA-1_1&gene=genemark-HG793131-processed-gene-10.91&CDS=1-1707, maker-HG793129-snap-gene-1.104-mRNA-1_1&gene=maker-HG793129-snap-gene-1.104&CDS=1-2385, maker-HG793129-snap-gene-5.152-mRNA-1_1&gene=maker-HG793129-snap-gene-5.152&CDS=1-4740	YGL012W, YGL178W, YHR179W, YPL171C
OG0000017	augustus_masked-HG793131-processed-gene-10.26-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-10.26&CDS=1-2475, genemark-HG793125-processed-gene-0.65-mRNA-1_1&gene=genemark-HG793125-processed-gene-0.65&CDS=1-2268, genemark-HG793127-processed-gene-15.209-mRNA-1_1&gene=genemark-HG793127-processed-gene-15.209&CDS=1-2427, maker-HG793125-augustus-gene-14.146-mRNA-1_1&gene=maker-HG793125-augustus-gene-14.146&CDS=1-4104	YDR452W, YPR022C
OG0000018	augustus_masked-HG793130-processed-gene-9.116-mRNA-1_1&gene=augustus_masked-HG793130-processed-gene-9.116&CDS=1-3153, genemark-HG793125-processed-gene-6.62-mRNA-1_1&gene=genemark-HG793125-processed-gene-6.62&CDS=1-1740, genemark-HG793127-processed-gene-13.119-mRNA-1_1&gene=genemark-HG793127-processed-gene-13.119&CDS=1-1719, genemark-HG793129-processed-gene-13.8-mRNA-1_1&gene=genemark-HG793129-processed-gene-13.8&CDS=1-1767	YDL174C, YPL245W
OG0000019	genemark-HG793125-processed-gene-10.116-mRNA-1_1&gene=genemark-HG793125-processed-gene-10.116&CDS=1-1032, genemark-HG793125-processed-gene-7.54-mRNA-1_1&gene=genemark-HG793125-processed-gene-7.54&CDS=1-1023, genemark-HG793126-processed-gene-0.29-mRNA-1_1&gene=genemark-HG793126-processed-gene-0.29&CDS=1-1038, genemark-HG793128-processed-gene-9.46-mRNA-1_1&gene=genemark-HG793128-processed-gene-9.46&CDS=1-1038, maker-HG793127-snap-gene-4.96-mRNA-1_1&gene=maker-HG793127-snap-gene-4.96&CDS=1-2010	YPL088W
OG0000020	genemark-HG793126-processed-gene-13.113-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.113&CDS=1-732, genemark-HG793126-processed-gene-3.61-mRNA-1_1&gene=genemark-HG793126-processed-gene-3.61&CDS=1-732, genemark-HG793128-processed-gene-8.33-mRNA-1_1&gene=genemark-HG793128-processed-gene-8.33&CDS=1-732, genemark-HG793131-processed-gene-5.103-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.103&CDS=1-735, snap_masked-HG793125-processed-gene-16.93-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-16.93&CDS=1-756	YKL071W
OG0000021	genemark-HG793125-processed-gene-21.66-mRNA-1_1&gene=genemark-HG793125-processed-gene-21.66&CDS=1-1629, genemark-HG793125-processed-gene-22.122-mRNA-1_1&gene=genemark-HG793125-processed-gene-22.122&CDS=1-1761, genemark-HG793127-processed-gene-4.124-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.124&CDS=1-1683, genemark-HG793128-processed-gene-12.130-mRNA-1_1&gene=genemark-HG793128-processed-gene-12.130&CDS=1-1749, genemark-HG793130-processed-gene-0.125-mRNA-1_1&gene=genemark-HG793130-processed-gene-0.125&CDS=1-1761	YIL166C
OG0000022	augustus_masked-HG793126-processed-gene-3.144-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-3.144&CDS=1-2481, genemark-HG793126-processed-gene-9.102-mRNA-1_1&gene=genemark-HG793126-processed-gene-9.102&CDS=1-2022	YJL099W, YKR027W, YMR237W, YOR299W
OG0000023	maker-HG793126-snap-gene-5.0-mRNA-1_1&gene=maker-HG793126-snap-gene-5.0&CDS=1-2712	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000024	augustus_masked-HG793127-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-1.22&CDS=1-1500, genemark-HG793131-processed-gene-9.102-mRNA-1_1&gene=genemark-HG793131-processed-gene-9.102&CDS=1-1548, maker-HG793129-augustus-gene-4.0-mRNA-1_1&gene=maker-HG793129-augustus-gene-4.0&CDS=1-3252	YDR144C, YLR120C, YLR121C
OG0000025	genemark-HG793129-processed-gene-0.42-mRNA-1_1&gene=genemark-HG793129-processed-gene-0.42&CDS=1-4557, genemark-HG793130-processed-gene-4.44-mRNA-1_1&gene=genemark-HG793130-processed-gene-4.44&CDS=1-4701	YBL017C, YIL173W, YJL222W, YNR065C
OG0000026	genemark-HG793125-processed-gene-1.163-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.163&CDS=1-2172, genemark-HG793125-processed-gene-20.132-mRNA-1_1&gene=genemark-HG793125-processed-gene-20.132&CDS=1-1770, genemark-HG793127-processed-gene-8.0-mRNA-1_1&gene=genemark-HG793127-processed-gene-8.0&CDS=1-1680, genemark-HG793130-processed-gene-4.25-mRNA-1_1&gene=genemark-HG793130-processed-gene-4.25&CDS=1-2031	YBR015C
OG0000027	genemark-HG793125-processed-gene-5.187-mRNA-1_1&gene=genemark-HG793125-processed-gene-5.187&CDS=1-3483, genemark-HG793126-processed-gene-1.97-mRNA-1_1&gene=genemark-HG793126-processed-gene-1.97&CDS=1-4035	YML072C, YNL087W, YOR086C
OG0000028	genemark-HG793125-processed-gene-12.70-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.70&CDS=1-1989, genemark-HG793127-processed-gene-1.129-mRNA-1_1&gene=genemark-HG793127-processed-gene-1.129&CDS=1-1908, genemark-HG793128-processed-gene-0.54-mRNA-1_1&gene=genemark-HG793128-processed-gene-0.54&CDS=1-1707	YLR098C, YOR337W
OG0000029	augustus_masked-HG793125-processed-gene-20.26-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-20.26&CDS=1-6468, genemark-HG793125-processed-gene-22.130-mRNA-1_1&gene=genemark-HG793125-processed-gene-22.130&CDS=1-1341, genemark-HG793127-processed-gene-15.168-mRNA-1_1&gene=genemark-HG793127-processed-gene-15.168&CDS=1-1614, genemark-HG793131-processed-gene-0.2-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.2&CDS=1-1692	YNL297C
OG0000030	genemark-HG793125-processed-gene-22.157-mRNA-1_1&gene=genemark-HG793125-processed-gene-22.157&CDS=1-2145, genemark-HG793127-processed-gene-3.105-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.105&CDS=1-2943, maker-HG793125-snap-gene-22.272-mRNA-1_1&gene=maker-HG793125-snap-gene-22.272&CDS=1-2139	YLR144C, YNR067C
OG0000031	augustus_masked-HG793126-processed-gene-9.22-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-9.22&CDS=1-3981, genemark-HG793125-processed-gene-22.125-mRNA-1_1&gene=genemark-HG793125-processed-gene-22.125&CDS=1-4143, genemark-HG793126-processed-gene-9.99-mRNA-1_1&gene=genemark-HG793126-processed-gene-9.99&CDS=1-4140, genemark-HG793130-processed-gene-12.245-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.245&CDS=1-4197	YGR281W
OG0000032	augustus_masked-HG793126-processed-gene-13.2-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-13.2&CDS=1-2580, genemark-HG793126-processed-gene-2.163-mRNA-1_1&gene=genemark-HG793126-processed-gene-2.163&CDS=1-2607, genemark-HG793131-processed-gene-2.92-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.92&CDS=1-2598	YHR047C, YIL137C
OG0000033	genemark-HG793126-processed-gene-9.67-mRNA-1_1&gene=genemark-HG793126-processed-gene-9.67&CDS=1-2250, genemark-HG793130-processed-gene-10.22-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.22&CDS=1-2943	YDR326C, YFL042C, YHR080C
OG0000034	augustus_masked-HG793126-processed-gene-11.145-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-11.145&CDS=1-1125, augustus_masked-HG793126-processed-gene-11.146-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-11.146&CDS=1-1125, augustus_masked-HG793126-processed-gene-11.147-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-11.147&CDS=1-1128, snap_masked-HG793129-processed-gene-7.153-mRNA-1_1&gene=snap_masked-HG793129-processed-gene-7.153&CDS=1-1110	YNR074C
OG0000035	genemark-HG793126-processed-gene-12.134-mRNA-1_1&gene=genemark-HG793126-processed-gene-12.134&CDS=1-1125, genemark-HG793128-processed-gene-15.219-mRNA-1_1&gene=genemark-HG793128-processed-gene-15.219&CDS=1-1128	YCR102C, YLR460C, YNL134C
OG0000036	genemark-HG793126-processed-gene-16.198-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.198&CDS=1-1692, genemark-HG793131-processed-gene-4.37-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.37&CDS=1-1749	YLR237W, YOR071C, YOR192C
OG0000037	genemark-HG793127-processed-gene-7.1-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.1&CDS=1-2442, genemark-HG793129-processed-gene-10.93-mRNA-1_1&gene=genemark-HG793129-processed-gene-10.93&CDS=1-2508	YCR037C, YJL198W, YNR013C
OG0000038	genemark-HG793127-processed-gene-9.23-mRNA-1_1&gene=genemark-HG793127-processed-gene-9.23&CDS=1-3033, genemark-HG793129-processed-gene-6.71-mRNA-1_1&gene=genemark-HG793129-processed-gene-6.71&CDS=1-2889	YDR216W, YJR127C, YML081W
OG0000039	genemark-HG793127-processed-gene-15.140-mRNA-1_1&gene=genemark-HG793127-processed-gene-15.140&CDS=1-708	YDR533C, YMR322C, YOR391C, YPL280W
OG0000040	genemark-HG793128-processed-gene-6.47-mRNA-1_1&gene=genemark-HG793128-processed-gene-6.47&CDS=1-2139, snap_masked-HG793129-processed-gene-13.85-mRNA-1_1&gene=snap_masked-HG793129-processed-gene-13.85&CDS=1-2016	YDR475C, YGR237C, YOR019W
OG0000041	genemark-HG793128-processed-gene-11.163-mRNA-1_1&gene=genemark-HG793128-processed-gene-11.163&CDS=1-1044, genemark-HG793129-processed-gene-10.112-mRNA-1_1&gene=genemark-HG793129-processed-gene-10.112&CDS=1-1047	YMR083W, YMR303C, YOL086C
OG0000042	genemark-HG793129-processed-gene-6.62-mRNA-1_1&gene=genemark-HG793129-processed-gene-6.62&CDS=1-897	YDL244W, YFL058W, YJR156C, YNL332W
OG0000043	genemark-HG793129-processed-gene-12.35-mRNA-1_1&gene=genemark-HG793129-processed-gene-12.35&CDS=1-1983, genemark-HG793130-processed-gene-1.106-mRNA-1_1&gene=genemark-HG793130-processed-gene-1.106&CDS=1-1317, genemark-HG793130-processed-gene-12.247-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.247&CDS=1-1989	YFL021W, YKR034W
OG0000044	genemark-HG793130-processed-gene-2.29-mRNA-1_1&gene=genemark-HG793130-processed-gene-2.29&CDS=1-852	YBR297W, YFL052W, YGR288W, YPR196W
OG0000045	genemark-HG793131-processed-gene-2.94-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.94&CDS=1-2676	YER001W, YGL257C, YIL014W, YNR059W
OG0000046	genemark-HG793125-processed-gene-0.53-mRNA-1_1&gene=genemark-HG793125-processed-gene-0.53&CDS=1-1551, genemark-HG793129-processed-gene-0.35-mRNA-1_1&gene=genemark-HG793129-processed-gene-0.35&CDS=1-1551	YGL077C, YNR056C
OG0000047	genemark-HG793125-processed-gene-8.103-mRNA-1_1&gene=genemark-HG793125-processed-gene-8.103&CDS=1-2043, maker-HG793125-snap-gene-4.90-mRNA-1_1&gene=maker-HG793125-snap-gene-4.90&CDS=1-2394	YLR188W, YPL270W
OG0000048	genemark-HG793125-processed-gene-4.134-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.134&CDS=1-1725, genemark-HG793130-processed-gene-10.11-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.11&CDS=1-1914	YIL038C, YPR072W
OG0000049	augustus_masked-HG793125-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-6.98&CDS=1-1485, genemark-HG793130-processed-gene-9.42-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.42&CDS=1-1299	YOL027C, YPR125W
OG0000050	genemark-HG793125-processed-gene-6.56-mRNA-1_1&gene=genemark-HG793125-processed-gene-6.56&CDS=1-1572, genemark-HG793126-processed-gene-13.153-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.153&CDS=1-1752	YNL095C, YOR092W
OG0000051	genemark-HG793125-processed-gene-7.75-mRNA-1_1&gene=genemark-HG793125-processed-gene-7.75&CDS=1-864, genemark-HG793125-processed-gene-7.76-mRNA-1_1&gene=genemark-HG793125-processed-gene-7.76&CDS=1-915	YBR183W, YPL087W
OG0000052	augustus_masked-HG793125-processed-gene-20.23-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-20.23&CDS=1-2508, genemark-HG793125-processed-gene-8.142-mRNA-1_1&gene=genemark-HG793125-processed-gene-8.142&CDS=1-1338	YBR028C, YJR032W
