	Saccharomyces_cerevisiae	yHMPu5000035018_Candida_canberraensis
OG0000010	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-2.86&CDS=1-4314, snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-0.19&CDS=1-4590
OG0000011	YBR067C, YEL049W, YER011W, YIL011W, YOR009W, YOR010C	
OG0000012	YBR207W, YER145C	genemark-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-5.233-mRNA-1_1&gene=genemark-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-5.233&CDS=1-1176, snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-3.223-mRNA-1_1&gene=snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-3.223&CDS=1-1173, snap_masked-NODE_25_length_210459_cov_14.7801_ID_49-processed-gene-1.75-mRNA-1_1&gene=snap_masked-NODE_25_length_210459_cov_14.7801_ID_49-processed-gene-1.75&CDS=1-1146, snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-3.87-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-3.87&CDS=1-1242
OG0000013	YCR102C, YLR460C, YNL134C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-8.99-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-8.99&CDS=1-1089, snap_masked-NODE_30_length_88583_cov_14.424_ID_59-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_30_length_88583_cov_14.424_ID_59-processed-gene-0.18&CDS=1-1101, snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-1.45-mRNA-1_1&gene=snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-1.45&CDS=1-1104
OG0000014	YER054C, YIL045W, YLR273C, YOR178C	genemark-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-4.31-mRNA-1_1&gene=genemark-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-4.31&CDS=1-1701, snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-2.115-mRNA-1_1&gene=snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-2.115&CDS=1-1935
OG0000015	YHL034C, YIR001C, YLL046C	augustus_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-0.8&CDS=1-909, snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-0.4&CDS=1-456, snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-2.102-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-2.102&CDS=1-585
OG0000016	YKR039W	genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-11.24-mRNA-1_1&gene=genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-11.24&CDS=1-1752, genemark-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-6.96-mRNA-1_1&gene=genemark-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-6.96&CDS=1-1713, snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-10.119-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-10.119&CDS=1-1764, snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-6.55-mRNA-1_1&gene=snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-6.55&CDS=1-1734, snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-2.76-mRNA-1_1&gene=snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-2.76&CDS=1-1722
OG0000017	YBL068W, YER099C, YHL011C	snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-3.205-mRNA-1_1&gene=snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-3.205&CDS=1-960, snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-6.28-mRNA-1_1&gene=snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-6.28&CDS=1-969
OG0000018	YBL089W, YER119C, YIL088C	genemark-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-6.102-mRNA-1_1&gene=genemark-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-6.102&CDS=1-1416, snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-4.68-mRNA-1_1&gene=snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-4.68&CDS=1-1326
OG0000019	YBR010W, YNL031C	snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-3.156-mRNA-1_1&gene=snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-3.156&CDS=1-408, snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-3.50-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-3.50&CDS=1-408, snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-0.28&CDS=1-408
OG0000020	YBR015C, YJL186W	snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-3.150-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-3.150&CDS=1-1743, snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-6.95-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-6.95&CDS=1-2121, snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-1.69-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-1.69&CDS=1-1692
OG0000021	YBR062C, YDR143C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-1.32-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-1.32&CDS=1-576, snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-3.66-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-3.66&CDS=1-1113, snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-1.47-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-1.47&CDS=1-1461
OG0000022	YBR089C-A, YDR174W, YPR052C	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-8.100-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-8.100&CDS=1-786, snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-6.1-mRNA-1_1&gene=snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-6.1&CDS=1-285
OG0000023	YBR278W, YER159C	genemark-NODE_156_length_395_cov_0.722628_ID_311-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_156_length_395_cov_0.722628_ID_311-processed-gene-0.0&CDS=1-315, genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-6.22-mRNA-1_1&gene=genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-6.22&CDS=1-552, snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-4.75-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-4.75&CDS=1-735
OG0000024	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-0.2&CDS=1-2313
OG0000025	YBR298C, YDL247W, YGR289C, YJR160C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-2.106-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-2.106&CDS=1-1752
OG0000026	YCL024W, YDR507C, YKL101W	maker-NODE_15_length_463217_cov_12.2587_ID_29-snap-gene-1.65-mRNA-1_1&gene=maker-NODE_15_length_463217_cov_12.2587_ID_29-snap-gene-1.65&CDS=1-4434, snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-10.122-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-10.122&CDS=1-4458
OG0000027	YCL036W, YDR514C	augustus_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-2.43&CDS=1-813, snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-2.80-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-2.80&CDS=1-807, snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-2.82-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-2.82&CDS=1-741
OG0000028	YCR105W, YMR318C	snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-1.10-mRNA-1_1&gene=snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-1.10&CDS=1-1107, snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-1.22-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-1.22&CDS=1-1104, snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-0.2&CDS=1-1113
OG0000029	YDL222C, YML052W, YNL194C	genemark-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-2.11-mRNA-1_1&gene=genemark-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-2.11&CDS=1-708, snap_masked-NODE_23_length_252339_cov_12.3514_ID_45-processed-gene-1.61-mRNA-1_1&gene=snap_masked-NODE_23_length_252339_cov_12.3514_ID_45-processed-gene-1.61&CDS=1-795
OG0000030	YDL244W, YFL058W, YJR156C, YNL332W	snap_masked-NODE_26_length_182433_cov_12.5761_ID_51-processed-gene-0.160-mRNA-1_1&gene=snap_masked-NODE_26_length_182433_cov_12.5761_ID_51-processed-gene-0.160&CDS=1-1014
OG0000031	YDR038C, YDR039C, YDR040C	augustus_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-3.38&CDS=1-4230, snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-2.41-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-2.41&CDS=1-3186
OG0000032	YDR368W, YOR120W	genemark-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-8.58-mRNA-1_1&gene=genemark-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-8.58&CDS=1-918, snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-6.54-mRNA-1_1&gene=snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-6.54&CDS=1-975, snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-5.9-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-5.9&CDS=1-903
OG0000033	YDR533C, YMR322C, YOR391C, YPL280W	maker-NODE_11_length_523697_cov_18.1994_ID_21-augustus-gene-1.87-mRNA-1_1&gene=maker-NODE_11_length_523697_cov_18.1994_ID_21-augustus-gene-1.87&CDS=1-1638
OG0000034	YHL028W, YNL283C, YOL105C	maker-NODE_13_length_496732_cov_18.5747_ID_25-snap-gene-2.91-mRNA-1_1&gene=maker-NODE_13_length_496732_cov_18.5747_ID_25-snap-gene-2.91&CDS=1-1173, snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-1.2-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-1.2&CDS=1-1257
OG0000035	YJL079C, YKR013W	genemark-NODE_24_length_232095_cov_14.0762_ID_47-processed-gene-1.149-mRNA-1_1&gene=genemark-NODE_24_length_232095_cov_14.0762_ID_47-processed-gene-1.149&CDS=1-504, snap_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-0.52&CDS=1-840, snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-4.45-mRNA-1_1&gene=snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-4.45&CDS=1-906
OG0000036	YKL128C	genemark-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-3.74-mRNA-1_1&gene=genemark-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-3.74&CDS=1-930, genemark-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-5.13-mRNA-1_1&gene=genemark-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-5.13&CDS=1-1029, snap_masked-NODE_21_length_279017_cov_21.0683_ID_41-processed-gene-1.182-mRNA-1_1&gene=snap_masked-NODE_21_length_279017_cov_21.0683_ID_41-processed-gene-1.182&CDS=1-930, snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-7.94-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-7.94&CDS=1-978
OG0000037	YLL050C, YLR109W	genemark-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-1.69-mRNA-1_1&gene=genemark-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-1.69&CDS=1-945, snap_masked-NODE_18_length_338643_cov_13.2849_ID_35-processed-gene-2.147-mRNA-1_1&gene=snap_masked-NODE_18_length_338643_cov_13.2849_ID_35-processed-gene-2.147&CDS=1-519, snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-2.42-mRNA-1_1&gene=snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-2.42&CDS=1-576
OG0000038	YLR343W, YMR307W	snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-3.153-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-3.153&CDS=1-1638, snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-3.26-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-3.26&CDS=1-1590, snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-2.33-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-2.33&CDS=1-1638
OG0000039	YML111W, YMR275C, YNR068C, YNR069C	genemark-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-5.38-mRNA-1_1&gene=genemark-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-5.38&CDS=1-2715
OG0000040	YPR194C	genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-4.120-mRNA-1_1&gene=genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-4.120&CDS=1-2754, maker-NODE_2_length_957285_cov_16.5771_ID_3-snap-gene-1.58-mRNA-1_1&gene=maker-NODE_2_length_957285_cov_16.5771_ID_3-snap-gene-1.58&CDS=1-5301, maker-NODE_6_length_695809_cov_13.1576_ID_11-snap-gene-3.107-mRNA-1_1&gene=maker-NODE_6_length_695809_cov_13.1576_ID_11-snap-gene-3.107&CDS=1-5445, snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-5.75-mRNA-1_1&gene=snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-5.75&CDS=1-2685
OG0000041	YAL054C, YLR153C	snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-3.125-mRNA-1_1&gene=snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-3.125&CDS=1-2037, snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-8.93-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-8.93&CDS=1-2004
OG0000042	YAR002C-A, YGL002W, YHR110W	augustus_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-0.48&CDS=1-621
