	Saccharomyces_cerevisiae	yHMPu5000035650_Trigonopsis_variabilis
OG0000010	YIL120W, YIL121W, YNL065W	augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-2.33&CDS=1-1722, augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-2.34&CDS=1-1521, augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-2.35&CDS=1-1611, augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-4.138-mRNA-1_1&gene=augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-4.138&CDS=1-1695
OG0000011	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
OG0000012	YBR160W, YKL139W	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-9.99-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-9.99&CDS=1-1143, augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-8.87-mRNA-1_1&gene=augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-8.87&CDS=1-2148, genemark-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-10.135-mRNA-1_1&gene=genemark-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-10.135&CDS=1-1926, maker-NODE_1_length_1864488_cov_47.4331_ID_2849-augustus-gene-15.177-mRNA-1_1&gene=maker-NODE_1_length_1864488_cov_47.4331_ID_2849-augustus-gene-15.177&CDS=1-960
OG0000013	YBR237W, YDR243C, YNL112W	genemark-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-5.64-mRNA-1_1&gene=genemark-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-5.64&CDS=1-2910, maker-NODE_11_length_507231_cov_47.8977_ID_2584-augustus-gene-4.59-mRNA-1_1&gene=maker-NODE_11_length_507231_cov_47.8977_ID_2584-augustus-gene-4.59&CDS=1-1812, maker-NODE_3_length_1312102_cov_45.374_ID_2384-snap-gene-9.165-mRNA-1_1&gene=maker-NODE_3_length_1312102_cov_45.374_ID_2384-snap-gene-9.165&CDS=1-1686
OG0000014	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-10.110-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-10.110&CDS=1-2898, genemark-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-4.95-mRNA-1_1&gene=genemark-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-4.95&CDS=1-888
OG0000015	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-5.3-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-5.3&CDS=1-1716, genemark-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-5.45-mRNA-1_1&gene=genemark-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-5.45&CDS=1-1863, genemark-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-1.18-mRNA-1_1&gene=genemark-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-1.18&CDS=1-1314
OG0000016	YER013W, YKR086W, YNR011C	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-10.32-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-10.32&CDS=1-3417, genemark-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-4.205-mRNA-1_1&gene=genemark-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-4.205&CDS=1-3168, snap_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-4.134-mRNA-1_1&gene=snap_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-4.134&CDS=1-3357
OG0000017	YGL003C, YGL116W, YGR225W	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-12.41-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-12.41&CDS=1-1416, augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-6.139-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-6.139&CDS=1-1518, maker-NODE_2_length_1838899_cov_46.6078_ID_1253-snap-gene-3.11-mRNA-1_1&gene=maker-NODE_2_length_1838899_cov_46.6078_ID_1253-snap-gene-3.11&CDS=1-1389
OG0000018	YGL077C, YNR056C	augustus_masked-NODE_14_length_137352_cov_57.6414_ID_4559-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_14_length_137352_cov_57.6414_ID_4559-processed-gene-0.35&CDS=1-1614, augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-15.16-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-15.16&CDS=1-1653, augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-5.11&CDS=1-1650, maker-NODE_14_length_137352_cov_57.6414_ID_4559-augustus-gene-0.169-mRNA-1_1&gene=maker-NODE_14_length_137352_cov_57.6414_ID_4559-augustus-gene-0.169&CDS=1-1602
OG0000019	YJL034W, YKL073W, YLL024C	augustus_masked-NODE_12_length_373926_cov_49.4772_ID_2910-processed-gene-2.170-mRNA-1_1&gene=augustus_masked-NODE_12_length_373926_cov_49.4772_ID_2910-processed-gene-2.170&CDS=1-1989, augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-4.102&CDS=1-1938, genemark-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-9.110-mRNA-1_1&gene=genemark-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-9.110&CDS=1-2490
OG0000020	YJR126C, YOR256C, YPL176C	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-7.82&CDS=1-2775, augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-3.121&CDS=1-2262, genemark-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-7.101-mRNA-1_1&gene=genemark-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-7.101&CDS=1-2349
OG0000021	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-4.75&CDS=1-2310
OG0000022	YPL064C	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-6.99-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-6.99&CDS=1-525, augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-9.16-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-9.16&CDS=1-1935, augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-7.118-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-7.118&CDS=1-1683, augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-6.171-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-6.171&CDS=1-1479, maker-NODE_4_length_1082171_cov_45.4179_ID_1480-augustus-gene-3.152-mRNA-1_1&gene=maker-NODE_4_length_1082171_cov_45.4179_ID_1480-augustus-gene-3.152&CDS=1-474
OG0000023	Q0045, Q0060, Q0065, Q0070	maker-NODE_16_length_39788_cov_810.643_ID_5366-snap-gene-0.29-mRNA-1_1&gene=maker-NODE_16_length_39788_cov_810.643_ID_5366-snap-gene-0.29&CDS=1-303, maker-NODE_16_length_39788_cov_810.643_ID_5366-snap-gene-0.30-mRNA-1_1&gene=maker-NODE_16_length_39788_cov_810.643_ID_5366-snap-gene-0.30&CDS=1-1836
OG0000024	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	
OG0000025	YBL017C, YIL173W, YJL222W, YNR065C	maker-NODE_2_length_1838899_cov_46.6078_ID_1253-augustus-gene-16.156-mRNA-1_1&gene=maker-NODE_2_length_1838899_cov_46.6078_ID_1253-augustus-gene-16.156&CDS=1-4518
OG0000026	YBR038W, YNL192W	augustus_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-0.18&CDS=1-3111, augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-5.141-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-5.141&CDS=1-3003, genemark-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-5.89-mRNA-1_1&gene=genemark-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-5.89&CDS=1-2892
OG0000027	YBR114W, YOR191W	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-15.26-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-15.26&CDS=1-2991, augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-15.162-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-15.162&CDS=1-2343, snap_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-5.128-mRNA-1_1&gene=snap_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-5.128&CDS=1-3882
OG0000028	YBR118W, YKR084C, YPR080W	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-4.7&CDS=1-1374, maker-NODE_3_length_1312102_cov_45.374_ID_2384-snap-gene-9.162-mRNA-1_1&gene=maker-NODE_3_length_1312102_cov_45.374_ID_2384-snap-gene-9.162&CDS=1-2409
OG0000029	YCL024W, YDR477W, YDR507C	maker-NODE_2_length_1838899_cov_46.6078_ID_1253-augustus-gene-16.162-mRNA-1_1&gene=maker-NODE_2_length_1838899_cov_46.6078_ID_1253-augustus-gene-16.162&CDS=1-3339, maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-6.145-mRNA-1_1&gene=maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-6.145&CDS=1-1806
OG0000030	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-0.68&CDS=1-1701
OG0000031	YCR065W, YIL131C, YNL068C	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-9.60-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-9.60&CDS=1-1707, genemark-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-4.69-mRNA-1_1&gene=genemark-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-4.69&CDS=1-1938
OG0000032	YDL155W, YGR108W, YPR119W	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-17.81-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-17.81&CDS=1-1311, augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-17.193-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-17.193&CDS=1-1377
OG0000033	YDR021W, YJL138C, YKR059W	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-3.134-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-3.134&CDS=1-1182, snap_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-1.5-mRNA-1_1&gene=snap_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-1.5&CDS=1-1227
