	Candida_arabinofermentans	Saccharomyces_cerevisiae
OG0000010	augustus_masked-scaffold_11-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.64&CDS=1-1737, augustus_masked-scaffold_34-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scaffold_34-processed-gene-0.45&CDS=1-1704, augustus_masked-scaffold_8-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.48&CDS=1-1788, maker-scaffold_4-snap-gene-8.91-mRNA-1_1&gene=maker-scaffold_4-snap-gene-8.91&CDS=1-4500	YDR380W, YGR087C, YLR044C, YLR134W
OG0000011	augustus_masked-scaffold_12-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-2.95&CDS=1-2994, augustus_masked-scaffold_23-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.40&CDS=1-1581, augustus_masked-scaffold_32-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scaffold_32-processed-gene-0.16&CDS=1-2514, augustus_masked-scaffold_4-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.24&CDS=1-2160, genemark-scaffold_4-processed-gene-2.73-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.73&CDS=1-1518	YFL021W, YJL110C, YKR034W
OG0000012	augustus_masked-scaffold_1-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.81&CDS=1-1641, maker-scaffold_1-snap-gene-1.46-mRNA-1_1&gene=maker-scaffold_1-snap-gene-1.46&CDS=1-3273, maker-scaffold_1-snap-gene-1.47-mRNA-1_1&gene=maker-scaffold_1-snap-gene-1.47&CDS=1-2319, snap_masked-scaffold_1-processed-gene-1.33-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.33&CDS=1-1314, snap_masked-scaffold_1-processed-gene-1.38-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.38&CDS=1-1704, snap_masked-scaffold_1-processed-gene-1.39-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.39&CDS=1-3156	YGR002C
OG0000013	augustus_masked-scaffold_1-processed-gene-5.132-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.132&CDS=1-1647, augustus_masked-scaffold_2-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.46&CDS=1-1626, augustus_masked-scaffold_2-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.39&CDS=1-1620, augustus_masked-scaffold_4-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.111&CDS=1-1647	YDR342C, YDR343C, YHR092C
OG0000014	augustus_masked-scaffold_24-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-scaffold_24-processed-gene-0.103&CDS=1-1746, augustus_masked-scaffold_4-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.40&CDS=1-2730, maker-scaffold_1-snap-gene-10.129-mRNA-1_1&gene=maker-scaffold_1-snap-gene-10.129&CDS=1-1671, maker-scaffold_2-snap-gene-11.119-mRNA-1_1&gene=maker-scaffold_2-snap-gene-11.119&CDS=1-3840, snap_masked-scaffold_15-processed-gene-1.11-mRNA-1_1&gene=snap_masked-scaffold_15-processed-gene-1.11&CDS=1-2091	YDL165W, YDL170W
OG0000015	augustus_masked-scaffold_21-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.52&CDS=1-1020, maker-scaffold_12-snap-gene-0.93-mRNA-1_1&gene=maker-scaffold_12-snap-gene-0.93&CDS=1-1965, maker-scaffold_21-snap-gene-0.151-mRNA-1_1&gene=maker-scaffold_21-snap-gene-0.151&CDS=1-1998	YDR541C, YGL039W, YGL157W, YOL151W
OG0000016	augustus_masked-scaffold_12-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-1.55&CDS=1-1677, augustus_masked-scaffold_2-processed-gene-10.92-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.92&CDS=1-1683, augustus_masked-scaffold_8-processed-gene-4.157-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.157&CDS=1-1764	YCL069W, YGR224W, YKR105C, YPR198W
OG0000017	augustus_masked-scaffold_15-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-1.113&CDS=1-1587, augustus_masked-scaffold_33-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-scaffold_33-processed-gene-0.110&CDS=1-1560, augustus_masked-scaffold_33-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-scaffold_33-processed-gene-0.98&CDS=1-1512, augustus_masked-scaffold_5-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.68&CDS=1-1611, augustus_masked-scaffold_5-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.69&CDS=1-1611	YAL067C, YGR065C
OG0000018	augustus_masked-scaffold_3-processed-gene-5.3-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.3&CDS=1-2670, augustus_masked-scaffold_3-processed-gene-8.44-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.44&CDS=1-3108, augustus_masked-scaffold_3-processed-gene-8.63-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.63&CDS=1-4329, augustus_masked-scaffold_32-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scaffold_32-processed-gene-0.9&CDS=1-2832, maker-scaffold_3-augustus-gene-1.82-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-1.82&CDS=1-3468, snap_masked-scaffold_2-processed-gene-6.25-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.25&CDS=1-2652	YDR244W
OG0000019	maker-scaffold_21-augustus-gene-0.140-mRNA-1_1&gene=maker-scaffold_21-augustus-gene-0.140&CDS=1-5664, snap_masked-scaffold_2-processed-gene-10.58-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.58&CDS=1-5292	YBL017C, YIL173W, YJL222W, YNR065C, YPR003C
OG0000020	augustus_masked-scaffold_9-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-0.102&CDS=1-1083	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000021	augustus_masked-scaffold_11-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-0.76&CDS=1-1695, maker-scaffold_9-augustus-gene-2.34-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-2.34&CDS=1-2454, snap_masked-scaffold_1-processed-gene-3.141-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.141&CDS=1-1143, snap_masked-scaffold_5-processed-gene-7.99-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.99&CDS=1-2016	YNR063W, YOR380W
OG0000022	augustus_masked-scaffold_11-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-0.77&CDS=1-1779, augustus_masked-scaffold_8-processed-gene-4.171-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.171&CDS=1-951, maker-scaffold_1-snap-gene-5.50-mRNA-1_1&gene=maker-scaffold_1-snap-gene-5.50&CDS=1-2751	YBR160W, YKL139W, YPR161C
OG0000023	augustus_masked-scaffold_1-processed-gene-7.158-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.158&CDS=1-1482, augustus_masked-scaffold_10-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.52&CDS=1-1965, augustus_masked-scaffold_11-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-0.107&CDS=1-1791, genemark-scaffold_8-processed-gene-2.6-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-2.6&CDS=1-1794	YDR338C, YHR032W
OG0000024	augustus_masked-scaffold_1-processed-gene-9.114-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.114&CDS=1-1104, augustus_masked-scaffold_7-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.93&CDS=1-4920, augustus_masked-scaffold_8-processed-gene-4.156-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.156&CDS=1-1014, genemark-scaffold_3-processed-gene-0.71-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.71&CDS=1-1161, maker-scaffold_16-snap-gene-1.187-mRNA-1_1&gene=maker-scaffold_16-snap-gene-1.187&CDS=1-2124	YDR034C
OG0000025	genemark-scaffold_10-processed-gene-2.9-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-2.9&CDS=1-1398, maker-scaffold_16-snap-gene-0.41-mRNA-1_1&gene=maker-scaffold_16-snap-gene-0.41&CDS=1-4038, maker-scaffold_6-augustus-gene-1.88-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-1.88&CDS=1-3078	YDR466W, YDR471W, YHR010W
OG0000026	augustus_masked-scaffold_10-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.2&CDS=1-2652, augustus_masked-scaffold_6-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.24&CDS=1-1656, augustus_masked-scaffold_8-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.79&CDS=1-2907	YGR249W, YHR206W, YOR140W
OG0000027	augustus_masked-scaffold_14-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-0.68&CDS=1-1074, augustus_masked-scaffold_2-processed-gene-12.33-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.33&CDS=1-1074, augustus_masked-scaffold_4-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-6.100&CDS=1-2583, genemark-scaffold_4-processed-gene-2.92-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.92&CDS=1-1077, maker-scaffold_4-snap-gene-5.94-mRNA-1_1&gene=maker-scaffold_4-snap-gene-5.94&CDS=1-1059	YPL088W
OG0000028	augustus_masked-scaffold_14-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-0.65&CDS=1-492, augustus_masked-scaffold_18-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-0.92&CDS=1-495, augustus_masked-scaffold_26-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.154&CDS=1-441, augustus_masked-scaffold_3-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.104&CDS=1-495, genemark-scaffold_2-processed-gene-9.50-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.50&CDS=1-495	YJL158C
OG0000029	augustus_masked-scaffold_15-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-2.48&CDS=1-3267, maker-scaffold_30-augustus-gene-0.53-mRNA-1_1&gene=maker-scaffold_30-augustus-gene-0.53&CDS=1-897, snap_masked-scaffold_18-processed-gene-1.66-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-1.66&CDS=1-366, snap_masked-scaffold_38-processed-gene-0.21-mRNA-1_1&gene=snap_masked-scaffold_38-processed-gene-0.21&CDS=1-303, snap_masked-scaffold_42-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scaffold_42-processed-gene-0.5&CDS=1-1950	YOR373W
OG0000030	augustus_masked-scaffold_16-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-0.90&CDS=1-3120, augustus_masked-scaffold_3-processed-gene-9.213-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.213&CDS=1-2295, augustus_masked-scaffold_4-processed-gene-6.96-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-6.96&CDS=1-3186	YBR245C, YFR038W, YOR304W
OG0000031	augustus_masked-scaffold_2-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.51&CDS=1-2592, augustus_masked-scaffold_3-processed-gene-8.71-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.71&CDS=1-1899, genemark-scaffold_6-processed-gene-3.62-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.62&CDS=1-2142	YDL025C, YNL183C, YOR267C
OG0000032	augustus_masked-scaffold_21-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.9&CDS=1-2238, maker-scaffold_29-snap-gene-0.83-mRNA-1_1&gene=maker-scaffold_29-snap-gene-0.83&CDS=1-3288	YJL099W, YKR027W, YMR237W, YOR299W
OG0000033	augustus_masked-scaffold_3-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.11&CDS=1-2745, augustus_masked-scaffold_4-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.63&CDS=1-2070, maker-scaffold_3-augustus-gene-2.38-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.38&CDS=1-2910	YHL019C, YOL062C, YPL259C
OG0000034	maker-scaffold_5-snap-gene-6.41-mRNA-1_1&gene=maker-scaffold_5-snap-gene-6.41&CDS=1-4482	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000035	augustus_masked-scaffold_1-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.80&CDS=1-2496, maker-scaffold_17-snap-gene-0.31-mRNA-1_1&gene=maker-scaffold_17-snap-gene-0.31&CDS=1-4581	YFR022W, YGR068C, YOR018W
OG0000036	augustus_masked-scaffold_1-processed-gene-12.110-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.110&CDS=1-1923, augustus_masked-scaffold_1-processed-gene-4.114-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.114&CDS=1-2718, augustus_masked-scaffold_9-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-2.25&CDS=1-3225	YBL063W, YEL061C
OG0000037	augustus_masked-scaffold_1-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.126&CDS=1-1725, augustus_masked-scaffold_5-processed-gene-7.8-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.8&CDS=1-1728, maker-scaffold_2-snap-gene-11.120-mRNA-1_1&gene=maker-scaffold_2-snap-gene-11.120&CDS=1-1224	YER133W, YML016C
OG0000038	augustus_masked-scaffold_1-processed-gene-8.34-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.34&CDS=1-1914, augustus_masked-scaffold_27-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scaffold_27-processed-gene-0.46&CDS=1-2253	YER165W, YFR023W, YHR015W
OG0000039	augustus_masked-scaffold_1-processed-gene-10.25-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.25&CDS=1-1020, augustus_masked-scaffold_15-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-2.68&CDS=1-357	YAL030W, YLR093C, YOR327C
OG0000040	augustus_masked-scaffold_9-processed-gene-3.197-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-3.197&CDS=1-3174, genemark-scaffold_6-processed-gene-5.96-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.96&CDS=1-8982, maker-scaffold_1-snap-gene-12.1-mRNA-1_1&gene=maker-scaffold_1-snap-gene-12.1&CDS=1-2829	YLR144C, YNR067C
OG0000041	augustus_masked-scaffold_1-processed-gene-13.58-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.58&CDS=1-1215, augustus_masked-scaffold_13-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-2.19&CDS=1-1569, augustus_masked-scaffold_9-processed-gene-3.219-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-3.219&CDS=1-1674, maker-scaffold_9-augustus-gene-3.80-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-3.80&CDS=1-2316	YOR194C
OG0000042	augustus_masked-scaffold_1-processed-gene-14.25-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.25&CDS=1-1644, maker-scaffold_8-augustus-gene-0.124-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-0.124&CDS=1-1605	YML116W, YMR279C, YOR378W
OG0000043	augustus_masked-scaffold_10-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.108&CDS=1-1119, augustus_masked-scaffold_14-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-2.126&CDS=1-1098, genemark-scaffold_23-processed-gene-0.62-mRNA-1_1&gene=genemark-scaffold_23-processed-gene-0.62&CDS=1-1089	YCR105W, YMR318C
OG0000044	augustus_masked-scaffold_10-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.101&CDS=1-2709, genemark-scaffold_14-processed-gene-2.48-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-2.48&CDS=1-2394, maker-scaffold_28-snap-gene-0.75-mRNA-1_1&gene=maker-scaffold_28-snap-gene-0.75&CDS=1-9987	YJR061W, YKL201C
