	Coccidioides_immitis	Saccharomyces_cerevisiae
OG0000011	XP_001239592.2, XP_001247554.2, XP_004446304.1, XP_004446305.1, XP_012213848.1	YLR098C, YOR337W
OG0000012	XP_001240567.1, XP_001244558.2, XP_001247783.2	YBL068W-A, YBL069W, YER101C, YMR152W
OG0000013	XP_001243123.2, XP_001243778.2, XP_001243894.2, XP_001249055.2, XP_004445433.1	YHR178W, YLR014C
OG0000014	XP_001238977.2, XP_001240601.2, XP_001241958.2, XP_001248024.2	YBR150C, YOL089C
OG0000015	XP_001239021.2	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000016	XP_001240003.1, XP_001243983.1, XP_001243986.2, XP_001245071.2, XP_001246435.1	YIL147C
OG0000017	XP_001241084.2, XP_001247146.1	YBR297W, YFL052W, YGR288W, YPR196W
OG0000018	XP_001241698.2, XP_001243889.2, XP_001245167.2, XP_004446047.1, XP_004446048.1	YCR023C
OG0000019	XP_001242590.2	YDR321W, YLR155C, YLR157C, YLR158C, YLR160C
OG0000020	XP_001243443.1, XP_004446204.1, XP_004446205.1, XP_004446206.1	YER054C, YIL045W
OG0000021	XP_001244187.1, XP_001245166.2, XP_001247672.2	YJR126C, YOR256C, YPL176C
OG0000022	XP_001245231.1, XP_001245645.1, XP_001247048.1, XP_001248454.2	YHR207C, YPL165C
OG0000023	XP_001239027.1, XP_001245201.2, XP_001248966.2	YPR013C, YPR015C
OG0000024	XP_001239103.2, XP_001239849.2, XP_001240666.1, XP_001243591.1, XP_001246068.1	
OG0000025	XP_001239710.2, XP_001243873.1, XP_001247987.1, XP_012213774.1	YLR057W
OG0000026	XP_001239775.1, XP_001239892.2, XP_001248655.1	YJR127C, YML081W
OG0000027	XP_001239976.1, XP_001242016.1, XP_001242922.1	YER020W, YHR005C
OG0000028	XP_001239981.1, XP_001241481.2, XP_001244282.1	YIL130W, YMR280C
OG0000029	XP_001240101.2	YDL244W, YFL058W, YJR156C, YNL332W
OG0000030	XP_001240303.2, XP_012214067.1	YNL106C, YOL065C, YOR109W
OG0000031	XP_001240325.1, XP_001240411.1, XP_001240662.1, XP_001242720.1	YJR149W
OG0000032	XP_001240430.1, XP_001242554.2	YDR021W, YJL138C, YKR059W
OG0000033	XP_001240574.2, XP_001242990.1, XP_001243681.2	YER057C, YIL051C
OG0000034	XP_001241083.2, XP_001241258.1, XP_001241590.2, XP_001242274.2	YDR124W
OG0000035	XP_001241381.1, XP_001241553.2, XP_001242003.2, XP_001243437.1	YPL092W
OG0000036	XP_001241540.2, XP_001243177.2, XP_001247439.1	YBR183W, YPL087W
OG0000037	XP_001241875.1, XP_001242763.2, XP_001243708.2, XP_001246764.1	YBR008C
OG0000038	XP_001242021.2, XP_001247363.2, XP_012213761.1	YDL132W, YGR003W
OG0000039	XP_001242127.1, XP_001244161.1	YDR247W, YHR082C, YPL026C
OG0000040	XP_001243165.2, XP_001245665.1	YER056C, YER060W, YER060W-A
OG0000041	XP_001244326.2, XP_001246353.1, XP_001247000.1	YLL060C, YNL229C
OG0000042	XP_001244364.1	YDR533C, YMR322C, YOR391C, YPL280W
OG0000043	XP_001244381.1, XP_001245309.1, XP_001245809.2, XP_001249024.1	YDR371W
OG0000044	XP_001244674.1	YBR078W, YCL048W, YDR055W, YDR522C
OG0000045	XP_001245002.1, XP_001248651.1, XP_001248917.1	YBR015C, YJL186W
OG0000046	XP_001246350.1	YBR298C, YDL247W, YGR289C, YJR160C
OG0000047	XP_001248190.1	YDR541C, YGL039W, YGL157W, YOL151W
OG0000048	XP_001248542.1	YBL017C, YIL173W, YJL222W, YNR065C
OG0000049	XP_012214236.1	YER001W, YGL257C, YIL014W, YNR059W
OG0000050	XP_001239102.2, XP_001241862.1, XP_001242230.2	YOR049C
OG0000051	XP_001239365.2, XP_001245064.1	YOL119C, YOR306C
OG0000052	XP_001239667.1, XP_001246399.2	YEL041W, YJR049C
OG0000053	XP_001239756.2, XP_001240188.2, XP_001243874.2	YDR421W
OG0000054	XP_001239816.1, XP_001242573.2	YGR138C, YPR156C
OG0000055	XP_001239834.2, XP_001243249.2	YJL049W, YMR077C
OG0000056	XP_001240201.2, XP_001247717.2	YIL120W, YIL121W
OG0000057	XP_001240533.1, XP_001244919.2	YJR005W, YKL135C
OG0000058	XP_001240636.2, XP_001243840.1	YGL227W, YMR171C
OG0000059	XP_001240698.2, XP_001245502.1, XP_001247849.2	YPR093C
OG0000060	XP_001240729.2	YOL055C, YPL258C, YPR121W
OG0000061	XP_001240856.1, XP_001241379.2, XP_001247407.1	YBR293W
OG0000062	XP_001240940.1	YBR054W, YCR021C, YDR033W
OG0000063	XP_001241204.2, XP_001242648.2, XP_004445041.1	YIL031W
OG0000064	XP_001241343.1, XP_001242423.1	YFL005W, YFL038C
OG0000065	XP_001241487.2, XP_001242845.1, XP_001245077.2	YDR415C
OG0000066	XP_001241727.1, XP_001245222.1	YEL066W, YPR193C
OG0000067	XP_001241805.2, XP_001243070.2, XP_001247437.2	YBR265W
OG0000068	XP_001241926.1, XP_001245653.2	YCR035C, YDL111C
OG0000069	XP_001241980.2, XP_001245513.1	YHR071W, YNL289W
OG0000070	XP_001242014.1, XP_001245478.1	YKL188C, YPL147W
OG0000071	XP_001242157.1	YMR083W, YMR303C, YOL086C
OG0000072	XP_001242508.1	YGR192C, YJL052W, YJR009C
OG0000073	XP_001242619.1, XP_001245126.2	YEL056W, YOL138C
OG0000074	XP_001242655.2	YLL052C, YLL053C, YPR192W
OG0000075	XP_001242721.2, XP_001243760.2	YKL141W, YMR118C
OG0000076	XP_001242723.2, XP_012214070.1	YOL062C, YPL259C
OG0000077	XP_001242735.1	YCR102C, YLR460C, YNL134C
OG0000078	XP_001242810.2, XP_001248018.1	YHL028W, YOR008C
OG0000079	XP_001242962.2, XP_001245170.1	YJR061W, YKL201C
OG0000080	XP_001242964.1, XP_001244950.1, XP_001247762.2	YIL160C
OG0000081	XP_001243201.1, XP_001248106.2, XP_012214337.1	YGL205W
OG0000082	XP_001243667.2	YDR038C, YDR039C, YDR040C
OG0000083	XP_001243783.1, XP_001247953.2	YBR073W, YGL163C
OG0000084	XP_001243942.1, XP_004444971.1, XP_012213930.1	YDL020C
OG0000085	XP_001243946.1, XP_001245938.1	YBR009C, YNL030W
OG0000086	XP_001244348.1	YGR087C, YLR044C, YLR134W
OG0000087	XP_001244383.1, XP_001247106.2, XP_001247673.1	YKR093W
OG0000088	XP_001245450.1, XP_001247502.2	YBR294W, YLR092W
OG0000089	XP_001245589.1, XP_001248762.1	YNL148C, YPL174C
OG0000090	XP_001245813.1	YJL116C, YKR042W, YNL066W
OG0000091	XP_001246174.1	YML116W, YMR279C, YOR378W
OG0000092	XP_001246438.1, XP_001246730.1	YBR082C, YGR133W
OG0000093	XP_001246522.2, XP_001247162.1	YKR076W, YMR251W
OG0000094	XP_001246598.2, XP_001247205.2	YGR141W, YPR157W
OG0000095	XP_001247065.1	YFL060C, YMR095C, YNL334C
OG0000096	XP_001247434.2	YDR261C, YLR300W, YOR190W
OG0000097	XP_001247799.1, XP_012213926.1, XP_012214402.1	YBR151W
OG0000098	XP_001248862.1	YDR144C, YLR120C, YLR121C
OG0000099	XP_004444874.1, XP_004444875.1, XP_004444876.1	YBL105C
OG0000100	XP_004444922.1, XP_004444923.1, XP_004444924.1	YMR217W
OG0000101	XP_004444982.1, XP_004444983.1, XP_004444984.1	YGR205W
OG0000102	XP_004445805.1, XP_004445806.1, XP_004445807.1	YDR284C
OG0000103	XP_004445813.1, XP_004445814.1, XP_004445815.1	YER068W
OG0000104	XP_004445854.1, XP_004445855.1, XP_004445856.1	YDR129C
OG0000105	XP_004446218.1, XP_004446219.1, XP_004446220.1	YOR283W
OG0000106	XP_004446234.1, XP_004446235.1, XP_004446236.1	YNL014W
OG0000107	XP_004446363.1, XP_004446364.1, XP_004446365.1	YHR205W
OG0000108	XP_004446467.1, XP_004446468.1	YNL301C, YOL120C
OG0000109	XP_012214118.1	YLL062C, YMR321C, YPL273W
OG0000110		YCL069W, YGR224W, YKR105C, YPR198W
OG0000111	XP_001238943.1	YMR233W, YOR295W
OG0000112	XP_001238948.2, XP_001246918.1	YMR266W
OG0000113	XP_001238962.1	YDL022W, YOL059W
OG0000114	XP_001239003.2	YGR092W, YPR111W
OG0000115	XP_001239018.1	YDR252W, YPL037C
OG0000116	XP_001239042.1, XP_001248985.2	YPR106W
OG0000117	XP_001239045.1	YDR251W, YPL032C
OG0000118	XP_001239061.1, XP_001241715.1	YKL046C
OG0000119	XP_001239083.2, XP_001247811.2	YHL032C
OG0000120	XP_001239088.1	YGR243W, YHR162W
OG0000121	XP_001239111.1, XP_001242602.1	YIL067C
OG0000122	XP_001239112.1, XP_012213975.1	YBR041W
OG0000123	XP_001239129.1	YHL001W, YKL006W
OG0000124	XP_001239186.1	YLR284C, YOR180C
OG0000125	XP_001239290.1, XP_001246467.1	YGR067C
OG0000126	XP_001239342.1	YDL136W, YDL191W
OG0000127	XP_001239343.1	YER062C, YIL053W
OG0000128	XP_001239405.2	YJL084C, YKR021W
OG0000129	XP_001239423.1, XP_001244105.2	YGL215W
OG0000130	XP_001239430.1	YDL085W, YMR145C
OG0000131	XP_001239472.1, XP_001247647.1	YOR153W
OG0000132	XP_001239480.2	YGR038W, YLR350W
OG0000133	XP_001239505.2	YGR209C, YLR043C
OG0000134	XP_001239509.2	YEL063C, YNL270C
OG0000135	XP_001239548.2, XP_001239586.2	YOL137W
OG0000136	XP_001239578.2	YEL022W, YJR031C
OG0000137	XP_001239607.1	YIL085C, YNL029C
OG0000138	XP_001239636.2	YHR115C, YNL116W
OG0000139	XP_001239644.2, XP_001245277.1	YPL031C
OG0000140	XP_001239660.2	YDR272W, YOR040W
OG0000141	XP_001239670.1, XP_001247331.1	YGR189C
OG0000142	XP_001239712.1	YHL017W, YKL039W
OG0000143	XP_001239764.1	YHL003C, YKL008C
OG0000144	XP_001239814.1	YJR094W-A, YPR043W
OG0000145	XP_001239825.2	YGL133W, YPL216W
OG0000146	XP_001239864.1	YBR216C, YGL060W
OG0000147	XP_001239884.1	YDL036C, YOL066C
OG0000148	XP_001239890.2	YOR390W, YPL279C
OG0000149	XP_001239897.2	YLL016W, YLR310C
OG0000150	XP_001239913.1	YMR194W, YPL249C-A
OG0000151	XP_001239949.1	YHR133C, YNL156C
OG0000152	XP_001239964.2	YGR085C, YPR102C
OG0000153	XP_001239991.1, XP_001248039.1	YKR070W
OG0000154	XP_001239997.1	YFL034C-A, YLR061W
OG0000155	XP_001239998.1	YBR244W, YIR037W
OG0000156	XP_001240013.1	YDR451C, YML027W
OG0000157	XP_001240054.2	YMR119W, YNL008C
OG0000158	XP_001240097.1	YLR307W, YLR308W
OG0000159	XP_001240171.1	YGR034W, YLR344W
OG0000160	XP_001240192.1, XP_001245117.2	YLR142W
OG0000161	XP_001240306.1, XP_001246802.1	YHR007C
OG0000162	XP_001240307.1, XP_001240357.1	YDL101C
OG0000163	XP_001240337.2	YDL061C, YLR388W
OG0000164	XP_001240344.2	YML100W, YMR261C
OG0000165	XP_001240358.1, XP_012214097.1	YDR523C
OG0000166	XP_001240362.1, XP_001243610.1	YKR039W
OG0000167	XP_001240368.1	YER059W, YIL050W
OG0000168	XP_001240376.1	YLR264W, YOR167C
OG0000169	XP_001240406.1, XP_001247092.1	YJR152W
OG0000170	XP_001240418.1	YMR243C, YOR316C
OG0000171	XP_001240472.1	YGR273C, YMR295C
OG0000172	XP_001240474.2	YOR234C, YPL143W
OG0000173	XP_001240512.1	YGR136W, YPR154W
OG0000174	XP_001240550.2, XP_001246622.1	YDL174C
OG0000175	XP_001240552.2	YDL246C, YJR159W
OG0000176	XP_001240563.1	YAR042W, YDL019C
OG0000177	XP_001240587.2, XP_001242486.1	YMR029C
OG0000178	XP_001240602.1	YER074W, YIL069C
OG0000179	XP_001240647.1	YCR105W, YMR318C
OG0000180	XP_001240658.2, XP_001244962.2	YHR124W
OG0000181	XP_001240689.1	YGL049C, YGR162W
OG0000182	XP_001240725.1	YGL076C, YPL198W
OG0000183	XP_001240754.1	YKL126W, YMR104C
OG0000184	XP_001240807.1	YJL105W, YKR029C
OG0000185	XP_001240836.1, XP_001242478.2	YHR067W
OG0000186	XP_001240883.1	YBR048W, YDR025W
OG0000187	XP_001240894.1	YCR010C, YNR002C
OG0000188	XP_001240895.1	YGR241C, YHR161C
OG0000189	XP_001240912.1, XP_001247435.1	YDR519W
OG0000190	XP_001240927.1	YMR183C, YPL232W
OG0000191	XP_001240976.1	YBR242W, YGL101W
OG0000192	XP_001241007.2	YBL079W, YER105C
OG0000193	XP_001241040.1	YML106W, YMR271C
OG0000194	XP_001241046.1, XP_001249052.1	YKR066C
OG0000195	XP_001241137.2	YMR008C, YOL011W
OG0000196	XP_001241304.2, XP_001243863.2	YHR202W
OG0000197	XP_001241325.2	YDL109C, YGL144C
OG0000198	XP_001241456.1	YDL082W, YMR142C
OG0000199	XP_001241466.1, XP_001248081.1	YHR029C
OG0000200	XP_001241557.1	YEL047C, YJR051W
OG0000201	XP_001241584.2, XP_001242066.1, XP_012213942.1	
OG0000202	XP_001241678.2	YKR089C, YOR081C
OG0000203	XP_001241685.1, XP_001242971.2	YNR055C
OG0000204	XP_001241708.1	YMR169C, YMR170C
OG0000205	XP_001241729.2	YDR259C, YOR028C
OG0000206	XP_001241808.2, XP_001244938.2	YJR154W
OG0000207	XP_001241832.1	YCL064C, YIL167W
OG0000208	XP_001241897.1	YOR334W, YPL060W
OG0000209	XP_001241933.1	YCL040W, YDR516C
OG0000210	XP_001241957.2	YCL024W, YDR507C
OG0000211	XP_001241967.2, XP_001243024.2	YBL095W
OG0000212	XP_001241973.1	YGL031C, YGR148C
OG0000213	XP_001241974.1	YLR287C-A, YOR182C
OG0000214	XP_001242012.2	YJL042W, YOR227W
OG0000215	XP_001242057.1, XP_001245147.1	YJR096W
OG0000216	XP_001242138.1	YFR031C-A, YIL018W
OG0000217	XP_001242150.1	YPR169W-A, YPR170W-B
OG0000218	XP_001242208.1, XP_001248057.1	YOL048C
OG0000219	XP_001242209.1	YFL042C, YLR072W
OG0000220	XP_001242285.1	YFL059W, YNL333W
OG0000221	XP_001242320.2	YER129W, YGL179C
OG0000222	XP_001242345.1	YFL050C, YOL130W
OG0000223	XP_001242374.2	YER031C, YGL210W
OG0000224	XP_001242380.1	YIL111W, YNL052W
OG0000225	XP_001242491.1	YGL082W, YPL191C
OG0000226	XP_001242512.1	YDL138W, YDL194W
OG0000227	XP_001242549.1, XP_001247081.1	YKR050W
OG0000228	XP_001242607.1	YBR031W, YDR012W
OG0000229	XP_001242712.1, XP_001246556.2	YDL237W
OG0000230	XP_001242750.2, XP_001249021.1	YHR072W
OG0000231	XP_001242752.1	YBR147W, YOL092W
OG0000232	XP_001242789.1	YBL089W, YER119C
OG0000233	XP_001242879.2, XP_001244121.1	YBR028C
OG0000234	XP_001242881.1	YGR070W, YLR371W
OG0000235	XP_001242887.2, XP_001246991.1	YJR099W
OG0000236	XP_001242909.1	YDL224C, YNL197C
OG0000237	XP_001242958.1	YDR379W, YOR127W
OG0000238	XP_001242965.2	YBR169C, YPL106C
OG0000239	XP_001242977.1	YIR033W, YKL020C
OG0000240	XP_001242995.2, XP_001246581.1	YKL174C
OG0000241	XP_001243029.1, XP_001244309.2	YGL006W
OG0000242	XP_001243036.1	YCR073C, YNR031C
OG0000243	XP_001243040.2	YLR260W, YOR171C
OG0000244	XP_001243044.2	YDR122W, YLR096W
OG0000245	XP_001243067.1	YLR448W, YML073C
OG0000246	XP_001243105.1	YGL135W, YPL220W
OG0000247	XP_001243196.1, XP_001245507.2	YKL221W
OG0000248	XP_001243230.1	YGR118W, YPR132W
OG0000249	XP_001243240.1	YMR253C, YPL264C
OG0000250	XP_001243243.2	YBL056W, YER089C
OG0000251	XP_001243268.1	YBR014C, YDL010W
OG0000252	XP_001243269.1	YGL147C, YNL067W
OG0000253	XP_001243282.1	YHR132W-A, YNL157W
OG0000254	XP_001243341.1	YGR008C, YLR327C
OG0000255	XP_001243455.2, XP_001243598.1	YBR022W
OG0000256	XP_001243544.1, XP_001247438.2	YDR297W
OG0000257	XP_001243632.2	YDR147W, YLR133W
OG0000258	XP_001243655.2	YFL041W, YMR058W
OG0000259	XP_001243671.2	YNL108C, YOR110W
OG0000260	XP_001243693.1	YDR178W, YLR164W
OG0000261	XP_001243718.2, XP_001248046.2	YPL204W
OG0000262	XP_001243720.2, XP_001247668.1	YEL046C
OG0000263	XP_001243733.1, XP_001249031.1	YML099C
OG0000264	XP_001243752.2, XP_001247838.1	YNL274C
OG0000265	XP_001243753.1	YJL177W, YKL180W
OG0000266	XP_001243826.2	YOR233W, YPL141C
OG0000267	XP_001243861.1	YNL104C, YOR108W
OG0000268	XP_001243947.1	YBR010W, YNL031C
OG0000269	XP_001244012.1	YMR237W, YOR299W
OG0000270	XP_001244021.1	YNL293W, YOL112W
OG0000271	XP_001244060.1	YGR214W, YLR048W
OG0000272	XP_001244071.1, XP_001247130.2	YDL114W
OG0000273	XP_001244086.1	YDR312W, YHR066W
OG0000274	XP_001244095.1, XP_001247655.1	YHL021C
OG0000275	XP_001244102.2, XP_001247787.1	YBL011W
OG0000276	XP_001244142.1	YBR020W, YDR009W
OG0000277	XP_001244206.1	YOR237W, YPL145C
OG0000278	XP_001244208.1, XP_004445113.1	YKL054C
OG0000279	XP_001244226.1	YBR089C-A, YPR052C
OG0000280	XP_001244264.1	YCL035C, YDR513W
OG0000281	XP_001244265.1	YHR198C, YHR199C
OG0000282	XP_001244267.1	YBR118W, YPR080W
OG0000283	XP_001244272.2	YDR348C, YHR097C
OG0000284	XP_001244275.2, XP_001247978.1	YBR072W
OG0000285	XP_001244286.2	YIL131C, YNL068C
OG0000286	XP_001244287.2	YCL036W, YDR514C
OG0000287	XP_001244313.1	YNL096C, YOR096W
OG0000288	XP_001244328.2, XP_001249153.2	YNL275W
OG0000289	XP_001244352.2	YBL106C, YPR032W
OG0000290	XP_001244379.2	YDR146C, YLR131C
OG0000291	XP_001244398.2	YCR048W, YNR019W
OG0000292	XP_001244434.1	YOR231W, YPL140C
OG0000293	XP_001244453.2, XP_001248746.2	YNL280C
OG0000294	XP_001244466.1	YJL137C, YKR058W
OG0000295	XP_001244488.2	YHR155W, YNL257C
OG0000296	XP_001244506.1	YAL017W, YOL045W
OG0000297	XP_001244515.1, XP_012213935.1	YKL217W
OG0000298	XP_001244519.2	YHR146W, YNL173C
OG0000299	XP_001244544.1	YBR104W, YPR058W
OG0000300	XP_001244562.2	YBR214W, YGL056C
OG0000301	XP_001244571.1	YER131W, YGL189C
OG0000302	XP_001244618.1	YAR002C-A, YGL002W
OG0000303	XP_001244661.1	YKL132C, YMR113W
OG0000304	XP_001244664.1	YEL006W, YIL006W
OG0000305	XP_001244687.2	YBL091C-A, YER120W
OG0000306	XP_001244778.2	YDR497C, YOL103W
OG0000307	XP_001244794.1	YDR185C, YLR168C
OG0000308	XP_001244804.2	YOR226C, YPL135W
OG0000309	XP_001244880.1, XP_001245306.1	YBR007C
OG0000310	XP_001244905.1	YDL083C, YMR143W
OG0000311	XP_001244922.1	YDR447C, YML024W
OG0000312	XP_001244932.1	YDR368W, YOR120W
OG0000313	XP_001244936.1	YGR004W, YLR324W
OG0000314	XP_001244943.2	YNL299W, YOL115W
OG0000315	XP_001245029.2	YNL087W, YOR086C
OG0000316	XP_001245036.2	YHR001W, YKR003W
OG0000317	XP_001245037.1, XP_001245837.1	YPL067C
OG0000318	XP_001245047.1	YLR450W, YML075C
OG0000319	XP_001245054.1, XP_001248175.2	YPL242C
OG0000320	XP_001245058.1	YJL136C, YKR057W
OG0000321	XP_001245088.1	YBL087C, YER117W
OG0000322	XP_001245090.2	YBL085W, YER114C
OG0000323	XP_001245097.1	YDR099W, YER177W
OG0000324	XP_001245131.1	YER056C-A, YIL052C
OG0000325	XP_001245148.1	YNL302C, YOL121C
OG0000326	XP_001245149.1, XP_012214301.1	YBR204C
OG0000327	XP_001245246.2, XP_001245363.1	YKR099W
OG0000328	XP_001245275.2	YMR177W, YPL224C
OG0000329	XP_001245370.1	YDR418W, YEL054C
OG0000330	XP_001245411.1	YGR248W, YHR163W
OG0000331	XP_001245439.1	YLR187W, YNL278W
OG0000332	XP_001245486.2	YKL072W, YMR053C
OG0000333	XP_001245489.1, XP_001249113.1	YJR084W
OG0000334	XP_001245490.1	YMR242C, YOR312C
OG0000335	XP_001245519.1	YDR505C, YLR177W
OG0000336	XP_001245539.1	YBL072C, YER102W
OG0000337	XP_001245555.1	YEL034W, YJR047C
OG0000338	XP_001245562.1	YOR285W, YOR286W
OG0000339	XP_001245593.1	YDR385W, YOR133W
OG0000340	XP_001245626.2	YBR172C, YPL105C
OG0000341	XP_001245655.1	YEL039C, YJR048W
OG0000342	XP_001245810.1	YDR501W, YLR183C
OG0000343	XP_001245948.2, XP_001246930.2	YJR040W
OG0000344	XP_001245980.1	YGR143W, YPR159W
OG0000345	XP_001246084.2	YDR263C, YOR033C
OG0000346	XP_001246086.2, XP_001247657.2	YJL212C
OG0000347	XP_001246181.2	YGR131W, YPR149W
OG0000348	XP_001246185.1	YHR117W, YNL121C
OG0000349	XP_001246269.2, XP_001246584.1	YEL023C
OG0000350	XP_001246293.1	YBR241C, YGL104C
OG0000351	XP_001246316.1	YIR013C, YLR013W
OG0000352	XP_001246425.1	YDR389W, YOR134W
OG0000353	XP_001246439.1	YAL015C, YOL043C
OG0000354	XP_001246481.2	YJL134W, YKR053C
OG0000355	XP_001246536.2, XP_001246585.2	YGR111W
OG0000356	XP_001246607.1	YBR191W, YPL079W
OG0000357	XP_001246620.1	YHR203C, YJR145C
OG0000358	XP_001246626.1	YDR500C, YLR185W
OG0000359	XP_001246635.1, XP_001247713.2	YPR065W
OG0000360	XP_001246657.2	YBR273C, YJL048C
OG0000361	XP_001246689.2	YGR283C, YMR310C
OG0000362	XP_001246699.2	YMR222C, YOR280C
OG0000363	XP_001246701.1	YHR021C, YKL156W
OG0000364	XP_001246703.1	YHR123W, YNL130C
OG0000365	XP_001246705.2	YLR456W, YPR172W
OG0000366	XP_001246805.2	YDR253C, YPL038W
OG0000367	XP_001246847.1	YBL067C, YER098W
OG0000368	XP_001246990.1	YLR270W, YOR173W
OG0000369	XP_001246993.2	YJR091C, YPR042C
OG0000370	XP_001247117.1	YHR141C, YNL162W
OG0000371	XP_001247141.1	YBL027W, YBR084C-A
OG0000372	XP_001247173.2	YDR264C, YOR034C
OG0000373	XP_001247184.1	YDL049C, YJL174W
OG0000374	XP_001247193.2	YFL061W, YNL335W
OG0000375	XP_001247226.1	YFR053C, YGL253W
OG0000376	XP_001247231.2	YGR121C, YPR138C
OG0000377	XP_001247293.1, XP_001248184.1	YBR233W
OG0000378	XP_001247321.2	YLR449W, YML074C
OG0000379	XP_001247326.1	YDR458C, YML034W
OG0000380	XP_001247400.2	YJR054W, YML047C
OG0000381	XP_001247456.2	YDR069C, YER144C
OG0000382	XP_001247476.2	YFR022W, YOR018W
OG0000383	XP_001247481.2	YML109W, YMR273C
OG0000384	XP_001247495.1	YDR111C, YLR089C
OG0000385	XP_001247500.1	YBR033W, YKL038W
OG0000386	XP_001247575.1	YGR010W, YLR328W
OG0000387	XP_001247656.1	YDR098C, YER174C
OG0000388	XP_001247689.1	YDL070W, YLR399C
OG0000389	XP_001247711.1	YBR181C, YPL090C
OG0000390	XP_001247742.2	YHL039W, YPL208W
OG0000391	XP_001247870.1	YDL042C, YOL068C
OG0000392	XP_001247875.1	YGR108W, YPR119W
OG0000393	XP_001247911.2	YER066W, YFL009W
OG0000394	XP_001247914.1	YHL033C, YLL045C
OG0000395	XP_001247917.1	YDL161W, YLR206W
OG0000396	XP_001247928.1	YMR230W, YOR293W
OG0000397	XP_001247964.1	YJL133W, YKR052C
OG0000398	XP_001247985.1	YGR279C, YMR305C
OG0000399	XP_001247988.1	YHR179W, YPL171C
OG0000400	XP_001248009.2	YCL011C, YNL004W
OG0000401	XP_001248010.1	YIL105C, YNL047C
OG0000402	XP_001248050.1	YGR238C, YHR158C
OG0000403	XP_001248065.1	YDR200C, YLR238W
OG0000404	XP_001248155.2	YMR182C, YPL230W
OG0000405	XP_001248201.2	YIL113W, YNL053W
OG0000406	XP_001248313.2	YGR056W, YLR357W
OG0000407	XP_001248336.1	YJR130C, YML082W
OG0000408	XP_001248362.1	YBL002W, YDR224C
OG0000409	XP_001248398.1	YCL050C, YDR530C
OG0000410	XP_001248521.1	YLR178C, YLR179C
OG0000411	XP_001248634.1	YGL096W, YPL177C
OG0000412	XP_001248697.1, XP_001249032.2	YGL012W
OG0000413	XP_001248699.1, XP_001248749.1	YMR315W
OG0000414	XP_001248707.2	YFL004W, YPL019C
OG0000415	XP_001248785.1	YCR094W, YNR048W
OG0000416	XP_001248791.1	YAL034C, YOR338W
OG0000417	XP_001248806.2	YDR409W, YOR156C
OG0000418	XP_001248919.1	YER027C, YGL208W
OG0000419	XP_001249035.1	YBR161W, YPL057C
OG0000420	XP_001249043.1	YDR450W, YML026C
OG0000421	XP_001249093.1	YDR107C, YLR083C
OG0000422	XP_004444813.1	YBR066C, YDR043C
OG0000423	XP_004444836.1, XP_004444837.1	YDR191W
OG0000424	XP_004444840.1, XP_004444841.1	YDR496C
OG0000425	XP_004444848.1, XP_004444849.1	YNL191W
OG0000426	XP_004444867.1, XP_004444868.1	YDR167W
OG0000427	XP_004444877.1, XP_004444878.1	YML018C
OG0000428	XP_004444989.1, XP_004444990.1	YGR014W
OG0000429	XP_004445014.1, XP_004445015.1	YKL182W
OG0000430	XP_004445075.1, XP_004445076.1	YGL180W
OG0000431	XP_004445084.1, XP_004445085.1	YGL106W
