	Metschnikowia_hibisci	Saccharomyces_cerevisiae
OG0000010	augustus_masked-hib_s16-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-hib_s16-processed-gene-1.153&CDS=1-1689	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000011	augustus_masked-hib_s93-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-3.16&CDS=1-1911, augustus_masked-hib_s93-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-6.19&CDS=1-1194, maker-hib_s194-snap-gene-1.184-mRNA-1_1&gene=maker-hib_s194-snap-gene-1.184&CDS=1-2580, snap_masked-hib_s183-processed-gene-7.101-mRNA-1_1&gene=snap_masked-hib_s183-processed-gene-7.101&CDS=1-990	YBR160W, YKL139W, YPL031C, YPR161C
OG0000012	augustus_masked-hib_s106-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.28&CDS=1-3123, augustus_masked-hib_s71-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-5.99&CDS=1-2871, augustus_masked-hib_s93-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-3.26&CDS=1-2526	YDR385W, YKL173W, YNL163C, YOR133W
OG0000013	augustus_masked-hib_s80-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-hib_s80-processed-gene-0.24&CDS=1-942, augustus_masked-hib_s91-processed-gene-9.171-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-9.171&CDS=1-519, augustus_masked-hib_s91-processed-gene-9.172-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-9.172&CDS=1-993, augustus_masked-hib_s94-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-4.100&CDS=1-1053, snap_masked-hib_s130-processed-gene-0.32-mRNA-1_1&gene=snap_masked-hib_s130-processed-gene-0.32&CDS=1-915, snap_masked-hib_s98-processed-gene-1.93-mRNA-1_1&gene=snap_masked-hib_s98-processed-gene-1.93&CDS=1-903	YKL096W
OG0000014	augustus_masked-hib_s155-processed-gene-5.9-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.9&CDS=1-1839, augustus_masked-hib_s90-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-hib_s90-processed-gene-5.21&CDS=1-2511, augustus_masked-hib_s91-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-5.99&CDS=1-1881, maker-hib_s91-augustus-gene-1.108-mRNA-1_1&gene=maker-hib_s91-augustus-gene-1.108&CDS=1-2940	YEL015W, YEL061C, YPR141C
OG0000015	augustus_masked-hib_s183-processed-gene-8.183-mRNA-1_1&gene=augustus_masked-hib_s183-processed-gene-8.183&CDS=1-1665, augustus_masked-hib_s90-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-hib_s90-processed-gene-1.125&CDS=1-1593, augustus_masked-hib_s91-processed-gene-9.176-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-9.176&CDS=1-1668, augustus_masked-hib_s93-processed-gene-10.17-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-10.17&CDS=1-1347	YLR343W, YMR307W, YOL030W
OG0000016	augustus_masked-hib_s184-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-hib_s184-processed-gene-1.138&CDS=1-1155, augustus_masked-hib_s98-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-3.82&CDS=1-1359, maker-hib_s91-augustus-gene-1.106-mRNA-1_1&gene=maker-hib_s91-augustus-gene-1.106&CDS=1-4719, snap_masked-hib_s194-processed-gene-1.157-mRNA-1_1&gene=snap_masked-hib_s194-processed-gene-1.157&CDS=1-3225	YAR019C, YDR523C, YHR102W
OG0000017	augustus_masked-hib_s90-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-hib_s90-processed-gene-5.31&CDS=1-957, augustus_masked-hib_s93-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-5.15&CDS=1-1170, augustus_masked-hib_s94-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-4.95&CDS=1-963	YBL068W, YER099C, YHL011C, YOL061W
OG0000018	augustus_masked-hib_s155-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.33&CDS=1-2928, snap_masked-hib_s106-processed-gene-1.65-mRNA-1_1&gene=snap_masked-hib_s106-processed-gene-1.65&CDS=1-2757	YFR040W, YGL229C, YJL098W, YKR028W
OG0000019	augustus_masked-hib_s16-processed-gene-4.144-mRNA-1_1&gene=augustus_masked-hib_s16-processed-gene-4.144&CDS=1-2664, augustus_masked-hib_s91-processed-gene-4.107-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-4.107&CDS=1-2481, maker-hib_s130-augustus-gene-0.48-mRNA-1_1&gene=maker-hib_s130-augustus-gene-0.48&CDS=1-3492	YLL005C, YMR266W, YOL084W
OG0000020	augustus_masked-hib_s155-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.105&CDS=1-1773, augustus_masked-hib_s93-processed-gene-13.112-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-13.112&CDS=1-1824	YER054C, YIL045W, YLR273C, YOR178C
OG0000021	augustus_masked-hib_s155-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.36&CDS=1-1707, augustus_masked-hib_s80-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-hib_s80-processed-gene-1.9&CDS=1-5049, augustus_masked-hib_s98-processed-gene-5.110-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-5.110&CDS=1-3765	YIL126W, YKR008W, YOR290C
OG0000022	augustus_masked-hib_s155-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.17&CDS=1-1821, augustus_masked-hib_s93-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-6.26&CDS=1-897, augustus_masked-hib_s98-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-2.23&CDS=1-2604	YDL230W, YER075C, YOR208W
OG0000023	augustus_masked-hib_s16-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-hib_s16-processed-gene-0.118&CDS=1-2325, augustus_masked-hib_s91-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-3.14&CDS=1-9570, augustus_masked-hib_s93-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-0.83&CDS=1-5361	YDR457W, YER125W, YGL141W
OG0000024	augustus_masked-hib_s183-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-hib_s183-processed-gene-0.74&CDS=1-2628, augustus_masked-hib_s98-processed-gene-6.200-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-6.200&CDS=1-1737, snap_masked-hib_s91-processed-gene-0.93-mRNA-1_1&gene=snap_masked-hib_s91-processed-gene-0.93&CDS=1-1692	YDR160W, YOR348C, YPL265W
OG0000025	augustus_masked-hib_s183-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-hib_s183-processed-gene-1.1&CDS=1-3075, genemark-hib_s71-processed-gene-12.62-mRNA-1_1&gene=genemark-hib_s71-processed-gene-12.62&CDS=1-3060, maker-hib_s91-snap-gene-9.68-mRNA-1_1&gene=maker-hib_s91-snap-gene-9.68&CDS=1-2682	YBR245C, YFR038W, YOR304W
OG0000026	augustus_masked-hib_s183-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-hib_s183-processed-gene-4.4&CDS=1-1686, augustus_masked-hib_s194-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-hib_s194-processed-gene-0.90&CDS=1-2511, augustus_masked-hib_s91-processed-gene-6.38-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-6.38&CDS=1-1434, augustus_masked-hib_s93-processed-gene-14.53-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-14.53&CDS=1-1809	YDR338C, YHR032W
OG0000027	augustus_masked-hib_s183-processed-gene-6.115-mRNA-1_1&gene=augustus_masked-hib_s183-processed-gene-6.115&CDS=1-1599, augustus_masked-hib_s184-processed-gene-5.175-mRNA-1_1&gene=augustus_masked-hib_s184-processed-gene-5.175&CDS=1-1959, augustus_masked-hib_s80-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-hib_s80-processed-gene-1.31&CDS=1-1917, augustus_masked-hib_s91-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-1.134&CDS=1-1977	YBR015C, YJL186W
OG0000028	augustus_masked-hib_s183-processed-gene-7.122-mRNA-1_1&gene=augustus_masked-hib_s183-processed-gene-7.122&CDS=1-1932, augustus_masked-hib_s93-processed-gene-6.6-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-6.6&CDS=1-1839, maker-hib_s93-augustus-gene-2.2-mRNA-1_1&gene=maker-hib_s93-augustus-gene-2.2&CDS=1-3987	YAL005C, YDL229W, YNL209W
OG0000029	augustus_masked-hib_s194-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-hib_s194-processed-gene-1.37&CDS=1-936	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
OG0000030	augustus_masked-hib_s71-processed-gene-12.32-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-12.32&CDS=1-2883, augustus_masked-hib_s93-processed-gene-4.45-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-4.45&CDS=1-876, augustus_masked-hib_s93-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-5.21&CDS=1-1362	YIL107C, YJL155C, YOL136C
OG0000031	augustus_masked-hib_s80-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-hib_s80-processed-gene-0.34&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000032	augustus_masked-hib_s91-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-1.130&CDS=1-1038, augustus_masked-hib_s93-processed-gene-17.146-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.146&CDS=1-1362	YIL123W, YJL116C, YKR042W, YNL066W
OG0000033	augustus_masked-hib_s93-processed-gene-10.35-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-10.35&CDS=1-1320, augustus_masked-hib_s93-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-5.14&CDS=1-1323, snap_masked-hib_s93-processed-gene-14.5-mRNA-1_1&gene=snap_masked-hib_s93-processed-gene-14.5&CDS=1-1965	YHL019C, YOL062C, YPL259C
OG0000034		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000035	augustus_masked-hib_s106-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.134&CDS=1-1749, genemark-hib_C9709-processed-gene-0.7-mRNA-1_1&gene=genemark-hib_C9709-processed-gene-0.7&CDS=1-1698, maker-hib_s194-snap-gene-1.183-mRNA-1_1&gene=maker-hib_s194-snap-gene-1.183&CDS=1-3393	YJL172W, YOL153C
OG0000036	augustus_masked-hib_s106-processed-gene-3.110-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.110&CDS=1-2328	YBR297W, YFL052W, YGR288W, YPR196W
OG0000037	augustus_masked-hib_s106-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.120&CDS=1-1473, augustus_masked-hib_s90-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-hib_s90-processed-gene-3.40&CDS=1-999	YBL056W, YBR125C, YER089C
OG0000038	augustus_masked-hib_s106-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.32&CDS=1-1434, augustus_masked-hib_s93-processed-gene-8.81-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-8.81&CDS=1-1878	YCR065W, YIL131C, YNL068C
OG0000039	augustus_masked-hib_s130-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-hib_s130-processed-gene-0.1&CDS=1-1083, augustus_masked-hib_s183-processed-gene-8.200-mRNA-1_1&gene=augustus_masked-hib_s183-processed-gene-8.200&CDS=1-1080, snap_masked-hib_s91-processed-gene-7.71-mRNA-1_1&gene=snap_masked-hib_s91-processed-gene-7.71&CDS=1-1044	YCR105W, YMR318C
OG0000040	augustus_masked-hib_s80-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-hib_s80-processed-gene-1.39&CDS=1-3000, augustus_masked-hib_s93-processed-gene-13.87-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-13.87&CDS=1-3093, snap_masked-hib_s155-processed-gene-0.53-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-0.53&CDS=1-765	YDR395W, YJR132W
OG0000041	augustus_masked-hib_s155-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.10&CDS=1-993, augustus_masked-hib_s155-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.62&CDS=1-1002, augustus_masked-hib_s71-processed-gene-13.20-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-13.20&CDS=1-1026	YDL078C, YKL085W
OG0000042	augustus_masked-hib_s155-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.27&CDS=1-1197, augustus_masked-hib_s91-processed-gene-8.66-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-8.66&CDS=1-1272, augustus_masked-hib_s98-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-1.123&CDS=1-1254	YKL106W, YLR027C
OG0000043	augustus_masked-hib_s155-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.70&CDS=1-813, augustus_masked-hib_s71-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-1.146&CDS=1-786, augustus_masked-hib_s71-processed-gene-5.111-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-5.111&CDS=1-1035	YJL079C, YKR013W
OG0000044	augustus_masked-hib_s155-processed-gene-4.101-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.101&CDS=1-1467, augustus_masked-hib_s71-processed-gene-18.36-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.36&CDS=1-1923, augustus_masked-hib_s91-processed-gene-8.58-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-8.58&CDS=1-1578, augustus_masked-hib_s94-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-0.87&CDS=1-2172	YKR034W
OG0000045	augustus_masked-hib_s155-processed-gene-5.45-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.45&CDS=1-1218, augustus_masked-hib_s183-processed-gene-7.124-mRNA-1_1&gene=augustus_masked-hib_s183-processed-gene-7.124&CDS=1-2271, augustus_masked-hib_s71-processed-gene-8.25-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-8.25&CDS=1-1329, snap_masked-hib_s183-processed-gene-1.85-mRNA-1_1&gene=snap_masked-hib_s183-processed-gene-1.85&CDS=1-1074	YBR004C
OG0000046	augustus_masked-hib_s155-processed-gene-5.61-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.61&CDS=1-2235, augustus_masked-hib_s93-processed-gene-10.27-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-10.27&CDS=1-2682	YML111W, YMR275C, YNR069C
OG0000047	augustus_masked-hib_s16-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-hib_s16-processed-gene-0.106&CDS=1-3003, augustus_masked-hib_s91-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-1.139&CDS=1-4212	YGL092W, YKL068W, YMR047C
OG0000048	augustus_masked-hib_s16-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-hib_s16-processed-gene-0.130&CDS=1-1446, augustus_masked-hib_s93-processed-gene-10.3-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-10.3&CDS=1-1413	YCL040W, YDR516C, YGL253W
OG0000049	augustus_masked-hib_s16-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-hib_s16-processed-gene-0.110&CDS=1-462	YBR067C, YER011W, YIL011W, YOR010C
OG0000050	augustus_masked-hib_s16-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-hib_s16-processed-gene-0.143&CDS=1-2946, augustus_masked-hib_s194-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-hib_s194-processed-gene-0.115&CDS=1-3021, augustus_masked-hib_s93-processed-gene-8.69-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-8.69&CDS=1-3051	YBR038W, YNL192W
OG0000051	augustus_masked-hib_s16-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-hib_s16-processed-gene-1.110&CDS=1-1191, augustus_masked-hib_s93-processed-gene-16.34-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.34&CDS=1-1188	YDR021W, YJL138C, YKR059W
OG0000052	augustus_masked-hib_s16-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-hib_s16-processed-gene-1.116&CDS=1-3672, augustus_masked-hib_s183-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-hib_s183-processed-gene-2.11&CDS=1-3582	YJL042W, YOR227W, YPL137C
OG0000053	augustus_masked-hib_s16-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-hib_s16-processed-gene-2.123&CDS=1-1212, augustus_masked-hib_s71-processed-gene-9.176-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-9.176&CDS=1-2157, augustus_masked-hib_s93-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-1.123&CDS=1-1950	YHR206W, YOR140W
OG0000054	augustus_masked-hib_s16-processed-gene-3.105-mRNA-1_1&gene=augustus_masked-hib_s16-processed-gene-3.105&CDS=1-1278, augustus_masked-hib_s183-processed-gene-6.112-mRNA-1_1&gene=augustus_masked-hib_s183-processed-gene-6.112&CDS=1-1395	YBL089W, YER119C, YIL088C
OG0000055	augustus_masked-hib_s16-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-hib_s16-processed-gene-3.117&CDS=1-1155, augustus_masked-hib_s91-processed-gene-8.49-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-8.49&CDS=1-1194, augustus_masked-hib_s93-processed-gene-6.20-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-6.20&CDS=1-1209	YBR207W, YER145C
OG0000056	augustus_masked-hib_s16-processed-gene-4.170-mRNA-1_1&gene=augustus_masked-hib_s16-processed-gene-4.170&CDS=1-2484, augustus_masked-hib_s71-processed-gene-11.83-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-11.83&CDS=1-2814	YCR037C, YJL198W, YNR013C
OG0000057	augustus_masked-hib_s16-processed-gene-4.179-mRNA-1_1&gene=augustus_masked-hib_s16-processed-gene-4.179&CDS=1-3066, augustus_masked-hib_s91-processed-gene-4.116-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-4.116&CDS=1-3369	YIL002C, YNL106C, YOR109W
OG0000058	augustus_masked-hib_s183-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-hib_s183-processed-gene-0.94&CDS=1-2085, augustus_masked-hib_s93-processed-gene-11.90-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-11.90&CDS=1-2007, augustus_masked-hib_s98-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-3.87&CDS=1-1929	YMR008C, YOL011W
