	Ambrosiozyma_monospora	Saccharomyces_cerevisiae
OG0000010	-augustus-gene-1.2-mRNA-1_1&gene=maker-gi|1002318555|dbj|BCIP01000006.1|-augustus-gene-1.2&CDS=1-1044, -processed-gene-0.94-mRNA-1_1&gene=genemark-gi|1002318514|dbj|BCIP01000047.1|-processed-gene-0.94&CDS=1-858, -processed-gene-1.31-mRNA-1_1&gene=genemark-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-1.31&CDS=1-1017, -processed-gene-1.90-mRNA-1_1&gene=genemark-gi|1002318555|dbj|BCIP01000006.1|-processed-gene-1.90&CDS=1-582, -processed-gene-12.25-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-12.25&CDS=1-1002, -processed-gene-12.56-mRNA-1_1&gene=snap_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-12.56&CDS=1-309, -processed-gene-13.76-mRNA-1_1&gene=snap_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-13.76&CDS=1-960, -processed-gene-3.113-mRNA-1_1&gene=augustus_masked-gi|1002318554|dbj|BCIP01000007.1|-processed-gene-3.113&CDS=1-285, -snap-gene-12.87-mRNA-1_1&gene=maker-gi|1002318560|dbj|BCIP01000001.1|-snap-gene-12.87&CDS=1-807	YMR234W
OG0000011	-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-1.81&CDS=1-1050, -processed-gene-2.34-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-2.34&CDS=1-1071, -processed-gene-2.35-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-2.35&CDS=1-1068, -processed-gene-7.125-mRNA-1_1&gene=genemark-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-7.125&CDS=1-1053, -snap-gene-0.159-mRNA-1_1&gene=maker-gi|1002318519|dbj|BCIP01000042.1|-snap-gene-0.159&CDS=1-3213, -snap-gene-4.1-mRNA-1_1&gene=maker-gi|1002318558|dbj|BCIP01000003.1|-snap-gene-4.1&CDS=1-2028	YDR541C, YGL039W, YGL157W, YOL151W
OG0000012	-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-gi|1002318533|dbj|BCIP01000028.1|-processed-gene-0.11&CDS=1-1896, -processed-gene-0.12-mRNA-1_1&gene=genemark-gi|1002318486|dbj|BCIP01000075.1|-processed-gene-0.12&CDS=1-2502, -processed-gene-0.6-mRNA-1_1&gene=snap_masked-gi|1002318498|dbj|BCIP01000063.1|-processed-gene-0.6&CDS=1-3300, -processed-gene-4.13-mRNA-1_1&gene=genemark-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-4.13&CDS=1-3459, -processed-gene-4.69-mRNA-1_1&gene=genemark-gi|1002318550|dbj|BCIP01000011.1|-processed-gene-4.69&CDS=1-762, -processed-gene-4.76-mRNA-1_1&gene=snap_masked-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-4.76&CDS=1-1497, -snap-gene-2.49-mRNA-1_1&gene=maker-gi|1002318537|dbj|BCIP01000024.1|-snap-gene-2.49&CDS=1-2478	YDL037C, YIR019C
OG0000013	-augustus-gene-0.2-mRNA-1_1&gene=maker-gi|1002318551|dbj|BCIP01000010.1|-augustus-gene-0.2&CDS=1-5883, -processed-gene-0.55-mRNA-1_1&gene=genemark-gi|1002318533|dbj|BCIP01000028.1|-processed-gene-0.55&CDS=1-2805, -processed-gene-0.8-mRNA-1_1&gene=augustus_masked-gi|1002318533|dbj|BCIP01000028.1|-processed-gene-0.8&CDS=1-9315, -processed-gene-1.105-mRNA-1_1&gene=snap_masked-gi|1002318533|dbj|BCIP01000028.1|-processed-gene-1.105&CDS=1-2295, -processed-gene-1.88-mRNA-1_1&gene=snap_masked-gi|1002318533|dbj|BCIP01000028.1|-processed-gene-1.88&CDS=1-2556, -processed-gene-2.129-mRNA-1_1&gene=augustus_masked-gi|1002318534|dbj|BCIP01000027.1|-processed-gene-2.129&CDS=1-4719, -processed-gene-4.76-mRNA-1_1&gene=snap_masked-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-4.76&CDS=1-3672, -processed-gene-6.75-mRNA-1_1&gene=genemark-gi|1002318554|dbj|BCIP01000007.1|-processed-gene-6.75&CDS=1-3156, -snap-gene-0.196-mRNA-1_1&gene=maker-gi|1002318523|dbj|BCIP01000038.1|-snap-gene-0.196&CDS=1-2529	
OG0000014	-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-gi|1002318529|dbj|BCIP01000032.1|-processed-gene-1.115&CDS=1-1755, -processed-gene-1.144-mRNA-1_1&gene=augustus_masked-gi|1002318529|dbj|BCIP01000032.1|-processed-gene-1.144&CDS=1-1755, -processed-gene-1.92-mRNA-1_1&gene=genemark-gi|1002318537|dbj|BCIP01000024.1|-processed-gene-1.92&CDS=1-1737, -processed-gene-3.87-mRNA-1_1&gene=genemark-gi|1002318550|dbj|BCIP01000011.1|-processed-gene-3.87&CDS=1-1767, -processed-gene-7.15-mRNA-1_1&gene=genemark-gi|1002318558|dbj|BCIP01000003.1|-processed-gene-7.15&CDS=1-1773, -snap-gene-1.61-mRNA-1_1&gene=maker-gi|1002318529|dbj|BCIP01000032.1|-snap-gene-1.61&CDS=1-3405	YBR298C, YDL247W, YJR160C
OG0000015	-processed-gene-1.70-mRNA-1_1&gene=genemark-gi|1002318537|dbj|BCIP01000024.1|-processed-gene-1.70&CDS=1-1779, -processed-gene-1.79-mRNA-1_1&gene=genemark-gi|1002318531|dbj|BCIP01000030.1|-processed-gene-1.79&CDS=1-1833, -processed-gene-2.15-mRNA-1_1&gene=genemark-gi|1002318537|dbj|BCIP01000024.1|-processed-gene-2.15&CDS=1-1074, -processed-gene-4.85-mRNA-1_1&gene=genemark-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-4.85&CDS=1-1710, -processed-gene-5.145-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-5.145&CDS=1-1707, -processed-gene-7.95-mRNA-1_1&gene=genemark-gi|1002318554|dbj|BCIP01000007.1|-processed-gene-7.95&CDS=1-1716, -snap-gene-2.112-mRNA-1_1&gene=maker-gi|1002318531|dbj|BCIP01000030.1|-snap-gene-2.112&CDS=1-3492, -snap-gene-2.55-mRNA-1_1&gene=maker-gi|1002318537|dbj|BCIP01000024.1|-snap-gene-2.55&CDS=1-3438, -snap-gene-2.56-mRNA-1_1&gene=maker-gi|1002318537|dbj|BCIP01000024.1|-snap-gene-2.56&CDS=1-4584	
OG0000016	-processed-gene-0.0-mRNA-1_1&gene=snap_masked-gi|1002318470|dbj|BCIP01000091.1|-processed-gene-0.0&CDS=1-1665, -processed-gene-0.52-mRNA-1_1&gene=snap_masked-gi|1002318552|dbj|BCIP01000009.1|-processed-gene-0.52&CDS=1-885, -processed-gene-5.51-mRNA-1_1&gene=snap_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.51&CDS=1-501, -processed-gene-6.35-mRNA-1_1&gene=snap_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.35&CDS=1-582, -processed-gene-8.15-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-8.15&CDS=1-4125, -processed-gene-8.5-mRNA-1_1&gene=snap_masked-gi|1002318557|dbj|BCIP01000004.1|-processed-gene-8.5&CDS=1-738	YDR458C, YML034W
OG0000017	-augustus-gene-0.0-mRNA-1_1&gene=maker-gi|1002318488|dbj|BCIP01000073.1|-augustus-gene-0.0&CDS=1-4524, -processed-gene-0.129-mRNA-1_1&gene=genemark-gi|1002318522|dbj|BCIP01000039.1|-processed-gene-0.129&CDS=1-4569, -processed-gene-0.58-mRNA-1_1&gene=genemark-gi|1002318499|dbj|BCIP01000062.1|-processed-gene-0.58&CDS=1-4569, -processed-gene-2.80-mRNA-1_1&gene=augustus_masked-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-2.80&CDS=1-4509, -processed-gene-4.112-mRNA-1_1&gene=genemark-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-4.112&CDS=1-4575, -processed-gene-4.34-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-4.34&CDS=1-4497, -snap-gene-2.127-mRNA-1_1&gene=maker-gi|1002318535|dbj|BCIP01000026.1|-snap-gene-2.127&CDS=1-4566	YOR153W
OG0000018	-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-gi|1002318550|dbj|BCIP01000011.1|-processed-gene-0.14&CDS=1-678, -processed-gene-0.65-mRNA-1_1&gene=snap_masked-gi|1002318523|dbj|BCIP01000038.1|-processed-gene-0.65&CDS=1-927, -processed-gene-0.68-mRNA-1_1&gene=augustus_masked-gi|1002318509|dbj|BCIP01000052.1|-processed-gene-0.68&CDS=1-612, -processed-gene-0.70-mRNA-1_1&gene=genemark-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-0.70&CDS=1-708, -processed-gene-0.90-mRNA-1_1&gene=genemark-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-0.90&CDS=1-723, -snap-gene-0.97-mRNA-1_1&gene=maker-gi|1002318507|dbj|BCIP01000054.1|-snap-gene-0.97&CDS=1-2433, -snap-gene-0.98-mRNA-1_1&gene=maker-gi|1002318507|dbj|BCIP01000054.1|-snap-gene-0.98&CDS=1-3270	YIR038C
OG0000019	-processed-gene-0.11-mRNA-1_1&gene=genemark-gi|1002318531|dbj|BCIP01000030.1|-processed-gene-0.11&CDS=1-1113, -processed-gene-0.58-mRNA-1_1&gene=augustus_masked-gi|1002318529|dbj|BCIP01000032.1|-processed-gene-0.58&CDS=1-1173, -processed-gene-1.44-mRNA-1_1&gene=snap_masked-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-1.44&CDS=1-1890, -processed-gene-3.10-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-3.10&CDS=1-999, -processed-gene-3.39-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-3.39&CDS=1-1326, -processed-gene-5.2-mRNA-1_1&gene=augustus_masked-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-5.2&CDS=1-1893, -snap-gene-5.65-mRNA-1_1&gene=maker-gi|1002318549|dbj|BCIP01000012.1|-snap-gene-5.65&CDS=1-2253	YJL031C
OG0000020	-processed-gene-1.140-mRNA-1_1&gene=genemark-gi|1002318530|dbj|BCIP01000031.1|-processed-gene-1.140&CDS=1-1044, -processed-gene-1.23-mRNA-1_1&gene=genemark-gi|1002318533|dbj|BCIP01000028.1|-processed-gene-1.23&CDS=1-1047, -processed-gene-2.106-mRNA-1_1&gene=genemark-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-2.106&CDS=1-1047, -processed-gene-2.108-mRNA-1_1&gene=genemark-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-2.108&CDS=1-1047, -processed-gene-9.48-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.48&CDS=1-1044	YMR083W, YMR303C, YOL086C
