	Candida_versatilis	Saccharomyces_cerevisiae
OG0000016	-processed-gene-1.122-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-1.122&CDS=1-1023, -processed-gene-12.177-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-12.177&CDS=1-1014, -processed-gene-2.104-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-2.104&CDS=1-1041, -processed-gene-3.7-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-3.7&CDS=1-1938, -processed-gene-8.20-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-8.20&CDS=1-1026	YDR090C, YMR152W
OG0000017	-processed-gene-2.86-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-2.86&CDS=1-1110, -processed-gene-3.73-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-3.73&CDS=1-1038, -processed-gene-41.7-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-41.7&CDS=1-1038	YBR145W, YMR083W, YMR303C, YOL086C
OG0000018	-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-gi|1002316097|dbj|BCJV01000005.1|-processed-gene-0.115&CDS=1-726, -processed-gene-0.45-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-0.45&CDS=1-738, -processed-gene-0.46-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-0.46&CDS=1-726, -processed-gene-17.6-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-17.6&CDS=1-681, -processed-gene-20.145-mRNA-1_1&gene=augustus_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-20.145&CDS=1-750	YKL055C
OG0000019	-processed-gene-0.23-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-0.23&CDS=1-1830, -processed-gene-4.71-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-4.71&CDS=1-1551, -processed-gene-7.161-mRNA-1_1&gene=genemark-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-7.161&CDS=1-2541	YDL170W, YJL190C, YLR367W
OG0000020	-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-0.86&CDS=1-1650, -processed-gene-3.102-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-3.102&CDS=1-1671, -processed-gene-3.55-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-3.55&CDS=1-1722, -processed-gene-37.79-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-37.79&CDS=1-1443	YJR061W, YKL201C
OG0000021	-processed-gene-1.126-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-1.126&CDS=1-1584, -processed-gene-2.41-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-2.41&CDS=1-1587, -processed-gene-2.79-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-2.79&CDS=1-1515, -processed-gene-3.59-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-3.59&CDS=1-1611, -snap-gene-0.125-mRNA-1_1&gene=maker-gi|1002316099|dbj|BCJV01000003.1|-snap-gene-0.125&CDS=1-2601	YJR152W
OG0000022	-processed-gene-13.89-mRNA-1_1&gene=augustus_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-13.89&CDS=1-1647, -processed-gene-15.183-mRNA-1_1&gene=augustus_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-15.183&CDS=1-2139, -processed-gene-2.44-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-2.44&CDS=1-1656, -processed-gene-22.100-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.100&CDS=1-1671	YJL172W, YOL153C
OG0000023	-processed-gene-0.41-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-0.41&CDS=1-1677, -processed-gene-1.3-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-1.3&CDS=1-1509, -processed-gene-1.66-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-1.66&CDS=1-1521, -processed-gene-3.75-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-3.75&CDS=1-1500, -processed-gene-7.116-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-7.116&CDS=1-1500, -snap-gene-2.78-mRNA-1_1&gene=maker-gi|1002316098|dbj|BCJV01000004.1|-snap-gene-2.78&CDS=1-1713	
OG0000024	-processed-gene-1.2-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-1.2&CDS=1-1029, -processed-gene-19.101-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.101&CDS=1-1023, -processed-gene-2.72-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-2.72&CDS=1-1011, -processed-gene-3.42-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-3.42&CDS=1-1011, -processed-gene-7.145-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-7.145&CDS=1-1011	YDL144C
OG0000025	-processed-gene-15.103-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-15.103&CDS=1-1455, -processed-gene-7.152-mRNA-1_1&gene=genemark-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-7.152&CDS=1-4389	YGR097W, YIL105C, YNL047C, YPR115W
OG0000026	-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-1.45&CDS=1-1914	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W
OG0000027	-processed-gene-14.187-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-14.187&CDS=1-1632, -processed-gene-4.158-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-4.158&CDS=1-1659	YCL069W, YGR224W, YKR105C, YPR198W
OG0000028	-processed-gene-0.1-mRNA-1_1&gene=snap_masked-gi|1002316091|dbj|BCJV01000011.1|-processed-gene-0.1&CDS=1-789, -processed-gene-39.38-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-39.38&CDS=1-789, -processed-gene-5.71-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-5.71&CDS=1-801	YDR099W, YER177W
OG0000029	-processed-gene-0.15-mRNA-1_1&gene=snap_masked-gi|1002316095|dbj|BCJV01000007.1|-processed-gene-0.15&CDS=1-1524, -processed-gene-0.21-mRNA-1_1&gene=snap_masked-gi|1002316096|dbj|BCJV01000006.1|-processed-gene-0.21&CDS=1-1524, -processed-gene-26.190-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-26.190&CDS=1-1530, -processed-gene-4.112-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-4.112&CDS=1-1575	YDR402C
OG0000030	-processed-gene-0.14-mRNA-1_1&gene=snap_masked-gi|1002316095|dbj|BCJV01000007.1|-processed-gene-0.14&CDS=1-1116, -processed-gene-1.126-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-1.126&CDS=1-1095, -processed-gene-2.84-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-2.84&CDS=1-1119	YHR179W, YPL171C
OG0000031	-augustus-gene-0.90-mRNA-1_1&gene=maker-gi|1002316098|dbj|BCJV01000004.1|-augustus-gene-0.90&CDS=1-2526, -processed-gene-0.181-mRNA-1_1&gene=genemark-gi|1002316097|dbj|BCJV01000005.1|-processed-gene-0.181&CDS=1-2598, -processed-gene-1.51-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-1.51&CDS=1-2598, -processed-gene-14.29-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-14.29&CDS=1-2625	YIL147C
OG0000032	-processed-gene-10.91-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-10.91&CDS=1-1623, -processed-gene-3.0-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-3.0&CDS=1-1644, -processed-gene-3.94-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-3.94&CDS=1-1797, -snap-gene-17.1-mRNA-1_1&gene=maker-gi|1002316099|dbj|BCJV01000003.1|-snap-gene-17.1&CDS=1-1599	YDL210W
OG0000033	-processed-gene-0.91-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-0.91&CDS=1-1674, -processed-gene-2.68-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-2.68&CDS=1-1665, -processed-gene-3.112-mRNA-1_1&gene=augustus_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-3.112&CDS=1-1482, -processed-gene-3.63-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-3.63&CDS=1-1749	YBR008C
