	Metschnikowia_matae_maris	Saccharomyces_cerevisiae
OG0000010	augustus_masked-mar-_s172-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-mar-_s172-processed-gene-0.35&CDS=1-3171, augustus_masked-mar-_s215-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-mar-_s215-processed-gene-0.19&CDS=1-2319, snap_masked-mar-_s135-processed-gene-1.19-mRNA-1_1&gene=snap_masked-mar-_s135-processed-gene-1.19&CDS=1-3162, snap_masked-mar-_s135-processed-gene-1.22-mRNA-1_1&gene=snap_masked-mar-_s135-processed-gene-1.22&CDS=1-3525, snap_masked-mar-_s135-processed-gene-1.23-mRNA-1_1&gene=snap_masked-mar-_s135-processed-gene-1.23&CDS=1-3495, snap_masked-mar-_s300-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mar-_s300-processed-gene-0.1&CDS=1-2649, snap_masked-mar-_s614-processed-gene-1.43-mRNA-1_1&gene=snap_masked-mar-_s614-processed-gene-1.43&CDS=1-3450, snap_masked-mar-_s64-processed-gene-0.58-mRNA-1_1&gene=snap_masked-mar-_s64-processed-gene-0.58&CDS=1-2760	YLR256W
OG0000011	snap_masked-mar-_s146-processed-gene-0.42-mRNA-1_1&gene=snap_masked-mar-_s146-processed-gene-0.42&CDS=1-741, snap_masked-mar-_s185-processed-gene-2.148-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-2.148&CDS=1-693, snap_masked-mar-_s255-processed-gene-2.83-mRNA-1_1&gene=snap_masked-mar-_s255-processed-gene-2.83&CDS=1-693, snap_masked-mar-_s454-processed-gene-1.178-mRNA-1_1&gene=snap_masked-mar-_s454-processed-gene-1.178&CDS=1-693, snap_masked-mar-_s576-processed-gene-0.87-mRNA-1_1&gene=snap_masked-mar-_s576-processed-gene-0.87&CDS=1-693	YDR533C, YMR322C, YOR391C, YPL280W
OG0000012	genemark-mar-_s73-processed-gene-3.138-mRNA-1_1&gene=genemark-mar-_s73-processed-gene-3.138&CDS=1-2175, snap_masked-mar-_s15-processed-gene-0.53-mRNA-1_1&gene=snap_masked-mar-_s15-processed-gene-0.53&CDS=1-2025, snap_masked-mar-_s520-processed-gene-0.78-mRNA-1_1&gene=snap_masked-mar-_s520-processed-gene-0.78&CDS=1-2109, snap_masked-mar-_s81-processed-gene-1.54-mRNA-1_1&gene=snap_masked-mar-_s81-processed-gene-1.54&CDS=1-2139	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000013	augustus_masked-mar-_s47-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-mar-_s47-processed-gene-1.36&CDS=1-2229, genemark-mar-_s378-processed-gene-0.66-mRNA-1_1&gene=genemark-mar-_s378-processed-gene-0.66&CDS=1-2646, snap_masked-mar-_s102-processed-gene-1.2-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.2&CDS=1-1773, snap_masked-mar-_s106-processed-gene-0.118-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.118&CDS=1-2262, snap_masked-mar-_s73-processed-gene-3.68-mRNA-1_1&gene=snap_masked-mar-_s73-processed-gene-3.68&CDS=1-1785, snap_masked-mar-_s95-processed-gene-0.60-mRNA-1_1&gene=snap_masked-mar-_s95-processed-gene-0.60&CDS=1-2289	YJR061W, YKL201C
OG0000014	augustus_masked-mar-_s103-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mar-_s103-processed-gene-0.1&CDS=1-924, augustus_masked-mar-_s135-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-mar-_s135-processed-gene-0.42&CDS=1-459, augustus_masked-mar-_s88-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-mar-_s88-processed-gene-0.64&CDS=1-1140, snap_masked-mar-_s146-processed-gene-0.83-mRNA-1_1&gene=snap_masked-mar-_s146-processed-gene-0.83&CDS=1-462, snap_masked-mar-_s430-processed-gene-2.66-mRNA-1_1&gene=snap_masked-mar-_s430-processed-gene-2.66&CDS=1-1767	YGL089C, YML066C, YPL187W
OG0000015	snap_masked-mar-_s117-processed-gene-0.22-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-0.22&CDS=1-2277, snap_masked-mar-_s4-processed-gene-1.23-mRNA-1_1&gene=snap_masked-mar-_s4-processed-gene-1.23&CDS=1-3462, snap_masked-mar-_s47-processed-gene-1.187-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.187&CDS=1-3300, snap_masked-mar-_s605-processed-gene-0.99-mRNA-1_1&gene=snap_masked-mar-_s605-processed-gene-0.99&CDS=1-2646	YER013W, YGL120C, YKR086W, YNR011C
OG0000016	augustus_masked-mar-_s117-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-mar-_s117-processed-gene-1.43&CDS=1-1170, augustus_masked-mar-_s636-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mar-_s636-processed-gene-0.11&CDS=1-966, snap_masked-mar-_s214-processed-gene-0.205-mRNA-1_1&gene=snap_masked-mar-_s214-processed-gene-0.205&CDS=1-957, snap_masked-mar-_s437-processed-gene-0.21-mRNA-1_1&gene=snap_masked-mar-_s437-processed-gene-0.21&CDS=1-636	YBL068W, YER099C, YHL011C, YOL061W
OG0000017	genemark-mar-_s303-processed-gene-0.63-mRNA-1_1&gene=genemark-mar-_s303-processed-gene-0.63&CDS=1-2565, snap_masked-mar-_s316-processed-gene-0.42-mRNA-1_1&gene=snap_masked-mar-_s316-processed-gene-0.42&CDS=1-2073, snap_masked-mar-_s447-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mar-_s447-processed-gene-0.6&CDS=1-798, snap_masked-mar-_s49-processed-gene-0.16-mRNA-1_1&gene=snap_masked-mar-_s49-processed-gene-0.16&CDS=1-1896	YKL007W, YMR006C, YMR008C, YOL011W
OG0000018	snap_masked-mar-_s73-processed-gene-2.54-mRNA-1_1&gene=snap_masked-mar-_s73-processed-gene-2.54&CDS=1-1692	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000019	augustus_masked-mar-_s187-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-mar-_s187-processed-gene-0.27&CDS=1-2367, maker-mar-_s117-snap-gene-2.57-mRNA-1_1&gene=maker-mar-_s117-snap-gene-2.57&CDS=1-1476, snap_masked-mar-_C30452-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mar-_C30452-processed-gene-0.1&CDS=1-219, snap_masked-mar-_s561-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mar-_s561-processed-gene-0.6&CDS=1-2217	YDL025C, YNL183C, YOR267C
OG0000020	maker-mar-_s101-snap-gene-0.16-mRNA-1_1&gene=maker-mar-_s101-snap-gene-0.16&CDS=1-288, maker-mar-_s114-snap-gene-0.6-mRNA-1_1&gene=maker-mar-_s114-snap-gene-0.6&CDS=1-192, maker-mar-_s250-snap-gene-0.70-mRNA-1_1&gene=maker-mar-_s250-snap-gene-0.70&CDS=1-198	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
OG0000021	augustus_masked-mar-_s221-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-mar-_s221-processed-gene-0.18&CDS=1-1677, snap_masked-mar-_s135-processed-gene-3.78-mRNA-1_1&gene=snap_masked-mar-_s135-processed-gene-3.78&CDS=1-2496, snap_masked-mar-_s245-processed-gene-0.88-mRNA-1_1&gene=snap_masked-mar-_s245-processed-gene-0.88&CDS=1-3318, snap_masked-mar-_s513-processed-gene-1.110-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.110&CDS=1-1155	YAR019C, YDR523C, YHR102W
OG0000022	genemark-mar-_s81-processed-gene-3.118-mRNA-1_1&gene=genemark-mar-_s81-processed-gene-3.118&CDS=1-4155, maker-mar-_s513-augustus-gene-1.147-mRNA-1_1&gene=maker-mar-_s513-augustus-gene-1.147&CDS=1-2361, snap_masked-mar-_s63-processed-gene-2.68-mRNA-1_1&gene=snap_masked-mar-_s63-processed-gene-2.68&CDS=1-4164	YCL024W, YDR477W, YDR507C, YKL101W
OG0000023	augustus_masked-mar-_s297-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mar-_s297-processed-gene-0.11&CDS=1-348, snap_masked-mar-_s102-processed-gene-2.3-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.3&CDS=1-2526, snap_masked-mar-_s298-processed-gene-0.25-mRNA-1_1&gene=snap_masked-mar-_s298-processed-gene-0.25&CDS=1-2907	YDR385W, YKL173W, YOR133W
OG0000024	augustus_masked-mar-_s299-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mar-_s299-processed-gene-0.2&CDS=1-1098, snap_masked-mar-_s106-processed-gene-0.74-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.74&CDS=1-1080, snap_masked-mar-_s107-processed-gene-0.27-mRNA-1_1&gene=snap_masked-mar-_s107-processed-gene-0.27&CDS=1-1089, snap_masked-mar-_s418-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mar-_s418-processed-gene-0.1&CDS=1-1080	YCR105W, YMR318C
OG0000025	snap_masked-mar-_s119-processed-gene-0.29-mRNA-1_1&gene=snap_masked-mar-_s119-processed-gene-0.29&CDS=1-1794, snap_masked-mar-_s305-processed-gene-0.38-mRNA-1_1&gene=snap_masked-mar-_s305-processed-gene-0.38&CDS=1-2574, snap_masked-mar-_s63-processed-gene-0.32-mRNA-1_1&gene=snap_masked-mar-_s63-processed-gene-0.32&CDS=1-2664	YLL005C, YMR266W, YOL084W
OG0000026	maker-mar-_s63-augustus-gene-0.29-mRNA-1_1&gene=maker-mar-_s63-augustus-gene-0.29&CDS=1-2112, maker-mar-_s64-snap-gene-0.79-mRNA-1_1&gene=maker-mar-_s64-snap-gene-0.79&CDS=1-2421, snap_masked-mar-_s130-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mar-_s130-processed-gene-0.8&CDS=1-1374	YBR118W, YKR084C, YPR080W
OG0000027	snap_masked-mar-_s135-processed-gene-2.120-mRNA-1_1&gene=snap_masked-mar-_s135-processed-gene-2.120&CDS=1-1074, snap_masked-mar-_s255-processed-gene-2.141-mRNA-1_1&gene=snap_masked-mar-_s255-processed-gene-2.141&CDS=1-1275	YIL123W, YJL116C, YKR042W, YNL066W
OG0000028	augustus_masked-mar-_s303-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-mar-_s303-processed-gene-0.21&CDS=1-2715, augustus_masked-mar-_s53-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-mar-_s53-processed-gene-0.100&CDS=1-1731, snap_masked-mar-_s135-processed-gene-3.111-mRNA-1_1&gene=snap_masked-mar-_s135-processed-gene-3.111&CDS=1-1692	YDR160W, YOR348C, YPL265W
OG0000029	augustus_masked-mar-_s266-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-mar-_s266-processed-gene-0.116&CDS=1-7413, snap_masked-mar-_s141-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mar-_s141-processed-gene-0.1&CDS=1-1272, snap_masked-mar-_s185-processed-gene-3.44-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-3.44&CDS=1-4779	YDR093W, YER166W, YML050W
