	Saccharomyces_cerevisiae	yHMPu5000034892_Ogataea_pilisensis
OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_25_length_186291_cov_14.9916_ID_49-processed-gene-0.198-mRNA-1_1&gene=genemark-NODE_25_length_186291_cov_14.9916_ID_49-processed-gene-0.198&CDS=1-1464
OG0000011	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_91_length_41462_cov_14.0858_ID_181-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_91_length_41462_cov_14.0858_ID_181-processed-gene-0.26&CDS=1-5583, snap_masked-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-0.40&CDS=1-4644
OG0000012	YBR132C	genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-1.116-mRNA-1_1&gene=genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-1.116&CDS=1-1686, genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-1.97-mRNA-1_1&gene=genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-1.97&CDS=1-1692, genemark-NODE_52_length_95611_cov_21.4966_ID_103-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_52_length_95611_cov_21.4966_ID_103-processed-gene-0.15&CDS=1-1782, genemark-NODE_52_length_95611_cov_21.4966_ID_103-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_52_length_95611_cov_21.4966_ID_103-processed-gene-0.34&CDS=1-1803, snap_masked-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-4.52-mRNA-1_1&gene=snap_masked-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-4.52&CDS=1-1725
OG0000013	YCL069W, YGR224W, YKR105C, YPR198W	genemark-NODE_125_length_14824_cov_18.8426_ID_249-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_125_length_14824_cov_18.8426_ID_249-processed-gene-0.18&CDS=1-1641, genemark-NODE_43_length_121444_cov_14.538_ID_85-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_43_length_121444_cov_14.538_ID_85-processed-gene-0.8&CDS=1-1779
OG0000014	YCL075W	augustus_masked-NODE_146_length_7333_cov_13.6969_ID_291-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_146_length_7333_cov_13.6969_ID_291-processed-gene-0.2&CDS=1-402, augustus_masked-NODE_208_length_1710_cov_30.2181_ID_415-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_208_length_1710_cov_30.2181_ID_415-processed-gene-0.0&CDS=1-1581, genemark-NODE_560_length_238_cov_17.5956_ID_1119-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_560_length_238_cov_17.5956_ID_1119-processed-gene-0.0&CDS=1-192, snap_masked-NODE_132_length_12107_cov_16.107_ID_263-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_132_length_12107_cov_16.107_ID_263-processed-gene-0.2&CDS=1-207, snap_masked-NODE_43_length_121444_cov_14.538_ID_85-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NODE_43_length_121444_cov_14.538_ID_85-processed-gene-0.111&CDS=1-873
OG0000015	YGL120C, YKR086W, YNR011C	genemark-NODE_15_length_229439_cov_14.4548_ID_29-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_15_length_229439_cov_14.4548_ID_29-processed-gene-0.84&CDS=1-2853, genemark-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-0.74-mRNA-1_1&gene=genemark-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-0.74&CDS=1-3249, genemark-NODE_97_length_38694_cov_15.2807_ID_193-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_97_length_38694_cov_15.2807_ID_193-processed-gene-0.16&CDS=1-2304
OG0000016	YHR176W	genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-0.91&CDS=1-1407, genemark-NODE_47_length_110957_cov_14.1512_ID_93-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_47_length_110957_cov_14.1512_ID_93-processed-gene-0.92&CDS=1-1635, genemark-NODE_58_length_84579_cov_14.4686_ID_115-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_58_length_84579_cov_14.4686_ID_115-processed-gene-0.67&CDS=1-1497, genemark-NODE_7_length_299677_cov_14.2618_ID_13-processed-gene-1.32-mRNA-1_1&gene=genemark-NODE_7_length_299677_cov_14.2618_ID_13-processed-gene-1.32&CDS=1-1539, genemark-NODE_7_length_299677_cov_14.2618_ID_13-processed-gene-1.68-mRNA-1_1&gene=genemark-NODE_7_length_299677_cov_14.2618_ID_13-processed-gene-1.68&CDS=1-1626
OG0000017	YIL166C, YOL163W	augustus_masked-NODE_151_length_6542_cov_18.8935_ID_301-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_151_length_6542_cov_18.8935_ID_301-processed-gene-0.0&CDS=1-1221, genemark-NODE_135_length_10464_cov_14.1219_ID_269-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_135_length_10464_cov_14.1219_ID_269-processed-gene-0.1&CDS=1-789, genemark-NODE_27_length_175026_cov_18.7202_ID_53-processed-gene-0.205-mRNA-1_1&gene=genemark-NODE_27_length_175026_cov_18.7202_ID_53-processed-gene-0.205&CDS=1-1704, genemark-NODE_8_length_298097_cov_17.6183_ID_15-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_8_length_298097_cov_17.6183_ID_15-processed-gene-0.4&CDS=1-1584
OG0000018	YML111W, YMR275C, YNR069C	genemark-NODE_20_length_203651_cov_14.1089_ID_39-processed-gene-1.69-mRNA-1_1&gene=genemark-NODE_20_length_203651_cov_14.1089_ID_39-processed-gene-1.69&CDS=1-2571, genemark-NODE_42_length_123432_cov_14.0942_ID_83-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_42_length_123432_cov_14.0942_ID_83-processed-gene-0.22&CDS=1-2262, snap_masked-NODE_73_length_59078_cov_14.2134_ID_145-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_73_length_59078_cov_14.2134_ID_145-processed-gene-0.45&CDS=1-2280
OG0000019	YNL125C	augustus_masked-NODE_102_length_32242_cov_13.7176_ID_203-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_102_length_32242_cov_13.7176_ID_203-processed-gene-0.8&CDS=1-990, augustus_masked-NODE_150_length_6611_cov_15.5982_ID_299-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_150_length_6611_cov_15.5982_ID_299-processed-gene-0.4&CDS=1-1026, augustus_masked-NODE_231_length_1109_cov_28.612_ID_461-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_231_length_1109_cov_28.612_ID_461-processed-gene-0.1&CDS=1-834, genemark-NODE_6_length_344941_cov_13.9826_ID_11-processed-gene-1.87-mRNA-1_1&gene=genemark-NODE_6_length_344941_cov_13.9826_ID_11-processed-gene-1.87&CDS=1-1902, maker-NODE_19_length_208004_cov_14.3024_ID_37-snap-gene-1.144-mRNA-1_1&gene=maker-NODE_19_length_208004_cov_14.3024_ID_37-snap-gene-1.144&CDS=1-3765
OG0000020		augustus_masked-NODE_14_length_229610_cov_17.0221_ID_27-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NODE_14_length_229610_cov_17.0221_ID_27-processed-gene-1.24&CDS=1-1836, genemark-NODE_13_length_234245_cov_17.1676_ID_25-processed-gene-1.20-mRNA-1_1&gene=genemark-NODE_13_length_234245_cov_17.1676_ID_25-processed-gene-1.20&CDS=1-939, genemark-NODE_43_length_121444_cov_14.538_ID_85-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_43_length_121444_cov_14.538_ID_85-processed-gene-0.34&CDS=1-3129, genemark-NODE_4_length_354329_cov_14.5222_ID_7-processed-gene-2.146-mRNA-1_1&gene=genemark-NODE_4_length_354329_cov_14.5222_ID_7-processed-gene-2.146&CDS=1-1893, genemark-NODE_4_length_354329_cov_14.5222_ID_7-processed-gene-2.147-mRNA-1_1&gene=genemark-NODE_4_length_354329_cov_14.5222_ID_7-processed-gene-2.147&CDS=1-2115, genemark-NODE_8_length_298097_cov_17.6183_ID_15-processed-gene-0.30-mRNA-1_1&gene=genemark-NODE_8_length_298097_cov_17.6183_ID_15-processed-gene-0.30&CDS=1-1935
OG0000021	YAL030W, YLR093C, YOR327C	snap_masked-NODE_73_length_59078_cov_14.2134_ID_145-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_73_length_59078_cov_14.2134_ID_145-processed-gene-0.60&CDS=1-957, snap_masked-NODE_83_length_45853_cov_15.1385_ID_165-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_83_length_45853_cov_15.1385_ID_165-processed-gene-0.37&CDS=1-354
OG0000022	YBL068W, YER099C, YHL011C	genemark-NODE_23_length_198392_cov_14.785_ID_45-processed-gene-0.226-mRNA-1_1&gene=genemark-NODE_23_length_198392_cov_14.785_ID_45-processed-gene-0.226&CDS=1-978, genemark-NODE_25_length_186291_cov_14.9916_ID_49-processed-gene-0.156-mRNA-1_1&gene=genemark-NODE_25_length_186291_cov_14.9916_ID_49-processed-gene-0.156&CDS=1-960
OG0000023	YBR067C, YIL011W, YOR010C	genemark-NODE_100_length_34432_cov_16.3726_ID_199-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_100_length_34432_cov_16.3726_ID_199-processed-gene-0.12&CDS=1-558, genemark-NODE_151_length_6542_cov_18.8935_ID_301-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_151_length_6542_cov_18.8935_ID_301-processed-gene-0.3&CDS=1-693
OG0000024	YBR089C-A, YDL002C, YPR052C	genemark-NODE_22_length_200920_cov_14.465_ID_43-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_22_length_200920_cov_14.465_ID_43-processed-gene-0.9&CDS=1-1152, snap_masked-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-3.112-mRNA-1_1&gene=snap_masked-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-3.112&CDS=1-264
OG0000025	YBR298C, YDL247W, YGR289C, YJR160C	genemark-NODE_44_length_120060_cov_14.1655_ID_87-processed-gene-0.129-mRNA-1_1&gene=genemark-NODE_44_length_120060_cov_14.1655_ID_87-processed-gene-0.129&CDS=1-1686
OG0000026	YCL024W, YDR507C, YKL101W	genemark-NODE_14_length_229610_cov_17.0221_ID_27-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_14_length_229610_cov_17.0221_ID_27-processed-gene-0.46&CDS=1-3762, genemark-NODE_85_length_45238_cov_13.9336_ID_169-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_85_length_45238_cov_13.9336_ID_169-processed-gene-0.2&CDS=1-4215
OG0000027	YCR037C, YJL198W, YNR013C	genemark-NODE_25_length_186291_cov_14.9916_ID_49-processed-gene-0.167-mRNA-1_1&gene=genemark-NODE_25_length_186291_cov_14.9916_ID_49-processed-gene-0.167&CDS=1-2565, snap_masked-NODE_15_length_229439_cov_14.4548_ID_29-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_15_length_229439_cov_14.4548_ID_29-processed-gene-0.12&CDS=1-2634
OG0000028	YDL037C, YIR019C	augustus_masked-NODE_107_length_28632_cov_14.8144_ID_213-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_107_length_28632_cov_14.8144_ID_213-processed-gene-0.24&CDS=1-387, genemark-NODE_114_length_23374_cov_18.2674_ID_227-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_114_length_23374_cov_18.2674_ID_227-processed-gene-0.8&CDS=1-1257, genemark-NODE_205_length_1838_cov_16.4728_ID_409-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_205_length_1838_cov_16.4728_ID_409-processed-gene-0.2&CDS=1-1797
OG0000029	YDL244W, YFL058W, YJR156C, YNL332W	genemark-NODE_47_length_110957_cov_14.1512_ID_93-processed-gene-0.111-mRNA-1_1&gene=genemark-NODE_47_length_110957_cov_14.1512_ID_93-processed-gene-0.111&CDS=1-1035
OG0000030	YDR406W, YOR153W	augustus_masked-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-1.133&CDS=1-2718, genemark-NODE_98_length_37627_cov_14.1645_ID_195-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_98_length_37627_cov_14.1645_ID_195-processed-gene-0.25&CDS=1-4623, maker-NODE_143_length_8078_cov_15.2305_ID_285-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_143_length_8078_cov_15.2305_ID_285-augustus-gene-0.4&CDS=1-2718
OG0000031	YDR533C, YMR322C, YOR391C, YPL280W	genemark-NODE_32_length_152021_cov_13.9144_ID_63-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_32_length_152021_cov_13.9144_ID_63-processed-gene-0.18&CDS=1-717
OG0000032	YER045C, YIL036W, YNL167C	genemark-NODE_19_length_208004_cov_14.3024_ID_37-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_19_length_208004_cov_14.3024_ID_37-processed-gene-0.15&CDS=1-2097, maker-NODE_2_length_407174_cov_14.0731_ID_3-snap-gene-1.1-mRNA-1_1&gene=maker-NODE_2_length_407174_cov_14.0731_ID_3-snap-gene-1.1&CDS=1-981
OG0000033	YER067W, YIL057C	genemark-NODE_118_length_18574_cov_14.4717_ID_235-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_118_length_18574_cov_14.4717_ID_235-processed-gene-0.8&CDS=1-600, genemark-NODE_30_length_156807_cov_14.6393_ID_59-processed-gene-0.157-mRNA-1_1&gene=genemark-NODE_30_length_156807_cov_14.6393_ID_59-processed-gene-0.157&CDS=1-561, genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-2.40-mRNA-1_1&gene=genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-2.40&CDS=1-540
OG0000034	YFR022W, YGR068C, YOR018W	genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-0.79-mRNA-1_1&gene=genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-0.79&CDS=1-2826, genemark-NODE_96_length_39747_cov_15.173_ID_191-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_96_length_39747_cov_15.173_ID_191-processed-gene-0.6&CDS=1-2817
OG0000035	YGL257C, YIL014W, YNR059W	genemark-NODE_14_length_229610_cov_17.0221_ID_27-processed-gene-0.63-mRNA-1_1&gene=genemark-NODE_14_length_229610_cov_17.0221_ID_27-processed-gene-0.63&CDS=1-2166, genemark-NODE_27_length_175026_cov_18.7202_ID_53-processed-gene-0.170-mRNA-1_1&gene=genemark-NODE_27_length_175026_cov_18.7202_ID_53-processed-gene-0.170&CDS=1-3225
OG0000036	YGR281W, YKR104W	augustus_masked-NODE_101_length_34157_cov_13.2607_ID_201-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_101_length_34157_cov_13.2607_ID_201-processed-gene-0.4&CDS=1-3576, augustus_masked-NODE_280_length_641_cov_41.3447_ID_559-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_280_length_641_cov_41.3447_ID_559-processed-gene-0.0&CDS=1-576, genemark-NODE_6_length_344941_cov_13.9826_ID_11-processed-gene-0.74-mRNA-1_1&gene=genemark-NODE_6_length_344941_cov_13.9826_ID_11-processed-gene-0.74&CDS=1-4248
OG0000037	YIL002C, YNL106C, YOR109W	maker-NODE_3_length_403670_cov_14.6937_ID_5-snap-gene-1.125-mRNA-1_1&gene=maker-NODE_3_length_403670_cov_14.6937_ID_5-snap-gene-1.125&CDS=1-3204, maker-NODE_70_length_61092_cov_14.2505_ID_139-snap-gene-0.38-mRNA-1_1&gene=maker-NODE_70_length_61092_cov_14.2505_ID_139-snap-gene-0.38&CDS=1-4401
OG0000038	YJL137C, YKR058W, YOR320C	genemark-NODE_22_length_200920_cov_14.465_ID_43-processed-gene-1.28-mRNA-1_1&gene=genemark-NODE_22_length_200920_cov_14.465_ID_43-processed-gene-1.28&CDS=1-969, genemark-NODE_71_length_59880_cov_15.7042_ID_141-processed-gene-0.66-mRNA-1_1&gene=genemark-NODE_71_length_59880_cov_15.7042_ID_141-processed-gene-0.66&CDS=1-1863
