	Saccharomyces_cerevisiae	yHMPu5000035681_Candida_gotoi
OG0000010	YDR338C, YHR032W	augustus_masked-NODE_20_length_266287_cov_87.4797_ID_39-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-NODE_20_length_266287_cov_87.4797_ID_39-processed-gene-1.73&CDS=1-1452, maker-NODE_10_length_547273_cov_74.2464_ID_19-augustus-gene-0.103-mRNA-1_1&gene=maker-NODE_10_length_547273_cov_74.2464_ID_19-augustus-gene-0.103&CDS=1-3195, snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-0.66&CDS=1-1773, snap_masked-NODE_24_length_178994_cov_74.8349_ID_47-processed-gene-0.185-mRNA-1_1&gene=snap_masked-NODE_24_length_178994_cov_74.8349_ID_47-processed-gene-0.185&CDS=1-2001, snap_masked-NODE_28_length_139703_cov_65.3203_ID_55-processed-gene-0.141-mRNA-1_1&gene=snap_masked-NODE_28_length_139703_cov_65.3203_ID_55-processed-gene-0.141&CDS=1-1758, snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-0.47&CDS=1-1446
OG0000011	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YLR081W	maker-NODE_19_length_288497_cov_86.145_ID_37-augustus-gene-0.49-mRNA-1_1&gene=maker-NODE_19_length_288497_cov_86.145_ID_37-augustus-gene-0.49&CDS=1-3372, snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-2.115-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-2.115&CDS=1-1656
OG0000012		augustus_masked-NODE_13_length_436529_cov_84.5777_ID_25-processed-gene-3.174-mRNA-1_1&gene=augustus_masked-NODE_13_length_436529_cov_84.5777_ID_25-processed-gene-3.174&CDS=1-1197, augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-5.70-mRNA-1_1&gene=augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-5.70&CDS=1-3111, genemark-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-4.96-mRNA-1_1&gene=genemark-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-4.96&CDS=1-1125, maker-NODE_1_length_933283_cov_68.0403_ID_1-snap-gene-2.103-mRNA-1_1&gene=maker-NODE_1_length_933283_cov_68.0403_ID_1-snap-gene-2.103&CDS=1-3507, maker-NODE_5_length_751471_cov_67.627_ID_9-snap-gene-0.71-mRNA-1_1&gene=maker-NODE_5_length_751471_cov_67.627_ID_9-snap-gene-0.71&CDS=1-2577, snap_masked-NODE_20_length_266287_cov_87.4797_ID_39-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_20_length_266287_cov_87.4797_ID_39-processed-gene-0.35&CDS=1-1188, snap_masked-NODE_20_length_266287_cov_87.4797_ID_39-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_20_length_266287_cov_87.4797_ID_39-processed-gene-0.8&CDS=1-1236, snap_masked-NODE_40_length_23939_cov_119.049_ID_79-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_40_length_23939_cov_119.049_ID_79-processed-gene-0.15&CDS=1-1026
OG0000013	YBR067C, YEL049W, YER011W, YIL011W, YOR009W, YOR010C	snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-1.92-mRNA-1_1&gene=snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-1.92&CDS=1-561
OG0000014	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-3.7&CDS=1-4689, maker-NODE_7_length_591050_cov_76.165_ID_13-snap-gene-2.149-mRNA-1_1&gene=maker-NODE_7_length_591050_cov_76.165_ID_13-snap-gene-2.149&CDS=1-3606, snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-3.53-mRNA-1_1&gene=snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-3.53&CDS=1-1758
OG0000015	YEL065W, YHL040C	augustus_masked-NODE_75_length_1057_cov_149.497_ID_149-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_75_length_1057_cov_149.497_ID_149-processed-gene-0.1&CDS=1-1053, augustus_masked-NODE_95_length_612_cov_73.7394_ID_189-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_95_length_612_cov_73.7394_ID_189-processed-gene-0.1&CDS=1-576, snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-1.102-mRNA-1_1&gene=snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-1.102&CDS=1-1899, snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-1.82-mRNA-1_1&gene=snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-1.82&CDS=1-1968, snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-2.93-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-2.93&CDS=1-1893
OG0000016	YGL245W, YIL126W, YOR290C	maker-NODE_16_length_382779_cov_70.9361_ID_31-augustus-gene-2.7-mRNA-1_1&gene=maker-NODE_16_length_382779_cov_70.9361_ID_31-augustus-gene-2.7&CDS=1-6057, snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-3.79-mRNA-1_1&gene=snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-3.79&CDS=1-2172, snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-7.36-mRNA-1_1&gene=snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-7.36&CDS=1-2166, snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-2.68-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-2.68&CDS=1-4713
OG0000017	YGR281W	augustus_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-7.81&CDS=1-5193, augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-0.0&CDS=1-4368, snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-0.16&CDS=1-4326, snap_masked-NODE_18_length_296463_cov_85.1512_ID_35-processed-gene-1.48-mRNA-1_1&gene=snap_masked-NODE_18_length_296463_cov_85.1512_ID_35-processed-gene-1.48&CDS=1-4284, snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-0.33&CDS=1-4026, snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-0.81&CDS=1-4845
OG0000018		augustus_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-4.197-mRNA-1_1&gene=augustus_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-4.197&CDS=1-2388, augustus_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-4.198-mRNA-1_1&gene=augustus_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-4.198&CDS=1-2256, augustus_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-4.199-mRNA-1_1&gene=augustus_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-4.199&CDS=1-2037, snap_masked-NODE_16_length_382779_cov_70.9361_ID_31-processed-gene-2.97-mRNA-1_1&gene=snap_masked-NODE_16_length_382779_cov_70.9361_ID_31-processed-gene-2.97&CDS=1-2199, snap_masked-NODE_17_length_312534_cov_86.9164_ID_33-processed-gene-2.142-mRNA-1_1&gene=snap_masked-NODE_17_length_312534_cov_86.9164_ID_33-processed-gene-2.142&CDS=1-2142, snap_masked-NODE_18_length_296463_cov_85.1512_ID_35-processed-gene-1.79-mRNA-1_1&gene=snap_masked-NODE_18_length_296463_cov_85.1512_ID_35-processed-gene-1.79&CDS=1-2091, snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-8.160-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-8.160&CDS=1-2178
OG0000019	YAL019W, YLL057C	augustus_masked-NODE_25_length_171835_cov_70.1684_ID_49-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_25_length_171835_cov_70.1684_ID_49-processed-gene-0.85&CDS=1-4470, maker-NODE_11_length_487754_cov_68.766_ID_21-snap-gene-2.43-mRNA-1_1&gene=maker-NODE_11_length_487754_cov_68.766_ID_21-snap-gene-2.43&CDS=1-2121, snap_masked-NODE_26_length_162235_cov_68.3165_ID_51-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_26_length_162235_cov_68.3165_ID_51-processed-gene-0.87&CDS=1-1155, snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-2.47-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-2.47&CDS=1-1125
OG0000020	YBR078W, YCL048W, YDR055W, YDR522C	snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-2.53-mRNA-1_1&gene=snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-2.53&CDS=1-1284, snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-2.93-mRNA-1_1&gene=snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-2.93&CDS=1-1287
OG0000021	YBR150C, YOL089C	genemark-NODE_40_length_23939_cov_119.049_ID_79-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_40_length_23939_cov_119.049_ID_79-processed-gene-0.29&CDS=1-2361, snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-2.100-mRNA-1_1&gene=snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-2.100&CDS=1-2781, snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-2.98-mRNA-1_1&gene=snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-2.98&CDS=1-2721, snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-2.99-mRNA-1_1&gene=snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-2.99&CDS=1-2832
OG0000022	YBR189W, YBR191W, YPL079W, YPL081W	maker-NODE_14_length_408967_cov_80.4573_ID_27-snap-gene-2.111-mRNA-1_1&gene=maker-NODE_14_length_408967_cov_80.4573_ID_27-snap-gene-2.111&CDS=1-978, snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-5.16-mRNA-1_1&gene=snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-5.16&CDS=1-480
