	Lachancea_lanzarotensis	Saccharomyces_cerevisiae
OG0000010	maker-LN736364.1-snap-gene-2.0-mRNA-1_1&gene=maker-LN736364.1-snap-gene-2.0&CDS=1-1743, snap_masked-LN736363.1-processed-gene-8.35-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-8.35&CDS=1-1686, snap_masked-LN736364.1-processed-gene-2.100-mRNA-1_1&gene=snap_masked-LN736364.1-processed-gene-2.100&CDS=1-1719	YDR342C, YDR343C, YFL011W, YHR092C, YMR011W
OG0000011	snap_masked-LN736360.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-0.18&CDS=1-1413, snap_masked-LN736367.1-processed-gene-3.111-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.111&CDS=1-1407, snap_masked-LN736374.1-processed-gene-0.103-mRNA-1_1&gene=snap_masked-LN736374.1-processed-gene-0.103&CDS=1-1404	YAR071W, YBR092C, YBR093C, YHR215W
OG0000012	snap_masked-LN736360.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-0.34&CDS=1-1539, snap_masked-LN736364.1-processed-gene-7.125-mRNA-1_1&gene=snap_masked-LN736364.1-processed-gene-7.125&CDS=1-2220, snap_masked-LN736364.1-processed-gene-8.156-mRNA-1_1&gene=snap_masked-LN736364.1-processed-gene-8.156&CDS=1-1530, snap_masked-LN736366.1-processed-gene-0.55-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.55&CDS=1-1539, snap_masked-LN736367.1-processed-gene-0.62-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.62&CDS=1-1539, snap_masked-LN736368.1-processed-gene-3.107-mRNA-1_1&gene=snap_masked-LN736368.1-processed-gene-3.107&CDS=1-1542	YDL194W
OG0000013	genemark-LN736371.1-processed-gene-0.21-mRNA-1_1&gene=genemark-LN736371.1-processed-gene-0.21&CDS=1-1749, maker-LN736370.1-augustus-gene-1.5-mRNA-1_1&gene=maker-LN736370.1-augustus-gene-1.5&CDS=1-3612, snap_masked-LN736360.1-processed-gene-1.131-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-1.131&CDS=1-1791, snap_masked-LN736361.1-processed-gene-8.58-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-8.58&CDS=1-1746	YKR039W, YLL061W, YPL274W
OG0000014	augustus_masked-LN736360.1-processed-gene-11.17-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-11.17&CDS=1-1251, augustus_masked-LN736363.1-processed-gene-5.93-mRNA-1_1&gene=augustus_masked-LN736363.1-processed-gene-5.93&CDS=1-966, augustus_masked-LN736364.1-processed-gene-5.120-mRNA-1_1&gene=augustus_masked-LN736364.1-processed-gene-5.120&CDS=1-840, augustus_masked-LN736374.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-LN736374.1-processed-gene-0.40&CDS=1-831, augustus_masked-LN736374.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-LN736374.1-processed-gene-0.41&CDS=1-933, snap_masked-LN736374.1-processed-gene-0.125-mRNA-1_1&gene=snap_masked-LN736374.1-processed-gene-0.125&CDS=1-1095	YIL119C
OG0000015	maker-LN736367.1-augustus-gene-6.129-mRNA-1_1&gene=maker-LN736367.1-augustus-gene-6.129&CDS=1-7344, maker-LN736375.1-snap-gene-0.0-mRNA-1_1&gene=maker-LN736375.1-snap-gene-0.0&CDS=1-3273, snap_masked-LN736375.1-processed-gene-0.48-mRNA-1_1&gene=snap_masked-LN736375.1-processed-gene-0.48&CDS=1-5295	YGR032W, YLR342W, YMR306W, YMR307W
OG0000016	snap_masked-LN736360.1-processed-gene-1.133-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-1.133&CDS=1-1869, snap_masked-LN736365.1-processed-gene-6.26-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-6.26&CDS=1-2121, snap_masked-LN736367.1-processed-gene-3.109-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.109&CDS=1-1983	YER040W, YJL110C, YKR034W
OG0000017	augustus_masked-LN736360.1-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-2.108&CDS=1-633, augustus_masked-LN736362.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-LN736362.1-processed-gene-0.65&CDS=1-699, augustus_masked-LN736367.1-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-1.31&CDS=1-651, augustus_masked-LN736367.1-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-6.10&CDS=1-642, augustus_masked-LN736367.1-processed-gene-6.11-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-6.11&CDS=1-642, snap_masked-LN736367.1-processed-gene-3.103-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.103&CDS=1-651	
OG0000018	maker-LN736360.1-snap-gene-2.100-mRNA-1_1&gene=maker-LN736360.1-snap-gene-2.100&CDS=1-1947, snap_masked-LN736363.1-processed-gene-3.103-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-3.103&CDS=1-1563, snap_masked-LN736373.1-processed-gene-1.16-mRNA-1_1&gene=snap_masked-LN736373.1-processed-gene-1.16&CDS=1-1566	YER073W, YOR374W, YPL061W
OG0000019	augustus_masked-LN736360.1-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-4.24&CDS=1-4482, snap_masked-LN736366.1-processed-gene-2.90-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.90&CDS=1-4509	YBL017C, YIL173W, YJL222W, YNR065C
OG0000020	augustus_masked-LN736360.1-processed-gene-8.19-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-8.19&CDS=1-1839, augustus_masked-LN736374.1-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-LN736374.1-processed-gene-0.66&CDS=1-1422, snap_masked-LN736363.1-processed-gene-6.76-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-6.76&CDS=1-1803	YGL257C, YIL014W, YNR059W
OG0000021	maker-LN736360.1-snap-gene-12.0-mRNA-1_1&gene=maker-LN736360.1-snap-gene-12.0&CDS=1-933, snap_masked-LN736369.1-processed-gene-4.110-mRNA-1_1&gene=snap_masked-LN736369.1-processed-gene-4.110&CDS=1-1926, snap_masked-LN736372.1-processed-gene-2.87-mRNA-1_1&gene=snap_masked-LN736372.1-processed-gene-2.87&CDS=1-1629	YER133W, YML016C, YPL179W
OG0000022	snap_masked-LN736361.1-processed-gene-4.9-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-4.9&CDS=1-1404, snap_masked-LN736363.1-processed-gene-5.14-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-5.14&CDS=1-1746, snap_masked-LN736364.1-processed-gene-4.15-mRNA-1_1&gene=snap_masked-LN736364.1-processed-gene-4.15&CDS=1-1530	YHR050W, YLR034C, YOL122C
OG0000023	snap_masked-LN736363.1-processed-gene-3.105-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-3.105&CDS=1-1236, snap_masked-LN736363.1-processed-gene-3.138-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-3.138&CDS=1-1335, snap_masked-LN736363.1-processed-gene-6.75-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-6.75&CDS=1-1173	YBR205W, YDR483W, YOR099W
OG0000024	genemark-LN736367.1-processed-gene-4.68-mRNA-1_1&gene=genemark-LN736367.1-processed-gene-4.68&CDS=1-5034, snap_masked-LN736364.1-processed-gene-3.54-mRNA-1_1&gene=snap_masked-LN736364.1-processed-gene-3.54&CDS=1-4521	YDR011W, YDR406W, YNR070W, YOR153W
OG0000025	augustus_masked-LN736366.1-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-3.109&CDS=1-3588, augustus_masked-LN736366.1-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-3.116&CDS=1-2622, snap_masked-LN736366.1-processed-gene-3.16-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-3.16&CDS=1-3009	YGR212W, YJR061W, YKL201C
OG0000026	maker-LN736367.1-augustus-gene-6.125-mRNA-1_1&gene=maker-LN736367.1-augustus-gene-6.125&CDS=1-6828, snap_masked-LN736366.1-processed-gene-5.75-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-5.75&CDS=1-4503, snap_masked-LN736370.1-processed-gene-3.44-mRNA-1_1&gene=snap_masked-LN736370.1-processed-gene-3.44&CDS=1-2358	YDR135C, YJL200C, YLR304C
OG0000027		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000028	snap_masked-LN736360.1-processed-gene-10.45-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.45&CDS=1-1959, snap_masked-LN736365.1-processed-gene-5.8-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-5.8&CDS=1-1929	YBL042C, YBR021W, YIR028W
OG0000029	snap_masked-LN736360.1-processed-gene-13.59-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.59&CDS=1-1053, snap_masked-LN736361.1-processed-gene-2.104-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-2.104&CDS=1-1164, snap_masked-LN736369.1-processed-gene-4.134-mRNA-1_1&gene=snap_masked-LN736369.1-processed-gene-4.134&CDS=1-1053	YMR303C, YOL086C
OG0000030	maker-LN736367.1-augustus-gene-3.36-mRNA-1_1&gene=maker-LN736367.1-augustus-gene-3.36&CDS=1-1392, snap_masked-LN736360.1-processed-gene-15.85-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.85&CDS=1-924, snap_masked-LN736367.1-processed-gene-2.66-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.66&CDS=1-921	YDR368W, YOR120W
OG0000031	snap_masked-LN736360.1-processed-gene-17.82-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.82&CDS=1-1689, snap_masked-LN736361.1-processed-gene-5.87-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-5.87&CDS=1-1599, snap_masked-LN736369.1-processed-gene-2.76-mRNA-1_1&gene=snap_masked-LN736369.1-processed-gene-2.76&CDS=1-1632, snap_masked-LN736371.1-processed-gene-2.126-mRNA-1_1&gene=snap_masked-LN736371.1-processed-gene-2.126&CDS=1-1575	YBR008C
OG0000032	snap_masked-LN736360.1-processed-gene-17.116-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.116&CDS=1-1842, snap_masked-LN736372.1-processed-gene-2.121-mRNA-1_1&gene=snap_masked-LN736372.1-processed-gene-2.121&CDS=1-1818	YBR298C, YDL247W, YJR160C
OG0000033	augustus_masked-LN736361.1-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-LN736361.1-processed-gene-4.87&CDS=1-1353, augustus_masked-LN736366.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-0.22&CDS=1-975	YIR013C, YLR013W, YMR136W
OG0000034	augustus_masked-LN736361.1-processed-gene-6.101-mRNA-1_1&gene=augustus_masked-LN736361.1-processed-gene-6.101&CDS=1-2157, augustus_masked-LN736367.1-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-2.7&CDS=1-2313	YKL222C, YOR162C, YOR172W
OG0000035	snap_masked-LN736361.1-processed-gene-7.6-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-7.6&CDS=1-2445, snap_masked-LN736370.1-processed-gene-3.43-mRNA-1_1&gene=snap_masked-LN736370.1-processed-gene-3.43&CDS=1-2712	YCR037C, YJL198W, YNR013C
OG0000036	snap_masked-LN736361.1-processed-gene-8.47-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-8.47&CDS=1-1497, snap_masked-LN736363.1-processed-gene-5.40-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-5.40&CDS=1-1863, snap_masked-LN736364.1-processed-gene-3.35-mRNA-1_1&gene=snap_masked-LN736364.1-processed-gene-3.35&CDS=1-3519	YDR338C, YHR032W
OG0000037	snap_masked-LN736362.1-processed-gene-7.31-mRNA-1_1&gene=snap_masked-LN736362.1-processed-gene-7.31&CDS=1-993, snap_masked-LN736369.1-processed-gene-4.95-mRNA-1_1&gene=snap_masked-LN736369.1-processed-gene-4.95&CDS=1-996	YGR192C, YJL052W, YJR009C
OG0000038	snap_masked-LN736363.1-processed-gene-1.77-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-1.77&CDS=1-1830, snap_masked-LN736365.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-0.32&CDS=1-1692	YDL080C, YLR044C, YLR134W
OG0000039	snap_masked-LN736363.1-processed-gene-8.1-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-8.1&CDS=1-1350, snap_masked-LN736371.1-processed-gene-0.65-mRNA-1_1&gene=snap_masked-LN736371.1-processed-gene-0.65&CDS=1-1044	YIL123W, YKR042W, YNL066W
OG0000040	snap_masked-LN736365.1-processed-gene-1.95-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-1.95&CDS=1-1026	YDL244W, YFL058W, YJR156C, YNL332W
OG0000041	snap_masked-LN736366.1-processed-gene-4.103-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-4.103&CDS=1-1743, snap_masked-LN736371.1-processed-gene-1.46-mRNA-1_1&gene=snap_masked-LN736371.1-processed-gene-1.46&CDS=1-2397	YDR144C, YLR120C, YLR121C
OG0000042	snap_masked-LN736367.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.38&CDS=1-1023	YDR541C, YGL039W, YGL157W, YOL151W
OG0000043		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000044	snap_masked-LN736360.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-0.4&CDS=1-1461, snap_masked-LN736360.1-processed-gene-17.92-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.92&CDS=1-1524, snap_masked-LN736372.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-LN736372.1-processed-gene-0.7&CDS=1-1608	YGR260W
OG0000045	snap_masked-LN736360.1-processed-gene-2.85-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-2.85&CDS=1-909, snap_masked-LN736367.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.39&CDS=1-909, snap_masked-LN736383.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-LN736383.1-processed-gene-0.3&CDS=1-909	YPR058W
OG0000046	augustus_masked-LN736360.1-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-2.107&CDS=1-1554	YER056C, YER060W, YER060W-A
OG0000047	snap_masked-LN736360.1-processed-gene-3.112-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-3.112&CDS=1-1347, snap_masked-LN736363.1-processed-gene-0.117-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-0.117&CDS=1-2244	YBL052C, YOR244W
OG0000048	augustus_masked-LN736360.1-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-4.29&CDS=1-2427, augustus_masked-LN736363.1-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-LN736363.1-processed-gene-1.133&CDS=1-747	YNL148C, YPL174C
OG0000049	snap_masked-LN736360.1-processed-gene-4.132-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-4.132&CDS=1-2439, snap_masked-LN736365.1-processed-gene-3.50-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-3.50&CDS=1-2601	YMR054W, YOR270C
OG0000050	augustus_masked-LN736360.1-processed-gene-5.117-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-5.117&CDS=1-2943, snap_masked-LN736361.1-processed-gene-7.9-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-7.9&CDS=1-2895	YGR240C, YMR205C
OG0000051	snap_masked-LN736360.1-processed-gene-7.61-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.61&CDS=1-2310, snap_masked-LN736364.1-processed-gene-5.7-mRNA-1_1&gene=snap_masked-LN736364.1-processed-gene-5.7&CDS=1-1818	YGL073W, YOR140W
OG0000052	snap_masked-LN736360.1-processed-gene-8.106-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.106&CDS=1-2235, snap_masked-LN736361.1-processed-gene-2.128-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-2.128&CDS=1-2484	YER017C, YMR089C
OG0000053	augustus_masked-LN736364.1-processed-gene-4.163-mRNA-1_1&gene=augustus_masked-LN736364.1-processed-gene-4.163&CDS=1-2307, snap_masked-LN736360.1-processed-gene-9.80-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.80&CDS=1-1431	YOL030W, YOL132W
OG0000054	snap_masked-LN736360.1-processed-gene-9.62-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.62&CDS=1-1659, snap_masked-LN736363.1-processed-gene-3.120-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-3.120&CDS=1-1536	YDR256C, YGR088W
OG0000055	genemark-LN736360.1-processed-gene-10.23-mRNA-1_1&gene=genemark-LN736360.1-processed-gene-10.23&CDS=1-4818, snap_masked-LN736363.1-processed-gene-7.25-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-7.25&CDS=1-3957	YIL126W, YOR290C
OG0000056	snap_masked-LN736360.1-processed-gene-11.70-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.70&CDS=1-2106, snap_masked-LN736360.1-processed-gene-16.106-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.106&CDS=1-2115	YBL011W, YKR067W
OG0000057	snap_masked-LN736360.1-processed-gene-11.60-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.60&CDS=1-1269, snap_masked-LN736363.1-processed-gene-1.97-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-1.97&CDS=1-1503	YER123W, YHR135C
OG0000058	augustus_masked-LN736368.1-processed-gene-4.50-mRNA-1_1&gene=augustus_masked-LN736368.1-processed-gene-4.50&CDS=1-8193, snap_masked-LN736360.1-processed-gene-13.64-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.64&CDS=1-6918	YLR454W, YPR117W
OG0000059	augustus_masked-LN736360.1-processed-gene-15.115-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-15.115&CDS=1-3489, augustus_masked-LN736362.1-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-LN736362.1-processed-gene-1.116&CDS=1-1488	YDR369C, YNL026W
OG0000060	maker-LN736360.1-snap-gene-17.123-mRNA-1_1&gene=maker-LN736360.1-snap-gene-17.123&CDS=1-4035, snap_masked-LN736370.1-processed-gene-1.119-mRNA-1_1&gene=snap_masked-LN736370.1-processed-gene-1.119&CDS=1-6018	YIL159W, YNL271C
OG0000061	snap_masked-LN736360.1-processed-gene-17.119-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.119&CDS=1-1680, snap_masked-LN736363.1-processed-gene-1.57-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-1.57&CDS=1-1770, snap_masked-LN736367.1-processed-gene-0.59-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.59&CDS=1-1659	YNL125C
OG0000062	augustus_masked-LN736361.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LN736361.1-processed-gene-0.28&CDS=1-1866, maker-LN736364.1-augustus-gene-3.115-mRNA-1_1&gene=maker-LN736364.1-augustus-gene-3.115&CDS=1-3402	YKL046C, YMR238W
OG0000063	augustus_masked-LN736367.1-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-4.8&CDS=1-1179, maker-LN736361.1-augustus-gene-0.86-mRNA-1_1&gene=maker-LN736361.1-augustus-gene-0.86&CDS=1-2088	YBR025C, YHL014C
OG0000064	maker-LN736365.1-augustus-gene-2.78-mRNA-1_1&gene=maker-LN736365.1-augustus-gene-2.78&CDS=1-3648, snap_masked-LN736361.1-processed-gene-1.76-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.76&CDS=1-2058	YKR001C, YLL001W
