	Metschnikowia_mauinuiana	Saccharomyces_cerevisiae
OG0000010	augustus_masked-mau_s39-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-1.100&CDS=1-1692	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000011	augustus_masked-mau_s103-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-mau_s103-processed-gene-0.8&CDS=1-1791, augustus_masked-mau_s233-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-mau_s233-processed-gene-0.50&CDS=1-2028, augustus_masked-mau_s3-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-4.61&CDS=1-1548, augustus_masked-mau_s40-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-mau_s40-processed-gene-0.56&CDS=1-2232, maker-mau_s66-snap-gene-2.174-mRNA-1_1&gene=maker-mau_s66-snap-gene-2.174&CDS=1-1263	YFL021W, YKR034W
OG0000012	augustus_masked-mau_s12-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.131&CDS=1-1170, augustus_masked-mau_s46-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-mau_s46-processed-gene-0.101&CDS=1-966, augustus_masked-mau_s89-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-3.66&CDS=1-957	YBL068W, YER099C, YHL011C, YOL061W
OG0000013	augustus_masked-mau_s132-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-mau_s132-processed-gene-0.20&CDS=1-954, augustus_masked-mau_s268-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mau_s268-processed-gene-0.11&CDS=1-873, augustus_masked-mau_s89-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-1.72&CDS=1-912, genemark-mau_s159-processed-gene-0.45-mRNA-1_1&gene=genemark-mau_s159-processed-gene-0.45&CDS=1-867	YDR368W, YJR096W, YOR120W
OG0000014	augustus_masked-mau_s158-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-1.73&CDS=1-2496, augustus_masked-mau_s24-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-mau_s24-processed-gene-0.10&CDS=1-3315, augustus_masked-mau_s85-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-mau_s85-processed-gene-1.105&CDS=1-1155, genemark-mau_s154-processed-gene-1.62-mRNA-1_1&gene=genemark-mau_s154-processed-gene-1.62&CDS=1-1569	YAR019C, YDR523C, YHR102W
OG0000015	augustus_masked-mau_s98-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-mau_s98-processed-gene-0.37&CDS=1-1239, snap_masked-mau_s165-processed-gene-1.102-mRNA-1_1&gene=snap_masked-mau_s165-processed-gene-1.102&CDS=1-1278, snap_masked-mau_s85-processed-gene-1.26-mRNA-1_1&gene=snap_masked-mau_s85-processed-gene-1.26&CDS=1-1161	YBR078W, YCL048W, YDR055W, YDR522C
OG0000016	augustus_masked-mau_s55-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-mau_s55-processed-gene-0.64&CDS=1-693, augustus_masked-mau_s66-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-mau_s66-processed-gene-1.6&CDS=1-690, augustus_masked-mau_s92-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-mau_s92-processed-gene-1.79&CDS=1-693	YDR533C, YMR322C, YOR391C, YPL280W
OG0000017	augustus_masked-mau_s103-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-mau_s103-processed-gene-0.16&CDS=1-1656, augustus_masked-mau_s68-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-mau_s68-processed-gene-0.34&CDS=1-1677	YDR342C, YDR343C, YDR345C, YHR092C
OG0000018	augustus_masked-mau_s110-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-mau_s110-processed-gene-0.40&CDS=1-366, augustus_masked-mau_s154-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-mau_s154-processed-gene-0.77&CDS=1-306, augustus_masked-mau_s158-processed-gene-3.158-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-3.158&CDS=1-279, augustus_masked-mau_s43-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-mau_s43-processed-gene-0.32&CDS=1-522	YGL089C, YPL187W
OG0000019	augustus_masked-mau_s2-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-mau_s2-processed-gene-0.13&CDS=1-474, augustus_masked-mau_s7-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-mau_s7-processed-gene-1.16&CDS=1-1530, snap_masked-mau_s110-processed-gene-1.3-mRNA-1_1&gene=snap_masked-mau_s110-processed-gene-1.3&CDS=1-1539	YER056C, YER060W, YER060W-A
OG0000020	augustus_masked-mau_s2-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-mau_s2-processed-gene-0.18&CDS=1-792, augustus_masked-mau_s89-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-0.23&CDS=1-771, augustus_masked-mau_s89-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-3.87&CDS=1-759, genemark-mau_s119-processed-gene-0.110-mRNA-1_1&gene=genemark-mau_s119-processed-gene-0.110&CDS=1-771	YCR010C, YNR002C
OG0000021	augustus_masked-mau_s12-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-0.12&CDS=1-1278, augustus_masked-mau_s250-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-mau_s250-processed-gene-0.82&CDS=1-1911, augustus_masked-mau_s40-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-mau_s40-processed-gene-0.78&CDS=1-948	YDL108W, YKL139W, YPR161C
OG0000022	snap_masked-mau_s12-processed-gene-1.15-mRNA-1_1&gene=snap_masked-mau_s12-processed-gene-1.15&CDS=1-921, snap_masked-mau_s154-processed-gene-1.99-mRNA-1_1&gene=snap_masked-mau_s154-processed-gene-1.99&CDS=1-2532, snap_masked-mau_s3-processed-gene-3.34-mRNA-1_1&gene=snap_masked-mau_s3-processed-gene-3.34&CDS=1-1737	YDL230W, YER075C, YOR208W
OG0000023	augustus_masked-mau_s12-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.132&CDS=1-1323, augustus_masked-mau_s25-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-2.62&CDS=1-2034, augustus_masked-mau_s260-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-mau_s260-processed-gene-0.75&CDS=1-1332	YHL019C, YOL062C, YPL259C
OG0000024	augustus_masked-mau_s142-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-mau_s142-processed-gene-0.18&CDS=1-2352, augustus_masked-mau_s253-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-mau_s253-processed-gene-0.23&CDS=1-2202, maker-mau_s12-snap-gene-2.230-mRNA-1_1&gene=maker-mau_s12-snap-gene-2.230&CDS=1-1737	YDL025C, YNL183C, YOR267C
OG0000025	augustus_masked-mau_s124-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-mau_s124-processed-gene-0.16&CDS=1-2571, augustus_masked-mau_s22-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-mau_s22-processed-gene-0.45&CDS=1-2580, augustus_masked-mau_s274-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-mau_s274-processed-gene-0.36&CDS=1-2664	YLL005C, YMR266W, YOL084W
OG0000026	augustus_masked-mau_s16-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-mau_s16-processed-gene-0.32&CDS=1-1722, augustus_masked-mau_s25-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-2.66&CDS=1-1815, genemark-mau_s126-processed-gene-0.209-mRNA-1_1&gene=genemark-mau_s126-processed-gene-0.209&CDS=1-1734, genemark-mau_s137-processed-gene-0.24-mRNA-1_1&gene=genemark-mau_s137-processed-gene-0.24&CDS=1-2529	YDR338C, YHR032W
OG0000027	augustus_masked-mau_s130-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mau_s130-processed-gene-0.1&CDS=1-468, augustus_masked-mau_s183-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-mau_s183-processed-gene-0.13&CDS=1-468, maker-mau_s156-snap-gene-0.0-mRNA-1_1&gene=maker-mau_s156-snap-gene-0.0&CDS=1-1989	YBR118W, YKR084C, YPR080W
OG0000028	augustus_masked-mau_s147-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-mau_s147-processed-gene-0.15&CDS=1-3138, augustus_masked-mau_s23-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-2.19&CDS=1-3066, maker-mau_s134-snap-gene-1.80-mRNA-1_1&gene=maker-mau_s134-snap-gene-1.80&CDS=1-2691	YBR245C, YFR038W, YOR304W
OG0000029	augustus_masked-mau_s134-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-mau_s134-processed-gene-1.57&CDS=1-2103, augustus_masked-mau_s159-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mau_s159-processed-gene-0.11&CDS=1-225, augustus_masked-mau_s67-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-mau_s67-processed-gene-1.55&CDS=1-2205, augustus_masked-mau_s7-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-mau_s7-processed-gene-0.59&CDS=1-1866	YLR098C, YOR337W
OG0000030	augustus_masked-mau_s146-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-mau_s146-processed-gene-0.26&CDS=1-5283, augustus_masked-mau_s85-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-mau_s85-processed-gene-1.100&CDS=1-1764, maker-mau_s23-augustus-gene-1.115-mRNA-1_1&gene=maker-mau_s23-augustus-gene-1.115&CDS=1-2673	YDR477W, YNL023C, YPL150W
OG0000031	augustus_masked-mau_s245-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-mau_s245-processed-gene-0.10&CDS=1-1968, augustus_masked-mau_s245-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-mau_s245-processed-gene-0.20&CDS=1-1560, augustus_masked-mau_s54-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-mau_s54-processed-gene-0.89&CDS=1-1527, snap_masked-mau_s148-processed-gene-0.134-mRNA-1_1&gene=snap_masked-mau_s148-processed-gene-0.134&CDS=1-489	YGR197C, YJR015W
OG0000032	augustus_masked-mau_s158-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-0.48&CDS=1-1692, augustus_masked-mau_s190-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-mau_s190-processed-gene-0.25&CDS=1-1737, augustus_masked-mau_s43-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-mau_s43-processed-gene-0.48&CDS=1-2691	YDR160W, YOR348C, YPL265W
OG0000033	augustus_masked-mau_s158-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-1.69&CDS=1-1059, augustus_masked-mau_s92-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-mau_s92-processed-gene-0.56&CDS=1-1248	YIL123W, YJL116C, YKR042W, YNL066W
OG0000034	augustus_masked-mau_s158-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-2.40&CDS=1-2076, augustus_masked-mau_s185-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-mau_s185-processed-gene-0.116&CDS=1-1965, augustus_masked-mau_s3-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-1.77&CDS=1-1899, augustus_masked-mau_s67-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-mau_s67-processed-gene-3.30&CDS=1-1632	YBR015C, YJL186W
OG0000035	augustus_masked-mau_s165-processed-gene-1.238-mRNA-1_1&gene=augustus_masked-mau_s165-processed-gene-1.238&CDS=1-2364, augustus_masked-mau_s221-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-mau_s221-processed-gene-1.88&CDS=1-2040, augustus_masked-mau_s5-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-mau_s5-processed-gene-1.53&CDS=1-1443	YGR249W, YHR206W, YOR140W
OG0000036	augustus_masked-mau_s219-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mau_s219-processed-gene-0.11&CDS=1-1065	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
OG0000037	augustus_masked-mau_s247-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-mau_s247-processed-gene-1.72&CDS=1-1065, augustus_masked-mau_s67-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-mau_s67-processed-gene-2.10&CDS=1-942, augustus_masked-mau_s82-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-mau_s82-processed-gene-0.126&CDS=1-918	YDL047W, YDR075W, YNR032W
OG0000038	augustus_masked-mau_s25-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-3.14&CDS=1-1953, snap_masked-mau_s60-processed-gene-0.91-mRNA-1_1&gene=snap_masked-mau_s60-processed-gene-0.91&CDS=1-1743	YER054C, YIL045W, YLR273C, YOR178C
OG0000039	augustus_masked-mau_s260-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-mau_s260-processed-gene-0.96&CDS=1-3990, maker-mau_s3-augustus-gene-3.1-mRNA-1_1&gene=maker-mau_s3-augustus-gene-3.1&CDS=1-9357, snap_masked-mau_s66-processed-gene-1.63-mRNA-1_1&gene=snap_masked-mau_s66-processed-gene-1.63&CDS=1-561	YBL104C, YCL024W, YDR507C
OG0000040	augustus_masked-mau_s3-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-0.110&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000041	augustus_masked-mau_C27030-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mau_C27030-processed-gene-0.2&CDS=1-2208	YBR297W, YFL052W, YGR288W, YPR196W
OG0000042	augustus_masked-mau_s103-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-mau_s103-processed-gene-0.15&CDS=1-1272, augustus_masked-mau_s3-processed-gene-6.1-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.1&CDS=1-1191, augustus_masked-mau_s45-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-mau_s45-processed-gene-0.38&CDS=1-1260	YKL106W, YLR027C
OG0000043	genemark-mau_s260-processed-gene-0.154-mRNA-1_1&gene=genemark-mau_s260-processed-gene-0.154&CDS=1-1383, maker-mau_s103-augustus-gene-0.59-mRNA-1_1&gene=maker-mau_s103-augustus-gene-0.59&CDS=1-1278, maker-mau_s3-snap-gene-0.0-mRNA-1_1&gene=maker-mau_s3-snap-gene-0.0&CDS=1-1518	YOL030W, YOL132W
OG0000044	augustus_masked-mau_s86-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-mau_s86-processed-gene-1.81&CDS=1-681, genemark-mau_s110-processed-gene-0.10-mRNA-1_1&gene=genemark-mau_s110-processed-gene-0.10&CDS=1-441, maker-mau_s89-snap-gene-0.35-mRNA-1_1&gene=maker-mau_s89-snap-gene-0.35&CDS=1-633	YIR001C, YIR005W
OG0000045	augustus_masked-mau_s110-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-mau_s110-processed-gene-1.53&CDS=1-360, augustus_masked-mau_s146-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-mau_s146-processed-gene-1.103&CDS=1-2565, augustus_masked-mau_s165-processed-gene-1.269-mRNA-1_1&gene=augustus_masked-mau_s165-processed-gene-1.269&CDS=1-801, augustus_masked-mau_s66-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-mau_s66-processed-gene-0.78&CDS=1-1524	YDR207C
OG0000046	augustus_masked-mau_s114-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-mau_s114-processed-gene-0.25&CDS=1-2319, augustus_masked-mau_s251-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-mau_s251-processed-gene-0.19&CDS=1-2229	YAL053W, YGL139W, YPL221W
OG0000047	augustus_masked-mau_s25-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-3.23&CDS=1-1137, augustus_masked-mau_s3-processed-gene-5.122-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.122&CDS=1-2142, augustus_masked-mau_s7-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-mau_s7-processed-gene-1.17&CDS=1-2148, maker-mau_s12-snap-gene-0.73-mRNA-1_1&gene=maker-mau_s12-snap-gene-0.73&CDS=1-2484, snap_masked-mau_s39-processed-gene-0.14-mRNA-1_1&gene=snap_masked-mau_s39-processed-gene-0.14&CDS=1-2184	
OG0000048	augustus_masked-mau_s12-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-0.11&CDS=1-1224, augustus_masked-mau_s5-processed-gene-2.166-mRNA-1_1&gene=augustus_masked-mau_s5-processed-gene-2.166&CDS=1-1155, maker-mau_s13-snap-gene-1.3-mRNA-1_1&gene=maker-mau_s13-snap-gene-1.3&CDS=1-1275	YBR207W, YER145C
OG0000049	augustus_masked-mau_s12-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.102&CDS=1-1839, augustus_masked-mau_s67-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-mau_s67-processed-gene-2.44&CDS=1-1932	YDL229W, YLL024C, YNL209W
OG0000050	augustus_masked-mau_s12-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-2.96&CDS=1-2382, augustus_masked-mau_s89-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-5.23&CDS=1-2103, genemark-mau_s221-processed-gene-0.25-mRNA-1_1&gene=genemark-mau_s221-processed-gene-0.25&CDS=1-1572	YGL257C, YNR059W
OG0000051	augustus_masked-mau_s120-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-mau_s120-processed-gene-0.54&CDS=1-1503, maker-mau_s3-snap-gene-1.102-mRNA-1_1&gene=maker-mau_s3-snap-gene-1.102&CDS=1-1917	YMR169C, YMR170C, YOR374W
OG0000052	augustus_masked-mau_s156-processed-gene-1.151-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-1.151&CDS=1-1749, augustus_masked-mau_s259-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-mau_s259-processed-gene-0.73&CDS=1-1698, maker-mau_s126-snap-gene-0.77-mRNA-1_1&gene=maker-mau_s126-snap-gene-0.77&CDS=1-3411	YJL172W, YOL153C
