	Pichia_membranifaciens	Saccharomyces_cerevisiae
OG0000025	augustus_masked-scaffold_10-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.1&CDS=1-2808, genemark-scaffold_10-processed-gene-0.6-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-0.6&CDS=1-2160, maker-scaffold_2-snap-gene-22.63-mRNA-1_1&gene=maker-scaffold_2-snap-gene-22.63&CDS=1-4452, snap_masked-scaffold_1-processed-gene-23.132-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.132&CDS=1-4494	YPL058C
OG0000026	augustus_masked-scaffold_2-processed-gene-10.61-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.61&CDS=1-6021, snap_masked-scaffold_2-processed-gene-5.70-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.70&CDS=1-3834	YDR216W, YJR127C, YML081W
OG0000027	snap_masked-scaffold_2-processed-gene-8.3-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.3&CDS=1-1644, snap_masked-scaffold_3-processed-gene-13.83-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-13.83&CDS=1-1779	YDR345C, YHR092C, YHR094C
OG0000028	augustus_masked-scaffold_2-processed-gene-18.95-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.95&CDS=1-1608, snap_masked-scaffold_2-processed-gene-13.49-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.49&CDS=1-2082	YIR013C, YLR013W, YPL021W
OG0000029	snap_masked-scaffold_2-processed-gene-16.44-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.44&CDS=1-1020	YDL244W, YFL058W, YJR156C, YNL332W
OG0000030	augustus_masked-scaffold_2-processed-gene-25.257-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-25.257&CDS=1-5901, snap_masked-scaffold_3-processed-gene-0.34-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.34&CDS=1-3987, snap_masked-scaffold_4-processed-gene-7.44-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.44&CDS=1-3948, snap_masked-scaffold_6-processed-gene-3.32-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.32&CDS=1-3951	YKL215C
OG0000031	snap_masked-scaffold_2-processed-gene-25.188-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-25.188&CDS=1-1353, snap_masked-scaffold_7-processed-gene-3.130-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.130&CDS=1-1221	YBL056W, YBR125C, YER089C
OG0000032	augustus_masked-scaffold_3-processed-gene-12.125-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.125&CDS=1-1776, snap_masked-scaffold_5-processed-gene-9.126-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-9.126&CDS=1-1701, snap_masked-scaffold_7-processed-gene-3.128-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.128&CDS=1-1734	YJL172W, YOL153C
OG0000033	augustus_masked-scaffold_5-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.17&CDS=1-1575, augustus_masked-scaffold_6-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.122&CDS=1-1938, maker-scaffold_3-augustus-gene-13.51-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-13.51&CDS=1-2238	YOL119C, YOR306C
OG0000034	maker-scaffold_9-augustus-gene-0.83-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-0.83&CDS=1-303, snap_masked-scaffold_4-processed-gene-2.76-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.76&CDS=1-1023, snap_masked-scaffold_4-processed-gene-2.77-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.77&CDS=1-1038, snap_masked-scaffold_9-processed-gene-0.71-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-0.71&CDS=1-1017	YDL144C
OG0000035	maker-scaffold_4-augustus-gene-6.50-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-6.50&CDS=1-1944, maker-scaffold_6-snap-gene-1.80-mRNA-1_1&gene=maker-scaffold_6-snap-gene-1.80&CDS=1-3312	YBR149W, YDR368W, YOR120W
OG0000036	maker-scaffold_4-snap-gene-8.93-mRNA-1_1&gene=maker-scaffold_4-snap-gene-8.93&CDS=1-3567, snap_masked-scaffold_4-processed-gene-8.9-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.9&CDS=1-1797	YDR144C, YLR120C, YLR121C
OG0000037	snap_masked-scaffold_5-processed-gene-4.75-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.75&CDS=1-702	YBR067C, YER011W, YIL011W, YOR010C
OG0000038	snap_masked-scaffold_5-processed-gene-4.65-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.65&CDS=1-4602	YBL017C, YIL173W, YJL222W, YNR065C
OG0000039	snap_masked-scaffold_5-processed-gene-13.81-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-13.81&CDS=1-1758, snap_masked-scaffold_7-processed-gene-1.64-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.64&CDS=1-1689	YLR237W, YOR071C, YOR192C
OG0000040	genemark-scaffold_2-processed-gene-19.44-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.44&CDS=1-1731, maker-scaffold_1-snap-gene-0.43-mRNA-1_1&gene=maker-scaffold_1-snap-gene-0.43&CDS=1-1785, maker-scaffold_1-snap-gene-1.124-mRNA-1_1&gene=maker-scaffold_1-snap-gene-1.124&CDS=1-2076	YDL170W
OG0000041	augustus_masked-scaffold_1-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.3&CDS=1-5088, maker-scaffold_2-augustus-gene-24.118-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-24.118&CDS=1-6339	YBR023C, YLR129W
OG0000042	augustus_masked-scaffold_6-processed-gene-5.1-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.1&CDS=1-1284, genemark-scaffold_1-processed-gene-1.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.100&CDS=1-1299	YER028C, YGL209W
OG0000043	snap_masked-scaffold_1-processed-gene-2.38-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.38&CDS=1-1839, snap_masked-scaffold_1-processed-gene-25.217-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.217&CDS=1-639	YDR002W, YLR335W
OG0000044	maker-scaffold_1-snap-gene-3.146-mRNA-1_1&gene=maker-scaffold_1-snap-gene-3.146&CDS=1-1983, snap_masked-scaffold_1-processed-gene-18.15-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.15&CDS=1-1989	YJR059W, YKL198C
OG0000045	genemark-scaffold_1-processed-gene-5.112-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.112&CDS=1-765, genemark-scaffold_6-processed-gene-5.157-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.157&CDS=1-879, genemark-scaffold_8-processed-gene-1.175-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.175&CDS=1-699	YCL074W
OG0000046	snap_masked-scaffold_1-processed-gene-15.106-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.106&CDS=1-222, snap_masked-scaffold_1-processed-gene-6.78-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.78&CDS=1-459	YFL017W-A, YNL147W
OG0000047	snap_masked-scaffold_1-processed-gene-8.61-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.61&CDS=1-4614, snap_masked-scaffold_2-processed-gene-5.53-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.53&CDS=1-4740	YDR135C, YLL015W
OG0000048	augustus_masked-scaffold_1-processed-gene-10.91-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.91&CDS=1-2319, augustus_masked-scaffold_2-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-3.58&CDS=1-4224, maker-scaffold_3-snap-gene-9.38-mRNA-1_1&gene=maker-scaffold_3-snap-gene-9.38&CDS=1-2646	YPR022C
OG0000049	augustus_masked-scaffold_1-processed-gene-20.64-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.64&CDS=1-4743, snap_masked-scaffold_1-processed-gene-10.75-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.75&CDS=1-2967	YGL066W, YOR032C
OG0000050	snap_masked-scaffold_1-processed-gene-14.22-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.22&CDS=1-1644, snap_masked-scaffold_3-processed-gene-3.115-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.115&CDS=1-1680	YNL095C, YOR092W
OG0000051	snap_masked-scaffold_1-processed-gene-14.29-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.29&CDS=1-390, snap_masked-scaffold_3-processed-gene-6.22-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.22&CDS=1-393	YBL002W, YDR224C
OG0000052	snap_masked-scaffold_1-processed-gene-14.13-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.13&CDS=1-393, snap_masked-scaffold_3-processed-gene-6.43-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.43&CDS=1-393	YBL003C, YDR225W
OG0000053	genemark-scaffold_1-processed-gene-15.32-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.32&CDS=1-3195, snap_masked-scaffold_8-processed-gene-1.99-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.99&CDS=1-1938	YAL005C, YLL024C
OG0000054	snap_masked-scaffold_1-processed-gene-16.65-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.65&CDS=1-2166, snap_masked-scaffold_3-processed-gene-10.92-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.92&CDS=1-2223	YAR035W, YER024W
OG0000055	augustus_masked-scaffold_1-processed-gene-19.114-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.114&CDS=1-975, augustus_masked-scaffold_3-processed-gene-15.65-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.65&CDS=1-897	YMR183C, YPL232W
OG0000056	snap_masked-scaffold_1-processed-gene-20.21-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.21&CDS=1-1323, snap_masked-scaffold_6-processed-gene-3.17-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.17&CDS=1-1233	YDL066W, YLR174W
OG0000057	augustus_masked-scaffold_1-processed-gene-21.83-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.83&CDS=1-2013, snap_masked-scaffold_1-processed-gene-24.100-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.100&CDS=1-2019	YAL054C, YLR153C
OG0000058	snap_masked-scaffold_1-processed-gene-23.127-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.127&CDS=1-1233, snap_masked-scaffold_7-processed-gene-3.148-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.148&CDS=1-1671	YKL124W, YMR171C
OG0000059	augustus_masked-scaffold_1-processed-gene-23.81-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.81&CDS=1-432, augustus_masked-scaffold_1-processed-gene-24.109-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.109&CDS=1-2442, augustus_masked-scaffold_8-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.43&CDS=1-1647	YPL247C
OG0000060	snap_masked-scaffold_1-processed-gene-24.73-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.73&CDS=1-1434, snap_masked-scaffold_5-processed-gene-7.75-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.75&CDS=1-1455	YBR283C, YLR378C
OG0000061	augustus_masked-scaffold_2-processed-gene-17.67-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.67&CDS=1-2190, snap_masked-scaffold_1-processed-gene-24.77-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.77&CDS=1-2244, snap_masked-scaffold_4-processed-gene-1.26-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.26&CDS=1-2322	YBR015C
OG0000062	snap_masked-scaffold_1-processed-gene-25.194-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.194&CDS=1-2103, snap_masked-scaffold_5-processed-gene-9.149-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-9.149&CDS=1-2232	YBL011W, YKR067W
OG0000063	augustus_masked-scaffold_1-processed-gene-25.249-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.249&CDS=1-1356, snap_masked-scaffold_7-processed-gene-3.182-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.182&CDS=1-1884	YCL037C, YDR515W
OG0000064	snap_masked-scaffold_1-processed-gene-25.212-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.212&CDS=1-957, snap_masked-scaffold_3-processed-gene-13.86-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-13.86&CDS=1-2358	YER133W, YML016C
OG0000065	snap_masked-scaffold_1-processed-gene-25.169-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.169&CDS=1-792, snap_masked-scaffold_5-processed-gene-4.74-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.74&CDS=1-909	YBR002C, YMR101C
OG0000066	maker-scaffold_4-augustus-gene-11.56-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-11.56&CDS=1-333, snap_masked-scaffold_2-processed-gene-0.71-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.71&CDS=1-324	YDR382W, YOL039W
OG0000067	maker-scaffold_4-snap-gene-11.108-mRNA-1_1&gene=maker-scaffold_4-snap-gene-11.108&CDS=1-2796, snap_masked-scaffold_2-processed-gene-1.73-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.73&CDS=1-2475	YGL257C, YIL014W
OG0000068	genemark-scaffold_6-processed-gene-3.106-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.106&CDS=1-1056, snap_masked-scaffold_2-processed-gene-2.128-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.128&CDS=1-1155	YBL054W, YER088C
OG0000069	maker-scaffold_2-snap-gene-3.45-mRNA-1_1&gene=maker-scaffold_2-snap-gene-3.45&CDS=1-390, snap_masked-scaffold_4-processed-gene-1.29-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.29&CDS=1-390	YJL190C, YLR367W
OG0000070	maker-scaffold_2-snap-gene-5.3-mRNA-1_1&gene=maker-scaffold_2-snap-gene-5.3&CDS=1-2685, snap_masked-scaffold_7-processed-gene-2.63-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.63&CDS=1-3213	YAL051W, YOR363C
OG0000071	snap_masked-scaffold_2-processed-gene-5.61-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.61&CDS=1-1923, snap_masked-scaffold_4-processed-gene-2.52-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.52&CDS=1-1446	YHL019C, YPL259C
OG0000072	maker-scaffold_5-augustus-gene-8.100-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-8.100&CDS=1-3474, snap_masked-scaffold_2-processed-gene-6.33-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.33&CDS=1-3357	YDR103W, YDR512C
OG0000073	augustus_masked-scaffold_2-processed-gene-8.49-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.49&CDS=1-1650	YOL055C, YPL258C, YPR121W
OG0000074	augustus_masked-scaffold_2-processed-gene-17.54-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.54&CDS=1-2133, snap_masked-scaffold_2-processed-gene-8.24-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.24&CDS=1-1272	YGL038C, YGR220C
