	Ogataea_methanolica	Saccharomyces_cerevisiae
OG0000010	-processed-gene-0.11-mRNA-1_1&gene=genemark-gi|1002316319|dbj|BCKW01000018.1|-processed-gene-0.11&CDS=1-1194, -processed-gene-0.2-mRNA-1_1&gene=genemark-gi|1002316320|dbj|BCKW01000017.1|-processed-gene-0.2&CDS=1-1194, -processed-gene-2.77-mRNA-1_1&gene=genemark-gi|1002316332|dbj|BCKW01000005.1|-processed-gene-2.77&CDS=1-1161, -processed-gene-3.101-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.101&CDS=1-1221, -processed-gene-32.80-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.80&CDS=1-1224, -snap-gene-8.131-mRNA-1_1&gene=maker-gi|1002316334|dbj|BCKW01000003.1|-snap-gene-8.131&CDS=1-2388	YOR049C
OG0000011	-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-gi|1002316320|dbj|BCKW01000017.1|-processed-gene-0.22&CDS=1-903, -processed-gene-0.26-mRNA-1_1&gene=augustus_masked-gi|1002316322|dbj|BCKW01000015.1|-processed-gene-0.26&CDS=1-840, -processed-gene-0.4-mRNA-1_1&gene=augustus_masked-gi|1002316319|dbj|BCKW01000018.1|-processed-gene-0.4&CDS=1-903, -processed-gene-0.6-mRNA-1_1&gene=augustus_masked-gi|1002316323|dbj|BCKW01000014.1|-processed-gene-0.6&CDS=1-789, -processed-gene-2.104-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-2.104&CDS=1-924, -processed-gene-3.21-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-3.21&CDS=1-924	YDL124W
OG0000012	-processed-gene-11.22-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-11.22&CDS=1-2757, -processed-gene-2.116-mRNA-1_1&gene=genemark-gi|1002316326|dbj|BCKW01000011.1|-processed-gene-2.116&CDS=1-2514, -processed-gene-27.74-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-27.74&CDS=1-1731, -processed-gene-35.216-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-35.216&CDS=1-1566	YFL021W, YJL110C, YKR034W
OG0000013	-processed-gene-2.75-mRNA-1_1&gene=snap_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.75&CDS=1-1110, -processed-gene-29.7-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-29.7&CDS=1-1656, -processed-gene-4.120-mRNA-1_1&gene=augustus_masked-gi|1002316331|dbj|BCKW01000006.1|-processed-gene-4.120&CDS=1-2277	YBR297W, YFL052W, YGR288W, YPR196W
OG0000014	-processed-gene-28.87-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-28.87&CDS=1-2121, -snap-gene-0.58-mRNA-1_1&gene=maker-gi|1002316332|dbj|BCKW01000005.1|-snap-gene-0.58&CDS=1-6252, -snap-gene-26.81-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-26.81&CDS=1-3954	YKL220C, YLR214W, YNR060W, YOR381W
OG0000015	-processed-gene-0.27-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-0.27&CDS=1-1122, -processed-gene-0.49-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-0.49&CDS=1-1122, -processed-gene-1.20-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-1.20&CDS=1-1122, -processed-gene-14.222-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-14.222&CDS=1-1122, -processed-gene-35.113-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-35.113&CDS=1-1122, -snap-gene-14.87-mRNA-1_1&gene=maker-gi|1002316334|dbj|BCKW01000003.1|-snap-gene-14.87&CDS=1-207	YMR152W
OG0000016	-processed-gene-0.8-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-0.8&CDS=1-1683, -processed-gene-14.45-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-14.45&CDS=1-1638, -processed-gene-35.151-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-35.151&CDS=1-1704	YBR298C, YDL247W, YGR289C, YJR160C
OG0000017	-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-gi|1002316314|dbj|BCKW01000023.1|-processed-gene-0.0&CDS=1-4548, -processed-gene-0.12-mRNA-1_1&gene=snap_masked-gi|1002316326|dbj|BCKW01000011.1|-processed-gene-0.12&CDS=1-855, -processed-gene-13.168-mRNA-1_1&gene=snap_masked-gi|1002316333|dbj|BCKW01000004.1|-processed-gene-13.168&CDS=1-507, -processed-gene-13.169-mRNA-1_1&gene=snap_masked-gi|1002316333|dbj|BCKW01000004.1|-processed-gene-13.169&CDS=1-258, -processed-gene-30.28-mRNA-1_1&gene=snap_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.28&CDS=1-927, -processed-gene-4.79-mRNA-1_1&gene=augustus_masked-gi|1002316329|dbj|BCKW01000008.1|-processed-gene-4.79&CDS=1-1392	
OG0000018	-processed-gene-1.31-mRNA-1_1&gene=genemark-gi|1002316326|dbj|BCKW01000011.1|-processed-gene-1.31&CDS=1-597	YBR067C, YER011W, YIL011W, YOR009W, YOR010C
OG0000019	-processed-gene-1.68-mRNA-1_1&gene=genemark-gi|1002316330|dbj|BCKW01000007.1|-processed-gene-1.68&CDS=1-1119, -processed-gene-5.27-mRNA-1_1&gene=genemark-gi|1002316329|dbj|BCKW01000008.1|-processed-gene-5.27&CDS=1-1119, -processed-gene-5.29-mRNA-1_1&gene=genemark-gi|1002316329|dbj|BCKW01000008.1|-processed-gene-5.29&CDS=1-1119, -processed-gene-5.30-mRNA-1_1&gene=genemark-gi|1002316329|dbj|BCKW01000008.1|-processed-gene-5.30&CDS=1-1119, -snap-gene-0.86-mRNA-1_1&gene=maker-gi|1002316329|dbj|BCKW01000008.1|-snap-gene-0.86&CDS=1-3174, -snap-gene-5.3-mRNA-1_1&gene=maker-gi|1002316329|dbj|BCKW01000008.1|-snap-gene-5.3&CDS=1-942	
OG0000020	-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-gi|1002316330|dbj|BCKW01000007.1|-processed-gene-5.10&CDS=1-1113, -processed-gene-5.100-mRNA-1_1&gene=snap_masked-gi|1002316330|dbj|BCKW01000007.1|-processed-gene-5.100&CDS=1-372	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
OG0000021	-processed-gene-8.56-mRNA-1_1&gene=genemark-gi|1002316332|dbj|BCKW01000005.1|-processed-gene-8.56&CDS=1-4566, -snap-gene-19.1-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-snap-gene-19.1&CDS=1-5163	YBL017C, YIL173W, YJL222W, YNR065C
OG0000022	-processed-gene-27.91-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-27.91&CDS=1-1260, -processed-gene-28.82-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-28.82&CDS=1-1236, -processed-gene-4.85-mRNA-1_1&gene=genemark-gi|1002316333|dbj|BCKW01000004.1|-processed-gene-4.85&CDS=1-1251, -snap-gene-25.131-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-25.131&CDS=1-2451	YHR179W, YPL171C
OG0000023	-processed-gene-18.19-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-18.19&CDS=1-2298, -processed-gene-7.81-mRNA-1_1&gene=genemark-gi|1002316333|dbj|BCKW01000004.1|-processed-gene-7.81&CDS=1-3219, -processed-gene-8.87-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.87&CDS=1-2799	YGL120C, YKR086W, YNR011C
OG0000024	-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-gi|1002316323|dbj|BCKW01000014.1|-processed-gene-0.0&CDS=1-999, -processed-gene-0.3-mRNA-1_1&gene=genemark-gi|1002316322|dbj|BCKW01000015.1|-processed-gene-0.3&CDS=1-999, -processed-gene-33.80-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.80&CDS=1-999	YGR192C, YJR009C
OG0000025	-processed-gene-3.118-mRNA-1_1&gene=genemark-gi|1002316328|dbj|BCKW01000009.1|-processed-gene-3.118&CDS=1-1644, -processed-gene-3.122-mRNA-1_1&gene=genemark-gi|1002316330|dbj|BCKW01000007.1|-processed-gene-3.122&CDS=1-1641, -processed-gene-4.69-mRNA-1_1&gene=genemark-gi|1002316331|dbj|BCKW01000006.1|-processed-gene-4.69&CDS=1-1635	YFL011W, YMR011W
OG0000026	-processed-gene-14.255-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-14.255&CDS=1-363, -processed-gene-3.16-mRNA-1_1&gene=snap_masked-gi|1002316328|dbj|BCKW01000009.1|-processed-gene-3.16&CDS=1-1122, -processed-gene-35.230-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-35.230&CDS=1-1122, -processed-gene-4.19-mRNA-1_1&gene=augustus_masked-gi|1002316333|dbj|BCKW01000004.1|-processed-gene-4.19&CDS=1-1122	YML051W
OG0000027	-processed-gene-12.70-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-12.70&CDS=1-2979, -processed-gene-23.51-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-23.51&CDS=1-2799, -processed-gene-7.140-mRNA-1_1&gene=augustus_masked-gi|1002316331|dbj|BCKW01000006.1|-processed-gene-7.140&CDS=1-3042, -snap-gene-5.4-mRNA-1_1&gene=maker-gi|1002316329|dbj|BCKW01000008.1|-snap-gene-5.4&CDS=1-8124	YKR064W
OG0000028	-augustus-gene-8.122-mRNA-1_1&gene=maker-gi|1002316332|dbj|BCKW01000005.1|-augustus-gene-8.122&CDS=1-1692, -processed-gene-12.47-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-12.47&CDS=1-1686, -processed-gene-2.14-mRNA-1_1&gene=genemark-gi|1002316331|dbj|BCKW01000006.1|-processed-gene-2.14&CDS=1-1677, -processed-gene-9.66-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-9.66&CDS=1-1653	YOR348C
OG0000029	-augustus-gene-10.136-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-augustus-gene-10.136&CDS=1-2130, -processed-gene-2.29-mRNA-1_1&gene=genemark-gi|1002316331|dbj|BCKW01000006.1|-processed-gene-2.29&CDS=1-3102, -processed-gene-4.34-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-4.34&CDS=1-2361	YLR144C, YNR067C
OG0000030	-processed-gene-3.83-mRNA-1_1&gene=genemark-gi|1002316331|dbj|BCKW01000006.1|-processed-gene-3.83&CDS=1-1575, -processed-gene-4.58-mRNA-1_1&gene=genemark-gi|1002316331|dbj|BCKW01000006.1|-processed-gene-4.58&CDS=1-1575, -processed-gene-6.68-mRNA-1_1&gene=genemark-gi|1002316331|dbj|BCKW01000006.1|-processed-gene-6.68&CDS=1-1575, -processed-gene-7.4-mRNA-1_1&gene=genemark-gi|1002316331|dbj|BCKW01000006.1|-processed-gene-7.4&CDS=1-1575	YKL217W
OG0000031	-processed-gene-4.70-mRNA-1_1&gene=genemark-gi|1002316331|dbj|BCKW01000006.1|-processed-gene-4.70&CDS=1-1650, -processed-gene-5.38-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-5.38&CDS=1-1800, -processed-gene-5.76-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-5.76&CDS=1-1641	YDL085W, YMR145C
OG0000032	-processed-gene-25.100-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-25.100&CDS=1-603, -processed-gene-4.49-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-4.49&CDS=1-540, -processed-gene-6.75-mRNA-1_1&gene=genemark-gi|1002316331|dbj|BCKW01000006.1|-processed-gene-6.75&CDS=1-537	YER067W, YIL057C
OG0000033	-processed-gene-13.101-mRNA-1_1&gene=genemark-gi|1002316333|dbj|BCKW01000004.1|-processed-gene-13.101&CDS=1-1845, -processed-gene-7.5-mRNA-1_1&gene=genemark-gi|1002316331|dbj|BCKW01000006.1|-processed-gene-7.5&CDS=1-1602	YER045C, YIL036W, YNL167C
OG0000034	-processed-gene-1.52-mRNA-1_1&gene=genemark-gi|1002316333|dbj|BCKW01000004.1|-processed-gene-1.52&CDS=1-1734, -processed-gene-33.103-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.103&CDS=1-1704	YGR087C, YLR044C, YLR134W
OG0000035	-processed-gene-5.88-mRNA-1_1&gene=genemark-gi|1002316333|dbj|BCKW01000004.1|-processed-gene-5.88&CDS=1-1512, -processed-gene-6.54-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-6.54&CDS=1-1449, -snap-gene-5.74-mRNA-1_1&gene=maker-gi|1002316333|dbj|BCKW01000004.1|-snap-gene-5.74&CDS=1-7575	YDR395W, YOR306C
OG0000036	-processed-gene-1.23-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-1.23&CDS=1-4284, -processed-gene-14.19-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-14.19&CDS=1-4164, -processed-gene-17.43-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-17.43&CDS=1-4077, -processed-gene-18.18-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-18.18&CDS=1-4176	YGR281W
OG0000037	-processed-gene-13.48-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-13.48&CDS=1-2580, -processed-gene-2.90-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-2.90&CDS=1-2490	YML111W, YMR275C, YNR069C
OG0000038	-processed-gene-31.61-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.61&CDS=1-2574, -processed-gene-8.109-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-8.109&CDS=1-2673	YCR037C, YJL198W, YNR013C
OG0000039	-processed-gene-12.52-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-12.52&CDS=1-1725, -processed-gene-7.92-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-7.92&CDS=1-1542	YER028C, YGL035C, YGL209W
OG0000040	-processed-gene-14.54-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-14.54&CDS=1-1035	YDL244W, YFL058W, YJR156C, YNL332W
OG0000041	-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-6.67&CDS=1-1683	YCL069W, YGR224W, YKR105C, YPR198W
OG0000042	-processed-gene-29.10-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-29.10&CDS=1-3372, -snap-gene-21.68-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-snap-gene-21.68&CDS=1-3081	YIL002C, YNL106C, YOR109W
OG0000043	-processed-gene-19.13-mRNA-1_1&gene=snap_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-19.13&CDS=1-231, -processed-gene-35.126-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-35.126&CDS=1-900, -processed-gene-5.48-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-5.48&CDS=1-729	YAL018C, YOL048C
OG0000044	-processed-gene-22.4-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-22.4&CDS=1-1689, -snap-gene-17.80-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-17.80&CDS=1-1755	YML116W, YMR279C, YOR378W
OG0000045	-processed-gene-19.52-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-19.52&CDS=1-3789, -processed-gene-26.44-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-26.44&CDS=1-4212	YCL024W, YDR507C, YKL101W
OG0000046	-processed-gene-0.2-mRNA-1_1&gene=snap_masked-gi|1002316316|dbj|BCKW01000021.1|-processed-gene-0.2&CDS=1-4782, -processed-gene-0.49-mRNA-1_1&gene=augustus_masked-gi|1002316332|dbj|BCKW01000005.1|-processed-gene-0.49&CDS=1-2664, -processed-gene-0.5-mRNA-1_1&gene=snap_masked-gi|1002316313|dbj|BCKW01000024.1|-processed-gene-0.5&CDS=1-270, -processed-gene-14.166-mRNA-1_1&gene=snap_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-14.166&CDS=1-378	
OG0000047	-processed-gene-0.24-mRNA-1_1&gene=snap_masked-gi|1002316321|dbj|BCKW01000016.1|-processed-gene-0.24&CDS=1-201	YCL067C, YCR039C, YCR096C
OG0000048	-processed-gene-0.17-mRNA-1_1&gene=snap_masked-gi|1002316323|dbj|BCKW01000014.1|-processed-gene-0.17&CDS=1-1107, -processed-gene-0.21-mRNA-1_1&gene=augustus_masked-gi|1002316322|dbj|BCKW01000015.1|-processed-gene-0.21&CDS=1-1794	YLR098C, YOR337W
