	Cyberlindnera_fabianii_JCM3601	Saccharomyces_cerevisiae
OG0000010	-processed-gene-19.34-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-19.34&CDS=1-2679, -processed-gene-26.23-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-26.23&CDS=1-3030, -processed-gene-8.97-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-8.97&CDS=1-2202, -snap-gene-4.157-mRNA-1_1&gene=maker-gi|1002316264|dbj|BCGI01000006.1|-snap-gene-4.157&CDS=1-2799	YER013W, YGL120C, YKR086W, YNR011C
OG0000011	-processed-gene-10.41-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-10.41&CDS=1-1551, -processed-gene-14.120-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-14.120&CDS=1-1476, -processed-gene-16.10-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-16.10&CDS=1-5202, -processed-gene-3.158-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-3.158&CDS=1-1482, -processed-gene-7.77-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-7.77&CDS=1-1410	YOL119C, YOR296W, YOR306C
OG0000012	-processed-gene-10.63-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.63&CDS=1-1197, -processed-gene-11.4-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-11.4&CDS=1-4194, -processed-gene-12.135-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-12.135&CDS=1-1563, -processed-gene-15.59-mRNA-1_1&gene=augustus_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-15.59&CDS=1-2964, -processed-gene-17.67-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-17.67&CDS=1-375, -processed-gene-6.52-mRNA-1_1&gene=genemark-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-6.52&CDS=1-885, -snap-gene-17.10-mRNA-1_1&gene=maker-gi|1002316267|dbj|BCGI01000003.1|-snap-gene-17.10&CDS=1-3702, -snap-gene-6.74-mRNA-1_1&gene=maker-gi|1002316267|dbj|BCGI01000003.1|-snap-gene-6.74&CDS=1-4857	
OG0000013	-processed-gene-16.48-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-16.48&CDS=1-1737, -processed-gene-5.33-mRNA-1_1&gene=augustus_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-5.33&CDS=1-1800, -processed-gene-6.67-mRNA-1_1&gene=genemark-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-6.67&CDS=1-1818, -processed-gene-7.103-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-7.103&CDS=1-1854	YCL069W, YGR224W, YKR105C, YPR198W
OG0000014	-processed-gene-0.100-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-0.100&CDS=1-2130, -processed-gene-0.35-mRNA-1_1&gene=augustus_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-0.35&CDS=1-1566, -processed-gene-12.116-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-12.116&CDS=1-2115, -processed-gene-12.26-mRNA-1_1&gene=augustus_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-12.26&CDS=1-2064, -processed-gene-16.30-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-16.30&CDS=1-2544, -processed-gene-9.126-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-9.126&CDS=1-2196	YGL257C, YNR059W
OG0000015	-processed-gene-0.126-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-0.126&CDS=1-1494, -processed-gene-15.157-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-15.157&CDS=1-1557, -processed-gene-5.22-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-5.22&CDS=1-1491, -snap-gene-2.57-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-2.57&CDS=1-1968	YER073W, YOR374W, YPL061W
OG0000016	-processed-gene-0.102-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-0.102&CDS=1-1107, -processed-gene-14.116-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-14.116&CDS=1-1098, -processed-gene-4.110-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.110&CDS=1-1098, -processed-gene-6.46-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-6.46&CDS=1-1113, -snap-gene-18.8-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-18.8&CDS=1-1083	YGL185C, YPL113C
OG0000017	-processed-gene-0.21-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-0.21&CDS=1-1389, -processed-gene-7.55-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-7.55&CDS=1-1353	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000018	-processed-gene-8.100-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-8.100&CDS=1-1620, -processed-gene-8.105-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-8.105&CDS=1-1557, -processed-gene-8.107-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-8.107&CDS=1-1539, -processed-gene-8.129-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-8.129&CDS=1-1518	YML116W, YMR279C, YOR378W
OG0000019	-processed-gene-0.42-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-0.42&CDS=1-564, -processed-gene-12.111-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-12.111&CDS=1-996, -processed-gene-3.191-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.191&CDS=1-675	YHL034C, YIR001C, YLL046C
OG0000020	-processed-gene-10.16-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-10.16&CDS=1-1290, -processed-gene-18.241-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-18.241&CDS=1-1932	YMR006C, YMR008C, YNL012W, YOL011W
OG0000021	-processed-gene-14.112-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-14.112&CDS=1-1944, -processed-gene-27.92-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-27.92&CDS=1-2004, -processed-gene-3.81-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-3.81&CDS=1-1926	YER103W, YJL034W, YLL024C
OG0000022	-processed-gene-29.72-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-29.72&CDS=1-1227, -processed-gene-5.14-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-5.14&CDS=1-1323, -processed-gene-9.105-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.105&CDS=1-918	YGL128C, YLR090W, YNL064C
OG0000023	-processed-gene-12.97-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-12.97&CDS=1-1026, -processed-gene-9.96-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-9.96&CDS=1-1053	YDR541C, YGL039W, YGL157W, YOL151W
OG0000024	-processed-gene-10.127-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-10.127&CDS=1-1497, -processed-gene-13.47-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-13.47&CDS=1-837, -processed-gene-24.35-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-24.35&CDS=1-1479	YCL037C, YDL051W, YDR515W
OG0000025	-processed-gene-1.34-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-1.34&CDS=1-1719, -processed-gene-15.6-mRNA-1_1&gene=genemark-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-15.6&CDS=1-1461, -processed-gene-9.26-mRNA-1_1&gene=genemark-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-9.26&CDS=1-1695	YHR050W, YLR034C, YOL122C
OG0000026	-processed-gene-17.62-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-17.62&CDS=1-1749, -processed-gene-5.48-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-5.48&CDS=1-1689, -snap-gene-6.92-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-6.92&CDS=1-2169	YDL025C, YNL183C, YOR267C
OG0000027	-snap-gene-12.95-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-12.95&CDS=1-2469, -snap-gene-16.2-mRNA-1_1&gene=maker-gi|1002316266|dbj|BCGI01000004.1|-snap-gene-16.2&CDS=1-2052	YJL099W, YKR027W, YMR237W, YOR299W
OG0000028	-processed-gene-0.26-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-0.26&CDS=1-1659, -processed-gene-26.13-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-26.13&CDS=1-1701, -processed-gene-8.100-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-8.100&CDS=1-1710, -snap-gene-8.97-mRNA-1_1&gene=maker-gi|1002316267|dbj|BCGI01000003.1|-snap-gene-8.97&CDS=1-2445, -snap-gene-8.98-mRNA-1_1&gene=maker-gi|1002316267|dbj|BCGI01000003.1|-snap-gene-8.98&CDS=1-1725	YDL210W
OG0000029	-processed-gene-18.93-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-18.93&CDS=1-1659, -processed-gene-19.76-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-19.76&CDS=1-1368, -processed-gene-3.1-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-3.1&CDS=1-927	YDL216C, YFR004W, YLR073C
OG0000030	-processed-gene-10.127-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-10.127&CDS=1-276, -processed-gene-5.38-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-5.38&CDS=1-627	YBR089C-A, YKL032C, YMR072W, YPR052C
OG0000031	-processed-gene-10.143-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-10.143&CDS=1-1599, -processed-gene-10.166-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-10.166&CDS=1-1881, -processed-gene-20.187-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-20.187&CDS=1-1578, -processed-gene-7.134-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-7.134&CDS=1-1611	YGR197C, YJR015W
OG0000032	-processed-gene-13.46-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-13.46&CDS=1-4506, -processed-gene-6.38-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-6.38&CDS=1-4557	YBL017C, YIL173W, YJL222W, YNR065C
OG0000033	-processed-gene-28.83-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-28.83&CDS=1-1749, -processed-gene-30.19-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-30.19&CDS=1-1746	YBR298C, YDL247W, YGR289C, YJR160C
OG0000034	-processed-gene-30.20-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-30.20&CDS=1-1620, -processed-gene-30.55-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-30.55&CDS=1-2163	YBR297W, YFL052W, YGR288W, YPR196W
OG0000035	-processed-gene-0.1-mRNA-1_1&gene=snap_masked-gi|1002316260|dbj|BCGI01000010.1|-processed-gene-0.1&CDS=1-1014, -processed-gene-0.8-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-0.8&CDS=1-1014, -snap-gene-9.102-mRNA-1_1&gene=maker-gi|1002316268|dbj|BCGI01000002.1|-snap-gene-9.102&CDS=1-4608	YJL137C, YKR058W
OG0000036	-processed-gene-10.51-mRNA-1_1&gene=genemark-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-10.51&CDS=1-2058, -processed-gene-7.128-mRNA-1_1&gene=augustus_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-7.128&CDS=1-1176, -snap-gene-1.58-mRNA-1_1&gene=maker-gi|1002316263|dbj|BCGI01000007.1|-snap-gene-1.58&CDS=1-1119	YOL013C, YPR093C
OG0000037	-processed-gene-0.135-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-0.135&CDS=1-834, -processed-gene-18.202-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-18.202&CDS=1-849, -processed-gene-7.93-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-7.93&CDS=1-852	YER175C, YHR209W
OG0000038	-processed-gene-1.109-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.109&CDS=1-633, -processed-gene-1.153-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-1.153&CDS=1-771, -processed-gene-18.53-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-18.53&CDS=1-741, -processed-gene-6.4-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-6.4&CDS=1-771	YKL071W
OG0000039	-processed-gene-28.51-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-28.51&CDS=1-1554, -processed-gene-7.79-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-7.79&CDS=1-1515, -snap-gene-2.5-mRNA-1_1&gene=maker-gi|1002316264|dbj|BCGI01000006.1|-snap-gene-2.5&CDS=1-1203	YER133W, YML016C
OG0000040	-processed-gene-4.133-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.133&CDS=1-1101	YLR155C, YLR157C, YLR158C, YLR160C
OG0000041	-processed-gene-21.8-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-21.8&CDS=1-1107, -processed-gene-6.41-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-6.41&CDS=1-1107, -processed-gene-8.0-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.0&CDS=1-1059, -processed-gene-8.8-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-8.8&CDS=1-1104	YMR083W
OG0000042	-processed-gene-12.55-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-12.55&CDS=1-1677, -processed-gene-15.138-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-15.138&CDS=1-1707, -processed-gene-7.154-mRNA-1_1&gene=augustus_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-7.154&CDS=1-1695	YDR387C, YDR497C
OG0000043	-processed-gene-17.20-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-17.20&CDS=1-1992, -processed-gene-17.88-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-17.88&CDS=1-1503, -processed-gene-8.25-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-8.25&CDS=1-2403	YGR068C, YOR018W
OG0000044	-processed-gene-1.113-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-1.113&CDS=1-2088, -processed-gene-1.133-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-1.133&CDS=1-2190, -processed-gene-14.58-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.58&CDS=1-2124, -processed-gene-7.84-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-7.84&CDS=1-2079	YER015W
OG0000045	-processed-gene-16.33-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-16.33&CDS=1-2862, -processed-gene-7.85-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-7.85&CDS=1-2430	YFR040W, YGL229C, YKR028W
