	Saccharomyces_cerevisiae	Saitoella_complicata
OG0000014	YBR028C, YHR205W, YKL126W, YMR104C	XP_019022123.1, XP_019022636.1, XP_019022696.1, XP_019022720.1
OG0000015	YBR145W, YMR083W, YMR303C, YOL086C	XP_019022391.1, XP_019023763.1, XP_019024973.1, XP_019025806.1
OG0000016	YBR160W, YKL139W, YPR161C	XP_019021046.1, XP_019023721.1, XP_019025147.1, XP_019025790.1, XP_019025958.1
OG0000017	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	XP_019023143.1
OG0000018	YDL210W, YGL077C, YKL174C	XP_019020866.1, XP_019022058.1, XP_019023343.1, XP_019024823.1, XP_019026307.1
OG0000019	YFL055W, YNL268W, YPL265W	XP_019022078.1, XP_019022448.1, XP_019024191.1, XP_019026516.1, XP_019027600.1
OG0000020	YJL034W, YKL073W, YLL024C, YNL209W	XP_019022133.1, XP_019024252.1, XP_019024941.1, XP_019025654.1
OG0000021	YJR152W, YLR004C	XP_019022213.1, XP_019023772.1, XP_019025388.1, XP_019025676.1, XP_019026521.1, XP_019027526.1
OG0000022	YNL202W	XP_019020838.1, XP_019021895.1, XP_019021897.1, XP_019023919.1, XP_019025703.1, XP_019026950.1, XP_019027389.1
OG0000023	YBR293W	XP_019022090.1, XP_019022295.1, XP_019023188.1, XP_019023432.1, XP_019024341.1, XP_019025798.1
OG0000024	YDL138W, YDL194W	XP_019020945.1, XP_019021309.1, XP_019021479.1, XP_019025851.1, XP_019026310.1
OG0000025	YDR402C	XP_019022096.1, XP_019023674.1, XP_019025076.1, XP_019025465.1, XP_019026115.1, XP_019027000.1
OG0000026	YKL221W, YOL119C, YOR306C	XP_019021259.1, XP_019023691.1, XP_019024976.1, XP_019027271.1
OG0000027	YLL052C, YLL053C, YPR192W	XP_019021919.1, XP_019023652.1, XP_019024682.1, XP_019026713.1
OG0000028	YOL105C, YOR008C	XP_019021947.1, XP_019025739.1, XP_019026951.1, XP_019027030.1, XP_019027353.1
OG0000029	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	XP_019027303.1
OG0000030	YBR240C	XP_019020947.1, XP_019022215.1, XP_019025400.1, XP_019026100.1, XP_019026328.1
OG0000031	YDL047W, YDR075W, YNR032W	XP_019023163.1, XP_019023207.1, XP_019025050.1
OG0000032	YDL056W, YIL101C, YLR182W	XP_019025573.1, XP_019025890.1, XP_019026560.1
OG0000033	YDR242W	XP_019023392.1, XP_019025677.1, XP_019025902.1, XP_019026936.1, XP_019027406.1
OG0000034	YDR247W, YHR082C, YPL026C	XP_019021009.1, XP_019022892.1, XP_019023566.1
OG0000035	YGR197C, YJR015W	XP_019020722.1, XP_019022602.1, XP_019023332.1, XP_019023334.1
OG0000036	YGR261C, YJR005W, YKL135C	XP_019022546.1, XP_019022603.1, XP_019023187.1
OG0000037	YGR281W, YLL048C	XP_019022655.1, XP_019023614.1, XP_019023899.1, XP_019024128.1
OG0000038	YHR178W	XP_019021735.1, XP_019021990.1, XP_019022269.1, XP_019024190.1, XP_019026893.1
OG0000039	YIL107C, YJL155C, YLR345W	XP_019021299.1, XP_019023013.1, XP_019027423.1
OG0000040	YKR089C, YMR313C, YOR081C	XP_019021847.1, XP_019022318.1, XP_019024923.1
OG0000041	YNR055C	XP_019020929.1, XP_019024094.1, XP_019025600.1, XP_019025807.1, XP_019026528.1
OG0000042	YOL030W, YOL132W	XP_019023888.1, XP_019023931.1, XP_019025418.1, XP_019026270.1
OG0000043	YAL023C, YDL093W, YDL095W	XP_019021644.1, XP_019024223.1
OG0000044	YBL017C, YIL173W, YJL222W, YNR065C	XP_019023335.1
OG0000045	YBR297W, YFL052W, YGR288W, YPR196W	XP_019026477.1
OG0000046	YCL032W, YLR362W	XP_019023595.1, XP_019024628.1, XP_019026281.1
OG0000047	YCR105W, YMR318C	XP_019021894.1, XP_019025781.1, XP_019027084.1
OG0000048	YCR107W, YDL243C, YJR155W, YNL331C	XP_019026491.1
OG0000049	YDL122W, YPL072W	XP_019020999.1, XP_019024323.1, XP_019026219.1
OG0000050	YDL132W, YGR003W	XP_019021121.1, XP_019026181.1, XP_019026714.1
OG0000051	YDL155W, YGR108W, YPR119W	XP_019021471.1, XP_019025462.1
OG0000052	YDL244W, YFL058W, YJR156C, YNL332W	XP_019020949.1
OG0000053	YDR021W, YJL138C, YKR059W	XP_019022203.1, XP_019025281.1
OG0000054	YDR030C, YDR142C	XP_019022928.1, XP_019023124.1, XP_019024317.1
OG0000055	YDR074W, YML100W, YMR261C	XP_019020742.1, XP_019022812.1
OG0000056	YDR533C, YMR322C, YOR391C, YPL280W	XP_019026492.1
OG0000057	YDR536W	XP_019021925.1, XP_019022064.1, XP_019025166.1, XP_019027065.1
OG0000058	YDR541C, YGL039W, YGL157W, YOL151W	XP_019021628.1
OG0000059	YEL006W, YIL006W, YIL134W	XP_019022592.1, XP_019024006.1
OG0000060	YER001W, YGL257C, YIL014W, YNR059W	XP_019026630.1
OG0000061	YER020W, YHR005C	XP_019023893.1, XP_019023906.1, XP_019026679.1
OG0000062	YER154W, YGR062C	XP_019024285.1, XP_019024953.1, XP_019025234.1
OG0000063	YFL004W, YJL012C, YPL019C	XP_019021249.1, XP_019024276.1
OG0000064	YGL120C, YKL078W	XP_019021144.1, XP_019023195.1, XP_019024111.1
OG0000065	YGL141W, YJR036C	XP_019021739.1, XP_019023692.1, XP_019024524.1
OG0000066	YGL194C, YNL330C	XP_019021369.1, XP_019021394.1, XP_019025269.1
OG0000067	YGR121C, YNL142W, YPR138C	XP_019027069.1, XP_019027188.1
OG0000068	YJR131W, YLR057W	XP_019022737.1, XP_019026386.1, XP_019027582.1
OG0000069	YKL132C, YMR113W	XP_019021804.1, XP_019021805.1, XP_019024099.1
OG0000070	YKL209C	XP_019022283.1, XP_019023577.1, XP_019025708.1, XP_019025712.1
OG0000071	YKR076W, YMR251W	XP_019021850.1, XP_019025209.1, XP_019026554.1
OG0000072	YLR032W, YOR191W	XP_019024511.1, XP_019025534.1, XP_019025587.1
OG0000073	YLR307W, YLR308W	XP_019021098.1, XP_019023584.1, XP_019027312.1
OG0000074	YML104C, YMR004W	XP_019024947.1, XP_019026260.1, XP_019027199.1
OG0000075	YNR070W	XP_019022754.1, XP_019023344.1, XP_019025231.1, XP_019027241.1
OG0000076	YOL137W	XP_019021528.1, XP_019023220.1, XP_019023971.1, XP_019024875.1
OG0000077	YPL088W, YPR127W	XP_019022205.1, XP_019026038.1, XP_019026339.1
OG0000078	YAL012W, YGL184C	XP_019022588.1, XP_019022693.1
OG0000079	YAL026C, YMR162C	XP_019024730.1, XP_019025441.1
OG0000080	YAL049C	XP_019022292.1, XP_019025965.1, XP_019027359.1
OG0000081	YBL037W, YPR029C	XP_019021973.1, XP_019026838.1
OG0000082	YBL088C, YBR136W	XP_019023643.1, XP_019026195.1
OG0000083	YBR010W, YNL031C	XP_019023085.1, XP_019025929.1
OG0000084	YBR038W	XP_019022678.1, XP_019025738.1, XP_019025762.1
OG0000085	YBR073W, YGL163C	XP_019020743.1, XP_019026531.1
OG0000086	YBR104W, YPR058W	XP_019023301.1, XP_019027446.1
OG0000087	YBR150C, YOL089C	XP_019027292.1, XP_019027362.1
OG0000088	YBR203W, YDR079W	XP_019022494.1, XP_019026538.1
OG0000089	YBR239C, YPL133C	XP_019021790.1, XP_019023718.1
OG0000090	YBR241C, YGL104C	XP_019023871.1, XP_019026245.1
OG0000091	YCL039W	XP_019021105.1, XP_019025159.1, XP_019025302.1
OG0000092	YCL067C, YCR039C, YCR096C	XP_019021679.1
OG0000093	YCL069W, YGR224W, YKR105C, YPR198W	
OG0000094	YCR014C	XP_019023980.1, XP_019024688.1, XP_019027126.1
OG0000095	YCR048W, YNR019W	XP_019021704.1, XP_019021997.1
OG0000096	YCR092C, YDR097C	XP_019022334.1, XP_019026327.1
OG0000097	YCR102C, YLR460C, YNL134C	XP_019025711.1
OG0000098	YDL101C, YPL153C	XP_019022085.1, XP_019022857.1
OG0000099	YDL113C, YJL036W	XP_019023413.1, XP_019024999.1
OG0000100	YDL126C, YNL329C	XP_019022095.1, XP_019026240.1
OG0000101	YDL159W, YPL140C	XP_019021966.1, XP_019025756.1
OG0000102	YDR020C, YNR012W	XP_019023414.1, XP_019024921.1
OG0000103	YDR038C, YDR039C, YDR040C	XP_019023864.1
OG0000104	YDR128W, YOL138C	XP_019021350.1, XP_019027364.1
OG0000105	YDR170C, YPR095C	XP_019024710.1, XP_019027578.1
OG0000106	YDR213W, YLR228C	XP_019023321.1, XP_019025980.1
OG0000107	YDR243C, YNL112W	XP_019022793.1, XP_019024963.1
OG0000108	YDR258C, YLL026W	XP_019020796.1, XP_019021694.1
OG0000109	YDR259C, YOR028C	XP_019021583.1, XP_019026865.1
OG0000110	YDR287W, YHR046C	XP_019025696.1, XP_019026000.1
OG0000111	YDR329C, YMR092C	XP_019021464.1, XP_019025176.1
OG0000112	YDR334W, YGL150C	XP_019024554.1, XP_019025658.1
OG0000113	YDR368W, YOR120W	XP_019022913.1, XP_019027166.1
OG0000114	YDR416W, YKR034W	XP_019023409.1, XP_019024927.1
OG0000115	YDR457W, YER125W	XP_019025325.1, XP_019026879.1
OG0000116	YDR485C, YEL044W	XP_019023007.1, XP_019024671.1
OG0000117	YEL041W, YJR049C	XP_019023769.1, XP_019025433.1
OG0000118	YER015W, YOR317W	XP_019022755.1, XP_019024297.1
OG0000119	YER047C, YPR173C	XP_019022548.1, XP_019027550.1
OG0000120	YER056C, YER060W, YER060W-A	XP_019021435.1
OG0000121	YER099C, YOL061W	XP_019025921.1, XP_019026862.1
OG0000122	YER172C, YGR271W	XP_019022206.1, XP_019023638.1
OG0000123	YER175C, YHR209W	XP_019022945.1, XP_019023303.1
OG0000124	YER185W, YGR213C	XP_019021404.1, XP_019025979.1
OG0000125	YFL037W, YLR212C	XP_019023901.1, XP_019027087.1
OG0000126	YFL050C, YOL130W	XP_019023028.1, XP_019024648.1
OG0000127	YFL060C, YMR095C, YNL334C	XP_019026701.1
OG0000128	YFR021W, YGR223C	XP_019023241.1, XP_019026112.1
OG0000129	YFR038W, YIL126W	XP_019026703.1, XP_019026751.1
OG0000130	YGL003C, YGL116W	XP_019022506.1, XP_019026918.1
OG0000131	YGL097W, YLR077W	XP_019024827.1, XP_019027543.1
OG0000132	YGL125W, YPL023C	XP_019025175.1, XP_019026551.1
OG0000133	YGL131C, YPR031W	XP_019021880.1, XP_019022158.1
OG0000134	YGR010W, YLR328W	XP_019022837.1, XP_019025360.1
OG0000135	YGR087C, YLR044C, YLR134W	XP_019027718.1
OG0000136	YGR170W	XP_019023116.1, XP_019023880.1, XP_019025704.1
OG0000137	YGR263C	XP_019024193.1, XP_019024786.1, XP_019025794.1
OG0000138	YGR276C, YLR107W	XP_019022130.1, XP_019023897.1
OG0000139	YHL007C, YNL298W	XP_019025085.1, XP_019025630.1
OG0000140	YHL016C	XP_019024411.1, XP_019024467.1, XP_019026846.1
OG0000141	YHL027W, YPR022C	XP_019022060.1, XP_019024530.1
OG0000142	YHL039W, YPL208W	XP_019024176.1, XP_019024475.1
OG0000143	YHR065C, YNR038W	XP_019022683.1, XP_019026494.1
OG0000144	YHR098C, YIL109C	XP_019020767.1, XP_019022453.1
OG0000145	YHR113W, YKL103C	XP_019023723.1, XP_019024381.1
OG0000146	YHR172W, YNL126W	XP_019021399.1, XP_019022717.1
OG0000147	YIL031W, YPL020C	XP_019023310.1, XP_019025150.1
OG0000148	YIL078W, YKL194C	XP_019024082.1, XP_019027567.1
OG0000149	YIL085C, YNL029C	XP_019024494.1, XP_019025498.1
OG0000150	YIL120W, YIL121W, YNL065W	XP_019025978.1
OG0000151	YIL160C	XP_019024425.1, XP_019024903.1, XP_019026719.1
OG0000152	YIL162W	XP_019024450.1, XP_019025964.1, XP_019026142.1
OG0000153	YJL050W, YLR398C	XP_019023632.1, XP_019025319.1
OG0000154	YJL130C, YJR109C	XP_019022211.1, XP_019027256.1
OG0000155	YJL172W, YOL153C	XP_019023913.1, XP_019025505.1
OG0000156	YJL200C, YLR304C	XP_019024058.1, XP_019027557.1
OG0000157	YKL107W	XP_019022865.1, XP_019025915.1, XP_019027512.1
OG0000158	YKL188C, YPL147W	XP_019026313.1, XP_019026542.1
OG0000159	YKL197C, YLR397C	XP_019026312.1, XP_019027458.1
OG0000160	YKL217W	XP_019021286.1, XP_019022927.1, XP_019025144.1
OG0000161	YKL222C, YLR266C, YOR162C, YOR172W	
OG0000162	YKR001C, YLL001W	XP_019023498.1, XP_019025296.1
OG0000163	YKR099W	XP_019021853.1, XP_019024151.1, XP_019024329.1
OG0000164	YLL016W, YLR310C	XP_019024084.1, XP_019025469.1
OG0000165	YLR023C, YOL002C	XP_019021023.1, XP_019022860.1
OG0000166	YLR152C, YNL095C, YOR092W	XP_019026980.1
OG0000167	YLR300W, YOR190W	XP_019025649.1, XP_019027018.1
OG0000168	YLR419W	XP_019021918.1, XP_019021923.1, XP_019025516.1
OG0000169	YMR006C, YMR008C, YOL011W	XP_019022346.1
OG0000170	YMR078C, YOR144C	XP_019024492.1, XP_019026271.1
OG0000171	YMR116C, YOL087C	XP_019024917.1, XP_019026019.1
OG0000172	YMR253C, YPL264C	XP_019024750.1, XP_019025387.1
OG0000173	YNL032W, YNL056W	XP_019024019.1, XP_019026643.1
OG0000174	YNL275W	XP_019022013.1, XP_019024185.1, XP_019024189.1
OG0000175	YNR064C	XP_019021486.1, XP_019024025.1, XP_019026864.1
OG0000176	YOL055C, YPL258C, YPR121W	XP_019025835.1
OG0000177	YOL062C, YPL259C	XP_019023557.1, XP_019025250.1
OG0000178	YOR246C	XP_019021053.1, XP_019021396.1, XP_019027620.1
OG0000179	YOR275C, YPL084W	XP_019022066.1, XP_019024031.1
OG0000180	YAL007C, YOR016C	XP_019025149.1
OG0000181	YAL015C, YOL043C	XP_019023903.1
OG0000182	YAL017W, YOL045W	XP_019021931.1
OG0000183	YAL034C, YOR338W	XP_019024278.1
OG0000184	YAL060W, YAL061W	XP_019022615.1
OG0000185	YAR002C-A, YGL002W	XP_019025332.1
OG0000186	YAR042W, YDL019C	XP_019023569.1
OG0000187	YBL009W, YGL021W	XP_019024772.1
OG0000188	YBL013W	XP_019023750.1, XP_019025341.1
OG0000189	YBL027W, YBR084C-A	XP_019024403.1
OG0000190	YBL030C, YBR085W	XP_019021977.1
OG0000191	YBL039C, YJR103W	XP_019024778.1
OG0000192	YBL056W, YER089C	XP_019023960.1
OG0000193	YBL061C	XP_019022275.1, XP_019026667.1
OG0000194	YBL067C, YER098W	XP_019026646.1
OG0000195	YBL072C, YER102W	XP_019026867.1
OG0000196	YBL079W, YER105C	XP_019027007.1
OG0000197	YBL087C, YER117W	XP_019025778.1
OG0000198	YBL089W, YER119C	XP_019020907.1
OG0000199	YBL091C-A, YER120W	XP_019024092.1
OG0000200	YBL106C, YPR032W	XP_019027639.1
OG0000201	YBR005W, YDR003W	XP_019021761.1
OG0000202	YBR006W	XP_019022279.1, XP_019024409.1
OG0000203	YBR007C	XP_019023462.1, XP_019027629.1
OG0000204	YBR009C, YNL030W	XP_019023087.1
OG0000205	YBR014C, YDL010W	XP_019020853.1
OG0000206	YBR015C, YJL186W	XP_019024139.1
OG0000207	YBR020W, YDR009W	XP_019020946.1
OG0000208	YBR031W, YDR012W	XP_019021539.1
OG0000209	YBR048W, YDR025W	XP_019022253.1
OG0000210	YBR049C, YDR026C	XP_019022452.1
OG0000211	YBR054W, YDR033W	XP_019020953.1
OG0000212	YBR078W, YDR055W	XP_019024009.1
OG0000213	YBR089C-A, YPR052C	XP_019021018.1
OG0000214	YBR118W, YPR080W	XP_019021960.1
OG0000215	YBR140C, YOL081W	XP_019025853.1
OG0000216	YBR147W, YOL092W	XP_019025229.1
OG0000217	YBR161W, YPL057C	XP_019023064.1
OG0000218	YBR169C, YPL106C	XP_019026737.1
OG0000219	YBR172C, YPL105C	XP_019027693.1
OG0000220	YBR176W	XP_019021196.1, XP_019025018.1
OG0000221	YBR181C, YPL090C	XP_019026863.1
OG0000222	YBR182C, YPL089C	XP_019023442.1
OG0000223	YBR183W, YPL087W	XP_019021547.1
OG0000224	YBR191W, YPL079W	XP_019021684.1
OG0000225	YBR214W, YGL056C	XP_019027646.1
OG0000226	YBR233W	XP_019020712.1, XP_019022053.1
OG0000227	YBR242W, YGL101W	XP_019022741.1
OG0000228	YBR249C	XP_019024816.1, XP_019026309.1
OG0000229	YBR254C	XP_019020791.1, XP_019021890.1
OG0000230	YBR282W	XP_019022102.1, XP_019025131.1
OG0000231	YBR294W, YLR092W	XP_019025646.1
OG0000232	YCL011C, YNL004W	XP_019022542.1
OG0000233	YCL026C-A, YCL026C-B	XP_019021258.1
OG0000234	YCL035C, YDR513W	XP_019027657.1
OG0000235	YCL036W, YDR514C	XP_019022008.1
OG0000236	YCL040W, YDR516C	XP_019027278.1
OG0000237	YCL050C, YDR530C	XP_019021653.1
OG0000238	YCL064C, YIL167W	XP_019022915.1
OG0000239	YCR010C, YNR002C	XP_019022260.1
OG0000240	YCR023C	XP_019025132.1, XP_019026946.1
OG0000241	YCR026C, YEL016C	XP_019022073.1
OG0000242	YCR052W, YNR023W	XP_019025934.1
OG0000243	YCR054C	XP_019021035.1, XP_019025013.1
OG0000244	YCR073C, YNR031C	XP_019027189.1
OG0000245	YCR094W, YNR048W	XP_019024292.1
OG0000246	YDL003W	XP_019021208.1, XP_019027336.1
OG0000247	YDL017W	XP_019020731.1, XP_019024518.1
OG0000248	YDL022W, YOL059W	XP_019026324.1
OG0000249	YDL042C, YOL068C	XP_019021467.1
OG0000250	YDL061C, YLR388W	XP_019026213.1
OG0000251	YDL075W, YLR406C	XP_019026984.1
OG0000252	YDL082W, YMR142C	XP_019025040.1
OG0000253	YDL083C, YMR143W	XP_019025039.1
OG0000254	YDL085W, YMR145C	XP_019026282.1
OG0000255	YDL088C, YMR153W	XP_019027298.1
OG0000256	YDL109C, YGL144C	XP_019027460.1
OG0000257	YDL128W	XP_019023391.1, XP_019024607.1
OG0000258	YDL136W, YDL191W	XP_019027096.1
OG0000259	YDL144C	XP_019024826.1, XP_019024991.1
OG0000260	YDL161W, YLR206W	XP_019024509.1
OG0000261	YDL166C	XP_019020816.1, XP_019026885.1
OG0000262	YDL175C, YIL079C	XP_019026027.1
OG0000263	YDL204W, YDR233C	XP_019025864.1
OG0000264	YDL224C, YNL197C	XP_019026095.1
OG0000265	YDL230W	XP_019026821.1, XP_019027059.1
OG0000266	YDL246C, YJR159W	XP_019026931.1
OG0000267	YDR047W	XP_019021218.1, XP_019027673.1
OG0000268	YDR069C, YER144C	XP_019024985.1
OG0000269	YDR098C, YER174C	XP_019023958.1
OG0000270	YDR101C	XP_019024561.1, XP_019024673.1
OG0000271	YDR107C, YLR083C	XP_019023119.1
OG0000272	YDR132C, YLR108C	XP_019025968.1
OG0000273	YDR151C, YLR136C	XP_019024375.1
OG0000274	YDR178W, YLR164W	XP_019026977.1
OG0000275	YDR200C, YLR238W	XP_019021607.1
OG0000276	YDR252W, YPL037C	XP_019027310.1
OG0000277	YDR253C, YPL038W	XP_019024466.1
OG0000278	YDR263C, YOR033C	XP_019022557.1
OG0000279	YDR264C, YOR034C	XP_019024653.1
OG0000280	YDR267C	XP_019021770.1, XP_019024162.1
OG0000281	YDR272W, YOR040W	XP_019025431.1
OG0000282	YDR312W, YHR066W	XP_019022684.1
OG0000283	YDR338C	XP_019020863.1, XP_019027251.1
OG0000284	YDR348C, YHR097C	XP_019021999.1
OG0000285	YDR358W, YHR108W	XP_019027638.1
OG0000286	YDR375C	XP_019021834.1, XP_019023166.1
OG0000287	YDR385W, YOR133W	XP_019024428.1
OG0000288	YDR408C	XP_019021469.1, XP_019022855.1
OG0000289	YDR409W, YOR156C	XP_019025564.1
OG0000290	YDR418W, YEL054C	XP_019022492.1
OG0000291	YDR438W, YML018C	XP_019025428.1
OG0000292	YDR441C, YML022W	XP_019025773.1
OG0000293	YDR447C, YML024W	XP_019022600.1
OG0000294	YDR450W, YML026C	XP_019026495.1
OG0000295	YDR451C, YML027W	XP_019027286.1
OG0000296	YDR453C, YML028W	XP_019021717.1
OG0000297	YDR471W, YHR010W	XP_019025849.1
OG0000298	YDR481C	XP_019021364.1, XP_019027539.1
OG0000299	YDR497C, YOL103W	XP_019022899.1
OG0000300	YDR500C, YLR185W	XP_019021645.1
OG0000301	YDR501W, YLR183C	XP_019026706.1
OG0000302	YDR505C, YLR177W	XP_019021774.1
OG0000303	YEL022W, YJR031C	XP_019025120.1
OG0000304	YEL047C, YJR051W	XP_019022136.1
OG0000305	YEL058W	XP_019022423.1, XP_019022698.1
OG0000306	YEL066W, YPR193C	XP_019024560.1
OG0000307	YEL070W, YNR073C	XP_019021868.1
OG0000308	YER019C-A, YER087C-B	XP_019026902.1
OG0000309	YER027C, YGL208W	XP_019026733.1
OG0000310	YER031C, YGL210W	XP_019024391.1
OG0000311	YER048W-A	XP_019021647.1, XP_019025288.1
OG0000312	YER054C, YIL045W	XP_019024868.1
OG0000313	YER056C-A, YIL052C	XP_019021363.1
OG0000314	YER057C, YIL051C	XP_019021358.1
OG0000315	YER062C, YIL053W	XP_019027117.1
OG0000316	YER066W, YFL009W	XP_019024780.1
OG0000317	YER074W, YIL069C	XP_019024432.1
OG0000318	YER081W, YIL074C	XP_019023550.1
OG0000319	YER095W, YER179W	XP_019021511.1
OG0000320	YER131W, YGL189C	XP_019027660.1
OG0000321	YER162C	XP_019022730.1, XP_019025088.1
OG0000322	YFL034C-A, YLR061W	XP_019023883.1
OG0000323	YFL042C, YLR072W	XP_019024415.1
OG0000324	YFL061W, YNL335W	XP_019021405.1
OG0000325	YFR031C-A, YIL018W	XP_019023606.1
OG0000326	YFR053C, YGL253W	XP_019021131.1
OG0000327	YGL031C, YGR148C	XP_019027393.1
OG0000328	YGL040C	XP_019025082.1, XP_019025329.1
OG0000329	YGL049C, YGR162W	XP_019024838.1
OG0000330	YGL076C, YPL198W	XP_019025043.1
OG0000331	YGL082W, YPL191C	XP_019027655.1
OG0000332	YGL133W, YPL216W	XP_019024706.1
OG0000333	YGL135W, YPL220W	XP_019020807.1
OG0000334	YGL147C, YNL067W	XP_019027144.1
OG0000335	YGL154C	XP_019020890.1, XP_019022982.1
OG0000336	YGL179C	XP_019024088.1, XP_019025258.1
OG0000337	YGL202W	XP_019026600.1, XP_019027592.1
OG0000338	YGL205W	XP_019022518.1, XP_019026450.1
OG0000339	YGL215W	XP_019022723.1, XP_019026252.1
OG0000340	YGL221C	XP_019022544.1, XP_019026682.1
OG0000341	YGR004W, YLR324W	XP_019024810.1
OG0000342	YGR027C, YLR333C	XP_019025974.1
OG0000343	YGR034W, YLR344W	XP_019023170.1
OG0000344	YGR038W, YLR350W	XP_019026024.1
OG0000345	YGR056W, YLR357W	XP_019027497.1
OG0000346	YGR092W, YPR111W	XP_019027335.1
OG0000347	YGR118W, YPR132W	XP_019024083.1
OG0000348	YGR131W, YPR149W	XP_019026048.1
OG0000349	YGR136W, YPR154W	XP_019025982.1
OG0000350	YGR138C, YPR156C	XP_019023538.1
OG0000351	YGR195W	XP_019021397.1, XP_019026423.1
OG0000352	YGR209C, YLR043C	XP_019023229.1
OG0000353	YGR214W, YLR048W	XP_019025943.1
OG0000354	YGR215W	XP_019024142.1, XP_019026901.1
OG0000355	YGR238C, YHR158C	XP_019021668.1
OG0000356	YGR241C, YHR161C	XP_019022373.1
OG0000357	YGR243W, YHR162W	XP_019027276.1
OG0000358	YGR248W, YHR163W	XP_019026606.1
OG0000359	YGR273C, YMR295C	XP_019022127.1
OG0000360	YGR279C, YMR305C	XP_019027598.1
OG0000361	YGR283C, YMR310C	XP_019021599.1
OG0000362	YHL001W, YKL006W	XP_019027381.1
OG0000363	YHL003C, YKL008C	XP_019020886.1
OG0000364	YHL008C	XP_019021070.1, XP_019027538.1
OG0000365	YHL017W, YKL039W	XP_019025444.1
OG0000366	YHL021C	XP_019021045.1, XP_019023327.1
OG0000367	YHL033C, YLL045C	XP_019024479.1
OG0000368	YHR001W, YKR003W	XP_019021345.1
OG0000369	YHR021C, YKL156W	XP_019021656.1
OG0000370	YHR038W	XP_019022227.1, XP_019025810.1
OG0000371	YHR102W	XP_019025298.1, XP_019026644.1
OG0000372	YHR112C	XP_019022059.1, XP_019024410.1
OG0000373	YHR115C, YNL116W	XP_019026199.1
OG0000374	YHR117W, YNL121C	XP_019026088.1
OG0000375	YHR123W, YNL130C	XP_019021618.1
OG0000376	YHR141C, YNL162W	XP_019024110.1
OG0000377	YHR155W, YNL257C	XP_019021987.1
OG0000378	YHR176W	XP_019023943.1, XP_019025246.1
OG0000379	YHR177W	XP_019022462.1, XP_019023035.1
OG0000380	YHR179W, YPL171C	XP_019023468.1
OG0000381	YHR187W	XP_019022970.1, XP_019024012.1
OG0000382	YHR203C, YJR145C	XP_019021721.1
OG0000383	YHR210C, YNR071C	XP_019027204.1
