	Ascoidea_asiatica	Saccharomyces_cerevisiae
OG0000010	-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-gi|1002316703|dbj|BCKQ01000033.1|-processed-gene-0.0&CDS=1-1419, -processed-gene-3.91-mRNA-1_1&gene=snap_masked-gi|1002316724|dbj|BCKQ01000012.1|-processed-gene-3.91&CDS=1-1515, -processed-gene-6.16-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-6.16&CDS=1-2241	YDL127W, YDL179W, YHR071W, YNL289W
OG0000011	-processed-gene-0.101-mRNA-1_1&gene=snap_masked-gi|1002316706|dbj|BCKQ01000030.1|-processed-gene-0.101&CDS=1-1098, -processed-gene-1.135-mRNA-1_1&gene=augustus_masked-gi|1002316721|dbj|BCKQ01000015.1|-processed-gene-1.135&CDS=1-1107, -processed-gene-1.31-mRNA-1_1&gene=snap_masked-gi|1002316721|dbj|BCKQ01000015.1|-processed-gene-1.31&CDS=1-1098, -processed-gene-24.105-mRNA-1_1&gene=augustus_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-24.105&CDS=1-1107, -processed-gene-24.94-mRNA-1_1&gene=augustus_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-24.94&CDS=1-1122, -processed-gene-4.6-mRNA-1_1&gene=augustus_masked-gi|1002316724|dbj|BCKQ01000012.1|-processed-gene-4.6&CDS=1-1107	YJR153W
OG0000012	-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-1.101&CDS=1-1830, -processed-gene-1.27-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.27&CDS=1-1491, -processed-gene-12.34-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-12.34&CDS=1-1569, -processed-gene-2.2-mRNA-1_1&gene=augustus_masked-gi|1002316729|dbj|BCKQ01000007.1|-processed-gene-2.2&CDS=1-1662, -processed-gene-21.98-mRNA-1_1&gene=augustus_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-21.98&CDS=1-1743, -processed-gene-3.106-mRNA-1_1&gene=augustus_masked-gi|1002316728|dbj|BCKQ01000008.1|-processed-gene-3.106&CDS=1-4107	YGR212W
OG0000013	-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-gi|1002316722|dbj|BCKQ01000014.1|-processed-gene-1.51&CDS=1-1725	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C
OG0000014	-processed-gene-1.2-mRNA-1_1&gene=snap_masked-gi|1002316722|dbj|BCKQ01000014.1|-processed-gene-1.2&CDS=1-1749, -processed-gene-13.40-mRNA-1_1&gene=augustus_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-13.40&CDS=1-1698, -processed-gene-15.22-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-15.22&CDS=1-1731	YBR298C, YDL247W, YGR289C, YJR160C
OG0000015	-augustus-gene-3.65-mRNA-1_1&gene=maker-gi|1002316729|dbj|BCKQ01000007.1|-augustus-gene-3.65&CDS=1-4359, -processed-gene-1.94-mRNA-1_1&gene=augustus_masked-gi|1002316724|dbj|BCKQ01000012.1|-processed-gene-1.94&CDS=1-4554, -processed-gene-11.16-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-11.16&CDS=1-1488, -processed-gene-4.114-mRNA-1_1&gene=augustus_masked-gi|1002316728|dbj|BCKQ01000008.1|-processed-gene-4.114&CDS=1-6714, -snap-gene-3.62-mRNA-1_1&gene=maker-gi|1002316729|dbj|BCKQ01000007.1|-snap-gene-3.62&CDS=1-3291	YMR247C, YPR093C
OG0000016	-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-0.111&CDS=1-1161, -processed-gene-19.43-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-19.43&CDS=1-1023, -processed-gene-5.7-mRNA-1_1&gene=snap_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-5.7&CDS=1-1122, -processed-gene-7.2-mRNA-1_1&gene=augustus_masked-gi|1002316729|dbj|BCKQ01000007.1|-processed-gene-7.2&CDS=1-1077, -snap-gene-0.45-mRNA-1_1&gene=maker-gi|1002316728|dbj|BCKQ01000008.1|-snap-gene-0.45&CDS=1-1143	YGL185C, YPL113C
OG0000017	-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-2.103&CDS=1-1068, -processed-gene-21.3-mRNA-1_1&gene=snap_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-21.3&CDS=1-1182, -processed-gene-5.92-mRNA-1_1&gene=augustus_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-5.92&CDS=1-1086	YDR541C, YGL039W, YGL157W, YOL151W
OG0000018	-processed-gene-10.75-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-10.75&CDS=1-288, -processed-gene-10.76-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-10.76&CDS=1-357	YDR139C, YIL148W, YKR094C, YLL039C, YLR167W
OG0000019	-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-gi|1002316706|dbj|BCKQ01000030.1|-processed-gene-0.14&CDS=1-1011, -processed-gene-11.98-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-11.98&CDS=1-1011, -processed-gene-9.74-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-9.74&CDS=1-1011	YGR192C, YJL052W, YJR009C
OG0000020	-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-0.108&CDS=1-2019, -processed-gene-0.49-mRNA-1_1&gene=augustus_masked-gi|1002316707|dbj|BCKQ01000029.1|-processed-gene-0.49&CDS=1-1821, -processed-gene-0.89-mRNA-1_1&gene=augustus_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-0.89&CDS=1-1599, -processed-gene-1.19-mRNA-1_1&gene=snap_masked-gi|1002316721|dbj|BCKQ01000015.1|-processed-gene-1.19&CDS=1-1725, -processed-gene-2.10-mRNA-1_1&gene=augustus_masked-gi|1002316728|dbj|BCKQ01000008.1|-processed-gene-2.10&CDS=1-1929	YGL160W
OG0000021	-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-gi|1002316710|dbj|BCKQ01000026.1|-processed-gene-0.112&CDS=1-4710, -processed-gene-2.27-mRNA-1_1&gene=augustus_masked-gi|1002316726|dbj|BCKQ01000010.1|-processed-gene-2.27&CDS=1-4479, -processed-gene-22.67-mRNA-1_1&gene=augustus_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-22.67&CDS=1-4635, -processed-gene-23.85-mRNA-1_1&gene=augustus_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-23.85&CDS=1-4629, -processed-gene-3.26-mRNA-1_1&gene=snap_masked-gi|1002316728|dbj|BCKQ01000008.1|-processed-gene-3.26&CDS=1-4638	YOR153W
OG0000022	-processed-gene-0.35-mRNA-1_1&gene=genemark-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-0.35&CDS=1-2478, -processed-gene-1.155-mRNA-1_1&gene=augustus_masked-gi|1002316716|dbj|BCKQ01000020.1|-processed-gene-1.155&CDS=1-2820, -processed-gene-3.13-mRNA-1_1&gene=snap_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-3.13&CDS=1-1842, -snap-gene-0.32-mRNA-1_1&gene=maker-gi|1002316734|dbj|BCKQ01000002.1|-snap-gene-0.32&CDS=1-3978	YGL257C, YNR059W
OG0000023	-processed-gene-2.86-mRNA-1_1&gene=snap_masked-gi|1002316726|dbj|BCKQ01000010.1|-processed-gene-2.86&CDS=1-315, -processed-gene-7.0-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-7.0&CDS=1-3585, -processed-gene-8.109-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-8.109&CDS=1-3177, -snap-gene-1.31-mRNA-1_1&gene=maker-gi|1002316718|dbj|BCKQ01000018.1|-snap-gene-1.31&CDS=1-3276	YBR240C, YDR207C
OG0000024	-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-gi|1002316729|dbj|BCKQ01000007.1|-processed-gene-1.81&CDS=1-309, -processed-gene-2.56-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.56&CDS=1-309, -processed-gene-23.30-mRNA-1_1&gene=snap_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-23.30&CDS=1-309, -processed-gene-9.34-mRNA-1_1&gene=snap_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-9.34&CDS=1-309	YBR009C, YNL030W
OG0000025	-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-1.15&CDS=1-1704, -processed-gene-2.143-mRNA-1_1&gene=snap_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-2.143&CDS=1-1704, -processed-gene-5.53-mRNA-1_1&gene=snap_masked-gi|1002316725|dbj|BCKQ01000011.1|-processed-gene-5.53&CDS=1-1713	YGR087C, YLR044C, YLR134W
OG0000026	-augustus-gene-1.107-mRNA-1_1&gene=maker-gi|1002316723|dbj|BCKQ01000013.1|-augustus-gene-1.107&CDS=1-1122, -augustus-gene-11.0-mRNA-1_1&gene=maker-gi|1002316732|dbj|BCKQ01000004.1|-augustus-gene-11.0&CDS=1-1605, -processed-gene-0.16-mRNA-1_1&gene=augustus_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-0.16&CDS=1-2325, -processed-gene-19.86-mRNA-1_1&gene=snap_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-19.86&CDS=1-780, -snap-gene-11.6-mRNA-1_1&gene=maker-gi|1002316732|dbj|BCKQ01000004.1|-snap-gene-11.6&CDS=1-726	YMR234W
OG0000027	-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-1.109&CDS=1-2292, -processed-gene-2.18-mRNA-1_1&gene=snap_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-2.18&CDS=1-2115, -processed-gene-9.88-mRNA-1_1&gene=augustus_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-9.88&CDS=1-2577	YML111W, YMR275C, YNR069C
OG0000028	-processed-gene-19.20-mRNA-1_1&gene=augustus_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-19.20&CDS=1-1386	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000029	-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-gi|1002316674|dbj|BCKQ01000062.1|-processed-gene-0.3&CDS=1-1197, -processed-gene-0.8-mRNA-1_1&gene=augustus_masked-gi|1002316690|dbj|BCKQ01000046.1|-processed-gene-0.8&CDS=1-1974, -processed-gene-2.20-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-2.20&CDS=1-1287, -processed-gene-2.41-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-2.41&CDS=1-1287	YLR085C
OG0000030	-augustus-gene-0.0-mRNA-1_1&gene=maker-gi|1002316709|dbj|BCKQ01000027.1|-augustus-gene-0.0&CDS=1-2463, -processed-gene-0.58-mRNA-1_1&gene=augustus_masked-gi|1002316716|dbj|BCKQ01000020.1|-processed-gene-0.58&CDS=1-462, -snap-gene-0.18-mRNA-1_1&gene=maker-gi|1002316716|dbj|BCKQ01000020.1|-snap-gene-0.18&CDS=1-2142, -snap-gene-0.8-mRNA-1_1&gene=maker-gi|1002316695|dbj|BCKQ01000041.1|-snap-gene-0.8&CDS=1-2280	YOR346W
OG0000031	-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-gi|1002316708|dbj|BCKQ01000028.1|-processed-gene-0.108&CDS=1-1749, -processed-gene-18.80-mRNA-1_1&gene=genemark-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-18.80&CDS=1-1923, -processed-gene-8.71-mRNA-1_1&gene=augustus_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-8.71&CDS=1-2037	YMR008C, YOL011W
OG0000032	-processed-gene-0.132-mRNA-1_1&gene=snap_masked-gi|1002316712|dbj|BCKQ01000024.1|-processed-gene-0.132&CDS=1-1140, -processed-gene-0.159-mRNA-1_1&gene=snap_masked-gi|1002316712|dbj|BCKQ01000024.1|-processed-gene-0.159&CDS=1-1158, -processed-gene-10.95-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-10.95&CDS=1-1188	YCR105W, YMR318C
OG0000033	-processed-gene-0.79-mRNA-1_1&gene=snap_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-0.79&CDS=1-1161, -processed-gene-1.222-mRNA-1_1&gene=snap_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.222&CDS=1-1122	YCR102C, YLR460C, YNL134C
