	Pachysolen_tannophilus	Saccharomyces_cerevisiae
OG0000010	augustus_masked-scaffold_2-processed-gene-11.64-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.64&CDS=1-3045, augustus_masked-scaffold_2-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.25&CDS=1-6414, maker-scaffold_3-snap-gene-11.3-mRNA-1_1&gene=maker-scaffold_3-snap-gene-11.3&CDS=1-3939, maker-scaffold_7-augustus-gene-3.86-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-3.86&CDS=1-3948, maker-scaffold_8-augustus-gene-8.222-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-8.222&CDS=1-7050	YJR109C, YKL215C
OG0000011	augustus_masked-scaffold_3-processed-gene-16.0-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.0&CDS=1-1086, augustus_masked-scaffold_3-processed-gene-16.1-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.1&CDS=1-1335, augustus_masked-scaffold_3-processed-gene-16.3-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.3&CDS=1-1848, augustus_masked-scaffold_3-processed-gene-16.4-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.4&CDS=1-1395, augustus_masked-scaffold_3-processed-gene-6.103-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.103&CDS=1-840, maker-scaffold_3-augustus-gene-16.71-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-16.71&CDS=1-1518	YMR172W
OG0000012	augustus_masked-scaffold_4-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.42&CDS=1-1578, augustus_masked-scaffold_5-processed-gene-9.93-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.93&CDS=1-1581, augustus_masked-scaffold_5-processed-gene-9.99-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.99&CDS=1-1347, maker-scaffold_6-snap-gene-7.144-mRNA-1_1&gene=maker-scaffold_6-snap-gene-7.144&CDS=1-3351	YDR144C, YLR120C, YLR121C
OG0000013	augustus_masked-scaffold_1-processed-gene-17.155-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.155&CDS=1-1743, augustus_masked-scaffold_1-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.16&CDS=1-2154	YER054C, YIL045W, YLR273C, YOR178C
OG0000014	augustus_masked-scaffold_1-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.12&CDS=1-4617, augustus_masked-scaffold_2-processed-gene-12.110-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.110&CDS=1-2742	YBR150C, YGL162W, YOL089C, YPR009W
OG0000015	augustus_masked-scaffold_1-processed-gene-7.54-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.54&CDS=1-930, augustus_masked-scaffold_2-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.28&CDS=1-1674, augustus_masked-scaffold_3-processed-gene-16.13-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.13&CDS=1-1437	YDL216C, YFR004W, YLR073C
OG0000016	augustus_masked-scaffold_1-processed-gene-8.99-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.99&CDS=1-1413	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000017	augustus_masked-scaffold_1-processed-gene-16.107-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.107&CDS=1-1704, augustus_masked-scaffold_2-processed-gene-8.131-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.131&CDS=1-1710, augustus_masked-scaffold_3-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.75&CDS=1-4131	YLR237W, YOR071C, YOR192C
OG0000018	augustus_masked-scaffold_2-processed-gene-4.48-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.48&CDS=1-2982, augustus_masked-scaffold_4-processed-gene-8.53-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.53&CDS=1-1989, maker-scaffold_1-snap-gene-16.52-mRNA-1_1&gene=maker-scaffold_1-snap-gene-16.52&CDS=1-2196	YDL025C, YNL183C, YOR267C
OG0000019	augustus_masked-scaffold_1-processed-gene-22.35-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.35&CDS=1-1761, augustus_masked-scaffold_1-processed-gene-23.9-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.9&CDS=1-2142, augustus_masked-scaffold_4-processed-gene-13.162-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.162&CDS=1-1695, augustus_masked-scaffold_8-processed-gene-3.128-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.128&CDS=1-1716, augustus_masked-scaffold_8-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.56&CDS=1-1764	YDL174C
OG0000020	augustus_masked-scaffold_2-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.19&CDS=1-1713, augustus_masked-scaffold_3-processed-gene-11.33-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.33&CDS=1-3771, augustus_masked-scaffold_3-processed-gene-12.0-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.0&CDS=1-1890, augustus_masked-scaffold_5-processed-gene-6.99-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.99&CDS=1-1899	YNR063W, YOL124C
OG0000021	augustus_masked-scaffold_6-processed-gene-6.80-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.80&CDS=1-1068, maker-scaffold_2-snap-gene-1.47-mRNA-1_1&gene=maker-scaffold_2-snap-gene-1.47&CDS=1-2082	YDR541C, YGL039W, YGL157W, YOL151W
OG0000022	augustus_masked-scaffold_4-processed-gene-13.113-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.113&CDS=1-1614, augustus_masked-scaffold_4-processed-gene-13.117-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.117&CDS=1-1674	YBR298C, YDL247W, YGR289C, YJR160C
OG0000023	augustus_masked-scaffold_7-processed-gene-9.301-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-9.301&CDS=1-2517, augustus_masked-scaffold_8-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.130&CDS=1-2529	YML111W, YMR275C, YNR068C, YNR069C
OG0000024	augustus_masked-scaffold_1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.20&CDS=1-1857, augustus_masked-scaffold_3-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.51&CDS=1-1896, augustus_masked-scaffold_4-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.98&CDS=1-1923, augustus_masked-scaffold_4-processed-gene-13.163-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.163&CDS=1-1863	YHL040C
OG0000025	augustus_masked-scaffold_1-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.96&CDS=1-1557, augustus_masked-scaffold_2-processed-gene-2.148-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.148&CDS=1-2166, augustus_masked-scaffold_2-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.65&CDS=1-3981	YAR019C, YLR362W
OG0000026	augustus_masked-scaffold_1-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.78&CDS=1-1407, augustus_masked-scaffold_2-processed-gene-20.268-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-20.268&CDS=1-1602, maker-scaffold_3-augustus-gene-5.59-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-5.59&CDS=1-4557	YJL156C, YOL137W
OG0000027	augustus_masked-scaffold_1-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.30&CDS=1-1662, maker-scaffold_2-snap-gene-6.88-mRNA-1_1&gene=maker-scaffold_2-snap-gene-6.88&CDS=1-3399	YDR342C, YDR343C, YHR092C
OG0000028	augustus_masked-scaffold_1-processed-gene-5.160-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.160&CDS=1-1134, augustus_masked-scaffold_4-processed-gene-8.59-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.59&CDS=1-1416	YBL056W, YBR125C, YER089C
OG0000029	augustus_masked-scaffold_1-processed-gene-5.172-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.172&CDS=1-1686, augustus_masked-scaffold_5-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.60&CDS=1-1653, augustus_masked-scaffold_5-processed-gene-9.127-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.127&CDS=1-1560	YAL067C, YCR028C
OG0000030	augustus_masked-scaffold_1-processed-gene-7.55-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.55&CDS=1-2997, augustus_masked-scaffold_31-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_31-processed-gene-0.0&CDS=1-1608, augustus_masked-scaffold_8-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.71&CDS=1-1608	YCL029C, YPL174C
OG0000031	augustus_masked-scaffold_1-processed-gene-8.120-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.120&CDS=1-3981, augustus_masked-scaffold_2-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-3.43&CDS=1-2919, maker-scaffold_1-snap-gene-10.142-mRNA-1_1&gene=maker-scaffold_1-snap-gene-10.142&CDS=1-2130	YLR144C, YNR067C
OG0000032	augustus_masked-scaffold_1-processed-gene-9.53-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.53&CDS=1-4398, augustus_masked-scaffold_6-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.78&CDS=1-4740, maker-scaffold_8-snap-gene-7.90-mRNA-1_1&gene=maker-scaffold_8-snap-gene-7.90&CDS=1-9615	YDR135C, YLL015W
OG0000033	augustus_masked-scaffold_1-processed-gene-11.74-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.74&CDS=1-1506, augustus_masked-scaffold_5-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.0&CDS=1-1485, maker-scaffold_2-augustus-gene-1.57-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-1.57&CDS=1-1545	YMR169C, YMR170C
OG0000034	augustus_masked-scaffold_1-processed-gene-14.71-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.71&CDS=1-1761, augustus_masked-scaffold_3-processed-gene-9.71-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.71&CDS=1-1605	YDL085W, YML120C, YMR145C
OG0000035	augustus_masked-scaffold_1-processed-gene-15.119-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.119&CDS=1-1038, augustus_masked-scaffold_7-processed-gene-9.236-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-9.236&CDS=1-1002, maker-scaffold_5-augustus-gene-1.54-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-1.54&CDS=1-1026	YDL078C, YKL085W
OG0000036	augustus_masked-scaffold_1-processed-gene-16.106-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.106&CDS=1-1482, augustus_masked-scaffold_1-processed-gene-18.72-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.72&CDS=1-1851, augustus_masked-scaffold_3-processed-gene-10.26-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.26&CDS=1-1962	YDR338C, YHR032W
OG0000037	augustus_masked-scaffold_1-processed-gene-17.131-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.131&CDS=1-2763, augustus_masked-scaffold_3-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.77&CDS=1-990	YDR028C, YKR075C, YOR062C
OG0000038	augustus_masked-scaffold_1-processed-gene-18.74-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.74&CDS=1-1689, augustus_masked-scaffold_3-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.19&CDS=1-1830	YDR380W, YLR044C, YLR134W
OG0000039	augustus_masked-scaffold_1-processed-gene-18.97-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.97&CDS=1-933, augustus_masked-scaffold_5-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.3&CDS=1-930, augustus_masked-scaffold_6-processed-gene-10.124-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.124&CDS=1-942	YDR368W, YOR120W
OG0000040	augustus_masked-scaffold_1-processed-gene-20.44-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.44&CDS=1-1695, augustus_masked-scaffold_3-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.60&CDS=1-2706, augustus_masked-scaffold_5-processed-gene-11.139-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.139&CDS=1-3054	YHR206W, YOR140W
OG0000041	augustus_masked-scaffold_1-processed-gene-20.48-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.48&CDS=1-1806, augustus_masked-scaffold_4-processed-gene-11.63-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.63&CDS=1-1812, maker-scaffold_7-snap-gene-8.43-mRNA-1_1&gene=maker-scaffold_7-snap-gene-8.43&CDS=1-3573	YJL172W, YOL153C
OG0000042	augustus_masked-scaffold_4-processed-gene-13.96-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.96&CDS=1-3060, snap_masked-scaffold_1-processed-gene-21.163-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.163&CDS=1-2526	YDR385W, YKL173W, YOR133W
OG0000043	augustus_masked-scaffold_1-processed-gene-23.13-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.13&CDS=1-1737, augustus_masked-scaffold_6-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-0.60&CDS=1-3552, genemark-scaffold_5-processed-gene-8.29-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.29&CDS=1-1470, snap_masked-scaffold_2-processed-gene-20.47-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-20.47&CDS=1-1713	YML054C
OG0000044	augustus_masked-scaffold_1-processed-gene-24.68-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.68&CDS=1-858, augustus_masked-scaffold_1-processed-gene-24.69-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.69&CDS=1-1986, augustus_masked-scaffold_109-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_109-processed-gene-0.0&CDS=1-714	YBR048W, YDR025W
OG0000045	augustus_masked-scaffold_134-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_134-processed-gene-0.0&CDS=1-513, augustus_masked-scaffold_3-processed-gene-12.8-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.8&CDS=1-3699, snap_masked-scaffold_3-processed-gene-12.73-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.73&CDS=1-2733	YFL050C, YOL130W
OG0000046	augustus_masked-scaffold_2-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.2&CDS=1-1668, augustus_masked-scaffold_2-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.108&CDS=1-1692, augustus_masked-scaffold_2-processed-gene-6.134-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.134&CDS=1-1674, augustus_masked-scaffold_3-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.62&CDS=1-1671	YDR242W
OG0000047	augustus_masked-scaffold_2-processed-gene-18.29-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.29&CDS=1-1785, augustus_masked-scaffold_2-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.53&CDS=1-1821, maker-scaffold_32-augustus-gene-0.1-mRNA-1_1&gene=maker-scaffold_32-augustus-gene-0.1&CDS=1-972	YER133W, YML016C
OG0000048	augustus_masked-scaffold_2-processed-gene-6.145-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.145&CDS=1-2673, augustus_masked-scaffold_6-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.85&CDS=1-2385	YAL053W, YGL139W, YPL221W
OG0000049	augustus_masked-scaffold_2-processed-gene-14.107-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.107&CDS=1-1614, augustus_masked-scaffold_2-processed-gene-8.115-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.115&CDS=1-1443	YCL040W, YDR516C, YLR446W
OG0000050	augustus_masked-scaffold_2-processed-gene-9.109-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.109&CDS=1-1659, augustus_masked-scaffold_7-processed-gene-5.100-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.100&CDS=1-1704, genemark-scaffold_5-processed-gene-10.38-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-10.38&CDS=1-1665	YBR139W, YMR297W
OG0000051	augustus_masked-scaffold_2-processed-gene-10.131-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.131&CDS=1-1950, augustus_masked-scaffold_5-processed-gene-11.143-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.143&CDS=1-1938, augustus_masked-scaffold_6-processed-gene-5.61-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.61&CDS=1-1986	YJL034W, YLL024C
OG0000052	augustus_masked-scaffold_2-processed-gene-12.105-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.105&CDS=1-1392, augustus_masked-scaffold_8-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.109&CDS=1-1533	YBL089W, YER119C, YIL088C
OG0000053	augustus_masked-scaffold_2-processed-gene-14.124-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.124&CDS=1-1518, maker-scaffold_6-snap-gene-0.14-mRNA-1_1&gene=maker-scaffold_6-snap-gene-0.14&CDS=1-1560	YER056C, YER060W, YER060W-A
OG0000054	augustus_masked-scaffold_2-processed-gene-18.31-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.31&CDS=1-687, augustus_masked-scaffold_8-processed-gene-3.112-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.112&CDS=1-774	YHR049W, YMR222C, YOR280C
OG0000055	augustus_masked-scaffold_2-processed-gene-20.226-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-20.226&CDS=1-2226, augustus_masked-scaffold_3-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.39&CDS=1-2124	YKL220C, YNR060W, YOR381W
