	Saccharomyces_cerevisiae	yHMPu5000041833_Candida_tammaniensis
OG0000010	YPR127W	genemark-NODE_17_length_118177_cov_104.474_ID_4239-processed-gene-0.104-mRNA-1_1&gene=genemark-NODE_17_length_118177_cov_104.474_ID_4239-processed-gene-0.104&CDS=1-1023, snap_masked-NODE_12_length_208975_cov_103.862_ID_2973-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NODE_12_length_208975_cov_103.862_ID_2973-processed-gene-0.46&CDS=1-1020, snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.40&CDS=1-1032, snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.138-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.138&CDS=1-1020, snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-5.125-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-5.125&CDS=1-1029, snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-1.77-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-1.77&CDS=1-1023, snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-2.104-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-2.104&CDS=1-1041, snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-2.61-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-2.61&CDS=1-1026
OG0000011	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-14.84-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-14.84&CDS=1-984, snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-3.89-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-3.89&CDS=1-984, snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-6.121-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-6.121&CDS=1-999, snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-5.61-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-5.61&CDS=1-999
OG0000012	YGL257C, YIL014W, YNR059W	augustus_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-1.22&CDS=1-1713, maker-NODE_3_length_1269879_cov_49.5199_ID_3585-snap-gene-11.2-mRNA-1_1&gene=maker-NODE_3_length_1269879_cov_49.5199_ID_3585-snap-gene-11.2&CDS=1-6834, snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.101-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.101&CDS=1-2301, snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-8.92-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-8.92&CDS=1-2037, snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-4.73-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-4.73&CDS=1-2052
OG0000013	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-7.178-mRNA-1_1&gene=augustus_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-7.178&CDS=1-1272, snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-7.101-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-7.101&CDS=1-1389
OG0000014	YBR298C, YDL247W, YGR289C, YJR160C	genemark-NODE_16_length_146000_cov_112.095_ID_4313-processed-gene-0.76-mRNA-1_1&gene=genemark-NODE_16_length_146000_cov_112.095_ID_4313-processed-gene-0.76&CDS=1-1680, snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.87&CDS=1-1743, snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-10.72-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-10.72&CDS=1-1743
OG0000015	YDL138W, YDL194W	maker-NODE_2_length_1396679_cov_54.0106_ID_1870-augustus-gene-3.143-mRNA-1_1&gene=maker-NODE_2_length_1396679_cov_54.0106_ID_1870-augustus-gene-3.143&CDS=1-2358, maker-NODE_4_length_917969_cov_39.8804_ID_5033-snap-gene-4.56-mRNA-1_1&gene=maker-NODE_4_length_917969_cov_39.8804_ID_5033-snap-gene-4.56&CDS=1-3156, snap_masked-NODE_15_length_147441_cov_123.374_ID_2916-processed-gene-0.107-mRNA-1_1&gene=snap_masked-NODE_15_length_147441_cov_123.374_ID_2916-processed-gene-0.107&CDS=1-1569, snap_masked-NODE_15_length_147441_cov_123.374_ID_2916-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_15_length_147441_cov_123.374_ID_2916-processed-gene-0.94&CDS=1-1569, snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-5.64-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-5.64&CDS=1-2322
OG0000016	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.193-mRNA-1_1&gene=augustus_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.193&CDS=1-3513, snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-9.166-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-9.166&CDS=1-1194, snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-3.103-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-3.103&CDS=1-1347, snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-5.168-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-5.168&CDS=1-1194
OG0000017	YDR342C, YDR343C, YFL011W, YHR092C, YMR011W	genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-8.99-mRNA-1_1&gene=genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-8.99&CDS=1-1713, snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-0.110-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-0.110&CDS=1-1644
OG0000018	YML116W, YMR279C, YOR378W	maker-NODE_6_length_830418_cov_53.4946_ID_3973-snap-gene-1.155-mRNA-1_1&gene=maker-NODE_6_length_830418_cov_53.4946_ID_3973-snap-gene-1.155&CDS=1-1896, snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-2.103-mRNA-1_1&gene=snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-2.103&CDS=1-1194, snap_masked-NODE_17_length_118177_cov_104.474_ID_4239-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_17_length_118177_cov_104.474_ID_4239-processed-gene-0.38&CDS=1-1527, snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.95-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.95&CDS=1-1560
OG0000019	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
OG0000020	YBR189W, YBR191W, YPL079W, YPL081W	maker-NODE_2_length_1396679_cov_54.0106_ID_1870-snap-gene-7.62-mRNA-1_1&gene=maker-NODE_2_length_1396679_cov_54.0106_ID_1870-snap-gene-7.62&CDS=1-1026, snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-9.103-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-9.103&CDS=1-480
OG0000021	YCL069W, YGR224W, YKR105C, YPR198W	maker-NODE_2_length_1396679_cov_54.0106_ID_1870-snap-gene-5.159-mRNA-1_1&gene=maker-NODE_2_length_1396679_cov_54.0106_ID_1870-snap-gene-5.159&CDS=1-3477, snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-7.90-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-7.90&CDS=1-1881
