	Saccharomyces_cerevisiae	yHMPu5000034862_Zygotorulaspora_florentina
OG0000010	YDR011W, YDR406W, YOR153W, YPL058C	augustus_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-2.160-mRNA-1_1&gene=augustus_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-2.160&CDS=1-4542, augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-4.20&CDS=1-4548, augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-0.113&CDS=1-4524
OG0000011	YDR384C	augustus_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.146&CDS=1-828, snap_masked-NODE_131_length_822_cov_57.7496_ID_261-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_131_length_822_cov_57.7496_ID_261-processed-gene-0.1&CDS=1-603, snap_masked-NODE_175_length_582_cov_67.7387_ID_349-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_175_length_582_cov_67.7387_ID_349-processed-gene-0.0&CDS=1-399, snap_masked-NODE_76_length_1762_cov_61.3494_ID_151-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_76_length_1762_cov_61.3494_ID_151-processed-gene-0.0&CDS=1-399, snap_masked-NODE_77_length_1762_cov_61.605_ID_153-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_77_length_1762_cov_61.605_ID_153-processed-gene-0.1&CDS=1-399, snap_masked-NODE_78_length_1762_cov_63.6768_ID_155-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_78_length_1762_cov_63.6768_ID_155-processed-gene-0.0&CDS=1-399
OG0000012	YOL151W	augustus_masked-NODE_15_length_189142_cov_24.5376_ID_29-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_15_length_189142_cov_24.5376_ID_29-processed-gene-0.76&CDS=1-1029, augustus_masked-NODE_22_length_115979_cov_25.962_ID_43-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_22_length_115979_cov_25.962_ID_43-processed-gene-0.93&CDS=1-1026, augustus_masked-NODE_28_length_58683_cov_22.5322_ID_55-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_28_length_58683_cov_22.5322_ID_55-processed-gene-0.42&CDS=1-1026, augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.119-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.119&CDS=1-1032, augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-5.25&CDS=1-1020, augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-2.11&CDS=1-1032
OG0000013	YAL063C, YAL064C-A, YHR211W, YHR213W, YKR102W	augustus_masked-NODE_18_length_155097_cov_25.367_ID_35-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-NODE_18_length_155097_cov_25.367_ID_35-processed-gene-0.165&CDS=1-1137
OG0000014	YCL069W, YGR224W, YKR105C	augustus_masked-NODE_11_length_341105_cov_23.9332_ID_21-processed-gene-2.1-mRNA-1_1&gene=augustus_masked-NODE_11_length_341105_cov_23.9332_ID_21-processed-gene-2.1&CDS=1-1959, augustus_masked-NODE_11_length_341105_cov_23.9332_ID_21-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-NODE_11_length_341105_cov_23.9332_ID_21-processed-gene-2.2&CDS=1-1968, augustus_masked-NODE_26_length_65634_cov_26.5448_ID_51-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_26_length_65634_cov_26.5448_ID_51-processed-gene-0.10&CDS=1-1764
OG0000015	YDL080C, YLR044C, YLR134W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-0.33&CDS=1-1692, augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.70-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.70&CDS=1-1692, maker-NODE_11_length_341105_cov_23.9332_ID_21-augustus-gene-2.155-mRNA-1_1&gene=maker-NODE_11_length_341105_cov_23.9332_ID_21-augustus-gene-2.155&CDS=1-3105
OG0000016	YDL218W	augustus_masked-NODE_24_length_88897_cov_26.004_ID_47-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_24_length_88897_cov_26.004_ID_47-processed-gene-0.1&CDS=1-624, augustus_masked-NODE_24_length_88897_cov_26.004_ID_47-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_24_length_88897_cov_26.004_ID_47-processed-gene-0.12&CDS=1-840, augustus_masked-NODE_31_length_43749_cov_31.2294_ID_61-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_31_length_43749_cov_31.2294_ID_61-processed-gene-0.22&CDS=1-735, snap_masked-NODE_36_length_24066_cov_26.9057_ID_71-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_36_length_24066_cov_26.9057_ID_71-processed-gene-0.6&CDS=1-639, snap_masked-NODE_68_length_2046_cov_37.8443_ID_135-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_68_length_2046_cov_37.8443_ID_135-processed-gene-0.1&CDS=1-459
OG0000017	YDR119W	augustus_masked-NODE_12_length_324997_cov_24.1095_ID_23-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-NODE_12_length_324997_cov_24.1095_ID_23-processed-gene-2.28&CDS=1-1707, augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.21&CDS=1-1593, augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-5.91&CDS=1-2154, genemark-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.169-mRNA-1_1&gene=genemark-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.169&CDS=1-1530, snap_masked-NODE_32_length_43695_cov_27.7931_ID_63-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_32_length_43695_cov_27.7931_ID_63-processed-gene-0.13&CDS=1-1776
OG0000018	YEL070W, YNR073C	augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.223-mRNA-1_1&gene=augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.223&CDS=1-1512, augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.252-mRNA-1_1&gene=augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.252&CDS=1-1509, augustus_masked-NODE_36_length_24066_cov_26.9057_ID_71-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_36_length_24066_cov_26.9057_ID_71-processed-gene-0.1&CDS=1-1287, augustus_masked-NODE_55_length_5147_cov_70.8888_ID_109-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_55_length_5147_cov_70.8888_ID_109-processed-gene-0.0&CDS=1-1512
OG0000019	YER073W, YOR374W, YPL061W	augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-0.19&CDS=1-1488, augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-2.171-mRNA-1_1&gene=augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-2.171&CDS=1-1914, snap_masked-NODE_12_length_324997_cov_24.1095_ID_23-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_12_length_324997_cov_24.1095_ID_23-processed-gene-0.64&CDS=1-1560
OG0000020	YER133W, YML016C, YPL179W	augustus_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-NODE_13_length_305098_cov_23.8656_ID_25-processed-gene-1.39&CDS=1-2082, augustus_masked-NODE_17_length_180969_cov_24.8013_ID_33-processed-gene-0.198-mRNA-1_1&gene=augustus_masked-NODE_17_length_180969_cov_24.8013_ID_33-processed-gene-0.198&CDS=1-936, augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-5.5&CDS=1-1716
OG0000021	Q0045, Q0060, Q0065, Q0070	maker-NODE_37_length_23749_cov_816.812_ID_73-snap-gene-0.5-mRNA-1_1&gene=maker-NODE_37_length_23749_cov_816.812_ID_73-snap-gene-0.5&CDS=1-420, maker-NODE_37_length_23749_cov_816.812_ID_73-snap-gene-0.9-mRNA-1_1&gene=maker-NODE_37_length_23749_cov_816.812_ID_73-snap-gene-0.9&CDS=1-297
OG0000022	YAL023C, YGR199W, YOR321W	maker-NODE_12_length_324997_cov_24.1095_ID_23-augustus-gene-2.125-mRNA-1_1&gene=maker-NODE_12_length_324997_cov_24.1095_ID_23-augustus-gene-2.125&CDS=1-3510, snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.108-mRNA-1_1&gene=snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-8.108&CDS=1-2151
OG0000023	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-NODE_12_length_324997_cov_24.1095_ID_23-processed-gene-2.109-mRNA-1_1&gene=snap_masked-NODE_12_length_324997_cov_24.1095_ID_23-processed-gene-2.109&CDS=1-4647
OG0000024	YBL042C, YIR028W	augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.221-mRNA-1_1&gene=augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.221&CDS=1-1851, augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-4.21&CDS=1-1869, augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-1.142&CDS=1-1857
OG0000025	YCR009C, YCR010C, YNR002C	augustus_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.49&CDS=1-828, maker-NODE_33_length_40727_cov_25.9977_ID_65-augustus-gene-0.19-mRNA-1_1&gene=maker-NODE_33_length_40727_cov_25.9977_ID_65-augustus-gene-0.19&CDS=1-1587
OG0000026	YDL244W, YFL058W, YJR156C, YNL332W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-4.14&CDS=1-1020
OG0000027	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-2.11&CDS=1-1503, genemark-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-6.74-mRNA-1_1&gene=genemark-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-6.74&CDS=1-1698
OG0000028	YGR032W, YLR342W, YMR306W	augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.202-mRNA-1_1&gene=augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.202&CDS=1-5661, augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.62&CDS=1-5517
OG0000029	YIL123W, YKR042W, YNL066W	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.247-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.247&CDS=1-1314, augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-1.155&CDS=1-1140
OG0000030	YJL172W, YOL153C	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-1.120&CDS=1-1728, maker-NODE_5_length_592613_cov_24.8497_ID_9-snap-gene-3.61-mRNA-1_1&gene=maker-NODE_5_length_592613_cov_24.8497_ID_9-snap-gene-3.61&CDS=1-3471, snap_masked-NODE_32_length_43695_cov_27.7931_ID_63-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_32_length_43695_cov_27.7931_ID_63-processed-gene-0.15&CDS=1-1713
OG0000031	YJL178C	augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.135-mRNA-1_1&gene=augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.135&CDS=1-807, augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.136-mRNA-1_1&gene=augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.136&CDS=1-813, augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.137-mRNA-1_1&gene=augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.137&CDS=1-813, augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.138-mRNA-1_1&gene=augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-3.138&CDS=1-1596
OG0000032	YJR152W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-0.41&CDS=1-1383, augustus_masked-NODE_26_length_65634_cov_26.5448_ID_51-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_26_length_65634_cov_26.5448_ID_51-processed-gene-0.12&CDS=1-1635, augustus_masked-NODE_32_length_43695_cov_27.7931_ID_63-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_32_length_43695_cov_27.7931_ID_63-processed-gene-0.9&CDS=1-1653, augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-4.44&CDS=1-1629
OG0000033	YML116W, YMR279C, YOR378W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.46-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.46&CDS=1-5004, augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.19&CDS=1-1515
OG0000034	YMR083W, YMR303C, YOL086C	augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-NODE_5_length_592613_cov_24.8497_ID_9-processed-gene-2.76&CDS=1-1053, snap_masked-NODE_11_length_341105_cov_23.9332_ID_21-processed-gene-0.99-mRNA-1_1&gene=snap_masked-NODE_11_length_341105_cov_23.9332_ID_21-processed-gene-0.99&CDS=1-1119
OG0000035	YAL054C, YLR153C	augustus_masked-NODE_12_length_324997_cov_24.1095_ID_23-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_12_length_324997_cov_24.1095_ID_23-processed-gene-0.97&CDS=1-2169, augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-3.106-mRNA-1_1&gene=augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-3.106&CDS=1-2049
OG0000036	YAL060W, YAL061W	maker-NODE_12_length_324997_cov_24.1095_ID_23-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_12_length_324997_cov_24.1095_ID_23-augustus-gene-0.1&CDS=1-1713, snap_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-6.80-mRNA-1_1&gene=snap_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-6.80&CDS=1-1149
