	Candida_glabrata	Saccharomyces_cerevisiae
OG0000010	maker-CR380956-snap-gene-3.0-mRNA-1_1&gene=maker-CR380956-snap-gene-3.0&CDS=1-1950, snap_masked-CR380950-processed-gene-5.48-mRNA-1_1&gene=snap_masked-CR380950-processed-gene-5.48&CDS=1-1572, snap_masked-CR380954-processed-gene-5.85-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-5.85&CDS=1-1491	YER073W, YOR374W, YPL061W
OG0000011	augustus_masked-CR380957-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-CR380957-processed-gene-1.115&CDS=1-2190, maker-CR380956-augustus-gene-8.85-mRNA-1_1&gene=maker-CR380956-augustus-gene-8.85&CDS=1-3390, snap_masked-CR380952-processed-gene-0.29-mRNA-1_1&gene=snap_masked-CR380952-processed-gene-0.29&CDS=1-2202	YAL023C, YGR199W, YOR321W
OG0000012	snap_masked-CR380953-processed-gene-2.38-mRNA-1_1&gene=snap_masked-CR380953-processed-gene-2.38&CDS=1-1692, snap_masked-CR380958-processed-gene-7.103-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.103&CDS=1-1914, snap_masked-CR380959-processed-gene-8.5-mRNA-1_1&gene=snap_masked-CR380959-processed-gene-8.5&CDS=1-1692	YDL080C, YLR044C, YLR134W
OG0000013	snap_masked-CR380953-processed-gene-8.5-mRNA-1_1&gene=snap_masked-CR380953-processed-gene-8.5&CDS=1-1740, snap_masked-CR380958-processed-gene-13.180-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-13.180&CDS=1-1743, snap_masked-CR380959-processed-gene-13.48-mRNA-1_1&gene=snap_masked-CR380959-processed-gene-13.48&CDS=1-1743	YLR237W, YOR071C, YOR192C
OG0000014	snap_masked-CR380953-processed-gene-8.45-mRNA-1_1&gene=snap_masked-CR380953-processed-gene-8.45&CDS=1-1407, snap_masked-CR380956-processed-gene-9.25-mRNA-1_1&gene=snap_masked-CR380956-processed-gene-9.25&CDS=1-1281, snap_masked-CR380958-processed-gene-3.19-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-3.19&CDS=1-1098, snap_masked-CR380958-processed-gene-6.63-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.63&CDS=1-1038	YKR042W, YNL066W
OG0000015		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000016	snap_masked-CR380948-processed-gene-0.67-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-0.67&CDS=1-630, snap_masked-CR380948-processed-gene-1.91-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-1.91&CDS=1-558	YCL067C, YCR039C, YCR096C
OG0000017	snap_masked-CR380948-processed-gene-4.4-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.4&CDS=1-1896, snap_masked-CR380948-processed-gene-4.5-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.5&CDS=1-1629, snap_masked-CR380953-processed-gene-8.19-mRNA-1_1&gene=snap_masked-CR380953-processed-gene-8.19&CDS=1-1635	YGR197C, YJR015W
OG0000018	snap_masked-CR380948-processed-gene-4.48-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.48&CDS=1-1233, snap_masked-CR380950-processed-gene-1.93-mRNA-1_1&gene=snap_masked-CR380950-processed-gene-1.93&CDS=1-1269, snap_masked-CR380954-processed-gene-3.106-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-3.106&CDS=1-1254	YDL066W, YLR174W
OG0000019	snap_masked-CR380949-processed-gene-4.173-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-4.173&CDS=1-408, snap_masked-CR380954-processed-gene-9.145-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-9.145&CDS=1-408, snap_masked-CR380959-processed-gene-6.52-mRNA-1_1&gene=snap_masked-CR380959-processed-gene-6.52&CDS=1-408	YBR010W, YNL031C
OG0000020	snap_masked-CR380949-processed-gene-4.140-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-4.140&CDS=1-309, snap_masked-CR380954-processed-gene-9.178-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-9.178&CDS=1-309, snap_masked-CR380959-processed-gene-6.26-mRNA-1_1&gene=snap_masked-CR380959-processed-gene-6.26&CDS=1-309	YBR009C, YNL030W
OG0000021	snap_masked-CR380953-processed-gene-0.24-mRNA-1_1&gene=snap_masked-CR380953-processed-gene-0.24&CDS=1-1677, snap_masked-CR380953-processed-gene-1.102-mRNA-1_1&gene=snap_masked-CR380953-processed-gene-1.102&CDS=1-1626, snap_masked-CR380959-processed-gene-13.21-mRNA-1_1&gene=snap_masked-CR380959-processed-gene-13.21&CDS=1-1695	YLR343W, YMR307W
OG0000022	snap_masked-CR380953-processed-gene-1.113-mRNA-1_1&gene=snap_masked-CR380953-processed-gene-1.113&CDS=1-930, snap_masked-CR380953-processed-gene-2.37-mRNA-1_1&gene=snap_masked-CR380953-processed-gene-2.37&CDS=1-933, snap_masked-CR380958-processed-gene-9.38-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.38&CDS=1-936	YGR086C, YPL004C
OG0000023	snap_masked-CR380953-processed-gene-4.119-mRNA-1_1&gene=snap_masked-CR380953-processed-gene-4.119&CDS=1-1938, snap_masked-CR380955-processed-gene-1.102-mRNA-1_1&gene=snap_masked-CR380955-processed-gene-1.102&CDS=1-1941, snap_masked-CR380955-processed-gene-2.147-mRNA-1_1&gene=snap_masked-CR380955-processed-gene-2.147&CDS=1-1938	YJR045C, YLR369W
OG0000024	augustus_masked-CR380956-processed-gene-5.13-mRNA-1_1&gene=augustus_masked-CR380956-processed-gene-5.13&CDS=1-1575, snap_masked-CR380953-processed-gene-5.42-mRNA-1_1&gene=snap_masked-CR380953-processed-gene-5.42&CDS=1-1617, snap_masked-CR380957-processed-gene-2.25-mRNA-1_1&gene=snap_masked-CR380957-processed-gene-2.25&CDS=1-1614	YER123W, YHR135C
OG0000025	snap_masked-CR380955-processed-gene-1.131-mRNA-1_1&gene=snap_masked-CR380955-processed-gene-1.131&CDS=1-1200, snap_masked-CR380955-processed-gene-2.116-mRNA-1_1&gene=snap_masked-CR380955-processed-gene-2.116&CDS=1-1203, snap_masked-CR380957-processed-gene-10.17-mRNA-1_1&gene=snap_masked-CR380957-processed-gene-10.17&CDS=1-1200, snap_masked-CR380958-processed-gene-10.81-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.81&CDS=1-1200	YHR179W
OG0000026	snap_masked-CR380955-processed-gene-9.93-mRNA-1_1&gene=snap_masked-CR380955-processed-gene-9.93&CDS=1-2088, snap_masked-CR380957-processed-gene-7.96-mRNA-1_1&gene=snap_masked-CR380957-processed-gene-7.96&CDS=1-2088	YIL009W, YMR246W, YOR317W
OG0000027	maker-CR380956-snap-gene-3.2-mRNA-1_1&gene=maker-CR380956-snap-gene-3.2&CDS=1-3363, snap_masked-CR380959-processed-gene-3.79-mRNA-1_1&gene=snap_masked-CR380959-processed-gene-3.79&CDS=1-2547	YOR231W, YPL140C, YPL141C
OG0000028	snap_masked-CR380956-processed-gene-4.6-mRNA-1_1&gene=snap_masked-CR380956-processed-gene-4.6&CDS=1-4542	YBL017C, YIL173W, YJL222W, YNR065C
OG0000029	snap_masked-CR380957-processed-gene-2.12-mRNA-1_1&gene=snap_masked-CR380957-processed-gene-2.12&CDS=1-1119, snap_masked-CR380957-processed-gene-9.128-mRNA-1_1&gene=snap_masked-CR380957-processed-gene-9.128&CDS=1-1119	YCR102C, YLR460C, YNL134C
OG0000030	augustus_masked-CR380947-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-CR380947-processed-gene-1.11&CDS=1-2547, snap_masked-CR380951-processed-gene-0.64-mRNA-1_1&gene=snap_masked-CR380951-processed-gene-0.64&CDS=1-1824	YLR188W, YPL270W
OG0000031	augustus_masked-CR380956-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-CR380956-processed-gene-0.68&CDS=1-1623, snap_masked-CR380947-processed-gene-3.72-mRNA-1_1&gene=snap_masked-CR380947-processed-gene-3.72&CDS=1-1413	YHR050W, YLR034C
OG0000032	snap_masked-CR380947-processed-gene-3.50-mRNA-1_1&gene=snap_masked-CR380947-processed-gene-3.50&CDS=1-2310, snap_masked-CR380955-processed-gene-5.112-mRNA-1_1&gene=snap_masked-CR380955-processed-gene-5.112&CDS=1-2172	YBL067C, YER098W
OG0000033	genemark-CR380959-processed-gene-3.66-mRNA-1_1&gene=genemark-CR380959-processed-gene-3.66&CDS=1-1650, snap_masked-CR380948-processed-gene-2.23-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.23&CDS=1-1611	YML116W, YMR279C
OG0000034	snap_masked-CR380948-processed-gene-2.32-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.32&CDS=1-2049, snap_masked-CR380958-processed-gene-0.61-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-0.61&CDS=1-2112	YAL054C, YLR153C
OG0000035	snap_masked-CR380948-processed-gene-2.35-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.35&CDS=1-2682, snap_masked-CR380957-processed-gene-4.76-mRNA-1_1&gene=snap_masked-CR380957-processed-gene-4.76&CDS=1-2802	YGR056W, YLR357W
OG0000036	snap_masked-CR380948-processed-gene-2.37-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.37&CDS=1-648, snap_masked-CR380957-processed-gene-4.70-mRNA-1_1&gene=snap_masked-CR380957-processed-gene-4.70&CDS=1-552	YGR049W, YLR356W
OG0000037	augustus_masked-CR380953-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-CR380953-processed-gene-2.100&CDS=1-2964, snap_masked-CR380948-processed-gene-4.11-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.11&CDS=1-1698	YGR092W, YPR111W
OG0000038	snap_masked-CR380948-processed-gene-4.35-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.35&CDS=1-846, snap_masked-CR380955-processed-gene-4.105-mRNA-1_1&gene=snap_masked-CR380955-processed-gene-4.105&CDS=1-882	YBR024W, YBR037C
OG0000039	maker-CR380955-augustus-gene-4.3-mRNA-1_1&gene=maker-CR380955-augustus-gene-4.3&CDS=1-5940, snap_masked-CR380948-processed-gene-4.17-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.17&CDS=1-3489	YBR023C, YBR038W
OG0000040	snap_masked-CR380948-processed-gene-4.37-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.37&CDS=1-1980, snap_masked-CR380952-processed-gene-4.14-mRNA-1_1&gene=snap_masked-CR380952-processed-gene-4.14&CDS=1-1890	YBL042C, YBR021W
OG0000041	snap_masked-CR380948-processed-gene-4.40-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.40&CDS=1-1221, snap_masked-CR380954-processed-gene-7.115-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-7.115&CDS=1-1389	YDR483W, YOR099W
OG0000042	snap_masked-CR380948-processed-gene-4.41-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.41&CDS=1-783, snap_masked-CR380955-processed-gene-2.137-mRNA-1_1&gene=snap_masked-CR380955-processed-gene-2.137&CDS=1-1290	YNL108C, YOR110W
OG0000043	maker-CR380952-snap-gene-7.124-mRNA-1_1&gene=maker-CR380952-snap-gene-7.124&CDS=1-1830, snap_masked-CR380949-processed-gene-1.24-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.24&CDS=1-2766	YDR213W, YLR228C
OG0000044	maker-CR380955-augustus-gene-9.40-mRNA-1_1&gene=maker-CR380955-augustus-gene-9.40&CDS=1-4269, snap_masked-CR380949-processed-gene-1.19-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.19&CDS=1-3234	YBR245C, YOR304W
OG0000045	snap_masked-CR380949-processed-gene-1.37-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.37&CDS=1-696, snap_masked-CR380956-processed-gene-10.200-mRNA-1_1&gene=snap_masked-CR380956-processed-gene-10.200&CDS=1-627	YBR242W, YGL101W
OG0000046	snap_masked-CR380949-processed-gene-3.4-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-3.4&CDS=1-2667, snap_masked-CR380952-processed-gene-6.105-mRNA-1_1&gene=snap_masked-CR380952-processed-gene-6.105&CDS=1-2730	YMR054W, YOR270C
OG0000047	augustus_masked-CR380959-processed-gene-10.59-mRNA-1_1&gene=augustus_masked-CR380959-processed-gene-10.59&CDS=1-1719, snap_masked-CR380949-processed-gene-3.3-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-3.3&CDS=1-1791	YCR052W, YNR023W
OG0000048	snap_masked-CR380949-processed-gene-3.36-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-3.36&CDS=1-1359, snap_masked-CR380958-processed-gene-2.94-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-2.94&CDS=1-1911	YEL007W, YHR177W
OG0000049	snap_masked-CR380949-processed-gene-4.145-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-4.145&CDS=1-393, snap_masked-CR380957-processed-gene-11.102-mRNA-1_1&gene=snap_masked-CR380957-processed-gene-11.102&CDS=1-393	YBL003C, YDR225W
OG0000050	snap_masked-CR380949-processed-gene-4.148-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-4.148&CDS=1-525, snap_masked-CR380955-processed-gene-6.2-mRNA-1_1&gene=snap_masked-CR380955-processed-gene-6.2&CDS=1-1365	YJL162C, YJR097W
OG0000051	snap_masked-CR380949-processed-gene-4.152-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-4.152&CDS=1-3339, snap_masked-CR380958-processed-gene-6.74-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.74&CDS=1-6633	YJL130C, YJR109C
OG0000052	snap_masked-CR380949-processed-gene-4.156-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-4.156&CDS=1-1662	YOL055C, YPL258C, YPR121W
OG0000053	genemark-CR380949-processed-gene-4.61-mRNA-1_1&gene=genemark-CR380949-processed-gene-4.61&CDS=1-1266, snap_masked-CR380957-processed-gene-1.18-mRNA-1_1&gene=snap_masked-CR380957-processed-gene-1.18&CDS=1-1200	YDL022W, YOL059W
OG0000054	maker-CR380949-snap-gene-4.206-mRNA-1_1&gene=maker-CR380949-snap-gene-4.206&CDS=1-2829, snap_masked-CR380957-processed-gene-1.41-mRNA-1_1&gene=snap_masked-CR380957-processed-gene-1.41&CDS=1-1371	YDL036C, YOL066C
OG0000055	snap_masked-CR380950-processed-gene-1.128-mRNA-1_1&gene=snap_masked-CR380950-processed-gene-1.128&CDS=1-1374, snap_masked-CR380957-processed-gene-7.88-mRNA-1_1&gene=snap_masked-CR380957-processed-gene-7.88&CDS=1-1374	YBR118W, YPR080W
OG0000056	snap_masked-CR380950-processed-gene-1.135-mRNA-1_1&gene=snap_masked-CR380950-processed-gene-1.135&CDS=1-915, snap_masked-CR380957-processed-gene-12.1-mRNA-1_1&gene=snap_masked-CR380957-processed-gene-12.1&CDS=1-933	YBR104W, YPR058W
OG0000057	augustus_masked-CR380950-processed-gene-3.144-mRNA-1_1&gene=augustus_masked-CR380950-processed-gene-3.144&CDS=1-1323	YIR013C, YLR013W, YPL021W
OG0000058	snap_masked-CR380950-processed-gene-4.100-mRNA-1_1&gene=snap_masked-CR380950-processed-gene-4.100&CDS=1-753, snap_masked-CR380959-processed-gene-12.33-mRNA-1_1&gene=snap_masked-CR380959-processed-gene-12.33&CDS=1-738	YHR043C, YHR044C
OG0000059	snap_masked-CR380950-processed-gene-5.38-mRNA-1_1&gene=snap_masked-CR380950-processed-gene-5.38&CDS=1-3036, snap_masked-CR380951-processed-gene-3.79-mRNA-1_1&gene=snap_masked-CR380951-processed-gene-3.79&CDS=1-2088	YGL049C, YGR162W
OG0000060	snap_masked-CR380950-processed-gene-5.72-mRNA-1_1&gene=snap_masked-CR380950-processed-gene-5.72&CDS=1-2331, snap_masked-CR380952-processed-gene-2.12-mRNA-1_1&gene=snap_masked-CR380952-processed-gene-2.12&CDS=1-2355	YJL200C, YLR304C
OG0000061	snap_masked-CR380951-processed-gene-0.80-mRNA-1_1&gene=snap_masked-CR380951-processed-gene-0.80&CDS=1-423, snap_masked-CR380957-processed-gene-0.16-mRNA-1_1&gene=snap_masked-CR380957-processed-gene-0.16&CDS=1-309	YCR083W, YLR043C
OG0000062	maker-CR380956-snap-gene-10.152-mRNA-1_1&gene=maker-CR380956-snap-gene-10.152&CDS=1-4065, snap_masked-CR380951-processed-gene-2.17-mRNA-1_1&gene=snap_masked-CR380951-processed-gene-2.17&CDS=1-2112	YMR008C, YOL011W
OG0000063	augustus_masked-CR380951-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-CR380951-processed-gene-3.59&CDS=1-4719, snap_masked-CR380958-processed-gene-7.90-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.90&CDS=1-4605	YDR135C, YLL015W
OG0000064	snap_masked-CR380951-processed-gene-4.100-mRNA-1_1&gene=snap_masked-CR380951-processed-gene-4.100&CDS=1-1287, snap_masked-CR380959-processed-gene-2.15-mRNA-1_1&gene=snap_masked-CR380959-processed-gene-2.15&CDS=1-1263	YBR078W, YDR055W
OG0000065	snap_masked-CR380951-processed-gene-4.107-mRNA-1_1&gene=snap_masked-CR380951-processed-gene-4.107&CDS=1-573, snap_masked-CR380953-processed-gene-8.48-mRNA-1_1&gene=snap_masked-CR380953-processed-gene-8.48&CDS=1-573	YGL147C, YNL067W
OG0000066	augustus_masked-CR380951-processed-gene-5.12-mRNA-1_1&gene=augustus_masked-CR380951-processed-gene-5.12&CDS=1-4692, snap_masked-CR380959-processed-gene-6.8-mRNA-1_1&gene=snap_masked-CR380959-processed-gene-6.8&CDS=1-1002	YGL063W, YPL212C
OG0000067	augustus_masked-CR380951-processed-gene-5.45-mRNA-1_1&gene=augustus_masked-CR380951-processed-gene-5.45&CDS=1-1443, augustus_masked-CR380954-processed-gene-8.64-mRNA-1_1&gene=augustus_masked-CR380954-processed-gene-8.64&CDS=1-1638	YGL134W, YPL219W
