	Saccharomyces_cerevisiae	yHMPu5000035046_Barnettozyma_populi
OG0000010	YKL055C	augustus_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-1.102&CDS=1-825, snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.30-mRNA-1_1&gene=snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.30&CDS=1-762, snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-7.78-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-7.78&CDS=1-777, snap_masked-NODE_26_length_128712_cov_13.768_ID_5260-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NODE_26_length_128712_cov_13.768_ID_5260-processed-gene-0.86&CDS=1-774, snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-7.194-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-7.194&CDS=1-744, snap_masked-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.176-mRNA-1_1&gene=snap_masked-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.176&CDS=1-831, snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-0.118&CDS=1-822
OG0000011	YOL119C, YOR296W, YOR306C	genemark-NODE_31_length_117355_cov_12.8377_ID_6209-processed-gene-0.188-mRNA-1_1&gene=genemark-NODE_31_length_117355_cov_12.8377_ID_6209-processed-gene-0.188&CDS=1-1518, genemark-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-4.216-mRNA-1_1&gene=genemark-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-4.216&CDS=1-5205, snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-1.14-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-1.14&CDS=1-1407, snap_masked-NODE_31_length_117355_cov_12.8377_ID_6209-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_31_length_117355_cov_12.8377_ID_6209-processed-gene-0.30&CDS=1-1356, snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-2.94-mRNA-1_1&gene=snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-2.94&CDS=1-1500
OG0000012	YAR019C, YDR523C, YHR102W	augustus_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.30&CDS=1-1359, snap_masked-NODE_18_length_175216_cov_17.4278_ID_3642-processed-gene-0.249-mRNA-1_1&gene=snap_masked-NODE_18_length_175216_cov_17.4278_ID_3642-processed-gene-0.249&CDS=1-2619, snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-6.85-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-6.85&CDS=1-1569, snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-7.170-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-7.170&CDS=1-3075
OG0000013	YBL063W, YEL061C, YKL079W	genemark-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.143-mRNA-1_1&gene=genemark-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.143&CDS=1-3303, genemark-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-0.10&CDS=1-2346, snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-2.78-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-2.78&CDS=1-2799, snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-4.35-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-4.35&CDS=1-1470
OG0000014	YGL257C, YNR059W	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-5.59-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-5.59&CDS=1-2130, snap_masked-NODE_32_length_110669_cov_13.5049_ID_6289-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NODE_32_length_110669_cov_13.5049_ID_6289-processed-gene-0.71&CDS=1-1662, snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-2.95-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-2.95&CDS=1-2295, snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-7.179-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-7.179&CDS=1-2286, snap_masked-NODE_59_length_12170_cov_23.7111_ID_15962-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_59_length_12170_cov_23.7111_ID_15962-processed-gene-0.5&CDS=1-852
OG0000015	YKL220C, YNR060W, YOR381W, YOR384W	genemark-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-2.82-mRNA-1_1&gene=genemark-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-2.82&CDS=1-2028, snap_masked-NODE_16_length_246544_cov_13.5549_ID_4550-processed-gene-1.165-mRNA-1_1&gene=snap_masked-NODE_16_length_246544_cov_13.5549_ID_4550-processed-gene-1.165&CDS=1-2082, snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.68-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.68&CDS=1-2196
OG0000016	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-NODE_11_length_366296_cov_13.8376_ID_4100-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_11_length_366296_cov_13.8376_ID_4100-processed-gene-0.45&CDS=1-4557, snap_masked-NODE_23_length_134155_cov_15.5572_ID_8127-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_23_length_134155_cov_15.5572_ID_8127-processed-gene-0.27&CDS=1-2736
OG0000017	YCL037C, YDL051W, YDR515W	snap_masked-NODE_11_length_366296_cov_13.8376_ID_4100-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_11_length_366296_cov_13.8376_ID_4100-processed-gene-0.24&CDS=1-1461, snap_masked-NODE_36_length_78055_cov_19.4016_ID_10013-processed-gene-0.77-mRNA-1_1&gene=snap_masked-NODE_36_length_78055_cov_19.4016_ID_10013-processed-gene-0.77&CDS=1-1365, snap_masked-NODE_40_length_71274_cov_11.9838_ID_5744-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_40_length_71274_cov_11.9838_ID_5744-processed-gene-0.35&CDS=1-759
OG0000018	YDL025C, YNL183C, YOR267C	snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.6-mRNA-1_1&gene=snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.6&CDS=1-1740, snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-5.50-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-5.50&CDS=1-2256, snap_masked-NODE_29_length_119377_cov_18.1712_ID_6586-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NODE_29_length_119377_cov_18.1712_ID_6586-processed-gene-0.61&CDS=1-1386
OG0000019	YDL037C, YIR019C	augustus_masked-NODE_56_length_13501_cov_15.3453_ID_8723-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_56_length_13501_cov_15.3453_ID_8723-processed-gene-0.8&CDS=1-1737, augustus_masked-NODE_58_length_12382_cov_14.7785_ID_9247-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_58_length_12382_cov_14.7785_ID_9247-processed-gene-0.1&CDS=1-2814, augustus_masked-NODE_58_length_12382_cov_14.7785_ID_9247-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_58_length_12382_cov_14.7785_ID_9247-processed-gene-0.2&CDS=1-1446, augustus_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-0.12&CDS=1-2463
OG0000020	YDR242W	genemark-NODE_14_length_343773_cov_16.2165_ID_3838-processed-gene-2.50-mRNA-1_1&gene=genemark-NODE_14_length_343773_cov_16.2165_ID_3838-processed-gene-2.50&CDS=1-2390, maker-NODE_13_length_355277_cov_14.0586_ID_7157-snap-gene-2.104-mRNA-1_1&gene=maker-NODE_13_length_355277_cov_14.0586_ID_7157-snap-gene-2.104&CDS=1-3342, snap_masked-NODE_28_length_121155_cov_19.7107_ID_7522-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_28_length_121155_cov_19.7107_ID_7522-processed-gene-0.54&CDS=1-1647, snap_masked-NODE_38_length_74825_cov_21.3641_ID_15611-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_38_length_74825_cov_21.3641_ID_15611-processed-gene-0.67&CDS=1-1605, snap_masked-NODE_41_length_64632_cov_13.4045_ID_6257-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NODE_41_length_64632_cov_13.4045_ID_6257-processed-gene-0.74&CDS=1-1620
OG0000021	YDR541C, YGL039W, YGL157W, YOL151W	maker-NODE_22_length_135631_cov_14.9371_ID_10957-snap-gene-0.123-mRNA-1_1&gene=maker-NODE_22_length_135631_cov_14.9371_ID_10957-snap-gene-0.123&CDS=1-1455, snap_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-4.154-mRNA-1_1&gene=snap_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-4.154&CDS=1-1056
OG0000022	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-NODE_16_length_246544_cov_13.5549_ID_4550-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_16_length_246544_cov_13.5549_ID_4550-processed-gene-0.26&CDS=1-1656, snap_masked-NODE_31_length_117355_cov_12.8377_ID_6209-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_31_length_117355_cov_12.8377_ID_6209-processed-gene-0.32&CDS=1-1917
OG0000023	YER185W, YGR213C, YLR046C	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-0.119-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-0.119&CDS=1-1002, snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-0.120-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-0.120&CDS=1-1113, snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-0.121&CDS=1-1026
OG0000024	YGR197C, YJR015W	augustus_masked-NODE_11_length_366296_cov_13.8376_ID_4100-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_11_length_366296_cov_13.8376_ID_4100-processed-gene-0.91&CDS=1-1464, maker-NODE_11_length_366296_cov_13.8376_ID_4100-snap-gene-0.53-mRNA-1_1&gene=maker-NODE_11_length_366296_cov_13.8376_ID_4100-snap-gene-0.53&CDS=1-2958, snap_masked-NODE_11_length_366296_cov_13.8376_ID_4100-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_11_length_366296_cov_13.8376_ID_4100-processed-gene-0.42&CDS=1-1596, snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-0.86&CDS=1-1683
OG0000025	YGR281W	maker-NODE_25_length_128994_cov_14.253_ID_6542-augustus-gene-0.135-mRNA-1_1&gene=maker-NODE_25_length_128994_cov_14.253_ID_6542-augustus-gene-0.135&CDS=1-4860, snap_masked-NODE_18_length_175216_cov_17.4278_ID_3642-processed-gene-0.181-mRNA-1_1&gene=snap_masked-NODE_18_length_175216_cov_17.4278_ID_3642-processed-gene-0.181&CDS=1-4113, snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-1.12-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-1.12&CDS=1-4089, snap_masked-NODE_35_length_80817_cov_14.4653_ID_5894-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NODE_35_length_80817_cov_14.4653_ID_5894-processed-gene-0.48&CDS=1-4101, snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-7.143-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-7.143&CDS=1-4203
OG0000026	YHL034C, YIR001C, YLL046C	snap_masked-NODE_37_length_76199_cov_14.4701_ID_7109-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_37_length_76199_cov_14.4701_ID_7109-processed-gene-0.36&CDS=1-531, snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-2.106-mRNA-1_1&gene=snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-2.106&CDS=1-990, snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-2.173-mRNA-1_1&gene=snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-2.173&CDS=1-531
