"","X1","X.1","X","OG","branch_select","number_select","sce","species_select","clade_with_trait","species_with_trait","select_clade_all","species_select_ratio","clade_select_ratio","Select_species","fcc","vote_percentage"
"215",215,215,3529,"OG2434","Node2, Node26, Node62, yHMPu5000034675_Blastobotrys_mokoenaii_Seq_4633, yHMPu5000034933_Kuraishia_molischiana_Seq_5481",5,"YNL178W","Candida_auris_Seq_4779,yHMPu5000035662_Meyerozyma_caribbica_Seq_3383,Nakaseomyces_bracarensis_Seq_2699,Nakaseomyces_nivariensis_Seq_4441,Ogataea_polymorpha_Seq_691,yHMPu5000034885_Ogataea_zsoltii_Seq_4075,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_4633,yHMPu5000034933_Kuraishia_molischiana_Seq_5481",4,16,4,0.5,1,8,NA,NA
"216",216,216,3829,"OG1825","Node2, Node31, Node42, Node45, Node8",5,"YGL234W","Candida_orthopsilosis_Seq_5053,Candida_auris_Seq_2154,yHMPu5000035662_Meyerozyma_caribbica_Seq_447,yHMPu5000034885_Ogataea_zsoltii_Seq_1248,yHMPu5000034933_Kuraishia_molischiana_Seq_821,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_4334,Arxula_adeninivorans_Seq_911,Saprochaete_clavata_Seq_1407,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_2490,Nakaseomyces_bracarensis_Seq_3092,Nakaseomyces_nivariensis_Seq_3875,Eremothecium_sinecaudum_Seq_1182,Eremothecium_coryli_Seq_1087",4,15,4,0.866666666666667,1,13,NA,NA
"217",217,217,3886,"OG2037","Node23, Node27, Node28, Node59, Node61",5,"YCR017C","Ogataea_polymorpha_Seq_1942,yHMPu5000034885_Ogataea_zsoltii_Seq_2545,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_1803,Arxula_adeninivorans_Seq_2433,Saprochaete_clavata_Seq_3572,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_3995,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_1803,Arxula_adeninivorans_Seq_2433,yHAB143_Kazachstania_siamensis_Seq_3797,Nakaseomyces_bracarensis_Seq_2741,Nakaseomyces_nivariensis_Seq_4788,Nakaseomyces_bracarensis_Seq_2741,Nakaseomyces_nivariensis_Seq_4788",4,16,3,0.5625,0.75,9,NA,NA
"218",218,218,3910,"OG1334","Node21, Node40, Node72, Node82, yHMPu5000034933_Kuraishia_molischiana_Seq_1124",5,"YEL060C","Saprochaete_clavata_Seq_6388,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_7335,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_3106,Arxula_adeninivorans_Seq_5253,Nakaseomyces_bracarensis_Seq_3070,Nakaseomyces_nivariensis_Seq_3425,yHMPu5000034933_Kuraishia_molischiana_Seq_1124,Ogataea_polymorpha_Seq_1442,yHMPu5000034885_Ogataea_zsoltii_Seq_2424,yHMPu5000034933_Kuraishia_molischiana_Seq_1124",4,17,3,0.529411764705882,0.75,9,NA,NA
"219",219,219,3971,"OG2379","Arxula_adeninivorans_Seq_3171, Node51, Node54, Node84, yHMPu5000034933_Kuraishia_molischiana_Seq_4563",5,"YJR070C","Nakaseomyces_bracarensis_Seq_2609,Nakaseomyces_nivariensis_Seq_3211,Kluyveromyces_marxianus_Seq_3204,Eremothecium_coryli_Seq_3330,Eremothecium_sinecaudum_Seq_3641,Ogataea_polymorpha_Seq_1210,yHMPu5000034885_Ogataea_zsoltii_Seq_4932,yHMPu5000034933_Kuraishia_molischiana_Seq_4563,Arxula_adeninivorans_Seq_3171,yHMPu5000034933_Kuraishia_molischiana_Seq_4563",4,16,3,0.5625,0.75,9,NA,NA
"220",220,220,4021,"OG2677","Candida_orthopsilosis_Seq_2750, Node10, Node22, Node6, yHMPu5000034933_Kuraishia_molischiana_Seq_3874",5,"YNL037C","Kluyveromyces_marxianus_Seq_2815,Eremothecium_coryli_Seq_4287,yHAB143_Kazachstania_siamensis_Seq_1751,Nakaseomyces_bracarensis_Seq_2359,yHAB143_Kazachstania_siamensis_Seq_1751,Nakaseomyces_bracarensis_Seq_2359,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_5202,Arxula_adeninivorans_Seq_2030,Candida_orthopsilosis_Seq_2750,yHMPu5000034933_Kuraishia_molischiana_Seq_3874",4,12,4,0.666666666666667,1,8,NA,NA
"221",221,221,4042,"OG1290","Candida_orthopsilosis_Seq_4395, Node2, yHMPu5000034625_Pichia_kudriavzevii_Seq_2897, yHMPu5000034885_Ogataea_zsoltii_Seq_3202, yHMPu5000035662_Meyerozyma_caribbica_Seq_1087",5,"YBR189W","yHMPu5000034885_Ogataea_zsoltii_Seq_3202,yHMPu5000034933_Kuraishia_molischiana_Seq_1559,Candida_orthopsilosis_Seq_4395,yHMPu5000034625_Pichia_kudriavzevii_Seq_2897,yHMPu5000034885_Ogataea_zsoltii_Seq_3202,yHMPu5000035662_Meyerozyma_caribbica_Seq_1087",4,13,2,0.384615384615385,0.5,5,NA,NA
"222",222,222,4067,"OG1568","Node10, Node15, Node48, Node50, Node6",5,"YPR010C","Candida_auris_Seq_687,yHMPu5000035662_Meyerozyma_caribbica_Seq_4556,Ogataea_polymorpha_Seq_2548,yHMPu5000034885_Ogataea_zsoltii_Seq_2390,Saprochaete_clavata_Seq_218,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_2999,yHAB143_Kazachstania_siamensis_Seq_4545,Nakaseomyces_bracarensis_Seq_4989,Nakaseomyces_nivariensis_Seq_4858,Nakaseomyces_bracarensis_Seq_4989,Nakaseomyces_nivariensis_Seq_4858",4,17,4,0.529411764705882,1,9,NA,NA
"223",223,223,4269,"OG1927","Node21, Node44, Node68, Node87, yHAB143_Kazachstania_siamensis_Seq_628",5,"YGR211W","Nakaseomyces_bracarensis_Seq_2592,Nakaseomyces_nivariensis_Seq_1930,Ogataea_polymorpha_Seq_4181,yHMPu5000034885_Ogataea_zsoltii_Seq_1819,Arxula_adeninivorans_Seq_123,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_4309,Candida_orthopsilosis_Seq_1989,Candida_auris_Seq_802,yHMPu5000035662_Meyerozyma_caribbica_Seq_2465,yHAB143_Kazachstania_siamensis_Seq_628",4,17,4,0.588235294117647,1,10,NA,NA
"224",224,224,4335,"OG1689","Node11, Node33, Node56, yHMPu5000034675_Blastobotrys_mokoenaii_Seq_2228, yHMPu5000034885_Ogataea_zsoltii_Seq_3392",5,"YPR138C","Saprochaete_clavata_Seq_4956,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_4847,Candida_orthopsilosis_Seq_588,Candida_auris_Seq_5076,yHMPu5000035662_Meyerozyma_caribbica_Seq_1069,yHMPu5000034933_Kuraishia_molischiana_Seq_2020,yHMPu5000034625_Pichia_kudriavzevii_Seq_3331,Ogataea_polymorpha_Seq_1801,yHMPu5000034885_Ogataea_zsoltii_Seq_3392,yHAB143_Kazachstania_siamensis_Seq_3022,Nakaseomyces_bracarensis_Seq_4025,Nakaseomyces_nivariensis_Seq_4759,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_2228,yHMPu5000034885_Ogataea_zsoltii_Seq_3392",4,17,4,0.764705882352941,1,13,NA,NA
"225",225,225,4513,"OG1724","Node1, Node31, Node58, Node60, Node62",5,"YGL026C","yHMPu5000034625_Pichia_kudriavzevii_Seq_4881,Ogataea_polymorpha_Seq_2819,yHMPu5000034885_Ogataea_zsoltii_Seq_4914,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_1977,Arxula_adeninivorans_Seq_4591,Kluyveromyces_marxianus_Seq_3043,yHAB143_Kazachstania_siamensis_Seq_3739,Nakaseomyces_bracarensis_Seq_74,Nakaseomyces_nivariensis_Seq_2694,yHAB143_Kazachstania_siamensis_Seq_3739,Nakaseomyces_bracarensis_Seq_74,Nakaseomyces_nivariensis_Seq_2694,Nakaseomyces_bracarensis_Seq_74,Nakaseomyces_nivariensis_Seq_2694",4,17,3,0.529411764705882,0.75,9,NA,NA
"226",226,226,4570,"OG1303","Node14, Node59, Node93, yHAB143_Kazachstania_siamensis_Seq_2874, yHMPu5000034933_Kuraishia_molischiana_Seq_952",5,"YHL003C","yHMPu5000034625_Pichia_kudriavzevii_Seq_2448,Ogataea_polymorpha_Seq_692,yHMPu5000034885_Ogataea_zsoltii_Seq_1850,Nakaseomyces_bracarensis_Seq_1258,Nakaseomyces_nivariensis_Seq_4165,Kluyveromyces_marxianus_Seq_4363,Eremothecium_coryli_Seq_1080,Eremothecium_sinecaudum_Seq_1507,Candida_orthopsilosis_Seq_4382,yHMPu5000035662_Meyerozyma_caribbica_Seq_3093,yHAB143_Kazachstania_siamensis_Seq_2874,yHMPu5000034933_Kuraishia_molischiana_Seq_952",4,17,3,0.705882352941177,0.75,12,NA,NA
"227",227,227,4638,"OG1199","Candida_orthopsilosis_Seq_4182, Node17, Node22, Node37, Node89",5,"YMR145C","Nakaseomyces_bracarensis_Seq_4456,Nakaseomyces_nivariensis_Seq_2173,Eremothecium_coryli_Seq_2688,Eremothecium_sinecaudum_Seq_4064,Candida_orthopsilosis_Seq_4182,Candida_auris_Seq_5199,yHMPu5000035662_Meyerozyma_caribbica_Seq_3082,yHMPu5000034625_Pichia_kudriavzevii_Seq_4013,Ogataea_polymorpha_Seq_1455,yHMPu5000034885_Ogataea_zsoltii_Seq_1004,Candida_orthopsilosis_Seq_4182",4,17,3,0.588235294117647,0.75,10,NA,NA
"228",228,228,4651,"OG2491","Node25, Node27, Node54, Node56, Node73",5,"YBR079C","Candida_orthopsilosis_Seq_300,Candida_auris_Seq_3615,yHMPu5000035662_Meyerozyma_caribbica_Seq_856,Candida_auris_Seq_3615,yHMPu5000035662_Meyerozyma_caribbica_Seq_856,yHMPu5000034933_Kuraishia_molischiana_Seq_1735,Ogataea_polymorpha_Seq_1852,yHMPu5000034885_Ogataea_zsoltii_Seq_3378,Ogataea_polymorpha_Seq_1852,yHMPu5000034885_Ogataea_zsoltii_Seq_3378,Nakaseomyces_bracarensis_Seq_4253,Nakaseomyces_nivariensis_Seq_1285",4,15,3,0.533333333333333,0.75,8,NA,NA
"229",229,229,4736,"OG1773","Node12, Node14, Node31, Node39, Node7",5,"YHR164C","Candida_orthopsilosis_Seq_3007,Candida_auris_Seq_208,yHMPu5000035662_Meyerozyma_caribbica_Seq_3252,yHMPu5000034933_Kuraishia_molischiana_Seq_4843,yHMPu5000034625_Pichia_kudriavzevii_Seq_3893,Ogataea_polymorpha_Seq_3285,yHMPu5000034885_Ogataea_zsoltii_Seq_3956,yHMPu5000034625_Pichia_kudriavzevii_Seq_3893,Ogataea_polymorpha_Seq_3285,yHMPu5000034885_Ogataea_zsoltii_Seq_3956,yHAB143_Kazachstania_siamensis_Seq_520,Nakaseomyces_bracarensis_Seq_3896,Nakaseomyces_nivariensis_Seq_1518,Kluyveromyces_marxianus_Seq_458,Eremothecium_coryli_Seq_3557,Eremothecium_sinecaudum_Seq_21,Eremothecium_coryli_Seq_3557,Eremothecium_sinecaudum_Seq_21",4,17,3,0.764705882352941,0.75,13,NA,NA
"230",230,230,4756,"OG3973","Arxula_adeninivorans_Seq_5359, Node38, Node39, Node60, Node71",5,NA,"yHMPu5000034675_Blastobotrys_mokoenaii_Seq_6116,Arxula_adeninivorans_Seq_5359,Saprochaete_clavata_Seq_3023,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_8601,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_6116,Arxula_adeninivorans_Seq_5359,yHMPu5000034933_Kuraishia_molischiana_Seq_4030,Ogataea_polymorpha_Seq_3476,yHMPu5000034885_Ogataea_zsoltii_Seq_2229,yHMPu5000034625_Pichia_kudriavzevii_Seq_172,Candida_orthopsilosis_Seq_4610,Arxula_adeninivorans_Seq_5359",4,12,3,0.75,0.75,9,NA,NA
"231",231,231,4792,"OG1514","Node17, Node19, Node38, yHMPu5000034675_Blastobotrys_mokoenaii_Seq_4410, yHMPu5000035662_Meyerozyma_caribbica_Seq_528",5,"YJR123W","Kluyveromyces_marxianus_Seq_2201,yHAB143_Kazachstania_siamensis_Seq_3032,Nakaseomyces_bracarensis_Seq_252,Nakaseomyces_nivariensis_Seq_2511,yHAB143_Kazachstania_siamensis_Seq_3032,Nakaseomyces_bracarensis_Seq_252,Nakaseomyces_nivariensis_Seq_2511,yHMPu5000034885_Ogataea_zsoltii_Seq_1042,Ogataea_polymorpha_Seq_1534,yHMPu5000034933_Kuraishia_molischiana_Seq_4473,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_4410,yHMPu5000035662_Meyerozyma_caribbica_Seq_528",4,17,4,0.529411764705882,1,9,NA,NA
"232",232,232,14,"OG1929","Node11, Node23, yHAB143_Kazachstania_siamensis_Seq_2361, yHMPu5000034933_Kuraishia_molischiana_Seq_3457",4,"YDL198C","Ogataea_polymorpha_Seq_1163,yHMPu5000034885_Ogataea_zsoltii_Seq_4965,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_4399,Arxula_adeninivorans_Seq_2286,yHAB143_Kazachstania_siamensis_Seq_2361,yHMPu5000034933_Kuraishia_molischiana_Seq_3457",4,17,3,0.352941176470588,0.75,6,NA,NA
"233",233,233,34,"OG2557","Node2, Node28, Node83, Node85",4,"YDR294C","yHAB143_Kazachstania_siamensis_Seq_189,Kluyveromyces_marxianus_Seq_1486,Nakaseomyces_bracarensis_Seq_4979,Nakaseomyces_nivariensis_Seq_4857,Saprochaete_clavata_Seq_3032,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_6179,yHMPu5000034933_Kuraishia_molischiana_Seq_4860,Ogataea_polymorpha_Seq_3527,yHMPu5000034885_Ogataea_zsoltii_Seq_156,Ogataea_polymorpha_Seq_3527,yHMPu5000034885_Ogataea_zsoltii_Seq_156",4,14,3,0.642857142857143,0.75,9,NA,NA
"234",234,234,60,"OG2901","Node26, Node48, Node52, Node70",4,"YOR002W","Kluyveromyces_marxianus_Seq_2920,Eremothecium_coryli_Seq_3137,Eremothecium_sinecaudum_Seq_296,Saprochaete_clavata_Seq_4397,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_693,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_3569,Arxula_adeninivorans_Seq_1541,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_3569,Arxula_adeninivorans_Seq_1541,yHMPu5000034885_Ogataea_zsoltii_Seq_2674,yHMPu5000034625_Pichia_kudriavzevii_Seq_1784",4,14,3,0.642857142857143,0.75,9,NA,NA
"235",235,235,84,"OG1795","Node25, Node26, Node67, Node71",4,"YPL082C","yHAB143_Kazachstania_siamensis_Seq_4572,Nakaseomyces_bracarensis_Seq_142,Nakaseomyces_nivariensis_Seq_2681,Kluyveromyces_marxianus_Seq_1729,Eremothecium_coryli_Seq_3001,Eremothecium_sinecaudum_Seq_1137,yHAB143_Kazachstania_siamensis_Seq_4572,Nakaseomyces_bracarensis_Seq_142,Nakaseomyces_nivariensis_Seq_2681,Saprochaete_clavata_Seq_6499,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_3467,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_4732,Arxula_adeninivorans_Seq_3905,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_4732,Arxula_adeninivorans_Seq_3905",4,17,2,0.588235294117647,0.5,10,NA,NA
"236",236,236,92,"OG1238","Node16, Node48, Node87, yHMPu5000034675_Blastobotrys_mokoenaii_Seq_2074",4,"YAL029C","yHAB143_Kazachstania_siamensis_Seq_4376,Nakaseomyces_bracarensis_Seq_2220,Nakaseomyces_nivariensis_Seq_4543,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_2074,Arxula_adeninivorans_Seq_2794,Candida_orthopsilosis_Seq_2833,Candida_auris_Seq_2148,yHMPu5000035662_Meyerozyma_caribbica_Seq_1732,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_2074",4,15,3,0.533333333333333,0.75,8,NA,NA
"237",237,237,128,"OG2210","Node18, Node73, Node78, yHMPu5000034675_Blastobotrys_mokoenaii_Seq_3494",4,"YLR216C","Kluyveromyces_marxianus_Seq_1090,yHAB143_Kazachstania_siamensis_Seq_2828,Nakaseomyces_bracarensis_Seq_4285,Nakaseomyces_nivariensis_Seq_3848,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_3494,Arxula_adeninivorans_Seq_1048,Ogataea_polymorpha_Seq_2949,yHMPu5000034625_Pichia_kudriavzevii_Seq_3078,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_3494",4,15,3,0.533333333333333,0.75,8,NA,NA
"238",238,238,278,"OG1638","Node31, Node32, Node35, Node53",4,"YNL061W","yHMPu5000034675_Blastobotrys_mokoenaii_Seq_2742,Arxula_adeninivorans_Seq_876,Saprochaete_clavata_Seq_5905,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_4963,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_2742,Arxula_adeninivorans_Seq_876,Saprochaete_clavata_Seq_5905,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_4963,yHMPu5000034933_Kuraishia_molischiana_Seq_2557,Ogataea_polymorpha_Seq_3684,yHMPu5000034885_Ogataea_zsoltii_Seq_4738,yHMPu5000035662_Meyerozyma_caribbica_Seq_2434,Candida_auris_Seq_821",4,17,3,0.529411764705882,0.75,9,NA,NA
"239",239,239,432,"OG1231","Node2, Node43, Node66, Node67",4,"YPR003C","yHAB143_Kazachstania_siamensis_Seq_2547,Nakaseomyces_bracarensis_Seq_4667,Nakaseomyces_nivariensis_Seq_4513,Saprochaete_clavata_Seq_3442,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_963,Arxula_adeninivorans_Seq_2431,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_2268,Candida_auris_Seq_3449,Candida_orthopsilosis_Seq_2998,yHMPu5000034933_Kuraishia_molischiana_Seq_3940,yHMPu5000034625_Pichia_kudriavzevii_Seq_4272,Ogataea_polymorpha_Seq_4130,yHMPu5000034885_Ogataea_zsoltii_Seq_3887,Candida_auris_Seq_3449,Candida_orthopsilosis_Seq_2998",4,14,4,0.928571428571429,1,13,NA,NA
"240",240,240,445,"OG1603","Node28, Node31, Node57, yHMPu5000034933_Kuraishia_molischiana_Seq_1159",4,"YCR053W","yHAB143_Kazachstania_siamensis_Seq_2417,Nakaseomyces_bracarensis_Seq_3344,Nakaseomyces_nivariensis_Seq_818,Kluyveromyces_marxianus_Seq_4192,Eremothecium_coryli_Seq_493,Eremothecium_sinecaudum_Seq_1128,Nakaseomyces_bracarensis_Seq_3344,Nakaseomyces_nivariensis_Seq_818,Saprochaete_clavata_Seq_4085,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_3778,Arxula_adeninivorans_Seq_758,yHMPu5000034933_Kuraishia_molischiana_Seq_1159",4,13,3,0.769230769230769,0.75,10,NA,NA
"241",241,241,489,"OG1534","Node22, Node23, Node84, Node89",4,"YNL088W","yHMPu5000034675_Blastobotrys_mokoenaii_Seq_2598,Arxula_adeninivorans_Seq_5932,Saprochaete_clavata_Seq_3748,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_5706,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_2598,Arxula_adeninivorans_Seq_5932,yHAB143_Kazachstania_siamensis_Seq_1494,Nakaseomyces_bracarensis_Seq_3465,Nakaseomyces_nivariensis_Seq_4804,Kluyveromyces_marxianus_Seq_1773,Eremothecium_coryli_Seq_2284,Eremothecium_sinecaudum_Seq_4086",4,17,2,0.588235294117647,0.5,10,NA,NA
"242",242,242,503,"OG1800","Node1, Node25, Node26, Node54",4,"YMR315W","yHMPu5000035662_Meyerozyma_caribbica_Seq_1071,Candida_auris_Seq_3410,Candida_orthopsilosis_Seq_1133,yHAB143_Kazachstania_siamensis_Seq_1844,Nakaseomyces_bracarensis_Seq_4069,Nakaseomyces_nivariensis_Seq_4145,Eremothecium_sinecaudum_Seq_778,Eremothecium_coryli_Seq_1917,yHAB143_Kazachstania_siamensis_Seq_1844,Nakaseomyces_bracarensis_Seq_4069,Nakaseomyces_nivariensis_Seq_4145,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_5137,Arxula_adeninivorans_Seq_2220",4,15,3,0.666666666666667,0.75,10,NA,NA
"243",243,243,505,"OG2205","Kluyveromyces_marxianus_Seq_3835, Node13, Node21, yHMPu5000034675_Blastobotrys_mokoenaii_Seq_4442",4,"YGL022W","Kluyveromyces_marxianus_Seq_3835,Eremothecium_coryli_Seq_2808,Eremothecium_sinecaudum_Seq_682,yHAB143_Kazachstania_siamensis_Seq_2855,Nakaseomyces_bracarensis_Seq_5318,Nakaseomyces_nivariensis_Seq_512,Nakaseomyces_bracarensis_Seq_5318,Nakaseomyces_nivariensis_Seq_512,Kluyveromyces_marxianus_Seq_3835,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_4442",4,16,2,0.4375,0.5,7,NA,NA
"244",244,244,513,"OG2637","Node15, Node50, Node73, Node75",4,"YAR035W","yHMPu5000034675_Blastobotrys_mokoenaii_Seq_172,Arxula_adeninivorans_Seq_89,Eremothecium_coryli_Seq_2946,yHAB143_Kazachstania_siamensis_Seq_2006,Nakaseomyces_bracarensis_Seq_326,Nakaseomyces_nivariensis_Seq_843,yHMPu5000034933_Kuraishia_molischiana_Seq_2525,Ogataea_polymorpha_Seq_3726,yHMPu5000034885_Ogataea_zsoltii_Seq_1981,Ogataea_polymorpha_Seq_3726,yHMPu5000034885_Ogataea_zsoltii_Seq_1981",4,15,3,0.6,0.75,9,NA,NA
"245",245,245,556,"OG2964","Node16, Node24, Node5, Node60",4,"YOR260W","yHMPu5000035662_Meyerozyma_caribbica_Seq_1411,Candida_orthopsilosis_Seq_1921,Candida_auris_Seq_4773,Ogataea_polymorpha_Seq_3361,yHMPu5000034885_Ogataea_zsoltii_Seq_2064,Nakaseomyces_bracarensis_Seq_4165,Nakaseomyces_nivariensis_Seq_1823,Saprochaete_clavata_Seq_4615,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_8038",4,16,4,0.5625,1,9,NA,NA
"246",246,246,566,"OG1478","Candida_orthopsilosis_Seq_5211, Node16, Node3, yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_4866",4,"YHL001W","yHMPu5000034625_Pichia_kudriavzevii_Seq_2584,Ogataea_polymorpha_Seq_2804,yHMPu5000034885_Ogataea_zsoltii_Seq_3910,Saprochaete_clavata_Seq_2180,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_4866,Candida_orthopsilosis_Seq_5211,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_4866",4,17,3,0.352941176470588,0.75,6,NA,NA
"247",247,247,597,"OG1311","Node29, Node65, Node67, Node69",4,"YBR199W","Arxula_adeninivorans_Seq_3418,Saprochaete_clavata_Seq_3684,yHMPu5000034933_Kuraishia_molischiana_Seq_1835,yHMPu5000034625_Pichia_kudriavzevii_Seq_2259,Ogataea_polymorpha_Seq_1438,yHMPu5000034885_Ogataea_zsoltii_Seq_403,yHMPu5000034625_Pichia_kudriavzevii_Seq_2259,Ogataea_polymorpha_Seq_1438,yHMPu5000034885_Ogataea_zsoltii_Seq_403,Ogataea_polymorpha_Seq_1438,yHMPu5000034885_Ogataea_zsoltii_Seq_403",4,12,2,0.5,0.5,6,NA,NA
"248",248,248,630,"OG2147","Node1, Node50, Node53, Node6",4,"YFR030W","Candida_auris_Seq_701,Candida_orthopsilosis_Seq_547,yHMPu5000035662_Meyerozyma_caribbica_Seq_2191,yHMPu5000034625_Pichia_kudriavzevii_Seq_4280,Ogataea_polymorpha_Seq_4123,yHMPu5000034885_Ogataea_zsoltii_Seq_4415,Kluyveromyces_marxianus_Seq_3030,Nakaseomyces_bracarensis_Seq_2665,Nakaseomyces_nivariensis_Seq_369,yHAB143_Kazachstania_siamensis_Seq_1897,Eremothecium_coryli_Seq_699,Eremothecium_sinecaudum_Seq_3226,Nakaseomyces_bracarensis_Seq_2665,Nakaseomyces_nivariensis_Seq_369",4,17,3,0.705882352941177,0.75,12,NA,NA
"249",249,249,789,"OG1726","Node15, Node16, Node70, Node76",4,"YMR125W","yHAB143_Kazachstania_siamensis_Seq_2824,Nakaseomyces_bracarensis_Seq_328,Nakaseomyces_nivariensis_Seq_4084,Kluyveromyces_marxianus_Seq_4762,Eremothecium_coryli_Seq_2761,Eremothecium_sinecaudum_Seq_62,yHAB143_Kazachstania_siamensis_Seq_2824,Nakaseomyces_bracarensis_Seq_328,Nakaseomyces_nivariensis_Seq_4084,Candida_orthopsilosis_Seq_1975,Candida_auris_Seq_2745,yHMPu5000035662_Meyerozyma_caribbica_Seq_965,yHMPu5000034933_Kuraishia_molischiana_Seq_3194,yHMPu5000034625_Pichia_kudriavzevii_Seq_1672",4,15,3,0.733333333333333,0.75,11,NA,NA
"250",250,250,811,"OG1480","Arxula_adeninivorans_Seq_3431, Node61, Node7, Node89",4,"YJL008C","Ogataea_polymorpha_Seq_2467,yHMPu5000034885_Ogataea_zsoltii_Seq_2500,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_4730,Arxula_adeninivorans_Seq_3431,Candida_orthopsilosis_Seq_4948,Candida_auris_Seq_3999,yHMPu5000035662_Meyerozyma_caribbica_Seq_4300,Arxula_adeninivorans_Seq_3431",4,16,3,0.4375,0.75,7,NA,NA
"251",251,251,895,"OG2039","Node18, Node3, Node36, Node5",4,"YDL143W","Candida_orthopsilosis_Seq_1220,yHMPu5000035662_Meyerozyma_caribbica_Seq_5005,Candida_auris_Seq_1416,yHMPu5000035662_Meyerozyma_caribbica_Seq_5005,Candida_auris_Seq_1416,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_5266,Arxula_adeninivorans_Seq_5437,yHMPu5000034933_Kuraishia_molischiana_Seq_2147,yHMPu5000034885_Ogataea_zsoltii_Seq_1315,Ogataea_polymorpha_Seq_1991",4,17,3,0.470588235294118,0.75,8,NA,NA
"252",252,252,1039,"OG3772","Node39, Node67, Node68, Ogataea_polymorpha_Seq_2749",4,"YNL023C","Candida_orthopsilosis_Seq_2614,yHMPu5000034625_Pichia_kudriavzevii_Seq_2189,yHAB143_Kazachstania_siamensis_Seq_419,Nakaseomyces_bracarensis_Seq_2175,Nakaseomyces_nivariensis_Seq_2523,Kluyveromyces_marxianus_Seq_2151,Eremothecium_sinecaudum_Seq_3242,yHAB143_Kazachstania_siamensis_Seq_419,Nakaseomyces_bracarensis_Seq_2175,Nakaseomyces_nivariensis_Seq_2523,Ogataea_polymorpha_Seq_2749",4,13,3,0.615384615384615,0.75,8,NA,NA
"253",253,253,1045,"OG1743","Node13, Node31, Node38, Node60",4,"YKL212W","Candida_auris_Seq_1588,Candida_orthopsilosis_Seq_1136,yHMPu5000035662_Meyerozyma_caribbica_Seq_2055,yHMPu5000034933_Kuraishia_molischiana_Seq_4120,yHMPu5000034885_Ogataea_zsoltii_Seq_2413,yHMPu5000034625_Pichia_kudriavzevii_Seq_1361,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_3719,Arxula_adeninivorans_Seq_3965,Eremothecium_coryli_Seq_667,Eremothecium_sinecaudum_Seq_501,Kluyveromyces_marxianus_Seq_923,yHAB143_Kazachstania_siamensis_Seq_4598,Nakaseomyces_bracarensis_Seq_3214,Nakaseomyces_nivariensis_Seq_1238",4,16,4,0.875,1,14,NA,NA
