"","OG","dN_dS","group"
"127","OG12281",0.3412,"All_OG"
"128","OG8498",0.3018,"All_OG"
"129","OG16156",0.45345,"All_OG"
"130","OG16196",0.33815,"All_OG"
"131","OG4699",0.3591,"All_OG"
"132","OG16231",0.1953,"All_OG"
"133","OG5446",0.3018,"All_OG"
"134","OG6283",0.1561,"All_OG"
"135","OG16183",0.1989,"All_OG"
"136","OG4175",0.2673,"All_OG"
"137","OG3415",0.2576,"All_OG"
"138","OG14028",0.34225,"All_OG"
"139","OG5827",0.4134,"All_OG"
"140","OG8692",0.0818,"All_OG"
"141","OG1314",0.179,"All_OG"
"142","OG1934",0.1059,"All_OG"
"143","OG14560",0.1562,"All_OG"
"144","OG13839",0.3317,"All_OG"
"145","OG10641",0.3529,"All_OG"
"146","OG16332",0.2371,"All_OG"
"147","OG8684",0.3915,"All_OG"
"148","OG2894",0.191,"All_OG"
"149","OG11224",0.1758,"All_OG"
"150","OG9757",0.2042,"All_OG"
"151","OG8227",0.1191,"All_OG"
"152","OG4639",0.3654,"All_OG"
"153","OG5814",0.1645,"All_OG"
"154","OG14848",0.2007,"All_OG"
"155","OG11747",0.0628,"All_OG"
"156","OG3861",0.1193,"All_OG"
"157","OG5444",0.13045,"All_OG"
"158","OG14494",0.11675,"All_OG"
"159","OG5629",0.2582,"All_OG"
"160","OG8454",0.1491,"All_OG"
"161","OG1637",0.0613,"All_OG"
"162","OG9005",0.09785,"All_OG"
"163","OG14397",0.2013,"All_OG"
"164","OG8251",0.3088,"All_OG"
"165","OG1465",0.03,"All_OG"
"166","OG10151",0.33075,"All_OG"
"167","OG6976",0.08775,"All_OG"
"168","OG9650",0.25815,"All_OG"
"169","OG6454",0.27175,"All_OG"
"170","OG2047",0.11145,"All_OG"
"171","OG7727",0.2781,"All_OG"
"172","OG14448",0.2296,"All_OG"
"173","OG15417",0.2772,"All_OG"
"174","OG17401",0.13855,"All_OG"
"175","OG11789",0.3276,"All_OG"
"176","OG10559",0.2011,"All_OG"
"177","OG16685",0.31925,"All_OG"
"178","OG7385",0.0708,"All_OG"
"179","OG17177",0.3557,"All_OG"
"180","OG3310",0.1663,"All_OG"
"181","OG4790",0.1861,"All_OG"
"182","OG18358",0.2818,"All_OG"
"183","OG13173",0.1091,"All_OG"
"184","OG3145",0.1432,"All_OG"
"185","OG1750",0.09755,"All_OG"
"186","OG8755",0.2056,"All_OG"
"187","OG5816",0.20565,"All_OG"
"188","OG7670",0.4192,"All_OG"
"189","OG5021",0.1192,"All_OG"
"190","OG8937",0.1903,"All_OG"
"191","OG4159",0.1912,"All_OG"
"192","OG6882",0.2654,"All_OG"
"193","OG15320",0.2621,"All_OG"
"194","OG11051",0.4164,"All_OG"
"195","OG10852",0.2758,"All_OG"
"196","OG4464",0.4249,"All_OG"
"197","OG2878",0.149,"All_OG"
"198","OG2165",0.1512,"All_OG"
"199","OG16719",0.1571,"All_OG"
"200","OG4400",0.2253,"All_OG"
"201","OG10012",0.3492,"All_OG"
"202","OG6281",0.0707,"All_OG"
"203","OG2415",0.3245,"All_OG"
"204","OG2345",0.3635,"All_OG"
"205","OG2266",0.2018,"All_OG"
"206","OG9396",0.2242,"All_OG"
"207","OG9905",0.3091,"All_OG"
"208","OG1453",0.05605,"All_OG"
"209","OG17095",0.3396,"All_OG"
"210","OG4089",0.1591,"All_OG"
"211","OG18534",0.4193,"All_OG"
"212","OG8464",0.4323,"All_OG"
"213","OG10810",0.2899,"All_OG"
"214","OG8128",0.3515,"All_OG"
"215","OG12487",0.1983,"All_OG"
"216","OG4404",0.3671,"All_OG"
"217","OG11440",0.1768,"All_OG"
"218","OG6862",0.21405,"All_OG"
"219","OG7233",0.27545,"All_OG"
"220","OG15037",0.2815,"All_OG"
"221","OG2992",0.1623,"All_OG"
"222","OG16397",0.18195,"All_OG"
"223","OG9230",0.2699,"All_OG"
"224","OG13248",0.1591,"All_OG"
"225","OG4244",0.1074,"All_OG"
"226","OG18178",0.3994,"All_OG"
"227","OG11704",0.1967,"All_OG"
"228","OG5276",0.2609,"All_OG"
"229","OG15150",0.267,"All_OG"
"230","OG3362",0.0891,"All_OG"
"231","OG15920",0.2191,"All_OG"
"232","OG4680",0.1378,"All_OG"
"233","OG7035",0.35965,"All_OG"
"234","OG5338",0.0942,"All_OG"
"235","OG4269",0.2117,"All_OG"
"236","OG12350",0.2575,"All_OG"
"237","OG13690",0.1816,"All_OG"
"238","OG2598",0.2298,"All_OG"
"239","OG8133",0.3402,"All_OG"
"240","OG13320",0.4421,"All_OG"
"241","OG7770",0.2905,"All_OG"
"242","OG2186",0.1299,"All_OG"
"243","OG10760",0.30845,"All_OG"
"244","OG13090",0.2736,"All_OG"
"245","OG16024",0.31365,"All_OG"
"246","OG17390",0.0388,"All_OG"
"247","OG5567",0.1064,"All_OG"
"248","OG8032",0.1504,"All_OG"
"249","OG4452",0.2216,"All_OG"
"250","OG14837",0.3469,"All_OG"
"251","OG6110",0.1833,"All_OG"
"252","OG7510",0.42625,"All_OG"
"253","OG16088",0.35895,"All_OG"
"254","OG9383",0.4313,"All_OG"
"255","OG18153",0.0944,"All_OG"
"256","OG18391",0.3378,"All_OG"
"257","OG9117",0.1754,"All_OG"
"258","OG15750",0.37445,"All_OG"
"259","OG9020",0.20635,"All_OG"
"260","OG18004",0.3371,"All_OG"
"261","OG1408",0.09775,"All_OG"
"262","OG14799",0.1873,"All_OG"
"263","OG4758",0.1783,"All_OG"
"264","OG2578",0.2313,"All_OG"
"265","OG5487",0.3429,"All_OG"
"266","OG7401",0.2407,"All_OG"
"267","OG8262",0.06545,"All_OG"
"268","OG5864",0.3659,"All_OG"
"269","OG6059",0.1613,"All_OG"
"270","OG7803",0.2349,"All_OG"
"271","OG8525",0.3312,"All_OG"
"272","OG4539",0.2493,"All_OG"
"273","OG2891",0.14105,"All_OG"
"274","OG7328",0.495,"All_OG"
"275","OG12444",0.50925,"All_OG"
"276","OG15451",0.46025,"All_OG"
"277","OG12507",0.2803,"All_OG"
"278","OG8398",0.34265,"All_OG"
"279","OG6726",0.2032,"All_OG"
"280","OG5113",0.2355,"All_OG"
"281","OG5175",0.34195,"All_OG"
"282","OG8676",0.4008,"All_OG"
"283","OG5979",0.1584,"All_OG"
"284","OG17439",0.1866,"All_OG"
"285","OG14463",0.3944,"All_OG"
"286","OG7505",0.1475,"All_OG"
"287","OG10734",0.2119,"All_OG"
"288","OG4198",0.2263,"All_OG"
"289","OG14912",0.1897,"All_OG"
"290","OG9848",0.2936,"All_OG"
"291","OG6367",0.2527,"All_OG"
"292","OG2628",0.1714,"All_OG"
"293","OG5142",0.2205,"All_OG"
"294","OG16831",0.2983,"All_OG"
"295","OG8867",0.33525,"All_OG"
"296","OG14788",0.2234,"All_OG"
"297","OG10866",0.2892,"All_OG"
"298","OG6766",0.29255,"All_OG"
"299","OG7718",0.3482,"All_OG"
"300","OG8971",0.3641,"All_OG"
"301","OG4609",0.1172,"All_OG"
"302","OG14405",0.22625,"All_OG"
"303","OG10125",0.2119,"All_OG"
"304","OG16638",0.0682,"All_OG"
"305","OG15477",0.1713,"All_OG"
"306","OG2495",0.08335,"All_OG"
"307","OG3635",0.2005,"All_OG"
"308","OG17186",0.32335,"All_OG"
"309","OG7833",0.1862,"All_OG"
"310","OG3637",0.2329,"All_OG"
"311","OG11796",0.1812,"All_OG"
"312","OG1652",0.1788,"All_OG"
"313","OG9922",0.3691,"All_OG"
"314","OG2828",0.0701,"All_OG"
"315","OG10617",0.4552,"All_OG"
"316","OG2465",0.0838,"All_OG"
"317","OG13813",0.4229,"All_OG"
"318","OG16202",0.2612,"All_OG"
"319","OG14273",0.2784,"All_OG"
"320","OG4485",0.1373,"All_OG"
"321","OG13730",0.1059,"All_OG"
"322","OG3647",0.1915,"All_OG"
"323","OG12654",0.33765,"All_OG"
"324","OG16717",0.0997,"All_OG"
"325","OG17973",0.0594,"All_OG"
"326","OG18258",0.13875,"All_OG"
"327","OG16772",0.1919,"All_OG"
"328","OG10046",0.1674,"All_OG"
"329","OG3354",0.14565,"All_OG"
"330","OG14810",0.2429,"All_OG"
"331","OG2706",0.1752,"All_OG"
"332","OG16506",0.0156,"All_OG"
"333","OG3001",0.2232,"All_OG"
"334","OG10329",0.0817,"All_OG"
"335","OG5288",0.12155,"All_OG"
"336","OG3501",0.3331,"All_OG"
"337","OG5544",0.26885,"All_OG"
"338","OG8171",0.169,"All_OG"
"339","OG7347",0.39625,"All_OG"
"340","OG12517",0.42265,"All_OG"
"341","OG13421",0.3944,"All_OG"
"342","OG1777",0.01225,"All_OG"
"343","OG3968",0.1544,"All_OG"
"344","OG8457",0.3021,"All_OG"
"345","OG2006",0.186,"All_OG"
"346","OG8176",0.3933,"All_OG"
"347","OG8653",0.1345,"All_OG"
"348","OG9026",0.2564,"All_OG"
"349","OG14461",0.3395,"All_OG"
"350","OG3028",0.2705,"All_OG"
"351","OG17581",0.0436,"All_OG"
"352","OG18152",0.3009,"All_OG"
"353","OG12636",0.3718,"All_OG"
"354","OG6064",0.28045,"All_OG"
"355","OG9161",0.6642,"All_OG"
"356","OG14298",0.4795,"All_OG"
"357","OG14266",0.1668,"All_OG"
"358","OG12243",0.2476,"All_OG"
"359","OG1246",0.0989,"All_OG"
"360","OG14672",0.252,"All_OG"
"361","OG5817",0.5031,"All_OG"
"362","OG18466",0.4796,"All_OG"
"363","OG11719",0.2072,"All_OG"
"364","OG2476",0.29405,"All_OG"
"365","OG9670",0.41115,"All_OG"
"366","OG6349",0.3348,"All_OG"
"367","OG17103",0.40175,"All_OG"
"368","OG13531",0.2649,"All_OG"
"369","OG2579",0.1078,"All_OG"
"370","OG16097",0.1136,"All_OG"
"371","OG5108",0.2129,"All_OG"
"372","OG12622",0.2338,"All_OG"
"373","OG7113",0.2855,"All_OG"
"374","OG6771",0.35455,"All_OG"
"375","OG2145",0.1593,"All_OG"
"376","OG1758",0.1262,"All_OG"
"377","OG5488",0.3292,"All_OG"
"378","OG5633",0.18685,"All_OG"
"379","OG5036",0.6312,"All_OG"
"380","OG1812",0.02725,"All_OG"
"381","OG12929",0.32025,"All_OG"
"382","OG12627",0.2399,"All_OG"
"383","OG17324",0.4009,"All_OG"
"384","OG5495",0.1517,"All_OG"
"385","OG18333",0.377,"All_OG"
"386","OG4286",0.2263,"All_OG"
"387","OG9497",0.2078,"All_OG"
"388","OG3275",0.1952,"All_OG"
"389","OG17347",0.2064,"All_OG"
"390","OG5720",0.41805,"All_OG"
"391","OG8715",0.1753,"All_OG"
"392","OG9063",0.1992,"All_OG"
"393","OG12018",0.49845,"All_OG"
"394","OG15673",0.4878,"All_OG"
"395","OG16698",0.25945,"All_OG"
"396","OG15389",0.0381,"All_OG"
"397","OG7598",0.2125,"All_OG"
"398","OG1689",0.10195,"All_OG"
"399","OG6937",0.2681,"All_OG"
"400","OG4479",0.1147,"All_OG"
"401","OG16613",0.29135,"All_OG"
"402","OG5433",0.18395,"All_OG"
"403","OG15542",0.09705,"All_OG"
"404","OG11432",0.27495,"All_OG"
"405","OG4297",0.0552,"All_OG"
"406","OG4793",0.1176,"All_OG"
"407","OG4450",0.2336,"All_OG"
"408","OG12538",0.3021,"All_OG"
"409","OG3189",0.1168,"All_OG"
"410","OG1335",0.1171,"All_OG"
"411","OG13228",1.75655,"All_OG"
"412","OG1572",0.016,"All_OG"
"413","OG8972",0.3018,"All_OG"
"414","OG3638",0.2269,"All_OG"
"415","OG15399",0.3189,"All_OG"
"416","OG10270",0.2412,"All_OG"
"417","OG4514",0.24905,"All_OG"
"418","OG6806",0.4075,"All_OG"
"419","OG11939",0.498,"All_OG"
"420","OG10432",0.31975,"All_OG"
"421","OG16092",0.38725,"All_OG"
"422","OG9748",0.1646,"All_OG"
"423","OG6239",0.212,"All_OG"
"424","OG15758",0.33305,"All_OG"
"425","OG12537",0.1709,"All_OG"
"426","OG7908",0.3465,"All_OG"
"427","OG8081",0.1133,"All_OG"
"428","OG17202",0.35585,"All_OG"
"429","OG9762",0.4155,"All_OG"
"430","OG12491",0.3911,"All_OG"
"431","OG2296",0.2744,"All_OG"
"432","OG5275",0.0955,"All_OG"
"433","OG2370",0.1012,"All_OG"
"434","OG1844",0.0583,"All_OG"
"435","OG3468",0.13365,"All_OG"
"436","OG15438",0.252,"All_OG"
"437","OG10692",0.40565,"All_OG"
"438","OG1588",0.0491,"All_OG"
"439","OG10872",0.4124,"All_OG"
"440","OG3376",0.2946,"All_OG"
"441","OG7431",0.24095,"All_OG"
"442","OG9901",0.4186,"All_OG"
"443","OG1375",0.0747,"All_OG"
"444","OG4424",0.1943,"All_OG"
"445","OG13627",0.15585,"All_OG"
"446","OG11100",0.19765,"All_OG"
"447","OG3167",0.11275,"All_OG"
"448","OG8410",0.3415,"All_OG"
"449","OG2634",0.164,"All_OG"
"450","OG16064",0.2526,"All_OG"
"451","OG1826",0.228,"All_OG"
"452","OG4228",0.4361,"All_OG"
"453","OG10336",0.26415,"All_OG"
"454","OG4936",0.1936,"All_OG"
"455","OG14234",0.3358,"All_OG"
"456","OG2474",0.3958,"All_OG"
"457","OG9942",0.1852,"All_OG"
"458","OG10260",0.4906,"All_OG"
"459","OG16715",0.0364,"All_OG"
"460","OG3115",0.1375,"All_OG"
"461","OG6780",0.24025,"All_OG"
"462","OG10449",0.3841,"All_OG"
"463","OG16193",0.39575,"All_OG"
"464","OG12280",0.2038,"All_OG"
"465","OG4594",0.3898,"All_OG"
"466","OG9352",0.3103,"All_OG"
"467","OG4696",0.22,"All_OG"
"468","OG5238",0.3496,"All_OG"
"469","OG15644",0.1524,"All_OG"
"470","OG7192",0.28745,"All_OG"
"471","OG15100",0.2163,"All_OG"
"472","OG8173",0.2415,"All_OG"
"473","OG10701",0.098,"All_OG"
"474","OG4027",0.2964,"All_OG"
"475","OG11506",0.32375,"All_OG"
"476","OG9513",0.1631,"All_OG"
"477","OG15952",0.3227,"All_OG"
"478","OG6727",0.3945,"All_OG"
"479","OG10769",0.2537,"All_OG"
"480","OG4432",0.111,"All_OG"
"481","OG9089",0.4573,"All_OG"
"482","OG5841",0.2016,"All_OG"
"483","OG17269",0.2878,"All_OG"
"484","OG9252",0.2337,"All_OG"
"485","OG13952",0.3646,"All_OG"
"486","OG16101",0.2224,"All_OG"
"487","OG9079",0.2033,"All_OG"
"488","OG2694",0.1318,"All_OG"
"489","OG15036",0.0448,"All_OG"
"490","OG3884",0.3644,"All_OG"
"491","OG2681",0.1826,"All_OG"
"492","OG8552",0.31165,"All_OG"
"493","OG7676",0.4121,"All_OG"
"494","OG18377",0.4252,"All_OG"
"495","OG10396",0.1814,"All_OG"
"496","OG11289",0.21805,"All_OG"
"497","OG1404",0.1868,"All_OG"
"498","OG16631",0.19315,"All_OG"
"499","OG4375",0.0511,"All_OG"
"500","OG1525",0.06365,"All_OG"
"501","OG6997",0.24195,"All_OG"
"502","OG3085",0.2073,"All_OG"
"503","OG1871",0.0769,"All_OG"
"504","OG6216",0.1417,"All_OG"
"505","OG4140",0.0465,"All_OG"
"506","OG6879",0.3575,"All_OG"
"507","OG2515",0.0771,"All_OG"
"508","OG9405",0.2296,"All_OG"
"509","OG10628",0.0714,"All_OG"
"510","OG8266",0.1978,"All_OG"
"511","OG1412",0.1115,"All_OG"
"512","OG1890",0.23495,"All_OG"
"513","OG4423",0.03655,"All_OG"
"514","OG9184",0.3967,"All_OG"
"515","OG4346",0.228,"All_OG"
"516","OG8500",0.34405,"All_OG"
"517","OG9981",0.18875,"All_OG"
"518","OG13114",0.215,"All_OG"
"519","OG2881",0.166,"All_OG"
"520","OG6201",0.42735,"All_OG"
"521","OG16304",0.30725,"All_OG"
"522","OG14411",0.0979,"All_OG"
"523","OG4044",0.0944,"All_OG"
"524","OG9722",0.1808,"All_OG"
"525","OG5422",0.3701,"All_OG"
"526","OG10440",0.3239,"All_OG"
"527","OG13545",0.40855,"All_OG"
"528","OG17422",0.2197,"All_OG"
"529","OG3518",0.09345,"All_OG"
"530","OG8318",0.44145,"All_OG"
"531","OG5706",0.55185,"All_OG"
"532","OG2905",0.1626,"All_OG"
"533","OG8975",0.2317,"All_OG"
"534","OG6654",0.1506,"All_OG"
"535","OG1414",0.0781,"All_OG"
"536","OG5792",0.29475,"All_OG"
"537","OG12923",0.80485,"All_OG"
"538","OG15234",0.3916,"All_OG"
"539","OG8185",0.2357,"All_OG"
"540","OG6275",0.18355,"All_OG"
"541","OG4722",0.1379,"All_OG"
"542","OG13675",0.3012,"All_OG"
"543","OG4449",0.281,"All_OG"
"544","OG7491",0.3532,"All_OG"
"545","OG5935",0.18155,"All_OG"
"546","OG13225",0.38325,"All_OG"
"547","OG4316",0.2262,"All_OG"
"548","OG9397",0.3833,"All_OG"
"549","OG4340",0.2011,"All_OG"
"550","OG3926",0.12835,"All_OG"
"551","OG5693",0.3313,"All_OG"
"552","OG5225",0.2057,"All_OG"
"553","OG5302",0.1716,"All_OG"
"554","OG4126",0.2046,"All_OG"
"555","OG8711",0.27355,"All_OG"
"556","OG9011",0.15845,"All_OG"
"557","OG2540",0.1779,"All_OG"
"558","OG7945",0.29975,"All_OG"
"559","OG1666",0.2853,"All_OG"
"560","OG1811",0.1146,"All_OG"
"561","OG6474",0.4855,"All_OG"
"562","OG13906",0.42365,"All_OG"
"563","OG3320",0.3197,"All_OG"
"564","OG3186",0.3231,"All_OG"
"565","OG13127",0.1299,"All_OG"
"566","OG6022",0.30375,"All_OG"
"567","OG2473",0.1974,"All_OG"
"568","OG18375",0.26175,"All_OG"
"569","OG4903",0.1346,"All_OG"
"570","OG3702",0.117,"All_OG"
"571","OG9579",0.28015,"All_OG"
"572","OG4920",0.1411,"All_OG"
"573","OG2286",0.1229,"All_OG"
"574","OG12016",0.1936,"All_OG"
"575","OG8218",0.3661,"All_OG"
"576","OG3853",0.2541,"All_OG"
"577","OG15984",0.3551,"All_OG"
"578","OG2281",0.4036,"All_OG"
"579","OG2734",0.1847,"All_OG"
"580","OG9542",0.1031,"All_OG"
"581","OG3118",0.0926,"All_OG"
"582","OG9414",0.21105,"All_OG"
"583","OG1617",0.11685,"All_OG"
"584","OG15516",0.1056,"All_OG"
"585","OG4474",0.1096,"All_OG"
"586","OG1740",0.2264,"All_OG"
"587","OG5677",0.31155,"All_OG"
"588","OG7986",0.3939,"All_OG"
"589","OG1527",0.2576,"All_OG"
"590","OG4348",0.2024,"All_OG"
"591","OG15412",0.23015,"All_OG"
"592","OG17542",0.112,"All_OG"
"593","OG9923",0.2489,"All_OG"
"594","OG3121",0.1685,"All_OG"
"595","OG3615",0.0545,"All_OG"
"596","OG7208",0.22125,"All_OG"
"597","OG15137",0.0937,"All_OG"
"598","OG6827",0.09055,"All_OG"
"599","OG18212",0.29485,"All_OG"
"600","OG8271",0.4389,"All_OG"
"601","OG4351",0.1796,"All_OG"
"602","OG17426",0.1599,"All_OG"
"603","OG6898",0.1044,"All_OG"
"604","OG3531",0.177,"All_OG"
"605","OG17251",0.3426,"All_OG"
"606","OG2443",0.0718,"All_OG"
"607","OG1626",0.0434,"All_OG"
"608","OG5768",0.02645,"All_OG"
"609","OG11560",0.1458,"All_OG"
"610","OG1999",0.0902,"All_OG"
"611","OG5200",0.42145,"All_OG"
"612","OG6384",0.2294,"All_OG"
"613","OG1647",0.1872,"All_OG"
"614","OG3304",0.10835,"All_OG"
"615","OG2636",0.1022,"All_OG"
"616","OG16149",0.3069,"All_OG"
"617","OG3311",0.2051,"All_OG"
"618","OG15963",0.5299,"All_OG"
"619","OG10243",0.3881,"All_OG"
"620","OG7063",0.2898,"All_OG"
"621","OG5357",0.1719,"All_OG"
"622","OG1926",0.0828,"All_OG"
"623","OG2978",0.2897,"All_OG"
"624","OG2250",0.0681,"All_OG"
"625","OG17623",0.0849,"All_OG"
"626","OG2230",0.13355,"All_OG"
"627","OG16021",0.2409,"All_OG"
"628","OG3771",0.052,"All_OG"
"629","OG1763",0.0429,"All_OG"
"630","OG1614",0.1948,"All_OG"
"631","OG3843",0.2348,"All_OG"
"632","OG5268",0.13505,"All_OG"
"633","OG1282",0.3094,"All_OG"
"634","OG6050",0.2769,"All_OG"
"635","OG17864",0.34225,"All_OG"
"636","OG13940",0.22,"All_OG"
"637","OG14508",0.35095,"All_OG"
"638","OG14774",0.1513,"All_OG"
"639","OG3409",0.3159,"All_OG"
"640","OG4494",0.1838,"All_OG"
"641","OG7559",0.17,"All_OG"
"642","OG6502",0.4602,"All_OG"
"643","OG1583",0.1002,"All_OG"
"644","OG15096",0.2444,"All_OG"
"645","OG4133",0.1529,"All_OG"
"646","OG10876",0.1558,"All_OG"
"647","OG7932",0.02945,"All_OG"
"648","OG7613",0.1926,"All_OG"
"649","OG13515",0.194,"All_OG"
"650","OG9926",0.0963,"All_OG"
"651","OG18061",0.0476,"All_OG"
"652","OG2485",0.0935,"All_OG"
"653","OG13961",0.3167,"All_OG"
"654","OG3973",0.0876,"All_OG"
"655","OG4509",0.0637,"All_OG"
"656","OG4556",0.3188,"All_OG"
"657","OG8642",0.2976,"All_OG"
"658","OG1817",0.0645,"All_OG"
"659","OG14657",0.31175,"All_OG"
"660","OG6082",0.303,"All_OG"
"661","OG5015",0.158,"All_OG"
"662","OG8231",0.1085,"All_OG"
"663","OG1954",0.1121,"All_OG"
"664","OG5970",0.3285,"All_OG"
"665","OG7119",0.2589,"All_OG"
"666","OG1358",0.1112,"All_OG"
"667","OG6980",0.43265,"All_OG"
"668","OG1903",0.2444,"All_OG"
"669","OG15051",0.2283,"All_OG"
"670","OG11565",0.3388,"All_OG"
"671","OG13146",0.24015,"All_OG"
"672","OG15831",0.34215,"All_OG"
"673","OG4748",0.4061,"All_OG"
"674","OG8954",0.2233,"All_OG"
"675","OG13554",0.2396,"All_OG"
"676","OG2732",0.2005,"All_OG"
"677","OG2339",0.0295,"All_OG"
"678","OG3901",0.193,"All_OG"
"679","OG13907",0.1117,"All_OG"
"680","OG5094",0.27675,"All_OG"
"681","OG2306",0.372,"All_OG"
"682","OG8843",0.3475,"All_OG"
"683","OG4886",0.4821,"All_OG"
"684","OG11616",0.0614,"All_OG"
"685","OG10272",0.3349,"All_OG"
"686","OG15383",0.26515,"All_OG"
"687","OG9300",0.16115,"All_OG"
"688","OG14168",0.3604,"All_OG"
"689","OG1843",0.0611,"All_OG"
"690","OG3246",0.1307,"All_OG"
"691","OG7426",0.3734,"All_OG"
"692","OG6181",0.31795,"All_OG"
"693","OG2196",0.198,"All_OG"
"694","OG2689",0.3257,"All_OG"
"695","OG4035",0.0793,"All_OG"
"696","OG8887",0.3392,"All_OG"
"697","OG7432",0.2604,"All_OG"
"698","OG14684",0.4089,"All_OG"
"699","OG7344",0.25535,"All_OG"
"700","OG9224",0.2182,"All_OG"
