"X1"	"OG"	"dN_dS"	"species_num"	"protein_num"	"average_duplicate"	"group"
34	"OG9918"	0.40945	21	23	1.095238095	"g2"
35	"OG7604"	0.23955	48	48	1	"g2"
36	"OG3371"	0.2698	310	316	1.019354839	"g7"
37	"OG17582"	0.25245	7	7	1	"g1"
38	"OG16467"	0.0973	8	8	1	"g1"
39	"OG8533"	0.27865	33	34	1.03030303	"g2"
40	"OG15711"	0.1564	8	8	1	"g1"
41	"OG18627"	0.285	7	7	1	"g1"
42	"OG9335"	0.3999	28	28	1	"g2"
43	"OG11359"	0.2163	16	16	1	"g2"
44	"OG11025"	0.0179	16	17	1.0625	"g2"
45	"OG7126"	0.2172	56	57	1.017857143	"g3"
46	"OG8119"	0.1483	38	39	1.026315789	"g2"
47	"OG3718"	0.1981	295	303	1.027118644	"g7"
48	"OG8941"	0.3022	31	31	1	"g2"
49	"OG16083"	0.0914	8	8	1	"g1"
50	"OG8383"	0.287	36	36	1	"g2"
51	"OG2818"	0.14165	327	331	1.012232416	"g7"
52	"OG6573"	0.1777	69	69	1	"g3"
53	"OG1308"	0.0482	315	381	1.20952381	"g7"
54	"OG4278"	0.468	266	267	1.003759398	"g7"
55	"OG2164"	0.1217	337	343	1.017804154	"g7"
56	"OG14748"	0.3348	9	9	1	"g1"
57	"OG3532"	0.2489	307	311	1.013029316	"g7"
58	"OG5137"	0.376	169	170	1.00591716	"g5"
59	"OG2649"	0.1815	332	335	1.009036145	"g7"
60	"OG12195"	0.2492	12	13	1.083333333	"g2"
61	"OG13695"	0.248	10	10	1	"g1"
62	"OG14549"	0.243	9	9	1	"g1"
63	"OG15427"	0.2745	9	9	1	"g1"
64	"OG5927"	0.4498	90	90	1	"g3"
65	"OG9626"	0.35305	24	25	1.041666667	"g2"
66	"OG1370"	0.1212	335	371	1.107462687	"g7"
67	"OG12828"	0.3775	12	12	1	"g2"
68	"OG5962"	0.2202	89	89	1	"g3"
69	"OG13284"	0.1326	11	11	1	"g2"
70	"OG16078"	0.0833	8	8	1	"g1"
71	"OG12748"	0.2856	12	12	1	"g2"
72	"OG5191"	0.2767	159	162	1.018867925	"g5"
73	"OG13289"	0.2461	10	11	1.1	"g1"
74	"OG18026"	0.0915	7	7	1	"g1"
75	"OG11403"	0.27895	15	16	1.066666667	"g2"
76	"OG2971"	0.2733	327	328	1.003058104	"g7"
77	"OG1325"	0.0266	331	377	1.13897281	"g7"
78	"OG8269"	0.2627	36	37	1.027777778	"g2"
79	"OG12406"	0.2606	13	13	1	"g2"
80	"OG10096"	0.2218	20	22	1.1	"g2"
81	"OG10331"	0.3393	16	21	1.3125	"g2"
82	"OG6914"	0.2905	61	62	1.016393443	"g3"
83	"OG4195"	0.2422	273	274	1.003663004	"g7"
84	"OG2942"	0.0672	329	329	1	"g7"
85	"OG12647"	0.43355	10	12	1.2	"g1"
86	"OG6621"	0.21875	68	68	1	"g3"
87	"OG11967"	0.1871	14	14	1	"g2"
88	"OG14236"	0.2525	10	10	1	"g1"
89	"OG11140"	0.46245	17	17	1	"g2"
90	"OG18278"	0.19575	7	7	1	"g1"
91	"OG6443"	0.2665	71	72	1.014084507	"g3"
92	"OG3847"	0.12445	238	296	1.243697479	"g6"
93	"OG16006"	0.4328	8	8	1	"g1"
94	"OG9712"	0.3696	25	25	1	"g2"
95	"OG14618"	0.24155	9	9	1	"g1"
96	"OG17537"	0.3244	7	7	1	"g1"
97	"OG18707"	0.1873	7	7	1	"g1"
98	"OG11110"	0.34965	17	17	1	"g2"
99	"OG14589"	0.2072	8	9	1.125	"g1"
100	"OG6076"	0.1684	85	85	1	"g3"
101	"OG4065"	0.1824	279	283	1.014336918	"g7"
102	"OG5269"	0.3555	150	152	1.013333333	"g4"
103	"OG9688"	0.32875	24	25	1.041666667	"g2"
104	"OG16163"	0.18595	7	8	1.142857143	"g1"
105	"OG8548"	0.252	34	34	1	"g2"
106	"OG8373"	0.0732	35	36	1.028571429	"g2"
107	"OG8532"	0.3999	34	34	1	"g2"
108	"OG6021"	0.3317	87	87	1	"g3"
109	"OG6152"	0.30375	82	82	1	"g3"
110	"OG17417"	0.2312	7	7	1	"g1"
111	"OG3276"	0.0492	312	319	1.022435897	"g7"
112	"OG11344"	0.4019	14	16	1.142857143	"g2"
113	"OG1444"	0.04905	331	363	1.096676737	"g7"
114	"OG4759"	0.1398	213	222	1.042253521	"g6"
115	"OG11457"	0.2165	16	16	1	"g2"
116	"OG8093"	0.3928	40	40	1	"g2"
117	"OG13134"	0.3209	10	11	1.1	"g1"
118	"OG7091"	0.3224	45	58	1.288888889	"g2"
119	"OG17540"	0.2606	7	7	1	"g1"
120	"OG15382"	0.195	9	9	1	"g1"
121	"OG4653"	0.1382	233	236	1.012875536	"g6"
122	"OG15687"	0.2473	8	8	1	"g1"
123	"OG8315"	0.1801	36	36	1	"g2"
124	"OG17522"	0.1514	7	7	1	"g1"
125	"OG14081"	0.2359	8	10	1.25	"g1"
126	"OG12281"	0.3412	13	13	1	"g2"
127	"OG8498"	0.3018	35	35	1	"g2"
128	"OG16156"	0.45345	8	8	1	"g1"
129	"OG16196"	0.33815	8	8	1	"g1"
130	"OG4699"	0.3591	226	229	1.013274336	"g6"
131	"OG16231"	0.1953	8	8	1	"g1"
132	"OG5446"	0.3018	127	127	1	"g4"
133	"OG6283"	0.1561	73	76	1.04109589	"g3"
134	"OG16183"	0.1989	8	8	1	"g1"
135	"OG4175"	0.2673	243	275	1.131687243	"g6"
136	"OG3415"	0.2576	309	315	1.019417476	"g7"
137	"OG14028"	0.34225	10	10	1	"g1"
138	"OG5827"	0.4134	93	93	1	"g3"
139	"OG8692"	0.0818	33	33	1	"g2"
140	"OG1314"	0.179	341	379	1.11143695	"g7"
141	"OG1934"	0.1059	332	346	1.042168675	"g7"
142	"OG14560"	0.1562	9	9	1	"g1"
143	"OG13839"	0.3317	10	10	1	"g1"
144	"OG10641"	0.3529	14	19	1.357142857	"g2"
145	"OG16332"	0.2371	7	8	1.142857143	"g1"
146	"OG8684"	0.3915	32	33	1.03125	"g2"
147	"OG2894"	0.191	326	330	1.012269939	"g7"
148	"OG11224"	0.1758	17	17	1	"g2"
149	"OG9757"	0.2042	24	24	1	"g2"
150	"OG8227"	0.1191	37	37	1	"g2"
151	"OG4639"	0.3654	234	237	1.012820513	"g6"
152	"OG5814"	0.1645	93	93	1	"g3"
153	"OG14848"	0.2007	9	9	1	"g1"
154	"OG11747"	0.0628	14	15	1.071428571	"g2"
155	"OG3861"	0.1193	288	295	1.024305556	"g7"
156	"OG5444"	0.13045	128	128	1	"g4"
157	"OG14494"	0.11675	9	9	1	"g1"
158	"OG5629"	0.2582	103	105	1.019417476	"g4"
159	"OG8454"	0.1491	34	35	1.029411765	"g2"
160	"OG1637"	0.0613	338	352	1.041420118	"g7"
161	"OG9005"	0.09785	30	30	1	"g2"
162	"OG14397"	0.2013	9	9	1	"g1"
163	"OG8251"	0.3088	37	37	1	"g2"
164	"OG1465"	0.03	334	362	1.083832335	"g7"
165	"OG10151"	0.33075	22	22	1	"g2"
166	"OG6976"	0.08775	60	61	1.016666667	"g3"
167	"OG9650"	0.25815	25	25	1	"g2"
168	"OG6454"	0.27175	72	72	1	"g3"
169	"OG2047"	0.11145	326	345	1.058282209	"g7"
170	"OG7727"	0.2781	30	46	1.533333333	"g2"
171	"OG14448"	0.2296	9	9	1	"g1"
172	"OG15417"	0.2772	9	9	1	"g1"
173	"OG17401"	0.13855	7	7	1	"g1"
174	"OG11789"	0.3276	15	15	1	"g2"
175	"OG10559"	0.2011	20	20	1	"g2"
176	"OG16685"	0.31925	8	8	1	"g1"
177	"OG7385"	0.0708	52	52	1	"g3"
178	"OG17177"	0.3557	7	7	1	"g1"
179	"OG3310"	0.1663	309	318	1.029126214	"g7"
180	"OG4790"	0.1861	216	218	1.009259259	"g6"
181	"OG18358"	0.2818	7	7	1	"g1"
182	"OG13173"	0.1091	11	11	1	"g2"
183	"OG3145"	0.1432	304	323	1.0625	"g7"
184	"OG1750"	0.09755	342	349	1.020467836	"g7"
185	"OG8755"	0.2056	31	32	1.032258065	"g2"
186	"OG5816"	0.20565	93	93	1	"g3"
187	"OG7670"	0.4192	44	47	1.068181818	"g2"
188	"OG5021"	0.1192	142	186	1.309859155	"g4"
189	"OG8937"	0.1903	30	31	1.033333333	"g2"
190	"OG4159"	0.1912	275	277	1.007272727	"g7"
191	"OG6882"	0.2654	58	62	1.068965517	"g3"
192	"OG15320"	0.2621	9	9	1	"g1"
193	"OG11051"	0.4164	17	17	1	"g2"
194	"OG10852"	0.2758	18	18	1	"g2"
195	"OG4464"	0.4249	249	252	1.012048193	"g6"
196	"OG2878"	0.149	325	330	1.015384615	"g7"
197	"OG2165"	0.1512	339	343	1.01179941	"g7"
198	"OG16719"	0.1571	7	8	1.142857143	"g1"
199	"OG4400"	0.2253	256	258	1.0078125	"g7"
200	"OG10012"	0.3492	23	23	1	"g2"
201	"OG6281"	0.0707	55	77	1.4	"g3"
202	"OG2415"	0.3245	326	339	1.039877301	"g7"
203	"OG2345"	0.3635	325	340	1.046153846	"g7"
204	"OG2266"	0.2018	336	342	1.017857143	"g7"
205	"OG9396"	0.2242	25	27	1.08	"g2"
206	"OG9905"	0.3091	23	23	1	"g2"
207	"OG1453"	0.05605	342	363	1.061403509	"g7"
208	"OG17095"	0.3396	7	7	1	"g1"
209	"OG4089"	0.1591	279	282	1.010752688	"g7"
210	"OG18534"	0.4193	7	7	1	"g1"
211	"OG8464"	0.4323	34	35	1.029411765	"g2"
212	"OG10810"	0.2899	18	18	1	"g2"
213	"OG8128"	0.3515	38	39	1.026315789	"g2"
214	"OG12487"	0.1983	11	12	1.090909091	"g2"
215	"OG4404"	0.3671	253	257	1.015810277	"g7"
216	"OG11440"	0.1768	16	16	1	"g2"
217	"OG6862"	0.21405	61	63	1.032786885	"g3"
218	"OG7233"	0.27545	54	55	1.018518519	"g3"
219	"OG15037"	0.2815	9	9	1	"g1"
220	"OG2992"	0.1623	320	327	1.021875	"g7"
221	"OG16397"	0.18195	8	8	1	"g1"
222	"OG9230"	0.2699	29	29	1	"g2"
223	"OG13248"	0.1591	10	11	1.1	"g1"
224	"OG4244"	0.1074	267	270	1.011235955	"g7"
225	"OG18178"	0.3994	7	7	1	"g1"
226	"OG11704"	0.1967	14	15	1.071428571	"g2"
227	"OG5276"	0.2609	150	151	1.006666667	"g4"
228	"OG15150"	0.267	9	9	1	"g1"
229	"OG3362"	0.0891	312	316	1.012820513	"g7"
230	"OG15920"	0.2191	8	8	1	"g1"
231	"OG4680"	0.1378	204	231	1.132352941	"g6"
232	"OG7035"	0.35965	58	59	1.017241379	"g3"
233	"OG5338"	0.0942	115	144	1.252173913	"g4"
234	"OG4269"	0.2117	265	268	1.011320755	"g7"
235	"OG12350"	0.2575	13	13	1	"g2"
236	"OG13690"	0.1816	9	10	1.111111111	"g1"
237	"OG2598"	0.2298	333	336	1.009009009	"g7"
238	"OG8133"	0.3402	39	39	1	"g2"
239	"OG13320"	0.4421	11	11	1	"g2"
240	"OG7770"	0.2905	44	45	1.022727273	"g2"
241	"OG2186"	0.1299	339	343	1.01179941	"g7"
242	"OG10760"	0.30845	19	19	1	"g2"
243	"OG13090"	0.2736	10	11	1.1	"g1"
244	"OG16024"	0.31365	8	8	1	"g1"
245	"OG17390"	0.0388	7	7	1	"g1"
246	"OG5567"	0.1064	100	111	1.11	"g3"
247	"OG8032"	0.1504	40	41	1.025	"g2"
248	"OG4452"	0.2216	250	253	1.012	"g6"
249	"OG14837"	0.3469	9	9	1	"g1"
250	"OG6110"	0.1833	84	84	1	"g3"
251	"OG7510"	0.42625	49	50	1.020408163	"g2"
252	"OG16088"	0.35895	8	8	1	"g1"
253	"OG9383"	0.4313	27	27	1	"g2"
254	"OG18153"	0.0944	7	7	1	"g1"
255	"OG18391"	0.3378	7	7	1	"g1"
256	"OG9117"	0.1754	23	29	1.260869565	"g2"
257	"OG15750"	0.37445	8	8	1	"g1"
258	"OG9020"	0.20635	30	30	1	"g2"
259	"OG18004"	0.3371	7	7	1	"g1"
260	"OG1408"	0.09775	337	367	1.089020772	"g7"
261	"OG14799"	0.1873	9	9	1	"g1"
262	"OG4758"	0.1783	218	222	1.018348624	"g6"
263	"OG2578"	0.2313	334	336	1.005988024	"g7"
264	"OG5487"	0.3429	118	122	1.033898305	"g4"
265	"OG7401"	0.2407	52	52	1	"g3"
266	"OG8262"	0.06545	30	37	1.233333333	"g2"
267	"OG5864"	0.3659	88	91	1.034090909	"g3"
268	"OG6059"	0.1613	68	85	1.25	"g3"
269	"OG7803"	0.2349	44	44	1	"g2"
270	"OG8525"	0.3312	34	34	1	"g2"
271	"OG4539"	0.2493	243	246	1.012345679	"g6"
272	"OG2891"	0.14105	320	330	1.03125	"g7"
273	"OG7328"	0.495	52	53	1.019230769	"g3"
274	"OG12444"	0.50925	13	13	1	"g2"
275	"OG15451"	0.46025	9	9	1	"g1"
276	"OG12507"	0.2803	9	12	1.333333333	"g1"
277	"OG8398"	0.34265	35	35	1	"g2"
278	"OG6726"	0.2032	66	66	1	"g3"
279	"OG5113"	0.2355	173	174	1.005780347	"g5"
280	"OG5175"	0.34195	162	165	1.018518519	"g5"
281	"OG8676"	0.4008	33	33	1	"g2"
282	"OG5979"	0.1584	85	88	1.035294118	"g3"
283	"OG17439"	0.1866	7	7	1	"g1"
284	"OG14463"	0.3944	9	9	1	"g1"
285	"OG7505"	0.1475	49	50	1.020408163	"g2"
286	"OG10734"	0.2119	19	19	1	"g2"
287	"OG4198"	0.2263	272	273	1.003676471	"g7"
288	"OG14912"	0.1897	9	9	1	"g1"
289	"OG9848"	0.2936	24	24	1	"g2"
290	"OG6367"	0.2527	74	74	1	"g3"
291	"OG2628"	0.1714	329	335	1.018237082	"g7"
292	"OG5142"	0.2205	164	169	1.030487805	"g5"
293	"OG16831"	0.2983	8	8	1	"g1"
294	"OG8867"	0.33525	32	32	1	"g2"
295	"OG14788"	0.2234	9	9	1	"g1"
296	"OG10866"	0.2892	18	18	1	"g2"
297	"OG6766"	0.29255	64	65	1.015625	"g3"
298	"OG7718"	0.3482	46	46	1	"g2"
299	"OG8971"	0.3641	31	31	1	"g2"
300	"OG4609"	0.1172	239	240	1.0041841	"g6"
301	"OG14405"	0.22625	8	9	1.125	"g1"
302	"OG10125"	0.2119	22	22	1	"g2"
303	"OG16638"	0.0682	8	8	1	"g1"
304	"OG15477"	0.1713	9	9	1	"g1"
305	"OG2495"	0.08335	334	338	1.011976048	"g7"
306	"OG3635"	0.2005	304	306	1.006578947	"g7"
307	"OG17186"	0.32335	7	7	1	"g1"
308	"OG7833"	0.1862	44	44	1	"g2"
309	"OG3637"	0.2329	304	306	1.006578947	"g7"
310	"OG11796"	0.1812	15	15	1	"g2"
311	"OG1652"	0.1788	339	352	1.038348083	"g7"
312	"OG9922"	0.3691	23	23	1	"g2"
313	"OG2828"	0.0701	327	331	1.012232416	"g7"
314	"OG10617"	0.4552	19	19	1	"g2"
315	"OG2465"	0.0838	325	338	1.04	"g7"
316	"OG13813"	0.4229	10	10	1	"g1"
317	"OG16202"	0.2612	8	8	1	"g1"
318	"OG14273"	0.2784	10	10	1	"g1"
319	"OG4485"	0.1373	246	250	1.016260163	"g6"
320	"OG13730"	0.1059	9	10	1.111111111	"g1"
322	"OG3647"	0.1915	303	306	1.00990099	"g7"
323	"OG12654"	0.33765	12	12	1	"g2"
324	"OG16717"	0.0997	8	8	1	"g1"
325	"OG17973"	0.0594	7	7	1	"g1"
326	"OG18258"	0.13875	7	7	1	"g1"
327	"OG16772"	0.1919	8	8	1	"g1"
328	"OG10046"	0.1674	23	23	1	"g2"
329	"OG3354"	0.14565	315	317	1.006349206	"g7"
330	"OG14810"	0.2429	9	9	1	"g1"
331	"OG2706"	0.1752	330	334	1.012121212	"g7"
332	"OG16506"	0.0156	8	8	1	"g1"
333	"OG3001"	0.2232	323	327	1.012383901	"g7"
334	"OG10329"	0.0817	15	21	1.4	"g2"
335	"OG5288"	0.12155	145	150	1.034482759	"g4"
336	"OG3501"	0.3331	310	312	1.006451613	"g7"
337	"OG5544"	0.26885	110	114	1.036363636	"g4"
338	"OG8171"	0.169	35	38	1.085714286	"g2"
339	"OG7347"	0.39625	52	53	1.019230769	"g3"
340	"OG12517"	0.42265	12	12	1	"g2"
341	"OG13421"	0.3944	11	11	1	"g2"
342	"OG1777"	0.01225	343	349	1.017492711	"g7"
343	"OG3968"	0.1544	278	289	1.039568345	"g7"
344	"OG8457"	0.3021	28	35	1.25	"g2"
345	"OG2006"	0.186	338	345	1.020710059	"g7"
346	"OG8176"	0.3933	38	38	1	"g2"
347	"OG8653"	0.1345	31	33	1.064516129	"g2"
348	"OG9026"	0.2564	28	30	1.071428571	"g2"
349	"OG14461"	0.3395	9	9	1	"g1"
350	"OG3028"	0.2705	323	326	1.009287926	"g7"
351	"OG17581"	0.0436	7	7	1	"g1"
352	"OG18152"	0.3009	7	7	1	"g1"
353	"OG12636"	0.3718	12	12	1	"g2"
354	"OG6064"	0.28045	85	85	1	"g3"
355	"OG9161"	0.6642	25	29	1.16	"g2"
356	"OG14298"	0.4795	10	10	1	"g1"
357	"OG14266"	0.1668	10	10	1	"g1"
358	"OG12243"	0.2476	13	13	1	"g2"
359	"OG1246"	0.0989	342	399	1.166666667	"g7"
360	"OG14672"	0.252	8	9	1.125	"g1"
361	"OG5817"	0.5031	93	93	1	"g3"
362	"OG18466"	0.4796	7	7	1	"g1"
363	"OG11719"	0.2072	15	15	1	"g2"
364	"OG2476"	0.29405	330	338	1.024242424	"g7"
365	"OG9670"	0.41115	21	25	1.19047619	"g2"
366	"OG6349"	0.3348	73	74	1.01369863	"g3"
367	"OG17103"	0.40175	7	7	1	"g1"
368	"OG13531"	0.2649	10	10	1	"g1"
369	"OG2579"	0.1078	334	336	1.005988024	"g7"
370	"OG16097"	0.1136	8	8	1	"g1"
371	"OG5108"	0.2129	167	175	1.047904192	"g5"
372	"OG12622"	0.2338	12	12	1	"g2"
373	"OG7113"	0.2855	55	57	1.036363636	"g3"
374	"OG6771"	0.35455	64	65	1.015625	"g3"
375	"OG2145"	0.1593	341	344	1.008797654	"g7"
376	"OG1758"	0.1262	343	349	1.017492711	"g7"
377	"OG5488"	0.3292	119	122	1.025210084	"g4"
378	"OG5633"	0.18685	100	104	1.04	"g3"
379	"OG5036"	0.6312	177	185	1.04519774	"g5"
380	"OG1812"	0.02725	342	348	1.01754386	"g7"
381	"OG12929"	0.32025	12	12	1	"g2"
382	"OG12627"	0.2399	12	12	1	"g2"
383	"OG17324"	0.4009	7	7	1	"g1"
384	"OG5495"	0.1517	113	121	1.07079646	"g4"
385	"OG18333"	0.377	7	7	1	"g1"
386	"OG4286"	0.2263	263	267	1.015209125	"g7"
387	"OG9497"	0.2078	26	26	1	"g2"
388	"OG3275"	0.1952	317	319	1.006309148	"g7"
389	"OG17347"	0.2064	7	7	1	"g1"
390	"OG5720"	0.41805	97	99	1.020618557	"g3"
391	"OG8715"	0.1753	33	33	1	"g2"
392	"OG9063"	0.1992	30	30	1	"g2"
393	"OG12018"	0.49845	13	14	1.076923077	"g2"
394	"OG15673"	0.4878	8	8	1	"g1"
395	"OG16698"	0.25945	8	8	1	"g1"
396	"OG15389"	0.0381	9	9	1	"g1"
397	"OG7598"	0.2125	46	48	1.043478261	"g2"
398	"OG1689"	0.10195	329	351	1.066869301	"g7"
399	"OG6937"	0.2681	60	61	1.016666667	"g3"
400	"OG4479"	0.1147	248	251	1.012096774	"g6"
401	"OG16613"	0.29135	8	8	1	"g1"
402	"OG5433"	0.18395	120	130	1.083333333	"g4"
403	"OG15542"	0.09705	9	9	1	"g1"
404	"OG11432"	0.27495	16	16	1	"g2"
405	"OG4297"	0.0552	264	266	1.007575758	"g7"
406	"OG4793"	0.1176	215	218	1.013953488	"g6"
407	"OG4450"	0.2336	251	253	1.007968127	"g7"
408	"OG12538"	0.3021	12	12	1	"g2"
409	"OG3189"	0.1168	321	322	1.003115265	"g7"
410	"OG1335"	0.1171	340	375	1.102941176	"g7"
411	"OG13228"	1.75655	10	11	1.1	"g1"
412	"OG1572"	0.016	325	355	1.092307692	"g7"
413	"OG8972"	0.3018	31	31	1	"g2"
414	"OG3638"	0.2269	304	306	1.006578947	"g7"
415	"OG15399"	0.3189	9	9	1	"g1"
416	"OG10270"	0.2412	21	21	1	"g2"
417	"OG4514"	0.24905	242	248	1.024793388	"g6"
418	"OG6806"	0.4075	64	64	1	"g3"
419	"OG11939"	0.498	8	14	1.75	"g1"
420	"OG10432"	0.31975	19	20	1.052631579	"g2"
421	"OG16092"	0.38725	8	8	1	"g1"
422	"OG9748"	0.1646	24	24	1	"g2"
423	"OG6239"	0.212	74	78	1.054054054	"g3"
424	"OG15758"	0.33305	8	8	1	"g1"
425	"OG12537"	0.1709	12	12	1	"g2"
426	"OG7908"	0.3465	43	43	1	"g2"
427	"OG8081"	0.1133	40	40	1	"g2"
428	"OG17202"	0.35585	7	7	1	"g1"
429	"OG9762"	0.4155	24	24	1	"g2"
430	"OG12491"	0.3911	12	12	1	"g2"
431	"OG2296"	0.2744	332	341	1.027108434	"g7"
432	"OG5275"	0.0955	133	151	1.135338346	"g4"
433	"OG2370"	0.1012	334	340	1.017964072	"g7"
434	"OG1844"	0.0583	334	348	1.041916168	"g7"
435	"OG3468"	0.13365	308	313	1.016233766	"g7"
436	"OG15438"	0.252	9	9	1	"g1"
437	"OG10692"	0.40565	19	19	1	"g2"
438	"OG1588"	0.0491	317	354	1.116719243	"g7"
439	"OG10872"	0.4124	18	18	1	"g2"
440	"OG3376"	0.2946	310	316	1.019354839	"g7"
441	"OG7431"	0.24095	51	51	1	"g3"
442	"OG9901"	0.4186	23	23	1	"g2"
443	"OG1375"	0.0747	248	371	1.495967742	"g6"
444	"OG4424"	0.1943	244	255	1.045081967	"g6"
445	"OG13627"	0.15585	10	10	1	"g1"
446	"OG11100"	0.19765	13	17	1.307692308	"g2"
447	"OG3167"	0.11275	317	323	1.018927445	"g7"
448	"OG8410"	0.3415	34	35	1.029411765	"g2"
449	"OG2634"	0.164	332	335	1.009036145	"g7"
450	"OG16064"	0.2526	8	8	1	"g1"
451	"OG1826"	0.228	339	348	1.026548673	"g7"
452	"OG4228"	0.4361	265	271	1.022641509	"g7"
453	"OG10336"	0.26415	21	21	1	"g2"
454	"OG4936"	0.1936	194	198	1.020618557	"g5"
455	"OG14234"	0.3358	10	10	1	"g1"
456	"OG2474"	0.3958	330	338	1.024242424	"g7"
457	"OG9942"	0.1852	22	23	1.045454545	"g2"
458	"OG10260"	0.4906	19	21	1.105263158	"g2"
459	"OG16715"	0.0364	8	8	1	"g1"
460	"OG3115"	0.1375	318	324	1.018867925	"g7"
461	"OG6780"	0.24025	62	65	1.048387097	"g3"
462	"OG10449"	0.3841	17	20	1.176470588	"g2"
463	"OG16193"	0.39575	8	8	1	"g1"
464	"OG12280"	0.2038	13	13	1	"g2"
465	"OG4594"	0.3898	238	242	1.016806723	"g6"
466	"OG9352"	0.3103	26	27	1.038461538	"g2"
467	"OG4696"	0.22	226	230	1.017699115	"g6"
468	"OG5238"	0.3496	155	156	1.006451613	"g5"
469	"OG15644"	0.1524	8	8	1	"g1"
470	"OG7192"	0.28745	55	56	1.018181818	"g3"
471	"OG15100"	0.2163	9	9	1	"g1"
472	"OG8173"	0.2415	36	38	1.055555556	"g2"
473	"OG10701"	0.098	19	19	1	"g2"
474	"OG4027"	0.2964	278	286	1.028776978	"g7"
475	"OG11506"	0.32375	15	15	1	"g2"
476	"OG9513"	0.1631	25	26	1.04	"g2"
477	"OG15952"	0.3227	8	8	1	"g1"
478	"OG6727"	0.3945	66	66	1	"g3"
479	"OG10769"	0.2537	19	19	1	"g2"
480	"OG4432"	0.111	250	255	1.02	"g6"
481	"OG9089"	0.4573	29	30	1.034482759	"g2"
482	"OG5841"	0.2016	92	92	1	"g3"
483	"OG17269"	0.2878	7	7	1	"g1"
484	"OG9252"	0.2337	28	28	1	"g2"
485	"OG13952"	0.3646	10	10	1	"g1"
486	"OG16101"	0.2224	8	8	1	"g1"
487	"OG9079"	0.2033	30	30	1	"g2"
488	"OG2694"	0.1318	332	334	1.006024096	"g7"
489	"OG15036"	0.0448	9	9	1	"g1"
490	"OG3884"	0.3644	288	294	1.020833333	"g7"
491	"OG2681"	0.1826	330	334	1.012121212	"g7"
492	"OG8552"	0.31165	34	34	1	"g2"
493	"OG7676"	0.4121	47	47	1	"g2"
494	"OG18377"	0.4252	7	7	1	"g1"
495	"OG10396"	0.1814	21	21	1	"g2"
496	"OG11289"	0.21805	16	16	1	"g2"
497	"OG1404"	0.1868	328	367	1.118902439	"g7"
498	"OG16631"	0.19315	8	8	1	"g1"
499	"OG4375"	0.0511	256	259	1.01171875	"g7"
500	"OG1525"	0.06365	341	357	1.046920821	"g7"
501	"OG6997"	0.24195	59	60	1.016949153	"g3"
502	"OG3085"	0.2073	321	325	1.012461059	"g7"
503	"OG1871"	0.0769	343	347	1.011661808	"g7"
504	"OG6216"	0.1417	64	79	1.234375	"g3"
505	"OG4140"	0.0465	276	278	1.007246377	"g7"
506	"OG6879"	0.3575	62	62	1	"g3"
507	"OG2515"	0.0771	332	337	1.015060241	"g7"
508	"OG9405"	0.2296	27	27	1	"g2"
509	"OG10628"	0.0714	19	19	1	"g2"
510	"OG8266"	0.1978	34	37	1.088235294	"g2"
511	"OG1412"	0.1115	341	367	1.076246334	"g7"
512	"OG1890"	0.23495	343	347	1.011661808	"g7"
513	"OG4423"	0.03655	255	256	1.003921569	"g7"
514	"OG9184"	0.3967	28	29	1.035714286	"g2"
515	"OG4346"	0.228	257	262	1.019455253	"g7"
516	"OG8500"	0.34405	34	35	1.029411765	"g2"
517	"OG9981"	0.18875	23	23	1	"g2"
