"X1"	"OG"	"dN_dS"	"representative"	"locus"	"positive_num"	"uniprotID"	"geneID"
297	"OG6766"	0.29255	"Saccharomyces_cerevisiae@YJL016W"	"YJL016W"	NA	"P47072"	"YJB6"
298	"OG7718"	0.3482	"Saccharomyces_cerevisiae@YDR219C"	"YDR219C"	NA	"Q04922"	"MFB1"
302	"OG10125"	0.2119	"Saccharomyces_cerevisiae@YNR062C"	"YNR062C"	NA	"P53748"	"YN91"
305	"OG2495"	0.08335	"Saccharomyces_cerevisiae@YGL125W"	"YGL125W"	NA	"P53128"	"MTHR2"
306	"OG3635"	0.2005	"Saccharomyces_cerevisiae@YHR147C"	"YHR147C"	1	"P32904"	"RM06"
309	"OG3637"	0.2329	"Saccharomyces_cerevisiae@YKL206C"	"YKL206C"	NA	"P36040"	"POC2"
311	"OG1652"	0.1788	"Saccharomyces_cerevisiae@YDL240W"	"YDL240W"	NA	"P35688"	"LRG1"
313	"OG2828"	0.0701	"Saccharomyces_cerevisiae@YOR210W"	"YOR210W"	NA	"P22139"	"RPAB5"
315	"OG2465"	0.0838	"Saccharomyces_cerevisiae@YLR056W"	"YLR056W"	NA	"P32353"	"ERG3"
319	"OG4485"	0.1373	"Saccharomyces_cerevisiae@YDR519W"	"YDR519W"	NA	"P32472"	"FKBP2"
322	"OG3647"	0.1915	"Saccharomyces_cerevisiae@YKR074W"	"YKR074W"	NA	"P36154"	"AIM29"
329	"OG3354"	0.14565	"Saccharomyces_cerevisiae@YPR131C"	"YPR131C"	NA	"Q06504"	"NAT3"
331	"OG2706"	0.1752	"Saccharomyces_cerevisiae@YER021W"	"YER021W"	NA	"P40016"	"RPN3"
333	"OG3001"	0.2232	"Saccharomyces_cerevisiae@YBR213W"	"YBR213W"	NA	"P15807"	"MET8"
336	"OG3501"	0.3331	"Saccharomyces_cerevisiae@YJL006C"	"YJL006C"	NA	"P46962"	"CTK2"
342	"OG1777"	0.01225	"Saccharomyces_cerevisiae@YLR410W"	"YLR410W"	NA	"Q06685"	"VIP1"
343	"OG3968"	0.1544	"Saccharomyces_cerevisiae@YDR159W"	"YDR159W"	NA	"P46674"	"SAC3"
345	"OG2006"	0.186	"Saccharomyces_cerevisiae@YPR191W"	"YPR191W"	NA	"P07257"	"QCR2"
348	"OG9026"	0.2564	"Saccharomyces_cerevisiae@YOR107W"	"YOR107W"	NA	"Q99188"	"RGS2"
350	"OG3028"	0.2705	"Saccharomyces_cerevisiae@YIL042C"	"YIL042C"	NA	"P40530"	"PDK1"
351	"OG17581"	0.0436	"Saccharomyces_cerevisiae@YML058W-A"	"YML058W-A"	NA	"Q6Q5K6"	"HUG1"
359	"OG1246"	0.0989	"Saccharomyces_cerevisiae@YJL129C"	"YJL129C"	NA	"P12685"	"TRK1"
364	"OG2476"	0.29405	"Saccharomyces_cerevisiae@YKL034W"	"YKL034W"	NA	"P36096"	"TUL1"
369	"OG2579"	0.1078	"Saccharomyces_cerevisiae@YNL325C"	"YNL325C"	NA	"P42837"	"FIG4"
371	"OG5108"	0.2129	"Saccharomyces_cerevisiae@YHL028W"	"YHL028W"	1	"P38739"	"WSC4"
374	"OG6771"	0.35455	"Saccharomyces_cerevisiae@YEL017W"	"YEL017W"	NA	"P39996"	"GTT3"
375	"OG2145"	0.1593	"Saccharomyces_cerevisiae@YOL023W"	"YOL023W"	NA	"P25038"	"IF2M"
376	"OG1758"	0.1262	"Saccharomyces_cerevisiae@YMR272C"	"YMR272C"	NA	"Q03529"	"SCS7"
379	"OG5036"	0.6312	"Saccharomyces_cerevisiae@YLR390W-A"	"YLR390W-A"	NA	"O13547"	"CCW14"
380	"OG1812"	0.02725	"Saccharomyces_cerevisiae@YPR173C"	"YPR173C"	NA	"P52917"	"VPS4"
386	"OG4286"	0.2263	"Saccharomyces_cerevisiae@YOR297C"	"YOR297C"	1	"Q08749"	"TIM18"
388	"OG3275"	0.1952	"Saccharomyces_cerevisiae@YER050C"	"YER050C"	1	"P40033"	"RSM18"
390	"OG5720"	0.41805	"Saccharomyces_cerevisiae@YLL003W"	"YLL003W"	NA	"Q12369"	"SFI1"
397	"OG7598"	0.2125	"Saccharomyces_cerevisiae@YOR315W"	"YOR315W"	NA	"Q12507"	"SFG1"
398	"OG1689"	0.10195	"Saccharomyces_cerevisiae@YGR121C"	"YGR121C"	1	"P40260"	"MEP1"
400	"OG4479"	0.1147	"Saccharomyces_cerevisiae@YJL100W"	"YJL100W"	NA	"P42951"	"LSB6"
405	"OG4297"	0.0552	"Saccharomyces_cerevisiae@YEL020W-A"	"YEL020W-A"	1	"O74700"	"TIM9"
406	"OG4793"	0.1176	"Saccharomyces_cerevisiae@YLR218C"	"YLR218C"	NA	"Q05809"	"COA4"
409	"OG3189"	0.1168	"Saccharomyces_cerevisiae@YOR340C"	"YOR340C"	NA	"P46669"	"RPA43"
410	"OG1335"	0.1171	"Saccharomyces_cerevisiae@YHR091C"	"YHR091C"	2	"P38714"	"SYRM"
412	"OG1572"	0.016	"Saccharomyces_cerevisiae@YBR089C-A"	"YBR089C-A"	NA	"P11633"	"NHP6B"
414	"OG3638"	0.2269	"Saccharomyces_cerevisiae@YNL219C"	"YNL219C"	NA	"P53868"	"ALG9"
418	"OG6806"	0.4075	"Saccharomyces_cerevisiae@YNR045W"	"YNR045W"	NA	"P07390"	"PT494"
423	"OG6239"	0.212	"Saccharomyces_cerevisiae@YPR120C"	"YPR120C"	NA	"P30283"	"CGS5"
431	"OG2296"	0.2744	"Saccharomyces_cerevisiae@YAL013W"	"YAL013W"	NA	"P31385"	"DEP1"
433	"OG2370"	0.1012	"Saccharomyces_cerevisiae@YLR314C"	"YLR314C"	1	"P32457"	"CDC3"
434	"OG1844"	0.0583	"Saccharomyces_cerevisiae@YFL001W"	"YFL001W"	1	"P31115"	"PUS3"
435	"OG3468"	0.13365	"Saccharomyces_cerevisiae@YKL139W"	"YKL139W"	NA	"Q03957"	"CTK1"
438	"OG1588"	0.0491	"Saccharomyces_cerevisiae@YNR047W"	"YNR047W"	NA	"P53739"	"FPK1"
440	"OG3376"	0.2946	"Saccharomyces_cerevisiae@YPL084W"	"YPL084W"	NA	"P48582"	"BRO1"
443	"OG1375"	0.0747	"Saccharomyces_cerevisiae@YCL064C"	"YCL064C"	NA	"P25379"	"STDH"
444	"OG4424"	0.1943	"Saccharomyces_cerevisiae@YDL219W"	"YDL219W"	NA	"Q07648"	"DTD"
447	"OG3167"	0.11275	"Saccharomyces_cerevisiae@YOR052C"	"YOR052C"	NA	"Q08422"	"TMC1"
449	"OG2634"	0.164	"Saccharomyces_cerevisiae@YJL062W"	"YJL062W"	NA	"P40367"	"GPI7"
451	"OG1826"	0.228	"Saccharomyces_cerevisiae@YGR098C"	"YGR098C"	NA	"Q03018"	"ESP1"
452	"OG4228"	0.4361	"Saccharomyces_cerevisiae@YGL086W"	"YGL086W"	NA	"P40957"	"MAD1"
456	"OG2474"	0.3958	"Saccharomyces_cerevisiae@YOR075W"	"YOR075W"	NA	"P41834"	"UFE1"
460	"OG3115"	0.1375	"Saccharomyces_cerevisiae@YEL058W"	"YEL058W"	NA	"P38628"	"AGM1"
465	"OG4594"	0.3898	"Saccharomyces_cerevisiae@YGL227W"	"YGL227W"	NA	"P53076"	"VID30"
474	"OG4027"	0.2964	"Saccharomyces_cerevisiae@YMR068W"	"YMR068W"	NA	"Q04749"	"AVO2"
478	"OG6727"	0.3945	"Saccharomyces_cerevisiae@YNL258C"	"YNL258C"	NA	"P53847"	"DSL1"
480	"OG4432"	0.111	"Saccharomyces_cerevisiae@YDL008W"	"YDL008W"	NA	"Q12157"	"APC11"
488	"OG2694"	0.1318	"Saccharomyces_cerevisiae@YNR017W"	"YNR017W"	NA	"P32897"	"TIM23"
490	"OG3884"	0.3644	"Saccharomyces_cerevisiae@YGL247W"	"YGL247W"	1	"P53062"	"BRR6"
491	"OG2681"	0.1826	"Saccharomyces_cerevisiae@YKL045W"	"YKL045W"	NA	"P20457"	"PRI2"
497	"OG1404"	0.1868	"Saccharomyces_cerevisiae@YLR333C"	"YLR333C"	1	"P0C0T4"	"RS25B"
500	"OG1525"	0.06365	"Saccharomyces_cerevisiae@YER069W"	"YER069W"	NA	"Q01217"	"ARG56"
501	"OG6997"	0.24195	"Saccharomyces_cerevisiae@YDR303C"	"YDR303C"	NA	"Q06639"	"RSC3"
502	"OG3085"	0.2073	"Saccharomyces_cerevisiae@YDR322W"	"YDR322W"	NA	"Q06678"	"RM35"
503	"OG1871"	0.0769	"Saccharomyces_cerevisiae@YDL084W"	"YDL084W"	1	"Q07478"	"SUB2"
505	"OG4140"	0.0465	"Saccharomyces_cerevisiae@YNL307C"	"YNL307C"	NA	"P21965"	"MCK1"
507	"OG2515"	0.0771	"Saccharomyces_cerevisiae@YDR002W"	"YDR002W"	NA	"P41920"	"YRB1"
510	"OG8266"	0.1978	"Saccharomyces_cerevisiae@YBR295W"	"YBR295W"	NA	"P38360"	"ATU1"
511	"OG1412"	0.1115	"Saccharomyces_cerevisiae@YDR025W"	"YDR025W"	2	"P0CX47"	"RS11A"
512	"OG1890"	0.23495	"Saccharomyces_cerevisiae@YDR335W"	"YDR335W"	2	"P52918"	"MSN5"
515	"OG4346"	0.228	"Saccharomyces_cerevisiae@YMR256C"	"YMR256C"	3	"P10174"	"COX7"
519	"OG2881"	0.166	"Saccharomyces_cerevisiae@YKL056C"	"YKL056C"	1	"P35691"	"TCTP"
523	"OG4044"	0.0944	"Saccharomyces_cerevisiae@YDR177W"	"YDR177W"	NA	"P21734"	"UBC1"
532	"OG2905"	0.1626	"Saccharomyces_cerevisiae@YGR074W"	"YGR074W"	1	"Q02260"	"SMD1"
535	"OG1414"	0.0781	"Saccharomyces_cerevisiae@YDL042C"	"YDL042C"	1	"P06700"	"SIR2"
543	"OG4449"	0.281	"Saccharomyces_cerevisiae@YML068W"	"YML068W"	1	"Q04638"	"ITT1"
544	"OG7491"	0.3532	"Saccharomyces_cerevisiae@YLR091W"	"YLR091W"	NA	"Q12393"	"GEP5"
547	"OG4316"	0.2262	"Saccharomyces_cerevisiae@YNL052W"	"YNL052W"	NA	"P00424"	"COX5A"
549	"OG4340"	0.2011	"Saccharomyces_cerevisiae@YDL088C"	"YDL088C"	1	"Q05166"	"NUP59"
550	"OG3926"	0.12835	"Saccharomyces_cerevisiae@YBL093C"	"YBL093C"	NA	"P25046"	"MED19"
551	"OG5693"	0.3313	"Saccharomyces_cerevisiae@YDR475C"	"YDR475C"	NA	"Q03361"	"JIP4"
554	"OG4126"	0.2046	"Saccharomyces_cerevisiae@YFL029C"	"YFL029C"	1	"P43568"	"CAK1"
556	"OG9011"	0.15845	"Saccharomyces_cerevisiae@YBR024W"	"YBR024W"	NA	"P38072"	"SCO2"
557	"OG2540"	0.1779	"Saccharomyces_cerevisiae@YHR024C"	"YHR024C"	NA	"P11914"	"MPPA"
559	"OG1666"	0.2853	"Saccharomyces_cerevisiae@YDR141C"	"YDR141C"	NA	"Q03921"	"DOP1"
560	"OG1811"	0.1146	"Saccharomyces_cerevisiae@YBL076C"	"YBL076C"	NA	"P09436"	"SYIC"
563	"OG3320"	0.3197	"Saccharomyces_cerevisiae@YHR151C"	"YHR151C"	NA	"P38849"	"MTC6"
564	"OG3186"	0.3231	"Saccharomyces_cerevisiae@YCR028C-A"	"YCR028C-A"	NA	"P32445"	"RIM1"
567	"OG2473"	0.1974	"Saccharomyces_cerevisiae@YKR054C"	"YKR054C"	NA	"P36022"	"DYHC"
570	"OG3702"	0.117	"Saccharomyces_cerevisiae@YEL021W"	"YEL021W"	NA	"P03962"	"PYRF"
572	"OG4920"	0.1411	"Saccharomyces_cerevisiae@YCR020C"	"YCR020C"	NA	"P25362"	"PET18"
573	"OG2286"	0.1229	"Saccharomyces_cerevisiae@YBL055C"	"YBL055C"	NA	"P34220"	"YBF5"
576	"OG3853"	0.2541	"Saccharomyces_cerevisiae@YAL024C"	"YAL024C"	NA	"P07866"	"LTE1"
578	"OG2281"	0.4036	"Saccharomyces_cerevisiae@YIL128W"	"YIL128W"	NA	"P40469"	"MET18"
579	"OG2734"	0.1847	"Saccharomyces_cerevisiae@YER019W"	"YER019W"	NA	"P40015"	"ISC1"
581	"OG3118"	0.0926	"Saccharomyces_cerevisiae@YPL218W"	"YPL218W"	NA	"P20606"	"SAR1"
583	"OG1617"	0.11685	"Saccharomyces_cerevisiae@YJL088W"	"YJL088W"	NA	"P05150"	"OTC"
585	"OG4474"	0.1096	"Saccharomyces_cerevisiae@YBR228W"	"YBR228W"	1	"P38324"	"SLX1"
586	"OG1740"	0.2264	"Saccharomyces_cerevisiae@YBR017C"	"YBR017C"	NA	"P38217"	"IMB2"
587	"OG5677"	0.31155	"Saccharomyces_cerevisiae@YOL087C"	"YOL087C"	NA	"Q99247"	"YO087"
589	"OG1527"	0.2576	"Saccharomyces_cerevisiae@YDR031W"	"YDR031W"	NA	"Q04341"	"MIX14"
594	"OG3121"	0.1685	"Saccharomyces_cerevisiae@YNL200C"	"YNL200C"	NA	"P40165"	"NNRE"
595	"OG3615"	0.0545	"Saccharomyces_cerevisiae@YOR039W"	"YOR039W"	NA	"P38930"	"CSK2C"
601	"OG4351"	0.1796	"Saccharomyces_cerevisiae@YDR338C"	"YDR338C"	NA	"Q05497"	"YD338"
603	"OG6898"	0.1044	"Saccharomyces_cerevisiae@YDL012C"	"YDL012C"	NA	"Q12489"	"YD012"
604	"OG3531"	0.177	"Saccharomyces_cerevisiae@YOR155C"	"YOR155C"	NA	"Q99312"	"ISN1"
606	"OG2443"	0.0718	"Saccharomyces_cerevisiae@YJR072C"	"YJR072C"	NA	"P47122"	"GPN1"
607	"OG1626"	0.0434	"Saccharomyces_cerevisiae@YDL014W"	"YDL014W"	4	"P15646"	"FBRL"
608	"OG5768"	0.02645	"Saccharomyces_cerevisiae@YML051W"	"YML051W"	NA	"P04387"	"GAL80"
610	"OG1999"	0.0902	"Saccharomyces_cerevisiae@YLL008W"	"YLL008W"	NA	"P32892"	"DRS1"
611	"OG5200"	0.42145	"Saccharomyces_cerevisiae@YMR157C"	"YMR157C"	NA	"Q03798"	"AIM36"
613	"OG1647"	0.1872	"Saccharomyces_cerevisiae@YGR233C"	"YGR233C"	NA	"P17442"	"PHO81"
614	"OG3304"	0.10835	"Saccharomyces_cerevisiae@YIR027C"	"YIR027C"	1	"P32375"	"ALN"
615	"OG2636"	0.1022	"Saccharomyces_cerevisiae@YMR158W"	"YMR158W"	NA	"Q03799"	"RT08"
617	"OG3311"	0.2051	"Saccharomyces_cerevisiae@YBR237W"	"YBR237W"	NA	"P21372"	"PRP5"
622	"OG1926"	0.0828	"Saccharomyces_cerevisiae@YDL031W"	"YDL031W"	1	"Q12389"	"DBP10"
623	"OG2978"	0.2897	"Saccharomyces_cerevisiae@YPL126W"	"YPL126W"	NA	"Q02931"	"UTP17"
624	"OG2250"	0.0681	"Saccharomyces_cerevisiae@YDR083W"	"YDR083W"	NA	"P38961"	"RRP8"
625	"OG17623"	0.0849	"Saccharomyces_cerevisiae@YER037W"	"YER037W"	2	"P40025"	"PHM8"
626	"OG2230"	0.13355	"Saccharomyces_cerevisiae@YDL097C"	"YDL097C"	NA	"Q12377"	"RPN6"
628	"OG3771"	0.052	"Saccharomyces_cerevisiae@YDR510W"	"YDR510W"	1	"Q12306"	"SMT3"
629	"OG1763"	0.0429	"Saccharomyces_cerevisiae@YFL009W"	"YFL009W"	NA	"P07834"	"CDC4"
630	"OG1614"	0.1948	"Saccharomyces_cerevisiae@YMR229C"	"YMR229C"	NA	"Q05022"	"RRP5"
633	"OG1282"	0.3094	"Saccharomyces_cerevisiae@YNR026C"	"YNR026C"	NA	"P11655"	"SEC12"
639	"OG3409"	0.3159	"Saccharomyces_cerevisiae@YBL037W"	"YBL037W"	NA	"P38065"	"AP2A"
643	"OG1583"	0.1002	"Saccharomyces_cerevisiae@YPR141C"	"YPR141C"	1	"P17119"	"KAR3"
645	"OG4133"	0.1529	"Saccharomyces_cerevisiae@YHR012W"	"YHR012W"	NA	"P38759"	"VPS29"
652	"OG2485"	0.0935	"Saccharomyces_cerevisiae@YJL001W"	"YJL001W"	NA	"P38624"	"PSB1"
656	"OG4556"	0.3188	"Saccharomyces_cerevisiae@YOR352W"	"YOR352W"	1	"Q08816"	"YO352"
658	"OG1817"	0.0645	"Saccharomyces_cerevisiae@YOL021C"	"YOL021C"	NA	"Q08162"	"RRP44"
661	"OG5015"	0.158	"Saccharomyces_cerevisiae@YIR001C"	"YIR001C"	2	"P40561"	"SGN1"
663	"OG1954"	0.1121	"Saccharomyces_cerevisiae@YBR025C"	"YBR025C"	NA	"P38219"	"OLA1"
666	"OG1358"	0.1112	"Saccharomyces_cerevisiae@YGL006W"	"YGL006W"	NA	"P38929"	"ATC2"
668	"OG1903"	0.2444	"Saccharomyces_cerevisiae@YOL145C"	"YOL145C"	NA	"P89105"	"CTR9"
