geneid	sequenceidofingroupbesthit	taxonomyidofingroupbesthit	evalueofingroupbesthit	sequenceidofoutgroupbesthit	taxonomyidofoutgroupbesthit	evalueofoutgroupbesthit	alienindex	bitscorepercentage	HGTornot	value
Tortispora_caseinolytica@Seq_1378	CZR55067.1-576137-Phialocephala_sub-Leotiomyce	576137	1.00E-144	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	7.00E-124	-47.99761201	0.551051051	No	0
Torulaspora_delbrueckii@Seq_1829	XP_018187610.1-1328760-Xylona_heveae_TC1-other_Pe	1328760	2.00E-114	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	8.00E-142	63.08608824	0.269831731	No	0
Wickerhamia_fluorescens@Seq_2892	CRG90345.1-28573-Talaromyces_islan-Eurotiomyc	28573	5.00E-136	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	3.00E-116	-45.54087624	0.685546875	No	0
Wickerhamomyces_anomalus@Seq_4876	KEQ67382.1-1043003-Aureobasidium_mel-Dothideomy	1043003	4.00E-127	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	3.00E-130	7.195437351	0.593558282	No	0
Wickerhamomyces_ciferrii@Seq_374	KZN93788.1-5076-Penicillium_chrys-Eurotiomyc	5076	3.00E-132	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	6.00E-128	-9.903487553	0.5953125	No	0
Yarrowia_deformans@Seq_4750	KKY13673.1-420778-Diplodia_seriata-Dothideomy	420778	8.00E-147	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	6.00E-111	-82.60538128	0.523584906	No	0
Yarrowia_keelungensis@Seq_3854	KKY13673.1-420778-Diplodia_seriata-Dothideomy	420778	4.00E-147	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	1.00E-110	-83.80935408	0.512307692	No	0
Yarrowia_lipolytica@Seq_5244	KKY13673.1-420778-Diplodia_seriata-Dothideomy	420778	3.00E-147	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	4.00E-110	-85.48333051	0.506116208	No	0
yHAB132_Kazachstania_martiniae@Seq_3213	EPS27984.1-933388-Penicillium_oxali-Eurotiomyc	933388	8.00E-127	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-168	95.79228317	0.877034358	Yes	1
yHAB133_Kazachstania_unispora@Seq_2250	XP_016761662.1-692275-Sphaerulina_musiv-Dothideom	692275	1.00E-126	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	1.00E-159	75.98530807	0.850828729	Yes	1
yHAB134_Kazachstania_turicensis@Seq_1533	GAM87195.1-1603295-fungal_sp_No_1124-other_Fung	1603295	1.00E-125	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	9.00E-146	46.15706238	0.816443595	Yes	1
Candida_arabinofermentans@Seq_5044	CZT46775.1-38038-Rhynchosporium_se-Leotiomyce	38038	7.00E-131	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	7.00E-123	-18.42068074	0.567026194	No	0
yHAB147_Kazachstania_taianensis@Seq_1017	KEQ67382.1-1043003-Aureobasidium_mel-Dothideomy	1043003	5.00E-131	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-164	76.9015988	0.854054054	Yes	1
yHAB148_Kazachstania_intestinalis@Seq_2161	XP_003853876.1-336722-Zymoseptoria_trit-Dothideom	336722	4.00E-129	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	1.00E-173	102.7000385	0.890876565	Yes	1
yHAB158_Kazachstania_viticola@Seq_1806	XP_013339482.1-1043005-Aureobasidium_sub-Dothideo	1043005	8.00E-126	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	3.00E-171	104.5971584	0.888086643	Yes	1
yHAB160_Kazachstania_kunashirensis@Seq_4120	XP_658027.1-227321-Aspergillus_nidul-Eurotiomyc	227321	9.00E-113	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	5.00E-134	48.94207362	0.835789474	Yes	1
yHAB164_Kazachstania_aerobia@Seq_896	OBW65321.1-5580-Aureobasidium_pul-Dothideomy	5580	2.00E-126	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	5.00E-161	79.67418752	0.850364964	Yes	1
yHAB166_Kazachstania_yakushimaensis@Seq_3742	KEQ67382.1-1043003-Aureobasidium_mel-Dothideomy	1043003	6.00E-123	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	3.00E-146	53.65260432	0.816793893	Yes	1
Candida_auris@Seq_5110	XP_013331637.1-1408163-Rasamsonia_emerso-Eurotiom	1408163	7.00E-136	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	2.00E-120	-35.58859852	0.718875502	No	0
yHMPu5000026124_Ogataea_henricii@Seq_1614	KEQ67382.1-1043003-Aureobasidium_mel-Dothideomy	1043003	2.00E-138	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-122	-36.84136149	0.708494208	No	0
yHMPu5000026137_Ambrosiozyma_ambrosiae@Seq_1305	KEQ67382.1-1043003-Aureobasidium_mel-Dothideomy	1043003	1.00E-131	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	1.00E-118	-29.93360621	0.705533597	No	0
yHMPu5000026152_Torulaspora_franciscae@Seq_4957	EGE09501.1-559882-Trichophyton_equi-Eurotiomyc	559882	3.00E-122	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	3.00E-149	62.16979751	0.706645057	Yes	1
yHMPu5000026256_Zygotorulaspora_mrakii@Seq_639	KEQ67382.1-1043003-Aureobasidium_mel-Dothideomy	1043003	1.00E-128	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	1.00E-150	50.65687205	0.808471455	Yes	1
yHMPu5000026274_Komagataella_populi@Seq_3529	KEQ67382.1-1043003-Aureobasidium_mel-Dothideomy	1043003	1.00E-130	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	7.00E-134	7.264430223	0.681583477	No	0
yHMPu5000034597_Candida_stellimalicola@Seq_601	XP_001211802.1-341663-Aspergillus_terre-Eurotiomy	341663	4.00E-125	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-133	19.11382792	0.833333333	No	0
Candida_boidinii_JCM9604@Seq_2966	XP_013431845.1-1043004-Aureobasidium_nam-Dothideo	1043004	7.00E-134	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	3.00E-122	-26.78372326	0.725296443	No	0
yHMPu5000034605_Spencermartinsiella_europaea@Seq_6239	CUA69636.1-456999-Rhizoctonia_solan-Basidiomyc	456999	5.00E-151	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	3.00E-122	-66.26414207	0.651079137	No	0
yHMPu5000034606_Priceomyces_medius@Seq_3502	KXG53543.1-5078-Penicillium_grise-Eurotiomyc	5078	4.00E-133	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	5.00E-110	-53.18260069	0.696465696	No	0
yHMPu5000034607_Saccharomycopsis_capsularis@Seq_4675	XP_018187610.1-1328760-Xylona_heveae_TC1-other_Pe	1328760	1.00E-128	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	5.00E-124	-10.81977828	0.801295896	No	0
yHMPu5000034610_Saturnispora_hagleri@Seq_1529	OKL59670.1-1441469-Talaromyces_atror-Eurotiomyc	1441469	4.00E-124	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-116	-17.72753356	0.724279835	No	0
yHMPu5000034611_Saturnispora_mendoncae@Seq_342	OJK00991.1-690307-Aspergillus_acule-Eurotiomyc	690307	2.00E-125	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-120	-11.51292546	0.746391753	No	0
yHMPu5000034612_Saturnispora_saitoi@Seq_4216	XP_003233901.1-559305-Trichophyton_rubr-Eurotiomy	559305	1.00E-123	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	6.00E-115	-20.21244021	0.719008264	No	0
yHMPu5000034614_Saturnispora_silvae@Seq_3590	KGO75387.1-40296-Penicillium_itali-Eurotiomyc	40296	1.00E-109	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	8.00E-103	-15.8949521	0.725055432	No	0
yHMPu5000034615_Saturnispora_zaruensis@Seq_3278	XP_001211802.1-341663-Aspergillus_terre-Eurotiomy	341663	5.00E-124	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-115	-19.80697511	0.718106996	No	0
Candida_carpophila@Seq_1339	CZR55067.1-576137-Phialocephala_sub-Leotiomyce	576137	2.00E-145	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	9.00E-125	-47.55577926	0.587579618	No	0
yHMPu5000034622_Pichia_occidentalis@Seq_4465	KEQ67382.1-1043003-Aureobasidium_mel-Dothideomy	1043003	2.00E-131	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	8.00E-115	-38.22765585	0.643784787	No	0
yHMPu5000034623_Pichia_norvegensis@Seq_1606	XP_003853876.1-336722-Zymoseptoria_trit-Dothideom	336722	6.00E-128	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-117	-24.22982373	0.67816092	No	0
yHMPu5000034624_Pichia_nakasei@Seq_1070	XP_013431845.1-1043004-Aureobasidium_nam-Dothideo	1043004	4.00E-128	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	3.00E-114	-31.94850923	0.647940075	No	0
yHMPu5000034625_Pichia_kudriavzevii@Seq_2891	KEQ67382.1-1043003-Aureobasidium_mel-Dothideomy	1043003	1.00E-127	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	1.00E-114	-29.93360621	0.528158295	No	0
yHMPu5000034627_Pichia_heedii@Seq_4896	XP_013339482.1-1043005-Aureobasidium_sub-Dothideo	1043005	1.00E-131	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	8.00E-116	-36.61821794	0.656660413	No	0
yHMPu5000034629_Pichia_exigua@Seq_749	KEQ67382.1-1043003-Aureobasidium_mel-Dothideomy	1043003	6.00E-131	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-114	-38.04533429	0.67248062	No	0
yHMPu5000034632_Candida_athensensis@Seq_1242	CZR55067.1-576137-Phialocephala_sub-Leotiomyce	576137	2.00E-140	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	4.00E-122	-42.13967885	0.61	No	0
yHMPu5000034636_Ogataea_nitratoaversa@Seq_1783	CZT46775.1-38038-Rhynchosporium_se-Leotiomyce	38038	4.00E-128	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	3.00E-120	-18.13299867	0.679849341	No	0
Candida_dubliniensis@Seq_3116	CRG90345.1-28573-Talaromyces_islan-Eurotiomyc	28573	1.00E-140	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-120	-46.74484904	0.531571219	No	0
yHMPu5000034637_Ogataea_populiabae@Seq_3888	KGO75387.1-40296-Penicillium_itali-Eurotiomyc	40296	2.00E-124	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-116	-18.42068074	0.727272727	No	0
yHMPu5000034643_Candida_schatavii@Seq_1833	OKL59670.1-1441469-Talaromyces_atror-Eurotiomyc	1441469	7.00E-132	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-113	-42.4963538	0.694949495	No	0
yHMPu5000034648_Candida_restingae@Seq_2559	XP_013331637.1-1408163-Rasamsonia_emerso-Eurotiom	1408163	9.00E-136	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	4.00E-112	-54.45111202	0.667976424	No	0
yHMPu5000034654_Aciculoconidium_aculeatum@Seq_1178	XP_013331637.1-1408163-Rasamsonia_emerso-Eurotiom	1408163	3.00E-133	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	3.00E-106	-62.16979751	0.692144374	No	0
yHMPu5000034660_Diddensiella_caesifluorescens@Seq_759	XP_001269678.1-344612-Aspergillus_clava-Eurotiomy	344612	9.00E-137	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	5.00E-113	-54.67425557	0.697530864	No	0
yHMPu5000034661_Dipodascus_albidus@Seq_2380	GAO46703.1-698492-Saitoella_complic-Taphrinomy	698492	1.00E-146	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	2.00E-131	-35.23192358	0.648148148	No	0
yHMPu5000034665_Kodamaea_laetipori@Seq_4613	XP_018187610.1-1328760-Xylona_heveae_TC1-other_Pe	1328760	2.00E-136	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	3.00E-118	-41.85199678	0.703557312	No	0
Candida_glabrata@Seq_4380	XP_013431845.1-1043004-Aureobasidium_nam-Dothideo	1043004	9.00E-127	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	3.00E-172	104.7149415	0.727540501	Yes	1
Ambrosiozyma_kashinagacola@Seq_5532	XP_016761662.1-692275-Sphaerulina_musiv-Dothideom	692275	7,00E-133	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2,00E-124	-19.47050287	0.730844794	No	0
yHMPu5000034669_Blastobotrys_raffinofermentans@Seq_4242	CUA69636.1-456999-Rhizoctonia_solan-Basidiomyc	456999	1.00E-143	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	6.00E-117	-61.65897189	0.685658153	No	0
yHMPu5000034670_Blastobotrys_proliferans@Seq_5107	CUA69636.1-456999-Rhizoctonia_solan-Basidiomyc	456999	2.00E-149	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	2.00E-125	-55.26204223	0.734126984	No	0
yHMPu5000034675_Blastobotrys_mokoenaii@Seq_1706	CEL53892.1-1108050-Rhizoctonia_solan-Basidiomyc	1108050	1.00E-150	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	4.00E-118	-75.06901734	0.651851852	No	0
yHMPu5000034709_Kluyveromyces_aestuarii@Seq_2624	XP_013339482.1-1043005-Aureobasidium_sub-Dothideo	1043005	4.00E-127	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	1.00E-145	42.83282604	0.783486239	No	0
yHMPu5000034710_Kluyveromyces_dobzhanskii@Seq_1883	OBW65321.1-5580-Aureobasidium_pul-Dothideomy	5580	2.00E-127	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	3.00E-147	45.64623675	0.640416048	Yes	1
yHMPu5000034742_Lipomyces_suomiensis@Seq_4019	CUA69636.1-456999-Rhizoctonia_solan-Basidiomyc	456999	8.00E-149	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	1.00E-118	-69.30069634	0.653703704	No	0
Candida_homilentoma@Seq_4684	CRG90345.1-28573-Talaromyces_islan-Eurotiomyc	28573	1.00E-132	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	1.00E-119	-29.93360621	0.672897196	No	0
yHMPu5000034748_Lipomyces_oligophaga@Seq_4010	CUA69636.1-456999-Rhizoctonia_solan-Basidiomyc	456999	1.00E-145	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	2.00E-121	-55.95518941	0.68833652	No	0
yHMPu5000034749_Lipomyces_mesembrius@Seq_4156	CUA69636.1-456999-Rhizoctonia_solan-Basidiomyc	456999	3.00E-152	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	2.00E-121	-70.97467277	0.561622465	No	0
yHMPu5000034757_Lipomyces_doorenjongii@Seq_3238	GAO46703.1-698492-Saitoella_complic-Taphrinomy	698492	1.00E-150	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	9.00E-121	-68.97219227	0.619377163	No	0
yHMPu5000034758_Lipomyces_japonicus@Seq_4187	CUA69636.1-456999-Rhizoctonia_solan-Basidiomyc	456999	7.00E-148	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	1.00E-116	-71.73681283	0.629294756	No	0
yHMPu5000034760_Lipomyces_kononenkoae@Seq_4284	GAO46703.1-698492-Saitoella_complic-Taphrinomy	698492	8.00E-145	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	2.00E-119	-58.48091806	0.613559322	No	0
yHMPu5000034760_Lipomyces_kononenkoae@Seq_6319	CUA69636.1-456999-Rhizoctonia_solan-Basidiomyc	456999	1.00E-147	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	1.00E-124	-52.95945714	0.615	No	0
yHMPu5000034761_Lipomyces_lipofer@Seq_3755	CUA69636.1-456999-Rhizoctonia_solan-Basidiomyc	456999	3.00E-149	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	3.00E-120	-66.7749677	0.614457831	No	0
yHMPu5000034862_Zygotorulaspora_florentina@Seq_3792	KJY01802.1-1047168-Zymoseptoria_brev-Dothideomy	1047168	3.00E-113	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	3.00E-138	57.56462732	0.475161987	No	0
yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_643	KEQ67382.1-1043003-Aureobasidium_mel-Dothideomy	1043003	7.00E-127	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-149	51.90963501	0.693163752	Yes	1
yHMPu5000034875_Tetrapisispora_fleetii@Seq_4032	XP_016761662.1-692275-Sphaerulina_musiv-Dothideom	692275	2.00E-129	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	1.00E-157	65.16552978	0.760399334	Yes	1
yHMPu5000034876_Tetrapisispora_iriomotensis@Seq_863	KEQ67382.1-1043003-Aureobasidium_mel-Dothideomy	1043003	1.00E-126	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	9.00E-159	73.78808349	0.798611111	Yes	1
yHMPu5000034877_Tetrapisispora_namnaonensis@Seq_191	XP_016761662.1-692275-Sphaerulina_musiv-Dothideom	692275	2.00E-129	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-152	52.95945714	0.725490196	Yes	1
yHMPu5000034881_Torulaspora_pretoriensis@Seq_2942	XP_018187610.1-1328760-Xylona_heveae_TC1-other_Pe	1328760	2.00E-114	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	1.00E-141	62.86294469	0.32278936	No	0
yHMPu5000034881_Torulaspora_pretoriensis@Seq_3568	XP_018187610.1-1328760-Xylona_heveae_TC1-other_Pe	1328760	2.00E-114	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	1.00E-141	62.86294469	0.32278936	No	0
yHMPu5000034883_Peterozyma_xylosa@Seq_3126	XP_003853876.1-336722-Zymoseptoria_trit-Dothideom	336722	3.00E-130	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	1.00E-112	-40.34791939	0.714285714	No	0
yHMPu5000034884_Peterozyma_toletana@Seq_1101	XP_003853876.1-336722-Zymoseptoria_trit-Dothideom	336722	9.00E-132	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-116	-35.33728409	0.722792608	No	0
yHMPu5000034886_Ogataea_trehalophila@Seq_4816	CZR55067.1-576137-Phialocephala_sub-Leotiomyce	576137	3.00E-131	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	3.00E-117	-32.2361913	0.657992565	No	0
yHMPu5000034890_Ogataea_ramenticola@Seq_4359	EME44883.1-675120-Dothistroma_septo-Dothideomy	675120	2.00E-127	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	1.00E-117	-22.33270375	0.734989648	No	0
Candida_intermedia@Seq_2193	CRG90345.1-28573-Talaromyces_islan-Eurotiomyc	28573	4.00E-132	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	5.00E-118	-32.45933485	0.620629371	No	0
Candida_intermedia@Seq_4254	CRG90345.1-28573-Talaromyces_islan-Eurotiomyc	28573	3.00E-134	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	1.00E-111	-51.86084485	0.656976744	No	0
yHMPu5000034891_Ogataea_pini@Seq_3818	XP_013331637.1-1408163-Rasamsonia_emerso-Eurotiom	1408163	4.00E-135	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	3.00E-115	-45.76401979	0.677042802	No	0
